期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2011Q4,0,--,"86,331",16.30,"1,500",-37.50,0,--,0,--,0,--,0,--,0,--,"87,831",14.61
2012Q1,0,--,"75,558",0.31,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"77,058",0.31
2012Q2,0,--,"89,566",35.61,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"91,066",34.81
2012Q3,0,--,"80,888",-17.18,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"82,388",-16.92
2012Q4,0,--,"60,715",-29.67,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"62,215",-29.17
2013Q1,0,--,"63,219",-16.33,300,-80.00,0,--,0,--,0,--,0,--,0,--,"63,519",-17.57
2013Q2,0,--,"56,629",-36.77,300,-80.00,0,--,0,--,0,--,0,--,0,--,"56,929",-37.49
2013Q3,0,--,"54,967",-32.05,0,-100.00,0,--,0,--,0,--,0,--,0,--,"54,967",-33.28
2013Q4,0,--,"49,792",-17.99,0,-100.00,0,--,0,--,0,--,0,--,0,--,"49,792",-19.97
2014Q1,0,--,"46,680",-26.16,0,-100.00,0,--,0,--,0,--,0,--,0,--,"46,680",-26.51
2014Q2,0,--,"43,501",-23.18,0,-100.00,0,--,0,--,0,--,0,--,0,--,"43,501",-23.59
