期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
2006M08,"39,919",-12.57,"117,653",-6.77,"110,546",-6.93,"7,107",-4.35,"6,479",-68.53,"6,394",-68.66,85,-54.30,"387,285",-20.18
2006M09,"39,470",-13.81,"105,500",-5.44,"98,498",-5.74,"7,002",-1.13,"5,728",-69.80,"5,642",-69.98,86,-49.11,"379,089",-22.37
2006M10,"38,996",-14.75,"115,247",0.77,"107,798",0.53,"7,449",4.36,"5,762",-68.16,"5,684",-68.28,78,-54.91,"367,780",-25.38
2006M11,"38,644",-15.23,"112,154",-4.09,"105,566",-4.41,"6,588",1.21,"5,644",-65.75,"5,569",-65.88,75,-51.61,"358,615",-27.59
2006M12,"38,324",-15.76,"120,102",-7.34,"113,692",-7.63,"6,410",-1.81,"5,865",-58.35,"5,794",-58.42,71,-51.70,"350,430",-29.16
2007M01,"37,967",-15.84,"124,345",-0.90,"117,696",-1.62,"6,649",14.03,"6,430",-40.44,"6,356",-40.44,74,-40.32,"339,790",-31.13
2007M02,"37,675",-15.29,"103,491",0.00,"97,471",0.39,"6,020",-5.97,"4,027",-50.74,"3,969",-50.80,58,-46.30,"336,004",-30.58
2007M03,"37,388",-14.39,"112,820",0.98,"105,694",0.72,"7,126",5.03,"5,547",-43.55,"5,479",-43.55,68,-43.80,"323,493",-29.74
2007M04,"37,206",-13.07,"106,252",6.76,"99,316",6.55,"6,935",9.85,"5,327",-31.16,"5,263",-31.09,63,-37.62,"316,373",-29.27
2007M05,"36,988",-11.83,"119,883",3.88,"112,952",4.14,"6,931",-0.20,"6,330",-18.95,"6,262",-18.73,68,-35.24,"309,595",-27.42
2007M06,"36,792",-10.52,"133,411",-5.02,"126,473",-5.26,"6,939",-0.36,"6,145",-20.02,"6,082",-19.79,63,-37.00,"305,990",-25.72
2007M07,"36,631",-9.19,"122,566",7.78,"114,801",8.08,"7,765",3.51,"6,514",0.32,"6,447",0.67,67,-24.72,"299,299",-25.76
2007M08,"36,584",-8.35,"121,785",3.51,"114,576",3.65,"7,209",1.44,"7,222",11.47,"7,156",11.92,66,-22.35,"298,893",-22.82
2007M09,"36,500",-7.52,"109,982",4.25,"102,804",4.37,"7,178",2.51,"6,147",7.31,"6,086",7.87,61,-29.07,"295,007",-22.18
2007M10,"36,405",-6.64,"120,135",4.24,"112,784",4.63,"7,351",-1.32,"7,389",28.24,"7,325",28.87,65,-16.67,"290,558",-21.00
2007M11,"36,388",-5.84,"115,183",2.70,"108,393",2.68,"6,790",3.07,"7,875",39.53,"7,816",40.35,59,-21.33,"286,889",-20.00
2007M12,"36,437",-4.92,"123,602",2.91,"116,940",2.86,"6,661",3.92,"8,952",52.63,"8,894",53.50,58,-18.31,"284,700",-18.76
2008M01,"36,163",-4.75,"129,524",4.16,"122,678",4.23,"6,845",2.95,"9,059",40.88,"9,007",41.71,52,-30.32,"282,410",-16.89
2008M02,"35,988",-4.48,"109,103",5.42,"103,110",5.79,"5,993",-0.45,"5,154",28.00,"5,115",28.88,39,-32.78,"279,948",-16.68
2008M03,"35,947",-3.85,"106,360",-5.73,"99,848",-5.53,"6,512",-8.62,"7,546",36.04,"7,498",36.86,48,-30.08,"272,512",-15.76
2008M04,"35,723",-3.99,"112,181",5.58,"105,260",5.98,"6,921",-0.20,"7,438",39.63,"7,392",40.46,46,-26.71,"270,229",-14.59
2008M05,"35,576",-3.82,"113,625",-5.22,"106,697",-5.54,"6,928",-0.04,"8,343",31.80,"8,297",32.50,46,-32.46,"268,621",-13.23
2008M06,"35,446",-3.66,"134,505",0.82,"127,809",1.06,"6,696",-3.50,"8,615",40.20,"8,571",40.93,44,-30.56,"269,933",-11.78
2008M07,"35,159",-4.02,"119,047",-2.87,"111,701",-2.70,"7,346",-5.39,"8,735",34.10,"8,689",34.78,46,-31.52,"267,878",-10.50
2008M08,"35,096",-4.07,"114,112",-6.30,"107,543",-6.14,"6,569",-8.87,"8,091",12.03,"8,048",12.46,43,-34.82,"267,253",-10.59
2008M09,"34,911",-4.35,"112,794",2.56,"105,564",2.68,"7,230",0.73,"9,597",56.13,"9,549",56.91,48,-21.83,"266,231",-9.75
2008M10,"34,707",-4.66,"117,481",-2.21,"110,353",-2.16,"7,128",-3.03,"6,473",-12.39,"6,429",-12.24,45,-30.91,"265,122",-8.75
2008M11,"34,240",-5.90,"102,669",-10.86,"96,597",-10.88,"6,072",-10.57,"3,807",-51.66,"3,769",-51.78,38,-35.34,"258,226",-9.99
2008M12,"33,950",-6.82,"122,656",-0.77,"116,421",-0.44,"6,235",-6.40,"3,996",-55.36,"3,952",-55.56,44,-24.75,"253,662",-10.90
2009M01,"33,364",-7.74,"102,523",-20.85,"96,985",-20.94,"5,539",-19.09,"2,763",-69.50,"2,726",-69.74,38,-27.27,"252,342",-10.65
