期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2011M04,"2,794,425",21.42,"24,180,074",29.82,"238,774",-36.30,"2,480,587",-29.86,"2,239,270",51.30,"19,770,783",71.45,"234,012",-45.34,"1,297,884",-62.85,"25,327",48.32,"75,299",33.33,"3,594",953.96,"10,697",807.29,"53,448","4,609.07","544,824","7,360.28"
2011M05,"2,368,589",-9.89,"17,800,406",-13.44,"105,575",-36.72,"587,043",-50.80,"1,922,131",0.54,"14,589,289",-3.26,"325,866",-36.95,"2,566,985",-38.77,"8,492",-48.88,"36,067",-34.84,"2,487",-79.50,"7,568",-63.12,"4,038",-3.81,"13,454",-36.20
2011M06,"3,335,375",24.95,"31,247,984",46.99,"119,951",-28.24,"771,087",-30.17,"2,250,553",-1.29,"18,514,204",-2.96,"949,216",378.93,"11,911,019","1,113.20","7,179",-16.22,"22,863",-27.75,"4,358",-62.52,"9,587",-76.53,"4,118",2.39,"19,224",-10.12
2011M07,"2,648,001",5.74,"20,129,013",5.25,"301,466",68.68,"1,816,909",2.16,"2,000,579",2.77,"16,176,348",4.89,"321,605",-11.18,"2,062,054",10.27,"12,461",-12.81,"43,278",-14.08,"3,511",48.46,"10,666",158.51,"8,379","7,315.04","19,758","3,390.81"
2011M08,"2,831,907",0.90,"22,722,086",-9.42,"180,992",-29.50,"1,338,116",-10.56,"2,353,117",18.48,"19,902,378",16.11,"276,225",-48.40,"1,420,706",-77.50,"8,028",-43.57,"28,429",-63.10,"3,035",653.10,"7,946",605.06,"10,510",-24.51,"24,511",-56.49
2011M09,"2,894,439",15.71,"23,490,006",13.36,"152,594",-45.12,"1,471,983",-28.78,"2,428,831",35.36,"20,329,362",40.24,"297,172",-23.69,"1,633,177",-59.62,"7,482",-68.33,"29,512",-55.59,"7,580",-45.37,"22,082",-43.54,780,-62.73,"3,890",-50.75
2011M10,"2,385,675",-9.33,"16,789,523",-22.39,"177,336",-23.69,"1,042,566",-49.72,"1,795,031",-5.38,"13,134,961",-11.65,"396,047",-18.76,"2,554,710",-45.04,"9,021",15.43,"30,506",7.94,"6,971",213.44,"19,943",182.96,"1,269",-69.43,"6,837",-18.99
2011M11,"2,845,576",-0.71,"22,014,124",5.04,"136,554",-43.58,"1,085,028",-38.10,"2,346,960",15.47,"18,169,752",14.74,"339,780",-39.41,"2,694,505",-17.21,"12,816",-35.52,"38,331",-42.19,"3,710",-36.27,"12,139",-25.38,"5,756",17.76,"14,369",-56.72
2011M12,"3,971,597",3.29,"33,994,957",19.67,"475,389",32.03,"4,927,245",59.16,"3,122,755",7.56,"26,671,021",21.87,"347,273",-32.67,"2,285,574",-27.96,"11,415",-22.43,"38,414",-23.41,"6,637",37.36,"13,132",-17.03,"8,128",-82.50,"59,571",-68.21
2012M01,"2,663,062",-23.17,"21,801,141",-24.89,"258,219",-50.40,"2,428,579",-54.75,"2,139,569",-7.14,"17,588,821",-0.66,"255,052",-58.19,"1,740,166",-70.16,"5,812",-52.61,"23,201",-42.47,771,-76.39,"1,867",-79.89,"3,639",-77.24,"18,507",-74.61
2012M02,"1,894,132",21.07,"14,821,856",18.49,"129,289",-19.78,"1,187,689",-31.18,"1,533,213",30.60,"12,317,090",28.18,"206,584",-5.25,"1,245,845",10.73,"21,210",533.51,"60,904",422.29,"1,519",22.70,"2,708",-29.84,"2,317",-65.70,"7,620",-77.30
2012M03,"3,399,511",11.74,"27,831,797",14.82,"542,605",99.51,"4,151,503",99.01,"2,390,282",-0.25,"20,523,885",2.31,"437,686",33.58,"3,026,673",55.78,"19,432",-15.40,"61,713",-21.81,"1,659",-72.79,"4,948",-69.67,"7,847",-54.76,"63,075",13.96
2012M04,"2,424,294",-13.25,"19,755,884",-18.30,"174,743",-26.82,"1,261,911",-49.13,"1,854,374",-17.19,"15,307,903",-22.57,"377,319",61.24,"3,114,889",140.00,"7,981",-68.49,"30,656",-59.29,217,-93.96,607,-94.33,"9,660",-81.93,"39,918",-92.67
2012M05,"3,092,232",30.55,"25,779,608",44.83,"254,325",140.90,"2,779,471",373.47,"2,472,321",28.62,"20,562,155",40.94,"350,831",7.66,"2,386,020",-7.05,"10,260",20.82,"28,199",-21.81,515,-79.29,"1,208",-84.04,"3,980",-1.44,"22,555",67.65
2012M06,"2,961,669",-11.20,"27,316,050",-12.58,"124,469",3.77,"1,206,736",56.50,"2,460,920",9.35,"24,060,469",29.96,"360,590",-62.01,"1,993,459",-83.26,"10,585",47.44,"35,755",56.39,"1,750",-59.84,"8,358",-12.82,"3,355",-18.53,"11,273",-41.36
