期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2011M01,"2,704,279",880,"49,465","656,018","92,827","13,391","20,796","124,325","4,542","1,633,268",0,"108,767"
2011M02,"989,718",265,"14,388","174,189","93,985","8,981","2,822","36,321","1,981","605,473","1,243","50,070"
2011M03,"1,690,571",286,"54,797","206,231","110,512","5,856","9,384","96,999","2,723","947,043","1,520","255,220"
2011M04,"1,813,568","6,946","4,911","419,096","75,964","17,831","8,489","97,221","7,159","941,436","1,257","233,258"
2011M05,"2,174,170","2,239","19,095","568,508","98,376","9,499","16,656","112,681","44,064","1,128,254",677,"174,121"
2011M06,"2,402,471","6,916","378,359","380,901","149,911","7,422","167,420","69,634","8,129","1,063,949","6,450","163,380"
2011M07,"2,200,092",226,"7,903","674,519","67,149","18,407","44,432","171,326","1,994","1,042,871",871,"170,394"
2011M08,"2,153,790","4,708","68,225","497,660","202,452","17,911","58,483","63,361","20,338","1,063,895",0,"156,757"
2011M09,"1,901,867","25,026","141,790","392,014","103,455","4,017","14,505","142,035","2,947","924,105",0,"151,973"
2011M10,"2,115,589","7,089","31,124","595,843","160,515","7,981","23,520","100,874","23,490","1,056,955","1,320","106,878"
2011M11,"2,572,129","3,441","28,122","452,558","160,143","26,339","25,007","184,821","88,828","1,344,365",0,"258,505"
2011M12,"3,166,790","1,334","61,286","996,435","182,167","44,719","7,677","130,048","30,051","1,501,690","3,092","208,291"
2012M01,"2,356,242",713,"84,035","507,293","170,187","17,152","17,560","227,151","35,678","1,157,249",124,"139,100"
2012M02,"1,302,442","1,478","10,238","250,924","103,456","7,425","2,169","104,596",0,"692,149","4,195","125,812"
2012M03,"2,149,201",211,"70,813","486,918","257,361","15,723","46,038","164,500","7,618","1,005,947",0,"94,072"
2012M04,"1,968,393","1,650","19,063","492,547","101,970","24,038","6,414","82,714","10,458","1,056,392",456,"172,691"
2012M05,"2,288,775",303,"89,385","379,882","86,475","10,484","7,433","104,939","17,126","1,327,327",825,"264,596"
2012M06,"2,214,146","3,301","51,597","376,733","118,201","10,122","22,473","168,067","9,323","1,164,535",205,"289,589"
2012M07,"2,509,234",879,"56,791","401,899","116,919","33,617","22,332","168,479",981,"1,488,884","8,362","210,091"
2012M08,"2,379,134","7,901","83,828","427,392","139,376","9,855","33,766","94,474","20,611","1,414,001",835,"147,095"
2012M09,"2,012,110",0,"8,202","507,268","132,110","4,780","7,485","22,794","22,438","1,184,531","1,113","121,389"
2012M10,"2,601,866","2,672","15,113","490,134","114,818","8,189","27,676","142,929","10,716","1,567,222",0,"222,397"
2012M11,"3,492,507","4,599","88,412","390,378","70,298","6,001","10,350","270,097","12,023","2,450,542",13,"189,794"
2012M12,"2,486,974","18,266","36,318","343,260","105,897","132,181","94,476","381,379","23,343","1,234,942","2,781","114,131"
2013M01,"2,639,170","23,203","56,393","643,761","179,560","13,023","37,874","170,467","26,591","1,282,366","1,645","204,287"
2013M02,"1,858,908","1,843","31,119","305,188","75,005","11,775","9,305","243,806","12,723","1,097,721","6,094","64,329"
2013M03,"2,010,838","106,586","50,518","535,476","127,742","25,766","13,333","85,576","17,663","902,509","1,060","144,609"
2013M04,"1,663,860","7,459","59,552","257,446","69,342","8,787","18,014","164,395","5,100","960,147",661,"112,957"
2013M05,"2,247,921","14,537","36,334","396,046","108,371","36,994","13,610","63,704","30,332","1,393,562","1,226","153,205"
2013M06,"2,186,117",0,"142,350","353,806","57,682","18,701","3,875","85,638",690,"1,235,366","4,773","283,236"
2013M07,"2,978,603","3,427","25,473","518,405","56,167","33,618","10,306","357,876","18,641","1,729,909",258,"224,523"
2013M08,"2,049,811",0,"28,093","346,508","126,067","4,453","11,471","58,802","7,011","1,335,080","10,143","122,183"
2013M09,"2,280,379","1,549","20,241","435,077","132,915","6,556","18,947","104,738","24,700","1,432,531","2,935","100,190"
2013M10,"3,047,010",0,"121,628","378,849","105,763","15,395","12,394","199,587","22,662","1,994,249","4,468","192,015"
2013M11,"2,748,332","5,351","18,748","486,782","193,526","7,403","52,540","94,790","5,823","1,717,632","11,403","154,334"
2013M12,"3,060,860",911,"37,536","428,700","132,796","6,847","56,438","316,869","16,222","1,806,657","6,604","251,280"
2014M01,"2,803,289","14,776","49,046","473,245","124,456","20,173","50,800","229,142","13,242","1,663,474",639,"164,296"
2014M02,"1,414,795",0,"152,786","213,848","111,152","21,474","2,552","56,075","20,531","652,917",92,"183,368"
2014M03,"1,873,980",985,"32,613","270,554","71,336","24,686","9,794","90,334","6,120","1,179,553","1,732","186,273"
2014M04,"2,277,059",442,"192,534","326,778","80,473","28,587","27,031","169,051","11,894","1,323,194","7,624","109,451"
2014M05,"2,895,688",0,"39,809","731,061","149,419","7,193","82,907","218,068","7,836","1,533,910","1,841","123,644"
2014M06,"2,273,692",0,"17,528","247,428","109,310","28,477","52,002","39,305","25,428","1,595,877",117,"158,220"
2014M07,"2,442,512","1,249","47,982","438,028","63,079","15,297","92,707","139,082","7,648","1,458,710",712,"178,018"
