期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2010M10,"1,979,132",-10.13,"15,278,258",-13.18,"270,864",66.77,"2,298,268",30.49,"1,323,386",-30.70,"9,833,877",-35.37,"352,734",253.37,"3,057,350",506.53,"23,915",4.31,"61,808",-41.06,"5,418",559.93,"14,260",483.47,"2,815",-58.15,"12,695",37.42
2010M11,"1,996,625",7.50,"15,303,615",1.32,"110,238",-6.88,"957,623",-22.44,"1,618,125",6.44,"12,509,263",0.73,"252,264",23.04,"1,767,907",26.56,"11,763",13.63,"53,245",45.07,414,-35.01,"1,235",-44.84,"3,821",35.64,"14,342",-11.95
2010M12,"3,005,850",7.42,"22,645,691",2.16,"928,749",479.37,"7,958,320",428.90,"1,849,952",-17.41,"13,573,603",-25.08,"199,376",-47.25,"1,014,354",-58.84,"14,679",19.64,"56,116",10.94,"4,346",-30.29,"11,817",-49.90,"8,748",466.95,"31,481",511.04
2011M01,"2,704,279",43.48,"20,392,613",28.41,"394,658",255.13,"3,064,903",293.02,"2,049,176",40.09,"15,914,258",32.94,"213,277",-26.19,"1,235,269",-59.61,"22,438",63.60,"67,597",37.25,"1,608",-62.41,"2,798",-76.87,"23,122",490.60,"107,788",981.01
2011M02,"989,718",-59.33,"7,695,997",-56.25,"58,873",-92.02,"622,965",-87.70,"804,860",-44.80,"6,417,478",-42.51,"109,925",-51.48,"603,355",-54.38,"4,940",-41.15,"17,820",-47.12,"2,870",81.99,"8,397",39.44,"8,250",835.37,"25,982",426.48
2011M03,"1,690,571",2.83,"12,520,302",0.80,"143,117",59.77,"1,349,580",154.59,"1,230,844",-3.19,"8,740,738",-12.75,"299,771",11.51,"2,362,607",29.42,"9,880",170.09,"40,037",177.30,159,-98.18,569,-97.83,"6,800",278.20,"26,771",275.15
2011M04,"1,813,568",1.77,"13,388,278",-1.19,"196,516",229.13,"2,136,910",433.10,"1,383,533",-1.34,"9,933,011",-12.98,"212,480",-30.13,"1,243,316",-25.36,"13,621",-5.66,"47,020",-25.75,"3,555",139.56,"11,626",166.90,"3,863",--,"16,395",--
2011M05,"2,174,170",42.27,"14,795,134",27.43,"228,720",234.30,"2,004,964",167.36,"1,545,511",21.35,"10,844,727",11.29,"376,822",121.19,"1,870,321",75.72,"11,044",-11.36,"42,429",0.47,"7,931",451.53,"19,000",416.02,"4,142",108.77,"13,693",118.46
2011M06,"2,402,471",13.49,"20,127,007",15.93,"342,985",143.34,"3,334,808",183.48,"1,406,437",-11.25,"10,913,247",-18.19,"630,674",75.56,"5,812,833",111.04,"18,417",-24.32,"50,735",-34.13,"2,007",-69.57,"5,842",-35.30,"1,951",87.96,"9,542",150.05
2011M07,"2,200,092",35.62,"15,389,725",26.81,"288,471",194.31,"1,531,664",70.28,"1,637,646",47.02,"12,324,897",48.09,"251,420",-36.41,"1,461,143",-49.01,"17,265",57.23,"61,873",54.94,"4,504",18.18,"7,474",-8.52,786,305.15,"2,674",279.29
2011M08,"2,153,790",19.29,"15,626,298",15.82,"100,725",-12.04,"590,562",-41.62,"1,706,871",35.71,"13,116,017",41.00,"329,491",-20.60,"1,872,537",-39.91,"11,071",-13.00,"36,329",-24.97,583,-88.20,"1,632",-83.95,"5,049",718.31,"9,221",217.53
2011M09,"1,901,867",-14.14,"14,306,143",-23.29,"46,327",-69.92,"302,021",-79.44,"1,399,311",-21.75,"10,248,090",-32.62,"437,755",66.78,"3,693,286",89.92,"12,118",107.61,"43,215",141.98,"5,663",49.26,"17,479",208.22,693,-2.67,"2,052",-43.14
2011M10,"2,115,589",6.89,"13,805,762",-9.64,"151,142",-44.20,"1,101,646",-52.07,"1,611,596",21.78,"11,048,309",12.35,"339,799",-3.67,"1,607,793",-47.41,"6,436",-73.09,"30,934",-49.95,"4,658",-14.03,"11,150",-21.81,"1,958",-30.44,"5,930",-53.29
2011M11,"2,572,129",28.82,"18,963,175",23.91,"184,921",67.75,"1,323,088",38.16,"2,087,010",28.98,"16,096,748",28.68,"267,291",5.96,"1,439,600",-18.57,"25,592",117.56,"80,973",52.08,"2,347",466.91,"8,298",571.90,"4,968",30.02,"14,468",0.88
2011M12,"3,166,790",5.35,"23,229,960",2.58,"141,317",-84.78,"841,697",-89.42,"2,398,275",29.64,"19,139,614",41.01,"595,447",198.66,"3,158,129",211.34,"13,759",-6.27,"50,359",-10.26,"8,944",105.80,"26,786",126.67,"9,048",3.43,"13,375",-57.51
2012M01,"2,356,242",-12.87,"16,791,122",-17.66,"223,520",-43.36,"1,526,064",-50.21,"1,757,874",-14.22,"13,296,219",-16.45,"352,515",65.29,"1,898,840",53.72,"9,818",-56.24,"36,520",-45.97,225,-86.01,730,-73.91,"12,290",-46.85,"32,749",-69.62
2012M02,"1,302,442",31.60,"9,207,475",19.64,"67,228",14.19,"485,838",-22.01,"1,070,039",32.95,"7,893,563",23.00,"151,147",37.50,"779,291",29.16,"5,402",9.35,"24,807",39.21,"3,284",14.43,"11,671",38.99,"5,342",-35.25,"12,305",-52.64
2012M03,"2,149,201",27.13,"15,955,029",27.43,"172,676",20.65,"1,701,619",26.09,"1,600,999",30.07,"11,787,603",34.86,"352,485",17.58,"2,396,517",1.44,"11,426",15.65,"37,537",-6.24,"5,271","3,215.09","10,705","1,781.37","6,344",-6.71,"21,048",-21.38
2012M04,"1,968,393",8.54,"14,044,415",4.90,"58,347",-70.31,"444,059",-79.22,"1,652,515",19.44,"12,320,430",24.04,"215,483",1.41,"1,118,867",-10.01,"29,131",113.87,"123,638",162.95,"3,970",11.67,"10,866",-6.54,"8,947",131.61,"26,555",61.97
2012M05,"2,288,775",5.27,"16,555,363",11.90,"78,796",-65.55,"454,650",-77.32,"1,873,034",21.19,"13,887,531",28.06,"319,614",-15.18,"2,152,689",15.10,"9,494",-14.03,"34,933",-17.67,"5,728",-27.78,"17,626",-7.23,"2,109",-49.08,"7,934",-42.06
2012M06,"2,214,146",-7.84,"17,997,827",-10.58,"124,098",-63.82,"1,052,300",-68.44,"1,645,005",16.96,"13,029,252",19.39,"409,324",-35.10,"3,798,251",-34.66,"32,363",75.72,"104,136",105.25,"1,606",-19.98,"4,876",-16.54,"1,750",-10.30,"9,012",-5.55
2012M07,"2,509,234",14.05,"20,151,545",30.94,"147,211",-48.97,"1,089,462",-28.87,"1,995,567",21.86,"17,176,326",39.36,"353,186",40.48,"1,840,490",25.96,"11,399",-33.98,"41,389",-33.11,"1,871",-58.46,"3,878",-48.11,0,-100.00,0,-100.00
2012M08,"2,379,134",10.46,"18,270,071",16.92,"129,501",28.57,"884,421",49.76,"1,955,973",14.59,"15,552,390",18.58,"280,949",-14.73,"1,775,187",-5.20,"3,242",-70.72,"13,225",-63.60,"3,037",420.93,"8,828",440.93,"6,432",27.39,"36,020",290.63
2012M09,"2,012,110",5.80,"15,868,240",10.92,"161,902",249.48,"1,352,803",347.92,"1,590,019",13.63,"13,192,224",28.73,"247,299",-43.51,"1,279,935",-65.34,"7,637",-36.98,"28,475",-34.11,"3,755",-33.69,"9,675",-44.65,"1,498",116.16,"5,128",149.90
2012M10,"2,601,866",22.99,"20,464,651",48.23,"274,449",81.58,"2,478,319",124.97,"2,005,315",24.43,"16,442,966",48.83,"296,795",-12.66,"1,444,705",-10.14,"18,522",187.79,"59,877",93.56,"2,949",-36.69,"28,142",152.39,"3,836",95.91,"10,642",79.46
2012M11,"3,492,507",35.78,"31,369,496",65.42,"594,164",221.31,"7,110,651",437.43,"2,339,537",12.10,"19,117,735",18.77,"534,076",99.81,"5,063,219",251.71,"17,310",-32.36,"54,240",-33.01,"6,651",183.38,"18,691",125.25,769,-84.52,"4,960",-65.72
2012M12,"2,486,974",-21.47,"19,288,406",-16.97,"228,963",62.02,"2,282,620",171.19,"1,730,833",-27.83,"13,005,391",-32.05,"512,044",-14.01,"3,951,538",25.12,"10,087",-26.69,"34,631",-31.23,"3,155",-64.72,"8,453",-68.44,"1,892",-79.09,"5,773",-56.84
2013M01,"2,639,170",12.01,"19,392,807",15.49,"307,571",37.60,"1,941,032",27.19,"1,935,608",10.11,"14,804,415",11.34,"360,392",2.23,"2,542,884",33.92,"28,210",187.33,"77,943",113.43,"2,634","1,070.67","7,832",972.88,"4,755",-61.31,"18,701",-42.90
2013M02,"1,858,908",42.72,"16,102,618",74.89,"278,158",313.75,"3,665,202",654.41,"1,313,432",22.75,"11,146,813",41.21,"257,924",70.64,"1,253,300",60.83,"5,855",8.39,"25,909",4.44,260,-92.08,728,-93.76,"3,279",-38.62,"10,666",-13.32
2013M03,"2,010,838",-6.44,"15,422,339",-3.34,"110,607",-35.95,"619,788",-63.58,"1,599,637",-0.09,"13,354,475",13.29,"284,074",-19.41,"1,364,910",-43.05,"6,578",-42.43,"25,801",-31.27,"2,198",-58.30,"6,476",-39.50,"7,744",22.07,"50,889",141.78
2013M04,"1,663,860",-15.47,"12,169,376",-13.35,"72,831",24.82,"550,302",23.93,"1,255,568",-24.02,"9,528,336",-22.66,"306,865",42.41,"2,003,406",79.06,"19,653",-32.54,"59,989",-51.48,"4,335",9.19,"12,121",11.55,"4,608",-48.50,"15,222",-42.68
2013M05,"2,247,921",-1.78,"16,682,634",0.77,"131,790",67.25,"899,975",97.95,"1,834,484",-2.06,"14,280,445",2.83,"262,669",-17.82,"1,435,490",-33.32,"10,966",15.50,"39,581",13.31,"3,005",-47.54,"9,417",-46.57,"5,007",137.41,"17,726",123.42
2013M06,"2,186,117",-1.27,"17,676,459",-1.79,"306,268",146.80,"2,657,150",152.51,"1,540,943",-6.33,"12,595,697",-3.33,"320,148",-21.79,"2,348,683",-38.16,"8,887",-72.54,"40,028",-61.56,"7,106",342.47,"26,029",433.82,"2,765",58.00,"8,872",-1.55
2013M07,"2,978,603",18.71,"23,465,501",16.45,"440,838",199.46,"4,253,881",290.46,"2,170,470",8.76,"17,320,858",0.84,"357,345",1.18,"1,851,695",0.61,"4,682",-58.93,"17,782",-57.04,"3,951",111.17,"15,672",304.13,"1,317",--,"5,613",--
2013M08,"2,049,811",-13.84,"17,202,838",-5.84,"91,133",-29.63,"599,910",-32.17,"1,667,307",-14.76,"14,860,846",-4.45,"273,638",-2.60,"1,683,871",-5.14,"10,536",224.98,"30,159",128.05,"4,301",41.62,"13,688",55.05,"2,896",-54.98,"14,364",-60.12
2013M09,"2,280,379",13.33,"18,148,366",14.37,"102,762",-36.53,"603,044",-55.42,"1,892,001",18.99,"15,644,201",18.59,"272,321",10.12,"1,858,182",45.18,"8,878",16.25,"29,074",2.10,"3,961",5.49,"11,637",20.28,456,-69.56,"2,228",-56.55
2013M10,"3,047,010",17.11,"25,182,757",23.05,"200,306",-27.02,"2,475,859",-0.10,"2,497,823",24.56,"20,874,038",26.95,"337,882",13.84,"1,798,994",24.52,"4,742",-74.40,"11,342",-81.06,"5,849",98.34,"20,484",-27.21,408,-89.36,"2,040",-80.83
2013M11,"2,748,332",-21.31,"23,508,295",-25.06,"209,645",-64.72,"1,868,531",-73.72,"2,205,628",-5.72,"19,419,111",1.58,"317,257",-40.60,"2,159,487",-57.35,"10,514",-39.26,"39,913",-26.41,"3,341",-49.77,"12,088",-35.33,"1,947",153.19,"9,165",84.78
2013M12,"3,060,860",23.08,"25,541,705",32.42,"243,185",6.21,"2,370,566",3.85,"2,248,561",29.91,"18,982,043",45.96,"545,896",6.61,"4,103,509",3.85,"11,562",14.62,"37,751",9.01,"3,224",2.19,"9,110",7.77,"8,432",345.67,"38,726",570.81
2014M01,"2,803,289",6.22,"23,034,626",18.78,"295,894",-3.80,"3,014,666",55.31,"2,059,523",6.40,"16,662,136",12.55,"417,144",15.75,"3,257,676",28.11,"18,881",-33.07,"58,190",-25.34,"6,066",130.30,"17,875",128.23,"5,781",21.58,"24,083",28.78
2014M02,"1,414,795",-23.89,"11,774,293",-26.88,"47,211",-83.03,"265,699",-92.75,"1,147,824",-12.61,"10,243,398",-8.10,"207,200",-19.67,"1,224,580",-2.29,"4,791",-18.17,"19,894",-23.22,"1,934",643.85,"4,465",513.32,"5,835",77.95,"16,257",52.42
