期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2003M08,158,3.95,153,-23.12,"118,128",22.36,67,-19.28,83,-26.55,"32,064",107.45,91,31.88,70,-18.60,"86,064",6.14
2003M09,157,-7.65,213,-8.97,"146,438",75.07,74,-17.78,124,-13.89,"20,383",-9.47,83,3.75,89,-1.11,"126,055",106.20
2003M10,164,5.81,169,-18.36,"166,319",33.29,90,18.42,93,3.33,"39,520",139.60,74,-6.33,76,-35.04,"126,799",17.10
2003M11,162,-2.41,239,29.89,"78,695",-6.71,88,8.64,169,79.79,"31,054",43.24,74,-12.94,70,-22.22,"47,641",-23.99
2003M12,224,39.13,321,72.58,"175,388",193.62,102,27.50,202,119.57,"40,782",186.41,122,50.62,119,26.60,"134,606",195.87
2004M01,159,-14.52,224,-11.81,"122,030",9.05,87,-3.33,127,-17.53,"50,282",83.65,72,-25.00,97,-3.00,"71,748",-15.12
2004M02,117,50.00,105,15.38,"187,428",487.53,59,68.57,72,71.43,"19,124",177.12,58,34.88,33,-32.65,"168,304",573.22
2004M03,164,22.39,209,31.45,"101,542",32.51,80,17.65,112,51.35,"18,800",22.40,84,27.27,97,14.12,"82,742",35.05
2004M04,162,12.50,187,7.47,"168,973",110.58,52,-32.47,78,-30.97,"14,538",15.03,110,64.18,109,78.69,"154,435",128.44
2004M05,145,-12.12,805,276.17,"121,289",61.53,75,-22.68,106,-26.39,"45,626",75.48,70,2.94,699,898.57,"75,663",54.14
2004M06,142,-19.77,151,-41.70,"97,431",-31.16,64,-38.46,75,-57.63,"23,876",-43.88,78,6.85,76,-7.32,"73,555",-25.70
2004M07,136,-28.42,141,-40.76,"254,102",23.40,65,-26.97,77,-32.46,"30,414",27.18,71,-29.70,64,-48.39,"223,688",22.90
2004M08,122,-22.78,216,41.18,"156,883",32.81,56,-16.42,124,49.40,"20,005",-37.61,66,-27.47,92,31.43,"136,878",59.04
2004M09,182,15.92,310,45.54,"162,206",10.77,92,24.32,216,74.19,"35,983",76.53,90,8.43,94,5.62,"126,223",0.13
2004M10,186,13.41,193,14.20,"127,639",-23.26,79,-12.22,121,30.11,"26,536",-32.85,107,44.59,72,-5.26,"101,103",-20.27
2004M11,165,1.85,222,-7.11,"209,096",165.70,79,-10.23,122,-27.81,"41,029",32.12,86,16.22,100,42.86,"168,067",252.78
