期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
1987M02,"7,946",4.82,"3,183",-0.81,"1,577",7.48,594,9.65,"1,482",10.17,590,9.42,519,8.80,"4,940",4.52,"1,927",-0.53,"1,073",9.54,394,7.37,827,8.48,372,6.65,347,4.66,"3,005",5.33,"1,256",-1.23,504,3.34,199,14.46,655,12.38,218,14.47,172,18.25,193,-26.11,34,-38.25,44,-29.91,23,-32.57,59,-18.27,26,2.06,8,-38.91,121,-30.42,25,-47.05,32,-30.30,15,-23.04,31,-16.15,13,-24.25,5,-32.64,72,-17.51,9,12.71,12,-28.81,7,-46.03,28,-20.52,12,63.44,3,-46.02,"5,213",-0.09,"2,498",-2.54,711,0.56,557,2.65,887,1.66,252,8.16,309,2.92,"1,635",-0.52,558,-4.61,196,-8.80,250,4.53,331,2.42,120,8.76,180,5.27,"3,578",0.11,"1,940",-1.93,515,4.64,307,1.17,556,1.21,132,7.63,129,-0.21
1987M03,"7,865",4.53,"3,160",-2.70,"1,553",4.95,599,11.65,"1,459",9.79,581,15.88,512,19.26,"4,912",3.73,"1,930",-2.98,"1,062",5.68,401,11.21,808,7.52,357,7.73,354,19.00,"2,952",5.87,"1,230",-2.25,491,3.40,199,12.56,651,12.75,223,31.85,158,19.83,163,-24.52,26,-31.35,33,-33.51,20,-15.92,55,-18.28,19,-19.72,10,-27.38,103,-28.27,20,-37.90,24,-33.63,15,9.65,30,-20.37,10,-40.06,4,-42.67,59,-16.98,6,12.00,9,-33.17,5,-49.30,25,-15.67,9,33.03,6,-8.88,"5,344",0.29,"2,544",-3.34,766,0.79,593,8.19,878,-0.64,253,11.84,310,11.29,"1,692",1.30,560,-5.30,228,-3.24,263,6.12,327,-0.98,133,23.36,181,14.95,"3,652",-0.17,"1,984",-2.77,538,2.61,330,9.90,551,-0.43,120,1.35,129,6.51
1987M04,"7,844",3.68,"3,155",-2.83,"1,582",3.46,573,8.68,"1,461",8.95,591,18.61,480,13.91,"4,905",3.16,"1,930",-2.79,"1,072",4.58,377,6.36,827,8.11,366,11.16,333,12.61,"2,939",4.56,"1,225",-2.88,510,1.18,196,13.43,635,10.07,225,33.14,148,16.96,137,-24.40,26,-30.81,26,-33.01,16,-19.56,47,-16.85,15,-17.98,7,-29.50,90,-28.44,23,-31.34,20,-35.13,10,-25.01,26,-18.36,8,-35.70,4,-24.78,47,-15.22,4,-27.37,6,-25.15,6,-9.41,21,-14.85,7,15.82,3,-35.03,"5,395",0.82,"2,594",-1.80,779,-2.33,587,7.63,891,1.40,247,5.81,297,16.75,"1,714",1.84,586,-1.88,237,-5.69,263,4.43,331,3.12,126,8.95,170,17.23,"3,682",0.35,"2,008",-1.78,542,-0.78,323,10.38,560,0.42,121,2.73,127,16.13
1987M05,"7,898",3.67,"3,203",-2.93,"1,581",0.07,571,9.86,"1,466",13.09,609,21.02,468,11.60,"4,893",2.23,"1,919",-4.57,"1,076",1.68,374,4.48,832,12.53,376,13.75,316,9.16,"3,005",6.12,"1,284",-0.37,505,-3.21,197,21.76,635,13.84,233,34.93,151,17.07,156,-14.13,31,-15.92,39,-11.84,15,-29.16,51,-1.55,11,-25.33,9,-28.88,104,-13.56,25,-14.87,29,-16.25,10,-29.36,27,10.69,7,-35.76,5,-16.21,53,-15.22,6,-20.27,9,5.22,6,-28.83,24,-12.68,5,-2.23,4,-42.30,"5,339",0.28,"2,576",-3.60,786,-0.57,578,7.21,865,3.35,241,3.80,292,15.64,"1,719",2.93,605,-1.64,245,-3.15,264,9.20,323,5.46,114,5.89,166,15.01,"3,620",-0.94,"1,971",-4.18,541,0.65,314,5.60,541,2.13,127,1.99,127,16.48
1987M06,"8,030",4.27,"3,314",0.11,"1,602",2.23,590,8.00,"1,462",8.08,601,14.58,461,15.19,"4,930",3.26,"1,947",-1.99,"1,096",4.48,396,6.08,813,7.33,371,12.39,306,10.52,"3,100",5.91,"1,367",3.27,506,-2.34,194,12.13,649,9.03,229,18.29,155,25.68,143,-33.36,21,-40.35,29,-40.37,15,-35.87,50,-29.69,13,-27.46,16,-19.69,87,-36.44,18,-34.60,21,-44.38,10,-36.08,24,-27.39,6,-47.04,8,-30.66,57,-28.01,3,-61.49,8,-26.36,5,-35.46,26,-31.67,7,7.36,8,-3.11,"5,236",0.22,"2,528",-3.42,791,-1.17,565,3.60,821,5.43,234,1.10,297,18.19,"1,706",1.92,605,-2.93,263,-3.51,251,2.08,315,11.58,107,1.73,165,14.10,"3,530",-0.59,"1,923",-3.58,528,0.04,314,4.85,507,1.94,127,0.58,132,23.74
1987M07,"8,118",3.17,"3,256",-1.23,"1,610",2.54,593,2.23,"1,581",10.15,597,7.10,481,12.11,"5,020",3.54,"1,926",-1.44,"1,109",5.01,409,7.23,877,9.16,375,6.65,323,7.37,"3,098",2.58,"1,329",-0.92,501,-2.55,184,-7.39,704,11.41,222,7.85,158,23.23,167,-29.66,18,-47.56,34,-26.99,15,-31.46,60,-27.32,22,-24.50,17,-20.81,99,-33.15,13,-53.75,26,-30.66,8,-46.23,33,-14.42,12,-31.64,8,-38.04,68,-23.87,5,-20.97,8,-12.84,7,-0.52,26,-38.81,11,-15.05,10,0.63,"5,148",1.72,"2,560",0.19,791,0.15,567,1.72,745,5.24,223,6.25,263,8.81,"1,612",0.71,611,-0.71,256,-0.52,239,-4.82,259,11.23,99,0.74,148,1.60,"3,535",2.19,"1,949",0.47,535,0.47,327,7.11,486,2.30,124,11.12,115,19.76
1987M08,"8,139",4.65,"3,213",1.62,"1,614",5.76,575,-1.74,"1,615",11.49,634,8.31,487,3.78,"4,983",3.07,"1,892",-0.88,"1,095",5.62,389,0.26,885,10.40,395,5.78,327,0.34,"3,156",7.24,"1,322",5.42,519,6.04,186,-5.69,730,12.85,239,12.77,160,11.58,172,-30.91,22,-44.27,34,-35.84,18,-28.02,60,-21.36,25,-26.27,15,-37.65,102,-32.67,16,-48.88,25,-32.37,12,-18.84,30,-20.91,13,-29.31,6,-50.37,71,-28.21,6,-28.20,8,-44.57,6,-41.39,30,-21.80,12,-22.57,9,-24.13,"5,144",-0.49,"2,539",-2.85,646,-2.53,596,-1.22,823,1.45,248,20.54,293,7.16,"1,656",1.82,617,1.21,188,-1.27,271,-2.38,295,2.11,116,17.54,169,4.90,"3,488",-1.55,"1,922",-4.09,457,-3.04,325,-0.23,529,1.08,132,23.31,124,10.42
1987M09,"8,065",4.37,"3,155",1.95,"1,571",2.14,578,1.98,"1,617",9.10,639,14.05,505,3.96,"4,969",2.92,"1,885",0.62,"1,065",1.33,381,0.56,899,7.24,394,11.70,345,3.34,"3,096",6.78,"1,270",4.00,506,3.88,197,4.85,717,11.54,245,18.05,161,5.33,170,-27.73,17,-54.48,36,-17.14,20,-28.59,62,-21.36,18,-34.33,17,-15.49,97,-32.81,14,-55.44,27,-19.79,12,-15.84,26,-29.87,10,-35.37,8,-35.90,73,-19.68,3,-50.01,10,-9.14,8,-42.52,35,-13.54,7,-32.84,9,14.80,"5,244",-0.19,"2,564",-2.60,613,-1.74,576,-2.14,916,3.78,248,8.73,327,9.62,"1,686",2.14,608,-0.72,170,-1.49,266,-1.25,348,5.11,115,12.01,180,10.05,"3,557",-1.25,"1,956",-3.16,443,-1.83,310,-2.90,568,2.98,133,6.04,147,9.09
1987M10,"8,098",3.13,"3,170",0.43,"1,575",-0.02,590,0.38,"1,607",8.63,636,10.90,520,8.39,"5,017",2.68,"1,909",0.19,"1,069",0.82,391,-0.46,890,6.68,399,9.20,360,9.44,"3,081",3.88,"1,261",0.79,506,-1.75,199,2.08,717,11.14,238,13.87,160,6.11,166,-21.05,22,-38.46,33,-17.56,19,-37.55,54,-16.66,20,-6.11,18,-1.78,99,-26.23,18,-38.84,24,-22.43,11,-35.28,23,-27.34,13,3.38,9,-21.49,68,-12.03,4,-36.54,9,-1.03,8,-40.30,31,-6.25,7,-20.04,9,33.24,"5,241",1.15,"2,583",-0.83,621,1.77,569,-0.04,904,4.43,245,6.60,319,5.64,"1,649",1.88,605,0.96,169,1.82,249,-3.43,336,4.85,110,9.05,179,3.34,"3,592",0.82,"1,978",-1.37,452,1.76,320,2.76,568,4.18,135,4.68,140,8.72
1987M11,"8,096",2.90,"3,127",-1.25,"1,614",2.90,620,4.32,"1,581",6.08,634,10.03,520,10.22,"5,014",2.43,"1,884",-1.72,"1,088",2.84,424,7.79,874,4.93,395,6.75,350,7.82,"3,082",3.67,"1,243",-0.53,527,3.02,196,-2.46,707,7.54,239,15.91,171,15.48,153,-18.33,22,-33.33,31,-27.27,19,-11.76,50,-15.04,19,-3.30,13,0.16,91,-23.78,17,-36.46,22,-32.21,12,-4.79,24,-17.75,8,-31.04,8,21.29,62,-8.79,5,-18.71,9,-11.66,7,-21.47,26,-12.37,10,46.21,6,-19.59,"5,275",1.12,"2,592",-0.03,647,0.89,560,-0.18,918,3.44,256,8.79,301,1.04,"1,668",1.76,626,5.59,181,4.68,244,-5.76,331,-0.35,118,6.49,168,-2.05,"3,607",0.82,"1,966",-1.70,466,-0.50,316,4.59,587,5.71,139,10.82,133,5.23
