期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
2001M01,"9,483",-0.12,"5,651",-0.90,"3,832",1.07,702,-7.15,510,-7.03,192,-7.46,10,-9.05,8,-4.74,2,-25.34,"2,671",1.63,"1,651",1.45,"1,020",1.93,35,-3.72,30,-4.29,5,-0.21,805,-5.84,718,-5.28,88,-10.20,"1,685",-0.83,892,-2.77,793,1.44,549,7.81,239,6.97,311,8.47,484,-0.44,385,-0.97,99,1.68,374,1.88,167,7.51,207,-2.23,54,-4.53,36,-6.89,18,0.42,262,6.95,137,4.51,125,9.76,480,1.83,174,13.11,306,-3.65,259,1.64,83,-3.58,176,4.29,162,-0.30,83,-5.88,78,6.44,640,1.13,341,-0.13,298,2.61,312,-3.66,197,-3.60,115,-3.76
2001M02,"9,394",-0.13,"5,590",-1.31,"3,803",1.66,694,-7.73,508,-7.60,186,-8.09,10,-9.67,8,-10.97,2,-2.88,"2,653",0.85,"1,626",-0.29,"1,027",2.71,35,-2.36,30,-1.77,5,-5.61,778,-7.61,699,-6.61,80,-15.60,"1,702",1.07,909,-0.35,793,2.76,516,6.31,219,2.49,296,9.32,483,3.07,377,0.43,106,13.62,372,4.67,164,10.66,208,0.37,51,-16.61,32,-19.55,20,-11.43,251,2.97,138,5.83,113,-0.32,471,-3.17,167,0.26,304,-4.95,263,-1.89,80,-9.34,183,1.77,154,-1.57,84,2.40,70,-5.94,648,6.98,349,2.49,299,12.73,314,-1.92,202,0.60,112,-6.17
2001M03,"9,378",-0.55,"5,569",-1.52,"3,809",0.92,694,-8.40,508,-7.46,186,-10.86,10,-10.46,8,-9.96,2,-12.68,"2,634",0.02,"1,614",-0.12,"1,020",0.23,35,-5.41,30,-5.51,5,-4.84,768,-8.53,693,-8.62,75,-7.66,"1,709",0.66,924,0.41,785,0.96,495,4.49,209,2.93,285,5.67,480,3.65,374,1.11,106,13.71,368,3.87,146,-4.90,223,10.53,53,-21.78,36,-12.28,18,-35.78,255,5.12,147,11.87,107,-2.90,481,-0.83,157,-5.88,324,1.82,277,8.36,84,2.40,192,11.21,163,2.09,88,17.68,75,-11.63,644,2.73,350,1.67,295,4.01,312,-3.68,203,-1.60,109,-7.32
2001M04,"9,349",-1.09,"5,550",-2.09,"3,799",0.40,699,-7.75,511,-7.17,188,-9.30,10,-9.07,8,-8.86,2,-9.90,"2,606",-1.29,"1,607",-0.14,999,-3.08,35,-5.41,30,-5.81,5,-3.06,750,-10.18,673,-10.38,77,-8.38,"1,686",-0.60,913,0.05,774,-1.35,503,5.29,219,7.85,284,3.41,477,1.51,369,-1.42,108,12.96,371,1.03,140,-16.81,231,16.16,53,-20.29,34,-17.49,19,-24.94,266,9.29,147,9.68,119,8.81,481,-1.73,161,-3.78,320,-0.66,274,10.91,89,15.16,186,9.00,166,7.22,89,16.35,78,-1.57,653,2.20,355,-0.73,298,5.93,319,-0.58,206,-0.08,113,-1.49
2001M05,"9,337",-1.40,"5,514",-2.53,"3,823",0.27,695,-7.15,508,-5.74,187,-10.77,10,-8.98,8,-11.54,2,1.43,"2,582",-2.13,"1,589",-0.73,993,-4.30,35,-2.80,30,-1.80,5,-8.56,738,-11.31,664,-11.35,74,-10.91,"1,696",-0.90,905,-0.65,791,-1.18,510,4.16,228,3.17,282,4.97,479,1.41,372,-0.16,106,7.33,372,1.76,154,-9.16,218,11.24,59,-18.40,36,-16.92,23,-20.65,270,8.38,133,-1.30,137,19.76,486,1.47,170,4.99,316,-0.32,262,6.37,82,3.08,180,7.93,175,11.08,86,1.54,89,22.11,648,0.73,346,-2.21,303,4.31,321,0.91,204,3.29,117,-2.97
2001M06,"9,360",-1.32,"5,523",-2.48,"3,838",0.41,698,-6.02,493,-6.58,205,-4.64,10,-5.65,8,-6.34,2,-2.46,"2,576",-2.32,"1,601",-1.68,975,-3.35,35,-3.23,30,-2.84,5,-5.34,740,-11.65,665,-11.32,75,-14.50,"1,691",-1.61,894,-2.66,796,-0.41,519,5.55,229,-4.16,290,14.69,483,0.62,380,2.61,103,-6.08,372,0.48,156,-0.60,216,1.28,64,-2.92,40,10.07,24,-19.15,273,3.58,146,4.34,127,2.72,491,3.70,169,9.61,323,0.86,248,6.21,76,3.41,172,7.50,173,3.53,84,-10.90,89,22.31,660,2.83,341,0.38,318,5.59,326,3.99,209,8.03,117,-2.50
2001M07,"9,370",-1.48,"5,544",-2.28,"3,827",-0.29,707,-4.38,508,-4.90,199,-3.03,10,-8.89,8,-10.97,2,1.72,"2,583",-2.69,"1,580",-3.37,"1,003",-1.60,36,0.05,30,0.36,6,-1.61,733,-12.17,653,-12.96,80,-5.23,"1,682",-1.50,906,-2.55,777,-0.25,531,5.71,227,-3.75,304,14.09,489,0.84,386,2.94,103,-6.31,366,0.05,156,2.68,210,-1.81,64,-2.37,37,-0.41,27,-4.95,269,6.95,150,17.28,120,-3.66,482,-2.32,173,6.10,309,-6.49,249,8.74,72,4.85,177,10.41,171,0.12,90,-0.24,81,0.52,670,1.87,357,4.46,313,-0.94,328,6.90,211,8.73,118,3.78
2001M08,"9,384",-1.54,"5,554",-2.35,"3,831",-0.33,710,-3.06,513,-4.09,197,-0.29,10,-8.85,8,-9.17,2,-7.33,"2,572",-3.32,"1,568",-2.55,"1,005",-4.50,36,-2.61,31,-2.06,5,-5.63,735,-11.13,655,-13.10,80,9.03,"1,687",-1.12,899,-2.86,788,0.94,524,4.17,234,2.77,290,5.32,495,1.28,390,0.66,105,3.64,364,-1.33,160,3.68,205,-4.91,69,3.54,41,-1.96,29,12.55,268,5.42,152,19.01,116,-8.30,484,1.59,167,-1.23,317,3.15,247,2.02,72,-4.40,175,4.89,178,5.74,95,8.56,83,2.69,676,-0.31,360,0.17,316,-0.84,329,6.11,211,7.70,118,3.40
2001M09,"9,356",-1.57,"5,535",-2.35,"3,820",-0.42,716,-1.02,511,-1.56,205,0.36,10,-5.84,8,-8.38,2,8.44,"2,549",-4.77,"1,585",-3.34,963,-7.04,36,-1.62,31,-0.40,5,-8.02,729,-11.08,648,-12.20,81,-1.03,"1,663",-1.38,887,-2.67,776,0.13,518,3.25,226,1.17,291,4.93,498,0.52,393,0.52,105,0.50,365,-2.60,146,-0.82,219,-3.76,70,0.88,49,8.77,21,-13.71,267,7.50,150,10.35,117,4.05,494,5.03,166,-2.00,328,8.98,264,2.23,81,0.62,182,2.96,170,1.83,89,2.88,81,0.70,665,1.67,359,3.37,307,-0.25,342,9.40,205,6.22,137,14.55
2001M10,"9,362",-1.67,"5,524",-2.47,"3,838",-0.50,713,-0.81,509,-1.49,204,0.91,9,-18.41,7,-20.21,2,-8.40,"2,544",-5.43,"1,573",-4.90,971,-6.26,36,0.61,31,2.13,5,-8.00,721,-11.70,637,-11.68,84,-11.89,"1,647",-2.27,871,-3.96,776,-0.30,546,3.79,237,6.81,309,1.58,494,0.85,393,0.61,101,1.80,372,-0.67,156,-0.49,216,-0.79,65,-5.74,44,-4.24,20,-8.89,268,8.32,146,8.02,122,8.69,488,2.20,174,0.39,314,3.23,279,6.67,80,-3.34,198,11.34,167,-2.42,84,-9.61,84,6.01,670,5.16,366,10.96,304,-1.06,344,10.69,216,9.98,128,11.92
