期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
1987M02,328,8.66,288,9.03,40,6.13,"1,560",-3.02,"1,276",-2.82,284,-3.90,818,-11.42,245,-11.12,573,-11.55,"4,323",12.91,"2,519",11.71,"1,804",14.63,917,-0.10,613,-1.09,304,1.97
1987M03,340,7.08,306,7.34,35,4.84,"1,529",-2.68,"1,250",-3.69,279,2.16,791,-10.73,240,-7.20,551,-12.18,"4,277",10.69,"2,502",9.06,"1,775",13.08,928,4.73,615,2.43,312,9.58
1987M04,335,3.38,304,4.03,31,-2.51,"1,512",-1.27,"1,253",0.13,259,-7.58,751,-12.86,229,-12.43,521,-13.05,"4,328",8.88,"2,514",6.91,"1,814",11.72,918,5.14,605,1.10,313,13.93
1987M05,338,4.38,306,4.40,33,4.21,"1,538",-1.18,"1,269",-0.03,268,-6.28,750,-7.97,203,-15.80,547,-4.69,"4,375",7.97,"2,525",5.73,"1,850",11.18,897,2.98,591,-0.79,307,11.13
1987M06,349,5.23,311,5.98,37,-0.60,"1,547",-0.77,"1,248",-0.69,299,-1.11,805,-1.66,212,-7.73,594,0.70,"4,426",7.72,"2,564",6.90,"1,862",8.88,902,2.25,595,-0.12,308,7.17
1987M07,341,-1.16,302,-1.77,39,3.79,"1,547",-0.48,"1,248",-0.62,299,0.10,826,-4.29,242,-2.58,585,-4.99,"4,466",7.00,"2,596",7.73,"1,870",6.01,937,0.63,631,0.78,306,0.31
1987M08,363,1.21,321,-0.70,42,18.59,"1,551",-0.39,"1,260",-1.64,291,5.42,819,3.70,231,-0.86,589,5.60,"4,451",8.22,"2,531",7.60,"1,920",9.04,954,-0.38,640,-0.73,314,0.35
1987M09,353,2.26,314,3.21,40,-4.74,"1,525",-0.66,"1,241",-1.67,284,4.01,772,-2.01,205,-10.38,567,1.41,"4,464",8.55,"2,576",7.52,"1,888",10.00,950,0.40,633,-0.69,317,2.64
1987M10,332,5.14,292,4.42,40,10.69,"1,538",0.53,"1,246",-1.00,292,7.64,771,-4.70,209,-10.64,562,-2.28,"4,478",5.05,"2,619",5.24,"1,859",4.80,979,4.71,651,4.09,328,5.95
1987M11,347,1.68,307,1.98,40,-0.63,"1,524",-2.90,"1,253",-3.38,271,-0.63,806,-1.08,218,-2.40,588,-0.59,"4,479",6.22,"2,610",6.60,"1,869",5.70,940,1.57,626,0.11,314,4.60
1987M12,344,2.57,310,5.16,34,-16.29,"1,499",-4.95,"1,231",-5.17,268,-3.91,803,-0.52,223,1.04,579,-1.11,"4,541",5.53,"2,640",5.62,"1,902",5.41,935,-2.94,624,-4.53,311,0.43
1988M01,325,-1.15,291,0.68,34,-14.25,"1,486",-5.51,"1,215",-5.21,270,-6.82,774,-4.94,205,-8.57,569,-3.55,"4,606",5.46,"2,687",6.16,"1,919",4.49,954,-1.27,642,-0.96,312,-1.91
1988M02,332,1.23,297,3.06,36,-11.81,"1,531",-1.88,"1,261",-1.18,270,-5.01,753,-7.95,203,-17.05,550,-4.07,"4,488",3.83,"2,649",5.20,"1,839",1.92,921,0.47,617,0.76,304,-0.10
1988M03,348,2.30,312,2.14,36,3.73,"1,530",0.06,"1,266",1.32,263,-5.60,795,0.49,226,-5.70,569,3.18,"4,356",1.84,"2,585",3.32,"1,771",-0.25,920,-0.81,619,0.54,302,-3.46
1988M04,354,5.54,316,4.07,38,19.77,"1,520",0.52,"1,255",0.15,265,2.31,774,3.15,221,-3.49,553,6.06,"4,335",0.17,"2,559",1.78,"1,777",-2.06,952,3.68,639,5.60,313,-0.03
1988M05,357,5.39,321,5.06,36,8.42,"1,552",0.94,"1,273",0.32,279,3.89,747,-0.37,195,-4.00,552,0.98,"4,351",-0.55,"2,549",0.96,"1,802",-2.61,925,3.06,608,2.85,317,3.47
1988M06,373,6.99,324,3.99,49,32.01,"1,560",0.83,"1,259",0.86,301,0.74,763,-5.30,212,0.37,550,-7.32,"4,399",-0.60,"2,602",1.51,"1,797",-3.51,914,1.31,601,1.09,313,1.71
1988M07,386,13.07,337,11.36,49,26.33,"1,560",0.86,"1,264",1.32,296,-1.04,764,-7.49,224,-7.53,541,-7.47,"4,445",-0.48,"2,618",0.85,"1,826",-2.32,945,0.85,624,-1.09,320,4.86
1988M08,385,5.80,339,5.56,45,7.57,"1,572",1.34,"1,289",2.32,282,-2.89,807,-1.51,215,-6.67,592,0.52,"4,501",1.12,"2,604",2.89,"1,897",-1.20,925,-3.07,610,-4.71,315,0.28
1988M09,383,8.23,338,7.59,45,13.32,"1,506",-1.24,"1,250",0.72,256,-9.80,736,-4.66,185,-9.70,551,-2.83,"4,580",2.58,"2,668",3.55,"1,912",1.26,931,-2.03,609,-3.70,321,1.30
1988M10,380,14.21,335,14.86,44,9.50,"1,546",0.48,"1,272",2.08,274,-6.33,765,-0.83,185,-11.65,580,3.19,"4,610",2.96,"2,655",1.37,"1,955",5.20,961,-1.89,639,-1.93,322,-1.82
1988M11,393,13.17,344,11.92,49,22.79,"1,547",1.53,"1,263",0.76,284,5.08,812,0.71,202,-7.27,610,3.66,"4,627",3.30,"2,673",2.40,"1,954",4.55,957,1.84,631,0.74,327,4.03
1988M12,367,6.54,320,3.15,47,37.50,"1,499",0.01,"1,233",0.16,266,-0.70,778,-3.10,215,-3.64,562,-2.88,"4,677",2.98,"2,737",3.68,"1,940",2.00,952,1.82,631,1.15,321,3.15
1989M01,367,12.91,324,11.60,43,23.96,"1,515",1.98,"1,256",3.34,259,-4.15,777,0.37,223,8.57,554,-2.59,"4,655",1.05,"2,699",0.44,"1,956",1.91,979,2.62,654,1.91,325,4.08
1989M02,369,11.01,329,10.75,40,13.09,"1,556",1.62,"1,294",2.56,262,-2.81,744,-1.24,201,-1.02,542,-1.33,"4,602",2.53,"2,686",1.38,"1,916",4.20,945,2.64,626,1.47,319,5.03
1989M03,379,8.79,337,7.88,42,16.66,"1,541",0.75,"1,274",0.63,267,1.36,748,-5.82,211,-6.72,538,-5.46,"4,660",6.98,"2,728",5.51,"1,932",9.14,928,0.88,613,-0.94,316,4.59
1989M04,393,11.06,351,11.03,42,11.25,"1,526",0.41,"1,244",-0.88,282,6.52,742,-4.19,199,-9.77,542,-1.95,"4,637",6.95,"2,727",6.59,"1,910",7.47,932,-2.11,620,-2.87,311,-0.57
1989M05,381,6.93,344,7.29,37,3.65,"1,560",0.52,"1,262",-0.89,298,6.96,710,-4.98,179,-8.14,531,-3.86,"4,639",6.64,"2,723",6.84,"1,916",6.35,926,0.13,623,2.49,303,-4.37
1989M06,373,0.07,329,1.60,44,-10.00,"1,573",0.81,"1,283",1.89,290,-3.70,731,-4.15,202,-5.12,530,-3.77,"4,588",4.30,"2,690",3.37,"1,898",5.65,931,1.87,625,4.01,306,-2.23
1989M07,390,1.00,345,2.34,45,-8.21,"1,581",1.31,"1,298",2.65,283,-4.42,784,2.59,223,-0.35,561,3.81,"4,575",2.93,"2,674",2.10,"1,902",4.12,911,-3.57,602,-3.56,309,-3.58
1989M08,393,2.15,348,2.49,45,-0.39,"1,539",-2.07,"1,274",-1.16,265,-6.22,795,-1.52,219,1.97,575,-2.79,"4,694",4.28,"2,717",4.32,"1,977",4.24,934,1.04,612,0.43,322,2.22
1989M09,390,2.01,348,3.08,42,-6.01,"1,568",4.15,"1,297",3.73,272,6.23,781,6.15,218,17.98,563,2.19,"4,565",-0.31,"2,656",-0.44,"1,910",-0.12,952,2.24,615,1.00,336,4.60
1989M10,388,2.14,342,2.12,45,2.24,"1,581",2.27,"1,301",2.26,280,2.32,782,2.19,207,12.19,575,-0.99,"4,588",-0.47,"2,695",1.50,"1,894",-3.15,927,-3.53,602,-5.69,324,0.75
1989M11,381,-3.13,335,-2.54,46,-7.23,"1,565",1.14,"1,287",1.90,278,-2.25,778,-4.22,206,1.75,572,-6.19,"4,612",-0.31,"2,703",1.13,"1,909",-2.28,954,-0.34,622,-1.38,332,1.65
1989M12,363,-0.97,317,-0.92,46,-1.38,"1,520",1.39,"1,245",0.97,275,3.33,735,-5.52,193,-10.14,541,-3.75,"4,675",-0.03,"2,772",1.29,"1,903",-1.89,991,4.11,654,3.60,337,5.09
1990M01,378,2.91,327,0.87,51,18.47,"1,514",-0.05,"1,236",-1.58,278,7.39,703,-9.46,194,-13.04,509,-8.01,"4,626",-0.61,"2,745",1.72,"1,881",-3.83,987,0.79,649,-0.74,337,3.89
1990M02,383,3.90,336,2.20,48,17.75,"1,527",-1.84,"1,263",-2.41,265,0.99,688,-7.53,194,-3.76,494,-8.93,"4,582",-0.43,"2,721",1.29,"1,861",-2.86,986,4.26,641,2.40,344,7.91
1990M03,377,-0.46,335,-0.44,42,-0.62,"1,518",-1.52,"1,245",-2.30,273,2.20,685,-8.48,185,-12.17,500,-7.03,"4,652",-0.16,"2,739",0.41,"1,914",-0.97,965,3.96,628,2.48,337,6.83
1990M04,387,-1.44,348,-1.04,40,-4.77,"1,561",2.32,"1,266",1.76,295,4.77,731,-1.39,189,-5.41,543,0.09,"4,593",-0.95,"2,714",-0.48,"1,878",-1.63,937,0.57,605,-2.46,332,6.63
1990M05,402,5.43,358,3.95,44,19.30,"1,526",-2.19,"1,233",-2.34,294,-1.56,676,-4.80,162,-9.58,514,-3.19,"4,661",0.47,"2,759",1.32,"1,902",-0.74,930,0.45,609,-2.23,321,5.97
1990M06,410,9.81,360,9.45,50,12.54,"1,520",-3.34,"1,242",-3.20,278,-3.97,703,-3.89,170,-15.49,532,0.53,"4,660",1.55,"2,763",2.72,"1,896",-0.11,922,-1.01,604,-3.42,318,3.91
1990M07,420,7.78,375,8.78,45,0.16,"1,547",-2.16,"1,276",-1.71,271,-4.23,800,2.07,215,-3.42,585,4.24,"4,618",0.93,"2,736",2.35,"1,882",-1.05,916,0.53,590,-1.97,326,5.41
1990M08,385,-1.92,344,-0.97,41,-9.21,"1,539",-0.01,"1,260",-1.15,279,5.47,813,2.31,205,-6.38,607,5.62,"4,731",0.78,"2,762",1.67,"1,969",-0.44,967,3.51,623,1.84,344,6.68
1990M09,401,2.81,358,2.79,43,3.01,"1,576",0.49,"1,304",0.55,273,0.23,816,4.48,212,-2.63,604,7.23,"4,589",0.52,"2,679",0.86,"1,911",0.06,972,2.20,621,0.94,351,4.50
1990M10,425,9.62,379,10.56,46,2.47,"1,578",-0.20,"1,302",0.12,275,-1.69,773,-1.04,213,2.97,560,-2.48,"4,610",0.48,"2,711",0.62,"1,899",0.28,959,3.51,620,2.92,339,4.59
