期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1999M10,145,14.94,99,14.77,46,15.31,"2,072",2.10,"1,036",2.45,"1,035",1.75,"2,642",-0.76,6,-64.63,"2,636",-0.37,"1,722",2.50,975,2.09,746,3.03,477,10.77,412,8.79,65,25.25
1999M11,142,9.10,97,10.03,44,7.12,"2,093",2.13,"1,036",1.46,"1,056",2.78,"2,610",-0.72,9,-9.02,"2,601",-0.69,"1,727",2.97,966,2.31,760,3.82,471,12.46,400,8.07,70,46.26
1999M12,144,5.44,98,3.84,46,9.03,"2,109",2.51,"1,040",1.81,"1,069",3.20,"2,625",-0.41,7,-20.44,"2,618",-0.34,"1,729",2.82,964,0.90,765,5.35,451,9.30,397,8.89,54,12.46
2000M01,148,6.61,99,4.14,49,11.91,"2,123",2.77,"1,043",2.20,"1,080",3.32,"2,659",0.40,6,-28.85,"2,654",0.49,"1,726",2.56,962,0.92,764,4.69,435,8.76,391,10.15,44,-2.18
2000M02,154,4.45,110,3.08,44,8.03,"2,154",3.49,"1,058",2.58,"1,095",4.37,"2,707",1.84,7,-25.44,"2,699",1.94,"1,732",2.95,976,2.03,755,4.15,442,8.89,393,6.85,49,28.52
2000M03,148,-2.95,106,-0.03,42,-9.68,"2,167",1.88,"1,077",1.63,"1,090",2.12,"2,693",1.14,9,-10.35,"2,683",1.18,"1,736",2.85,983,1.36,753,4.87,449,6.52,390,7.89,59,-1.77
2000M04,146,0.02,104,1.64,42,-3.80,"2,179",1.82,"1,092",3.25,"1,087",0.43,"2,687",1.29,6,-28.16,"2,681",1.39,"1,743",3.07,987,2.02,756,4.46,445,4.40,387,6.58,59,-8.00
2000M05,138,2.92,100,6.62,38,-5.71,"2,187",1.99,"1,108",1.59,"1,079",2.40,"2,664",1.96,7,-10.96,"2,657",2.00,"1,756",3.26,986,0.53,770,6.99,452,4.46,392,7.26,61,-10.51
2000M06,139,4.92,98,12.19,40,-9.38,"2,166",2.05,"1,089",1.80,"1,076",2.31,"2,658",2.06,8,-24.19,"2,650",2.16,"1,766",3.50,996,1.87,770,5.69,461,5.12,402,9.72,58,-18.44
2000M07,143,3.87,96,6.24,47,-0.64,"2,100",2.70,"1,066",4.14,"1,034",1.26,"2,675",1.14,8,-37.20,"2,667",1.32,"1,777",4.30,"1,008",3.78,769,4.98,469,3.94,411,6.17,58,-9.58
2000M08,145,2.17,99,3.23,46,-0.03,"2,082",2.64,"1,058",4.94,"1,024",0.36,"2,665",0.52,8,-8.98,"2,657",0.55,"1,783",4.91,"1,003",4.46,780,5.48,476,4.22,415,5.65,61,-4.60
