期間,總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%)
1987M02,"19,476",1.01,"10,096",0.90,"9,380",1.13,"13,352",2.24,"6,697",2.32,"6,655",2.16,"8,139",3.79,"5,062",3.27,"3,077",4.66,"7,946",4.82,"4,940",4.52,"3,005",5.33,193,-26.11,121,-30.42,72,-17.51,68.55,-,66.33,-,70.95,-,41.79,-,50.13,-,32.80,-,60.95,-,75.58,-,46.24,-,40.80,-,48.93,-,32.04,-,59.51,-,73.77,-,45.16,-,97.63,-,97.61,-,97.66,-,2.37,-,2.39,-,2.34,-
1987M03,"19,497",0.99,"10,106",0.88,"9,391",1.11,"13,372",2.32,"6,708",2.41,"6,664",2.23,"8,028",3.72,"5,016",2.79,"3,012",5.30,"7,865",4.53,"4,912",3.73,"2,952",5.87,163,-24.52,103,-28.27,59,-16.98,68.58,-,66.37,-,70.96,-,41.17,-,49.63,-,32.07,-,60.04,-,74.78,-,45.20,-,40.34,-,48.61,-,31.44,-,58.82,-,73.24,-,44.30,-,97.97,-,97.94,-,98.03,-,2.03,-,2.06,-,1.97,-
1987M04,"19,514",0.99,"10,114",0.89,"9,399",1.10,"13,376",2.12,"6,709",2.21,"6,667",2.03,"7,981",3.02,"4,995",2.34,"2,986",4.18,"7,844",3.68,"4,905",3.16,"2,939",4.56,137,-24.40,90,-28.44,47,-15.22,68.55,-,66.33,-,70.93,-,40.90,-,49.39,-,31.77,-,59.67,-,74.46,-,44.78,-,40.20,-,48.50,-,31.26,-,58.64,-,73.11,-,44.08,-,98.28,-,98.19,-,98.42,-,1.72,-,1.81,-,1.58,-
1987M05,"19,529",0.98,"10,121",0.88,"9,408",1.09,"13,393",2.05,"6,715",2.12,"6,678",1.98,"8,055",3.26,"4,997",1.84,"3,058",5.66,"7,898",3.67,"4,893",2.23,"3,005",6.12,156,-14.13,104,-13.56,53,-15.22,68.58,-,66.35,-,70.98,-,41.24,-,49.37,-,32.50,-,60.14,-,74.41,-,45.79,-,40.44,-,48.34,-,31.94,-,58.97,-,72.87,-,45.00,-,98.06,-,97.93,-,98.27,-,1.94,-,2.07,-,1.73,-
1987M06,"19,542",1.00,"10,127",0.89,"9,415",1.12,"13,409",2.04,"6,722",2.10,"6,687",1.98,"8,173",3.25,"5,016",2.16,"3,156",5.02,"8,030",4.27,"4,930",3.26,"3,100",5.91,143,-33.36,87,-36.44,57,-28.01,68.61,-,66.38,-,71.02,-,41.82,-,49.54,-,33.52,-,60.95,-,74.62,-,47.20,-,41.09,-,48.68,-,32.92,-,59.88,-,73.33,-,46.36,-,98.25,-,98.27,-,98.21,-,1.75,-,1.73,-,1.79,-
1987M07,"19,564",1.01,"10,137",0.90,"9,426",1.13,"13,432",2.02,"6,731",2.03,"6,701",2.01,"8,285",2.21,"5,119",2.45,"3,166",1.82,"8,118",3.17,"5,020",3.54,"3,098",2.58,167,-29.66,99,-33.15,68,-23.87,68.66,-,66.40,-,71.09,-,42.35,-,50.49,-,33.59,-,61.68,-,76.05,-,47.24,-,41.49,-,49.52,-,32.86,-,60.43,-,74.58,-,46.23,-,97.98,-,98.07,-,97.85,-,2.02,-,1.93,-,2.15,-
1987M08,"19,583",1.02,"10,146",0.92,"9,436",1.14,"13,455",1.97,"6,741",1.95,"6,714",1.98,"8,311",3.55,"5,085",1.99,"3,226",6.09,"8,139",4.65,"4,983",3.07,"3,156",7.24,172,-30.91,102,-32.67,71,-28.21,68.71,-,66.44,-,71.15,-,42.44,-,50.11,-,34.19,-,61.77,-,75.43,-,48.05,-,41.56,-,49.11,-,33.44,-,60.49,-,73.92,-,47.00,-,97.92,-,98.00,-,97.81,-,2.08,-,2.00,-,2.19,-
1987M09,"19,605",1.04,"10,157",0.93,"9,448",1.16,"13,479",1.98,"6,752",1.94,"6,727",2.03,"8,235",3.42,"5,066",1.88,"3,169",5.98,"8,065",4.37,"4,969",2.92,"3,096",6.78,170,-27.73,97,-32.81,73,-19.68,68.75,-,66.48,-,71.19,-,42.00,-,49.87,-,33.54,-,61.10,-,75.02,-,47.12,-,41.14,-,48.92,-,32.77,-,59.83,-,73.59,-,46.03,-,97.93,-,98.08,-,97.69,-,2.07,-,1.92,-,2.31,-
1987M10,"19,625",1.03,"10,167",0.93,"9,457",1.14,"13,506",1.97,"6,765",1.90,"6,741",2.04,"8,265",2.50,"5,116",1.91,"3,149",3.47,"8,098",3.13,"5,017",2.68,"3,081",3.88,166,-21.05,99,-26.23,68,-12.03,68.82,-,66.54,-,71.28,-,42.12,-,50.32,-,33.30,-,61.20,-,75.62,-,46.72,-,41.27,-,49.35,-,32.58,-,59.96,-,74.16,-,45.71,-,97.99,-,98.07,-,97.85,-,2.01,-,1.93,-,2.15,-
1987M11,"19,640",1.00,"10,174",0.89,"9,466",1.11,"13,524",1.90,"6,773",1.80,"6,751",2.00,"8,249",2.41,"5,105",1.81,"3,144",3.39,"8,096",2.90,"5,014",2.43,"3,082",3.67,153,-18.33,91,-23.78,62,-8.79,68.86,-,66.58,-,71.32,-,42.00,-,50.18,-,33.22,-,61.00,-,75.37,-,46.57,-,41.22,-,49.29,-,32.56,-,59.86,-,74.03,-,45.65,-,98.14,-,98.22,-,98.02,-,1.86,-,1.78,-,1.98,-
