期間,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上
2005M04,57.63,33.90,62.67,50.83,68.94,76.88,58.55,67.78,48.40,76.14,59.94,78.84,82.25,60.20,47.65,23.97,44.62,40.26,59.93,71.41,56.61,4.04,2.74,4.90,5.02,4.30,3.58,3.77,4.34,3.50,5.77,5.43,4.40,3.98,2.94,3.62,1.69,2.90,4.32,4.17,3.11,4.82
2005M05,57.72,34.06,62.11,50.38,69.08,77.37,59.05,67.72,47.40,75.37,58.76,79.72,83.27,60.42,47.91,24.92,44.34,40.63,59.45,71.35,57.44,4.10,2.76,5.15,4.37,4.27,3.86,3.99,4.28,3.34,5.67,4.29,4.59,4.16,2.98,3.86,2.02,3.97,4.51,3.88,3.50,5.23
2005M06,57.75,33.91,62.58,49.76,69.24,77.43,58.98,67.61,47.63,75.36,57.81,79.69,83.50,60.37,48.06,24.45,45.29,40.40,59.88,71.29,57.36,4.22,2.62,4.94,3.91,4.64,4.00,4.47,4.33,3.17,5.40,3.81,4.45,4.38,4.04,4.08,1.89,3.90,4.07,4.87,3.56,5.01
2005M07,57.87,33.58,62.16,49.65,69.45,77.71,59.95,67.66,47.34,74.70,58.29,80.25,82.40,61.25,48.26,24.13,45.27,39.63,59.71,72.96,58.41,4.32,2.44,4.68,3.70,4.79,4.20,5.07,4.42,2.91,5.34,4.03,4.78,4.30,4.32,4.18,1.79,3.21,3.14,4.80,4.08,5.99
2005M08,58.02,33.34,64.70,50.31,69.68,76.98,58.74,67.70,46.83,77.67,59.07,79.88,83.06,59.27,48.52,24.06,47.35,40.14,60.44,70.82,58.12,4.36,2.26,4.81,4.19,4.74,4.09,5.20,4.40,3.16,5.08,4.29,4.90,3.93,4.34,4.30,1.07,4.23,4.03,4.54,4.29,6.23
2005M09,57.70,33.14,66.43,49.88,68.93,76.44,57.49,67.47,46.36,79.45,58.73,79.10,83.13,58.43,48.13,24.04,48.90,39.63,59.69,69.71,56.39,4.14,2.14,4.26,4.69,4.76,3.57,4.80,4.09,2.52,4.35,4.40,5.06,3.12,4.22,4.21,1.64,4.06,5.18,4.38,4.10,5.50
2005M10,57.84,32.90,66.04,50.16,68.97,76.82,58.21,67.45,44.86,79.50,59.10,79.60,82.34,59.42,48.41,24.66,47.99,39.81,59.36,71.27,56.78,4.07,2.38,4.28,4.87,4.61,3.84,4.07,4.07,2.78,4.02,4.68,5.13,3.53,3.59,4.07,1.88,4.85,5.18,3.98,4.20,4.66
2005M11,57.88,32.85,65.04,50.54,69.15,76.77,58.69,67.43,45.39,78.40,58.94,79.54,81.64,60.15,48.52,24.18,46.93,40.89,59.82,71.87,57.00,3.94,2.31,4.08,4.67,4.49,3.73,3.96,4.07,2.81,4.05,4.14,5.07,3.75,3.73,3.77,1.66,4.17,5.55,3.78,3.70,4.24
2005M12,57.85,32.83,64.76,49.99,69.16,76.71,58.95,67.44,46.15,77.83,58.41,78.83,81.30,61.14,48.44,23.65,47.20,40.28,60.42,72.10,56.41,3.86,2.62,4.38,4.27,4.18,3.37,4.04,4.13,2.96,5.24,3.72,4.79,3.13,3.93,3.49,2.17,2.46,5.18,3.47,3.64,4.17
2006M01,57.76,32.50,64.28,48.99,69.23,76.81,59.55,67.45,46.40,77.06,58.14,79.21,81.44,61.19,48.26,22.90,47.24,38.37,60.22,72.17,57.64,3.80,2.69,4.06,4.16,4.05,3.39,4.17,4.04,3.38,4.83,4.49,4.24,3.02,4.05,3.48,1.73,2.39,3.59,3.82,3.81,4.32
2006M02,57.60,32.11,63.08,48.82,69.50,76.85,59.65,67.41,46.24,76.34,56.87,79.78,82.24,61.06,47.98,22.33,45.18,39.57,60.20,71.46,58.04,3.92,2.89,3.77,4.34,4.36,3.44,4.30,4.20,4.01,4.16,4.62,4.32,3.62,4.48,3.53,1.29,2.88,3.88,4.40,3.23,4.08
2006M03,57.65,31.99,62.14,49.53,69.59,77.10,60.06,67.32,45.05,75.65,57.49,78.70,83.78,61.96,48.18,22.97,43.99,40.40,61.33,70.44,57.87,3.87,2.50,3.90,4.32,4.48,3.30,4.16,4.09,3.15,3.85,4.94,4.28,3.67,4.63,3.58,1.62,4.03,3.31,4.71,2.86,3.58
2006M04,57.65,32.14,61.56,49.72,69.43,77.51,60.04,67.35,45.44,74.40,58.82,78.76,83.85,61.91,48.14,22.98,44.27,39.30,61.00,71.19,57.87,3.78,2.42,4.26,3.99,4.30,3.43,3.72,4.02,2.97,4.57,4.87,3.90,3.86,4.03,3.45,1.68,3.57,2.48,4.76,2.91,3.34
2006M05,57.72,31.99,60.70,50.16,69.71,77.94,60.32,67.36,44.72,73.27,58.90,80.15,83.78,62.00,48.26,23.23,44.01,40.15,60.30,72.07,58.37,3.84,2.05,4.26,3.97,4.36,3.55,4.07,4.10,2.14,4.68,4.12,4.72,3.81,4.15,3.48,1.94,3.32,3.73,3.93,3.25,3.96
2006M06,57.79,31.93,61.20,49.64,69.60,78.23,60.53,67.25,44.29,73.74,57.70,80.26,84.18,61.78,48.52,23.40,44.47,40.36,59.97,72.29,59.10,3.98,2.19,3.90,4.01,4.52,3.80,4.54,4.13,2.70,4.28,4.11,4.94,3.55,4.28,3.78,1.52,3.07,3.84,4.01,4.09,4.86
2006M07,58.12,31.97,60.96,49.93,69.80,78.69,61.59,67.35,44.52,72.92,58.03,79.86,85.11,62.38,49.07,23.36,45.05,40.56,60.72,72.24,60.69,4.05,2.16,3.28,4.40,4.70,3.84,4.91,4.13,2.82,3.73,4.41,5.31,3.58,4.05,3.94,1.29,2.31,4.39,3.97,4.16,5.91
2006M08,58.29,31.87,63.23,49.87,70.13,78.31,60.63,67.37,44.12,76.21,58.20,79.47,84.49,61.19,49.38,23.45,46.11,40.27,61.67,72.09,59.99,4.09,2.00,3.11,4.66,4.83,3.74,5.10,4.10,2.47,3.66,4.63,5.21,3.46,4.27,4.08,1.39,1.90,4.70,4.38,4.07,6.09
