期間,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上
1996M03,58.20,18.14,60.71,79.39,78.55,78.44,77.46,74.71,64.34,55.63,39.58,8.89,71.00,19.08,62.56,92.48,95.99,96.58,96.18,94.41,88.80,81.02,57.07,13.11,45.40,17.18,59.37,66.40,60.74,60.10,58.40,54.46,39.75,30.88,21.12,3.78,2.24,4.83,7.00,3.34,1.88,1.26,1.12,1.25,0.49,0.61,0.38,0.00,2.48,4.66,8.93,3.98,2.37,1.54,1.46,1.69,0.59,0.81,0.41,0.00,1.87,5.01,5.53,2.46,1.09,0.81,0.53,0.48,0.27,0.08,0.27,0.00
1996M04,58.07,16.39,60.02,79.76,78.84,78.62,78.19,73.43,64.96,56.11,39.50,9.14,70.66,16.76,61.37,92.88,96.49,97.16,95.68,93.51,88.24,80.42,57.81,13.33,45.49,16.01,59.05,66.74,60.82,59.87,60.40,52.84,41.58,32.35,20.26,4.07,2.21,5.48,5.66,3.40,1.67,1.50,1.39,1.63,0.62,0.83,0.14,0.00,2.44,5.06,7.98,3.45,1.96,1.66,1.91,2.31,0.91,1.18,0.18,0.00,1.86,5.92,3.93,3.32,1.20,1.24,0.55,0.39,0.00,0.00,0.00,0.00
1996M05,58.28,15.72,59.30,79.19,78.87,79.90,78.70,75.19,67.42,54.93,40.75,8.80,70.29,15.74,59.75,92.29,96.31,96.74,95.37,94.39,89.06,79.53,58.62,12.90,46.28,15.70,58.98,66.17,61.06,62.86,61.75,55.51,45.73,30.93,22.14,3.84,2.35,4.90,6.15,3.60,2.10,1.55,1.46,1.13,1.26,0.68,0.92,0.15,2.51,4.92,8.07,3.80,2.17,1.66,1.97,1.31,1.84,0.95,1.10,0.18,2.11,4.88,4.74,3.32,1.99,1.38,0.66,0.81,0.13,0.00,0.45,0.00
1996M06,58.11,15.55,59.15,78.96,78.52,80.59,78.32,74.52,66.18,55.37,39.99,8.66,70.34,15.62,59.29,92.36,96.18,97.15,95.94,94.58,88.98,79.95,56.97,12.74,45.90,15.48,59.04,65.69,60.57,63.76,60.34,53.99,43.19,31.44,22.32,3.74,2.60,7.41,7.18,3.43,2.16,1.68,1.71,1.43,1.38,0.55,0.62,0.29,2.77,8.25,8.21,3.81,2.41,1.83,2.29,1.87,2.04,0.70,0.55,0.36,2.34,6.55,6.42,2.89,1.75,1.45,0.79,0.64,0.00,0.18,0.80,0.00
1996M07,58.35,19.21,62.16,79.19,78.53,78.13,77.36,72.93,63.86,56.52,40.82,8.76,70.98,19.08,62.59,92.50,96.35,96.25,96.31,94.42,88.03,79.24,59.64,12.35,45.74,19.34,61.85,66.01,60.39,59.74,58.04,50.92,39.53,34.32,21.27,4.44,2.97,9.56,8.60,3.85,2.36,1.55,1.40,1.53,1.15,1.18,0.97,0.11,2.93,8.37,8.37,4.30,2.71,1.83,1.64,2.01,1.60,1.62,1.31,0.14,3.03,10.76,8.77,3.23,1.80,1.08,1.00,0.64,0.14,0.19,0.00,0.00
1996M08,58.23,20.40,62.28,78.64,77.83,77.71,77.19,72.39,64.57,54.35,41.14,9.10,71.12,20.36,62.50,92.28,96.50,96.53,96.16,93.48,88.99,78.23,59.46,12.80,45.37,20.44,62.12,65.09,58.83,58.65,57.85,50.86,40.05,30.97,22.18,4.63,3.19,11.41,7.98,4.33,2.73,1.66,1.76,1.32,1.31,1.47,0.73,0.00,3.14,8.10,7.87,4.97,3.19,2.05,2.09,1.66,1.70,1.89,0.99,0.00,3.28,14.75,8.07,3.43,1.97,1.00,1.21,0.68,0.46,0.45,0.00,0.00
1996M09,58.52,20.82,63.26,78.96,77.22,77.68,78.27,74.66,65.67,52.80,38.87,9.25,71.58,21.30,63.13,93.41,96.33,96.95,96.17,95.00,89.61,78.55,56.87,13.42,45.50,20.34,63.36,64.62,57.75,58.16,59.99,53.94,41.59,27.72,20.29,4.21,3.03,8.84,7.78,4.63,2.22,1.81,1.69,1.27,1.66,1.00,0.42,0.00,3.03,7.26,8.04,5.05,2.38,2.19,2.38,1.51,2.17,1.26,0.43,0.00,3.03,10.51,7.58,4.02,1.93,1.17,0.55,0.84,0.57,0.30,0.41,0.00
1996M10,58.47,20.36,63.13,79.98,78.02,77.35,78.16,74.74,64.51,52.93,38.32,8.50,71.40,21.84,64.02,92.83,96.16,96.68,95.75,95.38,87.53,78.69,56.84,12.52,45.58,18.87,62.48,67.22,59.53,57.76,60.18,53.69,41.30,27.90,19.30,3.66,3.05,8.82,8.07,3.77,2.60,1.84,1.48,1.60,1.97,1.50,0.50,0.44,3.09,7.56,8.74,3.96,3.00,2.12,2.08,1.90,2.32,1.87,0.52,0.55,2.98,10.28,7.57,3.52,1.95,1.36,0.50,1.05,1.24,0.49,0.45,0.00
1996M11,58.70,18.90,62.08,80.89,78.13,78.95,77.72,74.58,65.63,54.46,39.87,9.11,71.31,19.88,63.99,92.68,95.83,96.82,96.16,94.69,87.22,79.96,57.86,13.45,46.14,17.91,60.69,69.20,60.09,60.87,58.88,54.04,43.79,29.73,21.49,3.88,2.86,9.54,6.57,3.85,2.05,2.09,1.66,1.48,1.45,1.56,1.27,0.35,3.02,9.09,6.59,3.99,2.53,2.56,2.31,2.03,1.73,2.15,1.49,0.33,2.61,10.05,6.55,3.65,1.27,1.33,0.58,0.49,0.89,0.00,0.66,0.45
1996M12,58.81,18.93,62.54,80.35,78.32,78.85,78.58,74.34,66.12,55.57,38.98,8.99,71.18,19.17,63.90,92.52,95.78,96.65,96.11,93.95,88.12,81.28,57.16,13.23,46.49,18.69,61.55,68.28,60.53,60.87,60.68,54.34,43.91,30.55,20.45,3.89,2.60,8.07,5.48,3.53,1.97,1.90,1.99,1.29,1.38,1.42,0.99,0.00,2.81,7.87,5.75,3.97,2.06,2.50,2.61,1.73,1.88,1.94,1.21,0.00,2.28,8.27,5.28,2.94,1.82,0.93,0.98,0.53,0.38,0.08,0.35,0.00
