期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
2005M04,417,-6.06,62,-7.16,355,-5.87,137,-20.40,130,-0.78,13,45.46,56,16.69,3,3.65,3,-3.23,3,-10.31,10,26.67
2005M05,424,-5.75,66,-7.63,358,-5.39,134,-20.27,137,5.71,10,-5.92,56,10.61,5,-3.82,3,64.22,4,130.88,8,-19.98
2005M06,437,-6.24,82,-2.75,355,-7.00,132,-19.52,137,4.01,12,-7.73,54,4.36,5,7.40,4,108.26,3,116.96,8,-40.83
2005M07,449,-5.67,106,-0.91,343,-7.05,128,-14.01,138,2.21,11,-22.31,52,4.69,3,1.08,3,35.00,3,-6.79,6,-57.29
2005M08,454,-5.62,107,-1.93,348,-6.69,130,-10.74,144,2.45,9,-23.10,51,-5.54,4,78.29,2,-7.64,2,-48.87,6,-53.57
2005M09,430,-6.73,103,-0.91,327,-8.42,129,-9.32,139,1.33,7,-31.33,42,-17.95,2,-6.74,2,12.88,2,24.82,5,-58.00
2005M10,424,-4.37,91,-8.22,333,-3.27,126,-11.19,144,11.50,9,-21.19,40,-16.86,3,5.12,3,72.36,2,602.46,7,-30.88
2005M11,411,-3.47,79,-5.12,333,-3.07,122,-13.06,145,8.39,11,17.50,39,-14.19,4,47.37,3,0.32,1,51.55,8,-3.98
2005M12,403,-4.41,76,0.58,328,-5.49,118,-12.44,145,3.22,10,-20.18,38,-15.95,5,128.98,4,70.79,1,-69.07,9,5.88
2006M01,397,-5.18,74,1.53,323,-6.59,112,-14.93,142,2.52,11,-12.22,38,-22.51,5,134.21,4,221.76,2,-50.02,10,32.81
2006M02,408,-7.57,76,5.10,332,-10.05,116,-16.07,144,-0.88,9,-28.31,47,-16.64,4,30.34,2,34.00,1,-78.13,10,16.59
2006M03,404,-5.57,72,2.68,332,-7.18,121,-13.56,142,5.45,8,-40.78,46,-16.34,5,141.96,2,-9.76,1,-72.66,8,-1.42
2006M04,395,-5.30,69,10.74,326,-8.11,121,-11.69,138,6.46,7,-49.57,44,-20.98,4,30.70,3,16.92,1,-69.63,8,-23.87
2006M05,402,-5.29,72,8.59,330,-7.86,119,-11.09,141,2.77,9,-13.73,42,-25.47,4,-17.48,4,20.12,3,-27.98,8,-0.39
2006M06,418,-4.38,84,2.88,334,-6.06,117,-11.76,143,4.62,8,-30.54,46,-14.89,3,-34.23,3,-16.50,3,-16.31,10,31.23
2006M07,428,-4.69,101,-4.72,327,-4.68,114,-11.11,137,-0.75,9,-15.14,49,-6.32,2,-35.57,4,34.69,3,14.76,10,63.76
2006M08,434,-4.55,102,-4.62,332,-4.53,116,-10.79,140,-3.31,10,5.88,48,-6.31,3,-25.66,4,152.52,3,49.65,9,57.32
2006M09,419,-2.62,99,-3.38,319,-2.39,116,-10.26,138,-0.48,9,24.21,41,-1.55,4,95.01,3,35.73,1,-67.93,9,76.80
2006M10,413,-2.63,86,-5.44,327,-1.86,118,-6.44,143,-0.74,10,14.74,39,-2.31,2,-33.65,4,16.06,2,5.31,10,43.63
2006M11,410,-0.41,75,-4.84,335,0.64,119,-2.27,148,2.10,9,-18.51,41,5.65,3,-31.12,4,28.72,3,148.98,9,4.82
2006M12,405,0.54,74,-2.48,332,1.24,120,2.27,141,-2.48,10,6.91,43,13.55,4,-20.14,3,-27.22,3,237.41,8,-10.42
2007M01,403,1.66,71,-3.25,332,2.78,122,9.21,139,-2.57,12,14.06,41,7.84,5,-2.82,4,12.39,2,-5.84,7,-24.07
