期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2008M02,"9,766",0.95,"3,479",0.67,"6,287",1.11,"35,067",0.84,"12,675",-1.12,"22,392",1.98,"47,626",-2.80,"17,960",-4.26,"29,666",-1.90,"1,099",7.75,82,90.70,"1,017",4.09
2008M03,"9,772",1.43,"3,441",-1.04,"6,331",2.83,"35,176",1.73,"12,531",-2.94,"22,645",4.51,"47,952",-1.73,"17,952",-4.56,"30,000",0.05,"1,078",6.94,65,47.73,"1,013",5.08
2008M04,"9,778",1.13,"3,482",0.49,"6,296",1.48,"35,123",1.52,"12,721",-0.51,"22,402",2.70,"48,186",-1.47,"18,404",-1.41,"29,782",-1.50,"1,045",3.67,51,13.33,994,3.22
2008M05,"9,832",2.24,"3,482",0.37,"6,350",3.29,"35,279",2.34,"12,769",-0.11,"22,510",3.78,"48,598",-1.79,"18,678",-1.26,"29,920",-2.12,"1,067",5.85,54,-6.90,"1,013",6.63
2008M06,"9,892",2.56,"3,484",0.29,"6,408",3.84,"35,445",2.71,"12,815",0.57,"22,630",3.96,"48,882",1.53,"18,764",1.47,"30,118",1.56,"1,087",3.03,42,-26.32,"1,045",4.71
2008M07,"9,915",3.29,"3,493",2.22,"6,422",3.88,"35,537",3.30,"12,836",2.76,"22,701",3.61,"49,261",4.53,"18,971",5.66,"30,290",3.83,"1,060",-2.84,41,-39.71,"1,019",-0.39
2008M08,"9,837",2.33,"3,433",1.93,"6,404",2.55,"35,317",2.50,"12,603",2.74,"22,714",2.38,"49,082",4.13,"18,848",5.79,"30,234",3.12,"1,045",-5.09,48,-30.43,997,-3.39
2008M09,"9,833",1.65,"3,381",-1.91,"6,452",3.63,"35,368",1.71,"12,386",-1.28,"22,982",3.40,"48,963",3.33,"18,704",3.65,"30,259",3.14,"1,085",-1.36,56,-25.33,"1,029",0.39
2008M10,"9,844",0.92,"3,421",-1.81,"6,423",2.44,"35,437",1.13,"12,532",-1.14,"22,905",2.42,"48,680",1.97,"18,589",2.04,"30,091",1.93,"1,092",-1.00,55,-17.91,"1,037",0.10
2008M11,"9,952",1.85,"3,499",0.32,"6,453",2.71,"35,790",1.84,"12,855",0.75,"22,935",2.47,"49,452",3.13,"19,146",4.52,"30,306",2.28,"1,076",-2.36,56,-24.32,"1,020",-0.78
2008M12,"9,962",1.65,"3,509",0.66,"6,453",2.20,"35,825",1.45,"12,923",0.89,"22,902",1.77,"49,404",2.08,"19,268",4.70,"30,136",0.48,"1,071",1.13,48,-21.31,"1,023",2.51
2009M01,"9,977",0.00,"3,539",0.00,"6,438",0.00,"35,836",0.00,"13,126",0.00,"22,710",0.00,"49,816",0.00,"19,884",0.00,"29,932",0.00,"1,025",0.00,38,0.00,987,0.00
2009M02,"9,757",-0.09,"3,527",1.38,"6,230",-0.91,"34,972",-0.27,"13,140",3.67,"21,832",-2.50,"49,164",3.23,"20,522",14.27,"28,642",-3.45,"1,039",-5.46,70,-14.63,969,-4.72
2009M03,"9,696",-0.78,"3,575",3.89,"6,121",-3.32,"34,863",-0.89,"13,395",6.89,"21,468",-5.20,"49,099",2.39,"20,897",16.40,"28,202",-5.99,992,-7.98,71,9.23,921,-9.08
2009M04,"9,641",-1.40,"3,594",3.22,"6,047",-3.95,"34,862",-0.74,"13,580",6.75,"21,282",-5.00,"50,347",4.48,"21,792",18.41,"28,555",-4.12,921,-11.87,58,13.73,863,-13.18
2009M05,"9,642",-1.93,"3,602",3.45,"6,040",-4.88,"34,917",-1.03,"13,660",6.98,"21,257",-5.57,"50,612",4.14,"22,117",18.41,"28,495",-4.76,899,-15.75,52,-3.70,847,-16.39
2009M06,"9,659",-2.36,"3,606",3.50,"6,053",-5.54,"35,033",-1.16,"13,703",6.93,"21,330",-5.74,"50,975",4.28,"22,408",19.42,"28,567",-5.15,884,-18.68,44,4.76,840,-19.62
2009M07,"9,553",-3.65,"3,508",0.43,"6,045",-5.87,"34,540",-2.81,"13,248",3.21,"21,292",-6.21,"50,308",2.13,"21,906",15.47,"28,402",-6.23,876,-17.36,36,-12.20,840,-17.57
