期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2004M03,"380,675",4.20,"354,932",4.70,93.24,-,"5,286,490",8.37,"7,257,746",3.90,4,-66.67,291,-75.32,"19,510",-62.83,"1,730,016",18.71,"5,527,729",0.00
2004M04,"382,171",4.38,"356,420",5.15,93.26,-,"5,322,620",8.37,"7,527,057",7.05,7,-50.00,258,-76.26,"20,153",-75.80,"1,750,169",13.60,"5,776,888",5.22
2004M05,"383,478",4.41,"357,665",4.78,93.27,-,"5,357,775",8.35,"7,565,399",6.86,4,-71.43,70,-85.69,"6,755",-76.29,"1,756,925",11.97,"5,808,474",5.41
2004M06,"384,525",4.46,"358,181",4.72,93.15,-,"5,393,280",8.33,"7,604,908",6.82,5,0.00,318,16.48,"23,390",8.48,"1,780,315",11.92,"5,824,593",5.35
2004M07,"386,062",4.58,"359,578",4.94,93.14,-,"5,429,150",8.32,"7,643,785",6.71,2,-80.00,115,-57.41,"10,285",-60.85,"1,790,600",10.74,"5,853,185",5.54
2004M08,"387,338",4.67,"360,847",4.78,93.16,-,"5,465,163",8.31,"7,682,484",6.74,3,-40.00,57,-60.14,"2,846",-81.86,"1,793,446",9.85,"5,889,038",5.82
2004M09,"388,646",4.77,"363,575",5.30,93.55,-,"5,501,280",8.30,"7,721,081",6.64,4,0.00,194,-28.15,"19,030",54.26,"1,812,476",10.18,"5,908,606",5.60
2004M10,"390,272",4.88,"365,389",5.39,93.62,-,"5,537,646",8.29,"7,761,740",6.69,6,200.00,164,72.63,"11,925",28.85,"1,824,401",10.28,"5,937,339",5.64
2004M11,"390,163",4.31,"365,694",5.62,93.73,-,"5,573,893",8.28,"7,791,518",6.56,8,60.00,97,-77.01,"8,341",-72.64,"1,832,742",8.78,"5,958,776",5.90
2004M12,"390,896",3.65,"360,640",2.94,92.26,-,"5,609,767",8.24,"7,833,941",6.59,4,100.00,50,-89.88,"3,104",-83.65,"1,835,846",7.75,"5,998,095",6.24
2005M01,"391,888",3.73,"367,899",4.38,93.88,-,"5,646,436",17.39,"7,865,540",6.49,5,400.00,131,445.83,"13,444","1,100.36","1,849,291",8.47,"6,016,249",5.89
2005M02,"392,846",3.58,"367,850",3.77,93.64,-,"5,682,422",8.20,"7,879,330",6.14,3,-40.00,67,-59.39,"1,941",-65.66,"1,851,231",8.23,"6,028,099",5.51
2005M03,"393,327",3.32,"368,080",3.70,93.58,-,"5,718,875",8.18,"7,948,693",9.52,6,50.00,353,21.31,"19,384",-0.65,"1,870,615",8.13,"6,078,077",9.96
2005M04,"394,342",3.18,"368,805",3.47,93.52,-,"5,757,664",8.17,"7,995,215",6.22,3,-57.14,234,-9.30,"9,174",-54.48,"1,879,789",7.41,"6,115,426",5.86
2005M05,"394,754",2.94,"369,188",3.22,93.52,-,"5,793,873",8.14,"8,039,794",6.27,3,-25.00,28,-60.00,"1,950",-71.13,"1,881,740",7.10,"6,158,054",6.02
2005M06,"392,745",2.14,"367,438",2.58,93.56,-,"5,830,859",8.11,"8,084,049",6.30,3,-40.00,42,-86.79,"3,629",-84.48,"1,885,369",5.90,"6,198,680",6.42
2005M07,"399,508",3.48,"374,529",4.16,93.75,-,"5,867,998",8.08,"8,131,604",6.38,5,150.00,592,414.78,"31,580",207.05,"1,916,949",7.06,"6,214,655",6.18
2005M08,"406,721",5.00,"380,725",5.51,93.61,-,"5,905,568",8.06,"8,177,591",6.44,4,33.33,161,182.46,"27,122",852.99,"1,944,070",8.40,"6,233,520",5.85
2005M09,"409,719",5.42,"384,144",5.66,93.76,-,"5,943,417",8.04,"8,219,250",6.45,7,75.00,836,330.93,"79,019",315.23,"2,023,090",11.62,"6,196,161",4.87
2005M10,"412,212",5.62,"386,036",5.65,93.65,-,"5,981,442",8.01,"8,297,734",6.91,4,-33.33,50,-69.51,"1,829",-84.66,"2,024,919",10.99,"6,272,815",5.65
2005M11,"414,417",6.22,"388,407",6.21,93.72,-,"6,019,490",7.99,"8,289,312",6.39,3,-62.50,45,-53.61,"4,893",-41.34,"2,029,812",10.75,"6,259,500",5.05
2005M12,"415,701",6.35,"387,234",7.37,93.15,-,"6,057,679",7.98,"8,365,261",6.78,3,-25.00,156,212.00,"21,099",579.74,"2,050,911",11.71,"6,314,350",5.27
2006M01,"417,342",6.50,"391,207",6.34,93.74,-,"6,095,955",7.96,"8,413,596",6.97,9,80.00,616,370.23,"34,371",155.66,"2,085,373",12.77,"6,328,223",5.19
2006M02,"418,621",6.56,"391,062",6.31,93.42,-,"6,134,062",7.95,"8,459,827",7.37,4,33.33,161,140.30,"10,478",439.82,"2,095,850",13.21,"6,363,977",5.57
2006M03,"420,158",6.82,"392,934",6.75,93.52,-,"6,174,537",7.97,"8,506,961",7.02,5,-16.67,907,156.94,"133,426",588.33,"2,229,276",19.17,"6,277,685",3.28
2006M04,"421,817",6.97,"395,296",7.18,93.71,-,"6,213,073",7.91,"8,545,482",6.88,5,66.67,108,-53.85,"6,584",-28.23,"2,235,769",18.94,"6,309,713",3.18
2006M05,"422,424",7.01,"394,558",6.87,93.40,-,"6,251,605",7.90,"8,598,218",6.95,7,133.33,136,385.71,"8,142",317.54,"2,243,912",19.25,"6,354,306",3.19
2006M06,"422,447",7.56,"395,890",7.74,93.71,-,"6,290,372",7.88,"8,661,252",7.14,11,266.67,224,433.33,"8,285",128.30,"2,252,196",19.46,"6,409,056",3.39
2006M07,"423,022",5.89,"395,702",5.65,93.54,-,"6,329,615",7.87,"8,708,716",7.10,7,40.00,479,-19.09,"18,426",-41.65,"2,270,622",18.45,"6,438,094",3.60
2006M08,"423,406",4.10,"395,558",3.90,93.42,-,"6,368,991",7.85,"8,733,506",6.80,10,150.00,266,65.22,"21,448",-20.92,"2,292,070",17.90,"6,441,436",3.34
2006M09,"424,105",3.51,"397,956",3.60,93.83,-,"6,408,584",7.83,"8,778,325",6.80,9,28.57,101,-87.92,"7,172",-90.92,"2,299,242",13.65,"6,479,083",4.57
2006M10,"424,617",3.01,"397,263",2.91,93.56,-,"6,448,224",7.80,"8,824,881",6.35,2,-50.00,184,268.00,"6,011",228.65,"2,305,253",13.84,"6,519,628",3.93
2006M11,"425,159",2.59,"400,357",3.08,94.17,-,"6,487,941",7.78,"8,869,725",7.00,8,166.67,164,264.44,"26,494",441.47,"2,331,747",14.88,"6,537,978",4.45
2006M12,"425,116",2.26,"391,830",1.19,92.17,-,"6,527,151",7.75,"8,939,653",6.87,5,66.67,177,13.46,"9,679",-54.13,"2,341,426",14.17,"6,598,227",4.50
2007M01,"425,408",1.93,"399,202",2.04,93.84,-,"6,567,294",7.73,"8,986,705",6.81,9,0.00,400,-35.06,"26,423",-23.12,"2,367,849",13.55,"6,618,856",4.59
2007M02,"425,814",1.72,"399,043",2.04,93.71,-,"6,607,051",7.71,"9,028,287",6.72,5,25.00,417,159.01,"19,380",84.96,"2,387,229",13.90,"6,641,058",4.35
2007M03,"425,728",1.33,"400,669",1.97,94.11,-,"6,646,814",7.65,"9,077,796",6.71,8,60.00,76,-91.62,"5,717",-95.72,"2,392,947",7.34,"6,684,850",6.49
