期間,提存戶數(家)_原始值,提存戶數(家)_年增率(%),提存戶數-家數提存率(%)_原始值,提存戶數-家數提存率(%)_年增率(%),有餘額戶數(家)_原始值,有餘額戶數(家)_年增率(%),提存廠商開戶時員工人數(人)_原始值,提存廠商開戶時員工人數(人)_年增率(%),提存金額(千元)_原始值,提存金額(千元)_年增率(%),撥發金額(千元)_原始值,撥發金額(千元)_年增率(%),累計提存金額(含孳息、收益) (千元)_原始值,累計提存金額(含孳息、收益) (千元)_年增率(%),累計撥發金額(千元)_原始值,累計撥發金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2009M04,"124,896",-0.54,29.14,-,"114,622",0.21,"3,530,011",-1.51,"4,011,879",-11.54,"4,411,112",2.13,"1,006,692,898",7.12,"535,641,668",10.54,"467,637,223",0.96
2009M05,"124,655",-0.84,28.85,-,"114,691",0.08,"3,525,455",-1.72,"4,222,125",-32.20,"2,756,721",-22.06,"1,010,915,023",6.86,"538,398,389",10.30,"470,972,100",0.73
2009M06,"124,200",-1.33,28.76,-,"114,524",-0.26,"3,517,325",-1.88,"4,425,760",7.07,"3,529,464",27.10,"1,015,340,784",6.86,"541,927,852",10.40,"474,477,852",1.38
2009M07,"123,845",-1.69,28.61,-,"114,314",-0.59,"3,508,895",-2.05,"5,316,099",15.02,"3,092,250",-21.57,"1,020,656,883",6.90,"545,020,103",10.14,"477,581,001",1.47
2009M08,"123,527",-2.09,28.50,-,"114,145",-0.93,"3,506,661",-1.99,"4,570,269",-8.04,"3,089,484",-14.44,"1,025,227,152",6.82,"548,109,587",9.96,"481,546,559",1.66
2009M09,"123,206",-2.40,28.37,-,"114,036",-1.12,"3,499,432",-2.04,"4,225,111",-3.25,"2,806,433",-25.98,"1,029,452,263",6.78,"550,916,020",9.69,"484,470,890",1.80
2009M10,"122,891",-2.64,28.23,-,"113,821",-1.36,"3,491,975",-2.16,"4,163,188",-8.14,"1,870,388",-42.28,"1,033,615,451",6.71,"552,786,407",9.36,"489,580,450",3.12
2009M11,"122,641",-2.75,28.10,-,"113,637",-1.51,"3,485,665",-2.20,"4,191,524",6.11,"2,514,854",-15.07,"1,037,806,975",6.70,"555,301,261",9.22,"491,894,234",3.99
2009M12,"122,567",-2.66,28.08,-,"114,156",-0.95,"3,480,245",-2.16,"10,472,610",103.77,"2,238,589",-47.13,"1,048,279,586",7.21,"557,539,851",8.75,"496,826,265",5.34
2010M01,"122,611",-2.46,27.93,-,"114,608",-0.54,"3,474,586",-2.15,"9,269,978",-36.88,"2,690,820",-61.05,"1,057,549,564",6.56,"560,230,671",7.82,"505,902,576",7.77
2010M02,"122,161",-2.64,27.81,-,"114,620",-0.40,"3,466,616",-2.17,"4,307,740",-24.89,"1,616,931",-72.72,"1,061,857,303",6.38,"561,847,602",6.92,"508,850,718",8.13
2010M03,"121,926",-2.61,27.70,-,"114,375",-0.40,"3,459,951",-2.15,"9,670,171",113.87,"3,151,649",-44.94,"1,071,527,474",6.87,"564,999,251",6.36,"511,142,097",9.25
