期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2009M05,"26,906",-3.79,"21,708",-4.21,"5,198",-1.96,"13,526",-8.12,"1,443",1.91,"2,946",8.19,"5,927",-2.24,57,-6.56,"1,667",1.65,"1,340",0.00
2009M06,"27,453",-4.73,"22,042",-5.83,"5,411",0.04,"13,604",-8.67,"1,452",1.61,"3,457",3.44,"6,038",-1.85,66,-2.94,"1,512",-1.63,"1,324",-4.89
2009M07,"27,312",-6.80,"22,049",-7.09,"5,263",-5.60,"13,565",-8.12,"1,450",2.55,"3,270",0.00,"6,172",-0.26,62,-12.68,"1,524",-28.05,"1,269",-14.31
2009M08,"25,376",-7.85,"20,641",-8.62,"4,735",-4.34,"13,115",-9.69,"1,447",1.62,"2,163",-2.74,"5,945",-0.95,60,-7.69,"1,398",-18.39,"1,248",-21.41
2009M09,"25,543",-7.88,"20,808",-8.35,"4,735",-5.73,"13,153",-9.52,"1,474",3.80,"2,238",-0.09,"5,738",-1.09,58,-12.12,"1,637",-24.49,"1,245",-16.72
2009M10,"25,379",-7.63,"20,602",-8.39,"4,777",-4.21,"13,095",-9.45,"1,483",3.34,"2,286",-0.78,"5,761",-1.76,51,-15.00,"1,481",-21.43,"1,222",-16.64
2009M11,"25,404",-7.13,"20,615",-7.74,"4,789",-4.37,"13,162",-9.24,"1,489",2.48,"2,327",1.26,"5,799",-0.82,49,-9.26,"1,312",-19.95,"1,266",-18.85
2009M12,"25,909",-5.16,"20,983",-6.18,"4,926",-0.57,"13,380",-7.78,"1,503",3.51,"2,375",0.81,"5,841",0.03,51,21.43,"1,518",-1.81,"1,241",-21.21
2010M01,"25,189",-6.29,"20,345",-6.92,"4,844",-3.54,"13,017",-6.98,"1,459",2.17,"2,405",-0.17,"5,835",0.05,35,2.94,"1,350",-27.38,"1,088",-17.76
2010M02,"25,398",-6.86,"20,524",-7.55,"4,874",-3.83,"13,139",-6.44,"1,453",-0.62,"2,327",-1.94,"5,801",-1.48,44,4.76,"1,487",-26.20,"1,147",-20.62
2010M03,"26,043",-4.82,"21,028",-5.14,"5,015",-3.46,"13,361",-3.91,"1,457",-1.89,"2,545",-3.74,"5,813",-1.94,52,6.12,"1,583",-15.08,"1,232",-17.20
2010M04,"26,133",-3.44,"20,955",-4.08,"5,178",-0.75,"13,293",-2.50,"1,429",-1.65,"2,670",-1.62,"5,810",-1.68,54,1.89,"1,747",-7.12,"1,130",-20.42
2010M05,"26,588",-1.18,"21,323",-1.77,"5,265",1.29,"13,384",-1.05,"1,438",-0.35,"2,980",1.15,"5,824",-1.74,51,-10.53,"1,704",2.22,"1,207",-9.93
2010M06,"27,804",1.28,"22,242",0.91,"5,562",2.79,"13,573",-0.23,"1,474",1.52,"3,399",-1.68,"5,908",-2.15,52,-21.21,"2,085",37.90,"1,313",-0.83
2010M07,"27,563",0.92,"22,136",0.39,"5,427",3.12,"13,634",0.51,"1,480",2.07,"3,257",-0.40,"5,957",-3.48,55,-11.29,"1,908",25.20,"1,272",0.24
