期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
1999M01,106,...,93,...,13,...,33,...,33,...,0,...,235,...,0,...,0,...
1999M02,727,...,498,...,229,...,227,...,196,...,31,...,"1,598",...,25,...,13,...
1999M03,"1,429",...,517,...,912,...,"1,106",...,513,...,593,...,"8,090",...,93,...,32,...
1999M04,"1,913",...,625,...,"1,288",...,"1,551",...,441,...,"1,110",...,"11,485",...,70,...,30,...
1999M05,"2,532",...,814,...,"1,718",...,"2,633",...,814,...,"1,819",...,"19,661",...,68,...,7,...
1999M06,"2,942",...,682,...,"2,260",...,"2,839",...,666,...,"2,173",...,"20,370",...,41,...,9,...
1999M07,"3,964",...,"1,269",...,"2,695",...,"3,575",...,"1,052",...,"2,523",...,"25,232",...,97,...,4,...
1999M08,"4,315",...,"1,523",...,"2,792",...,"4,194",...,"1,326",...,"2,868",...,"58,582",...,45,...,10,...
1999M09,"4,642",...,"1,733",...,"2,909",...,"3,857",...,"1,357",...,"2,500",...,"64,212",...,31,...,10,...
1999M10,"5,833",...,"1,665",...,"4,168",...,"5,780",...,"1,758",...,"4,022",...,"93,402",...,36,...,13,...
1999M11,"6,884",...,"1,815",...,"5,069",...,"6,410",...,"1,699",...,"4,711",...,"100,194",...,28,...,18,...
1999M12,"7,814",...,"1,716",...,"6,098",...,"7,266",...,"1,486",...,"5,780",...,"113,309",...,20,...,4,...
2000M01,"8,755","8,159.43","2,185","2,249.46","6,570","50,438.46","8,120","24,506.06","1,921","5,721.21","6,199",--,"123,660","52,521.28",37,--,13,--
2000M02,"7,259",898.49,"1,172",135.34,"6,087","2,558.08","6,879","2,930.40","1,443",636.22,"5,436","17,435.48","106,298","6,551.94",34,36.00,8,-38.46
2000M03,"9,342",553.74,"1,742",236.94,"7,600",733.33,"9,610",768.90,"1,621",215.98,"7,989","1,247.22","148,947","1,741.12",36,-61.29,12,-62.50
2000M04,"7,668",300.84,"1,605",156.80,"6,063",370.73,"7,472",381.75,"1,392",215.65,"6,080",447.75,"117,276",921.12,43,-38.57,8,-73.33
2000M05,"8,072",218.80,"1,453",78.50,"6,619",285.27,"8,267",213.98,"1,570",92.87,"6,697",268.17,"131,189",567.25,28,-58.82,11,57.14
2000M06,"7,406",151.73,"1,396",104.69,"6,010",165.93,"7,177",152.80,"1,418",112.91,"5,759",165.03,"115,008",464.59,9,-78.05,15,66.67
2000M07,"8,103",104.41,"2,181",71.87,"5,922",119.74,"7,681",114.85,"1,830",73.95,"5,851",131.91,"124,429",393.14,27,-72.16,6,50.00
2000M08,"9,061",109.99,"1,972",29.48,"7,089",153.90,"8,654",106.34,"2,063",55.58,"6,591",129.81,"139,314",137.81,27,-40.00,17,70.00
2000M09,"8,546",84.10,"1,744",0.63,"6,802",133.83,"8,812",128.47,"1,779",31.10,"7,033",181.32,"140,710",119.13,22,-29.03,17,70.00
