期間,進入率_工業及服務業,進入率_工業部門,進入率_礦業及土石採取業,進入率_製造業,進入率_食品製造業,進入率_飲料及菸草製造業,進入率_紡織業,進入率_成衣及服飾品製造業,進入率_皮革、毛皮及其製品製造業,進入率_木竹製品製造業,進入率_紙漿、紙及紙製品製造業,進入率_印刷及資料儲存媒體複製業,進入率_石油及煤製品製造業,進入率_化學材料製造業,進入率_化學製品製造業,進入率_藥品製造業,進入率_橡膠製品製造業,進入率_塑膠製品製造業,進入率_非金屬礦物製品製造業,進入率_基本金屬製造業,進入率_金屬製品製造業,進入率_電子零組件製造業,進入率_電腦、電子產品及光學製品製造業,進入率_電力設備製造業,進入率_機械設備製造業,進入率_汽車及其零件製造業,進入率_其他運輸工具製造業,進入率_家具製造業,進入率_其他製造業,進入率_產業用機械設備維修及安裝業,進入率_電力及燃氣供應業,進入率_用水供應及污染整治業,進入率_營造業,進入率_服務業部門,進入率_批發及零售業,進入率_運輸及倉儲業,進入率_住宿及餐飲業,進入率_資訊及通訊傳播業,進入率_金融及保險業,進入率_不動產業,進入率_專業、科學及技術服務業,進入率_支援服務業,進入率_教育服務業,進入率_醫療保健服務業,進入率_藝術、娛樂及休閒服務業,進入率_其他服務業,退出率_工業及服務業,退出率_工業部門,退出率_礦業及土石採取業,退出率_製造業,退出率_食品製造業,退出率_飲料及菸草製造業,退出率_紡織業,退出率_成衣及服飾品製造業,退出率_皮革、毛皮及其製品製造業,退出率_木竹製品製造業,退出率_紙漿、紙及紙製品製造業,退出率_印刷及資料儲存媒體複製業,退出率_石油及煤製品製造業,退出率_化學材料製造業,退出率_化學製品製造業,退出率_藥品製造業,退出率_橡膠製品製造業,退出率_塑膠製品製造業,退出率_非金屬礦物製品製造業,退出率_基本金屬製造業,退出率_金屬製品製造業,退出率_電子零組件製造業,退出率_電腦、電子產品及光學製品製造業,退出率_電力設備製造業,退出率_機械設備製造業,退出率_汽車及其零件製造業,退出率_其他運輸工具製造業,退出率_家具製造業,退出率_其他製造業,退出率_產業用機械設備維修及安裝業,退出率_電力及燃氣供應業,退出率_用水供應及污染整治業,退出率_營造業,退出率_服務業部門,退出率_批發及零售業,退出率_運輸及倉儲業,退出率_住宿及餐飲業,退出率_資訊及通訊傳播業,退出率_金融及保險業,退出率_不動產業,退出率_專業、科學及技術服務業,退出率_支援服務業,退出率_教育服務業,退出率_醫療保健服務業,退出率_藝術、娛樂及休閒服務業,退出率_其他服務業
1983,5.02,5.54,3.08,5.17,6.50,3.90,5.38,4.77,6.02,4.90,3.13,4.36,1.90,2.63,3.93,5.36,5.20,5.17,3.94,2.74,4.80,7.99,7.34,4.99,4.10,6.84,4.93,5.43,5.65,5.07,0.67,2.22,8.70,4.02,4.70,2.60,5.00,2.01,2.15,1.61,4.31,3.51,-,4.12,8.48,5.04,4.25,4.69,4.06,4.23,5.54,3.92,5.25,4.07,4.89,3.82,2.48,3.46,1.26,2.09,3.46,4.18,4.24,4.40,3.67,2.71,3.49,4.92,4.73,3.26,3.38,5.26,4.64,4.55,4.54,4.23,0.41,1.89,8.20,3.41,4.19,2.28,4.94,0.95,1.00,1.81,3.97,2.66,-,1.48,6.41,5.00
1984,4.08,4.61,3.17,4.50,4.79,4.98,4.55,4.63,4.88,4.36,2.49,2.71,0.85,3.81,2.98,3.41,3.89,4.32,3.48,2.56,4.82,5.42,6.23,5.21,3.82,3.80,3.05,4.98,5.79,4.41,1.10,2.57,6.01,3.04,3.44,2.12,4.28,1.85,2.25,3.62,3.72,2.71,-,2.17,2.99,3.41,3.68,4.13,4.00,3.89,4.42,3.65,4.12,4.15,4.21,4.59,1.92,2.20,0.66,2.75,2.60,2.88,3.64,3.51,3.37,2.23,4.08,3.76,5.06,4.55,4.15,2.68,2.69,4.36,4.57,4.07,0.95,2.11,6.34,2.77,3.39,1.98,3.86,1.30,1.82,3.18,3.14,2.18,-,1.10,2.64,2.67
1985,3.10,3.36,2.99,3.38,5.14,2.81,3.22,5.34,4.81,2.90,2.24,2.79,1.22,1.27,2.38,2.08,2.72,2.83,2.20,1.74,3.30,2.69,3.86,3.79,2.79,2.88,2.94,3.40,2.76,3.02,0.45,1.01,3.57,2.61,2.99,1.67,4.06,1.33,1.76,1.79,3.38,2.53,-,1.77,3.01,3.11,3.01,3.28,3.61,3.28,4.79,2.76,3.40,4.82,4.25,2.98,2.07,1.93,0.67,1.45,2.09,2.28,2.63,2.83,2.37,1.52,2.66,2.65,4.31,4.57,2.57,2.44,2.96,3.09,2.64,2.93,0.24,0.89,3.59,2.49,2.87,1.92,3.59,1.16,1.34,2.03,3.12,2.67,-,0.95,3.02,3.30
1986,3.82,4.19,2.50,4.09,4.66,2.93,3.50,2.96,4.40,3.41,2.70,2.88,0.67,2.06,2.79,2.14,4.39,4.83,2.82,2.17,3.30,6.06,6.58,5.18,4.03,3.19,2.98,5.96,5.10,4.28,0.41,1.96,5.57,3.06,3.50,1.70,5.83,1.00,1.90,3.22,4.12,2.32,-,2.09,3.11,3.98,3.38,3.67,3.14,3.50,4.41,2.62,3.58,3.41,4.18,2.85,2.21,2.03,0.38,1.57,2.22,1.99,3.55,4.01,2.64,1.81,2.59,4.25,4.97,4.43,3.12,2.24,2.36,4.88,4.11,3.49,0.23,1.31,5.37,2.81,3.35,1.69,4.80,0.88,1.35,3.21,3.75,2.10,-,1.20,3.23,3.85
1987,3.74,4.12,1.91,4.17,4.20,3.36,3.65,3.46,4.34,3.89,2.87,2.72,0.84,2.39,3.38,2.21,4.02,3.81,3.40,2.78,3.49,5.85,7.03,5.60,4.50,3.89,3.27,4.97,4.49,4.33,0.41,2.43,4.26,3.00,3.31,1.67,5.10,1.02,2.42,5.30,3.52,3.41,-,1.90,4.59,3.52,3.42,3.96,2.88,4.03,4.43,2.79,3.76,3.90,4.63,3.63,2.53,2.30,0.69,2.09,2.80,2.55,3.70,3.58,3.37,2.37,3.13,5.43,6.71,4.83,3.60,3.34,3.07,5.36,4.56,3.86,0.30,1.20,3.85,2.36,2.71,1.37,4.05,0.66,1.56,2.86,2.84,2.11,-,1.35,3.69,3.04
1988,3.39,3.64,1.22,3.69,3.28,4.03,3.10,3.57,3.95,3.32,2.51,2.41,1.15,2.17,3.13,2.63,3.75,3.45,3.02,2.42,3.03,4.93,5.73,4.71,3.90,3.33,2.88,4.67,4.40,3.79,0.50,2.13,3.66,2.97,3.13,1.58,5.86,1.19,2.97,4.40,3.47,2.94,-,1.70,3.87,3.09,3.14,3.62,2.40,3.73,3.98,3.08,3.32,3.95,4.17,3.36,2.42,1.78,0.61,2.10,2.63,2.15,3.27,3.51,3.33,1.85,2.67,5.10,5.82,4.43,3.42,3.09,3.21,4.83,4.68,3.84,0.28,1.67,3.23,2.26,2.41,1.33,5.08,0.71,1.48,1.86,2.68,2.16,-,1.40,3.76,2.77
1989,3.23,3.55,1.43,3.51,4.00,3.79,3.45,3.18,3.04,3.38,2.77,2.45,1.15,1.56,3.25,2.18,3.49,3.55,3.01,2.21,3.35,4.83,4.98,3.63,3.66,3.50,2.09,4.28,4.37,3.76,0.43,1.50,4.23,2.71,2.70,1.60,5.30,1.31,2.68,3.27,3.11,3.02,-,1.88,3.97,3.06,3.25,3.89,2.88,3.95,3.91,3.09,4.09,4.54,5.02,4.39,3.05,2.12,0.77,1.73,3.24,2.48,3.44,4.13,3.10,2.28,3.22,4.99,4.98,4.17,3.18,3.27,2.55,4.75,5.21,3.78,0.32,1.16,3.93,2.18,2.32,1.56,4.64,0.85,1.15,1.93,2.43,2.19,-,1.43,3.25,2.72
1990,3.11,3.32,1.29,3.32,3.80,3.79,3.86,2.93,2.92,3.23,2.26,1.95,1.22,1.72,2.93,2.85,3.25,3.75,2.88,1.98,3.02,4.62,4.63,3.66,3.07,3.04,2.36,3.62,3.46,3.24,0.61,1.96,3.70,2.78,2.89,1.67,4.39,1.44,2.63,4.03,3.12,3.02,-,1.91,5.17,3.07,3.17,3.64,1.82,3.74,3.75,2.99,4.84,4.02,4.78,5.21,2.43,1.90,0.90,1.55,2.93,2.34,3.48,3.77,3.10,2.25,3.19,4.81,4.67,3.83,3.02,2.93,2.72,4.64,4.08,3.45,0.32,1.35,3.45,2.47,2.75,1.53,4.54,1.05,1.88,2.26,2.38,1.99,-,1.63,4.15,3.10
1991,3.01,3.21,1.43,3.19,3.13,3.05,3.26,2.82,2.54,3.39,2.39,1.97,1.00,1.41,2.47,1.77,3.93,3.57,2.67,2.23,3.15,4.07,4.12,3.73,3.24,3.07,2.27,4.00,3.87,3.40,0.46,2.12,3.66,2.71,2.95,1.61,4.85,1.58,1.60,3.40,2.81,3.50,-,2.14,4.31,3.20,2.64,3.05,1.99,3.14,3.24,2.66,3.23,3.33,3.59,4.21,2.11,1.80,1.76,1.27,2.56,1.70,3.54,3.36,2.72,1.71,2.59,4.09,3.98,3.44,2.98,2.53,2.46,3.83,3.92,3.22,0.45,1.43,2.82,2.05,2.16,1.39,4.14,1.00,1.40,1.58,2.18,2.46,-,1.43,2.27,2.79
1992,2.93,3.09,1.85,3.07,3.58,2.28,3.00,2.88,2.35,2.93,1.84,1.59,1.19,1.18,2.45,2.36,3.28,3.30,2.84,1.67,3.29,3.93,3.80,3.35,3.48,3.21,2.79,3.68,3.46,3.49,0.43,1.68,3.46,2.74,2.79,1.62,5.52,1.91,1.66,4.36,3.07,3.45,-,2.09,3.66,2.74,2.55,2.94,1.82,3.08,3.43,2.41,3.15,3.78,3.73,4.34,1.63,1.43,0.32,1.31,2.00,2.12,3.29,3.23,2.67,1.23,2.97,3.76,3.91,3.31,2.80,2.74,2.44,3.90,4.03,3.14,0.27,1.63,2.48,2.03,1.94,1.32,4.83,1.48,1.32,1.71,2.31,2.57,-,1.52,2.96,2.63
