期間,勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%)
1990M02,31.80,2.22,82.64,3.07,112.96,24.08,32.84,-1.20,31.74,2.03,104.76,8.47,65.37,6.33,60.38,12.92,215.55,-0.37,149.16,-6.68,111.52,-41.61,54.00,1.26,61.29,18.48,22.29,-20.65,21.48,3.22,40.62,9.67,79.92,12.28,76.75,18.26,89.27,4.37,51.97,-5.78,38.33,-6.92,85.57,-0.98,13.03,2.68,22.23,3.35,49.26,10.55,53.25,2.09,70.07,17.76,73.28,-6.58,96.81,-21.38,57.56,0.03,30.19,1.79,37.61,-3.76,133.11,-28.25,50.93,-17.38,28.34,-4.84,179.54,-27.51,131.29,-28.85,46.51,-25.16,63.78,-38.57,83.91,-39.35,19.77,-26.01,25.29,-21.85,38.38,30.50,95.12,-39.58,90.37,-47.93,165.84,-5.52,183.18,-20.16,93.02,-32.90,47.18,-39.08,78.09,-35.96,50.87,-33.13,102.42,-19.18,106.42,-27.58,60.24,-33.51,276.48,-21.90,160.11,-30.72,96.12,-35.43,94.97,-35.20,65.47,-36.66,70.45,-21.63,56.31,2.76,68.70,-27.28,213.53,-9.35,156.16,71.85
1990M03,33.50,6.15,91.17,9.66,125.78,39.41,33.37,1.12,33.46,5.59,90.01,-2.53,60.15,-15.53,63.19,16.05,232.79,1.61,160.04,3.98,136.39,-27.76,56.87,1.77,60.26,17.47,22.45,6.00,24.01,5.96,41.38,12.88,80.67,9.03,91.22,14.68,97.30,5.47,54.56,6.52,40.33,-0.62,93.02,-1.56,14.73,8.87,22.92,-3.74,55.75,7.94,60.87,-2.64,74.78,9.95,80.95,3.23,104.88,5.08,60.30,1.33,32.72,7.49,37.48,8.92,116.89,5.76,43.58,1.18,24.08,-10.75,165.99,7.20,117.13,6.12,50.19,8.94,65.96,36.51,75.27,-5.53,17.20,8.24,21.59,3.55,30.01,51.87,87.13,8.63,86.09,-2.65,155.01,3.50,160.64,4.92,86.07,2.17,46.06,7.82,59.44,-1.80,44.43,8.98,88.75,6.30,97.96,6.95,52.39,7.07,232.80,3.86,138.65,21.13,80.21,5.37,78.66,14.31,57.80,1.67,63.97,1.43,47.66,4.61,59.61,12.85,106.42,11.07,85.44,9.65
1990M04,33.59,6.50,89.13,15.21,123.26,44.40,33.25,6.43,33.50,6.11,91.69,7.10,53.70,-13.05,64.02,12.24,221.38,-10.10,148.10,5.77,137.32,-24.37,58.64,3.97,63.37,-3.81,22.21,-11.65,23.16,2.52,42.04,0.45,82.10,12.54,87.68,5.64,92.29,8.33,56.99,8.51,41.45,-0.79,96.65,6.88,14.64,10.99,23.17,0.04,58.37,14.20,61.91,1.41,74.44,1.53,82.13,0.31,99.97,-3.90,62.04,17.50,34.09,-0.29,39.03,6.29,122.88,6.72,46.08,-0.17,24.72,-13.32,175.45,7.95,123.37,6.95,51.99,1.44,72.61,34.09,77.31,-1.45,18.48,20.39,24.53,3.28,31.22,46.57,88.67,5.86,90.88,29.90,168.10,25.13,164.90,0.10,87.05,9.43,45.67,-1.81,63.99,8.20,49.25,6.69,94.03,10.74,107.14,13.74,54.64,3.19,243.66,0.16,146.82,16.55,81.77,-2.38,81.50,11.86,62.22,12.39,63.08,19.11,53.42,17.98,61.04,-2.74,108.85,17.93,97.38,8.30
1990M05,33.45,8.04,82.35,4.21,118.58,28.11,32.63,2.00,33.17,7.49,82.73,7.02,52.50,-18.93,63.68,17.86,239.89,-8.82,144.30,14.41,153.02,-14.32,58.15,6.40,64.35,9.63,23.48,-6.27,22.22,3.25,42.20,1.88,74.61,0.76,81.27,4.62,83.98,3.50,58.34,11.31,42.60,7.36,93.96,3.93,15.62,25.66,22.37,-2.44,54.87,2.75,61.22,-0.63,72.84,-1.05,81.14,4.90,99.66,-8.43,59.35,15.80,35.04,3.98,39.65,11.72,123.30,8.35,48.72,10.55,26.46,-0.97,172.54,13.08,124.57,8.92,56.77,6.31,74.77,50.81,76.97,-4.60,16.88,19.46,25.28,-3.40,28.38,33.55,89.86,5.62,85.78,13.77,153.80,24.25,173.10,4.86,90.87,18.60,49.91,17.63,68.76,10.69,55.79,16.79,85.11,4.01,96.07,3.51,55.41,7.53,232.06,-5.55,150.50,23.34,86.65,12.63,83.05,16.94,64.01,13.71,71.66,34.27,52.70,24.79,64.73,1.76,100.50,6.41,87.29,17.17
1990M06,33.10,5.45,69.11,-9.34,95.47,6.43,29.63,-10.78,32.69,4.91,78.80,5.15,53.88,-18.94,62.47,16.05,256.57,-7.76,150.05,4.27,167.85,5.83,57.47,5.10,60.30,-4.47,20.87,-18.73,21.09,9.05,44.26,11.37,81.69,14.24,80.81,-19.00,79.16,0.60,55.12,4.85,41.76,6.50,93.85,-0.80,16.62,31.49,23.64,-4.21,53.84,4.81,65.00,0.65,68.46,-2.28,76.34,-1.98,94.50,-15.99,55.73,7.84,38.36,5.76,38.25,6.28,122.23,5.61,58.34,23.73,32.28,13.30,193.72,25.37,123.96,6.08,58.67,1.16,71.95,44.68,78.62,-6.70,16.07,17.99,24.19,2.59,25.14,2.91,88.55,4.34,89.04,25.69,183.90,37.11,184.56,-8.33,80.95,-1.97,44.50,-13.00,66.95,37.93,56.83,8.66,88.01,5.64,98.70,3.40,55.00,9.30,209.24,-14.97,139.26,17.14,85.36,3.54,76.05,9.57,65.23,12.18,69.26,28.00,54.65,32.45,67.61,3.14,92.62,6.68,89.75,-4.53
1990M07,32.16,8.80,74.26,-1.67,98.68,6.76,31.69,-0.19,31.48,8.18,79.10,10.12,53.78,-9.46,60.26,20.06,244.69,-6.74,133.19,-1.19,164.42,13.66,59.14,15.13,55.37,-2.12,20.50,-7.49,22.97,4.55,41.71,15.41,69.83,1.54,78.51,3.85,73.03,0.04,54.88,7.04,42.77,16.00,90.18,6.31,15.63,34.39,22.17,0.96,47.05,-0.21,55.23,-3.19,67.23,0.45,80.62,11.14,95.31,-11.11,57.65,13.19,40.83,5.59,41.16,5.97,128.50,4.93,61.99,18.12,39.57,13.54,187.54,16.37,131.50,5.57,67.78,13.10,72.06,19.66,79.98,-7.39,16.60,13.47,27.63,12.09,25.65,-4.58,87.67,-3.86,109.47,28.53,212.93,17.14,171.40,12.05,89.60,-1.71,61.60,-3.39,66.16,2.83,60.97,11.54,87.21,3.48,103.44,1.07,57.97,5.23,233.07,-13.70,158.83,16.11,97.91,10.53,87.48,9.64,72.41,19.13,66.38,7.69,52.59,21.37,65.07,0.48,83.18,0.46,88.81,19.35
1990M08,32.32,8.64,75.14,0.64,103.83,19.33,32.06,-3.05,31.76,8.14,85.84,20.56,55.19,-13.74,62.12,22.72,231.24,-6.73,128.07,1.97,144.30,-8.08,57.58,13.59,55.83,-0.89,21.52,-17.55,23.59,8.81,44.73,18.11,66.77,0.51,85.23,14.31,75.19,-2.54,54.22,6.19,42.57,21.70,92.18,5.67,15.55,36.28,22.00,-3.38,46.85,5.14,56.02,1.87,70.84,0.83,76.58,0.33,103.53,-9.94,55.19,8.51,38.50,4.90,39.41,5.29,125.26,4.13,56.72,15.87,31.79,5.06,186.69,19.89,127.79,4.63,58.92,-7.88,72.19,33.46,77.95,-8.01,17.28,14.06,27.14,3.08,29.31,21.07,90.02,-0.67,97.04,11.67,206.44,62.68,163.13,2.28,79.46,-3.51,57.30,16.99,61.94,-2.90,59.15,15.64,88.31,3.20,114.27,5.07,56.01,3.93,219.53,-16.59,147.44,18.64,96.16,5.86,86.71,6.98,65.30,10.01,69.85,9.28,48.73,20.68,65.03,0.74,85.41,0.49,88.90,20.54
1990M09,34.06,9.27,71.75,-5.72,95.73,6.04,29.86,-5.69,33.61,8.88,87.71,16.43,59.30,-7.52,66.02,14.12,235.66,-5.64,136.34,6.81,152.09,-7.77,58.66,16.14,58.71,6.32,23.41,-29.21,25.26,18.54,49.97,24.83,76.89,2.02,91.34,21.37,82.81,9.83,57.10,9.66,47.43,27.12,90.43,-0.36,16.53,37.18,23.48,-1.34,49.45,2.44,62.19,13.82,69.86,1.04,82.20,-1.85,105.19,-10.27,57.60,4.54,40.66,7.34,45.13,6.99,131.26,4.58,61.07,21.99,32.99,13.92,212.75,21.93,132.61,4.45,62.27,-12.95,74.12,27.71,79.64,-0.91,18.18,15.72,28.03,0.57,30.83,23.02,97.24,-4.02,102.72,12.63,186.54,50.57,170.41,-3.80,91.50,1.06,57.61,17.52,63.32,-8.30,58.89,3.72,93.17,3.36,101.51,-3.17,61.17,9.37,230.50,-16.09,156.94,14.11,102.04,7.49,84.67,-5.01,81.32,22.23,69.91,19.10,51.92,21.94,69.50,5.14,119.22,23.77,95.71,26.84
1990M10,35.28,9.77,83.85,-1.42,115.65,14.28,35.21,-4.11,34.92,9.47,88.34,9.32,61.61,-9.73,68.97,23.76,230.97,2.61,146.17,9.01,162.27,6.67,63.61,11.44,63.15,-2.97,24.12,-12.48,27.21,21.58,51.46,19.09,82.57,7.71,89.28,16.57,96.10,4.64,62.95,13.20,47.86,21.63,95.57,-0.58,16.15,32.81,23.68,-2.03,51.63,4.92,62.22,9.20,68.30,-9.55,82.47,0.40,109.06,-7.65,59.00,7.02,39.91,7.89,45.58,4.85,129.37,1.92,54.80,19.47,30.17,11.99,185.14,20.87,130.67,4.18,70.75,12.66,72.00,24.07,78.11,-9.01,19.25,6.18,27.26,1.94,29.53,9.74,92.45,3.34,103.20,21.47,178.82,24.45,158.60,-8.06,82.86,-4.85,53.27,10.50,66.65,-5.12,52.28,7.88,85.63,-0.72,101.78,-2.83,59.13,10.34,238.92,-14.82,158.44,20.64,98.56,5.11,87.08,0.94,78.42,30.35,68.80,8.41,51.38,19.10,71.71,4.89,108.34,-47.15,90.35,19.26
1990M11,34.68,10.45,84.81,2.02,116.47,12.15,35.98,3.12,34.54,10.21,86.28,6.66,59.27,-7.65,68.10,23.41,227.13,0.30,145.12,13.35,145.85,10.80,62.23,17.17,62.22,-4.00,19.77,-22.50,24.78,9.45,48.98,19.41,75.96,-3.03,94.34,24.12,96.62,7.21,60.02,10.51,44.00,14.58,95.96,2.94,18.40,41.54,23.96,2.61,53.40,11.76,65.99,15.35,70.90,-6.72,84.31,0.81,100.95,-8.14,58.52,11.51,33.94,6.30,41.31,7.13,124.23,3.09,53.81,12.06,30.31,4.73,178.12,12.68,124.66,3.18,68.56,22.34,69.56,22.51,75.58,-8.82,18.65,8.62,25.78,-2.39,31.49,2.04,87.54,-3.31,92.14,15.41,199.97,41.54,167.06,4.23,77.81,-5.78,54.99,18.97,61.11,-7.23,49.46,5.98,85.45,1.73,103.93,1.76,55.91,5.55,198.26,-20.98,145.80,12.99,89.92,-0.86,76.34,-7.42,68.59,25.69,64.49,9.85,54.35,22.00,67.36,0.97,116.25,7.73,92.81,20.28
