期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1966,"12,874,153",2.90,40.00,0.00,8.72,-,"127,675",11.64,"3,192",11.65,"9,917",8.50,248,8.30,"127,578",11.75,"3,189",11.74,"9,910",8.60,248,8.77,"120,775",11.66,"3,019",11.65,"9,381",8.51,235,8.80
1967,"13,210,344",2.61,40.00,0.00,10.41,-,"147,463",15.50,"3,687",15.51,"11,163",12.56,279,12.50,"147,140",15.33,"3,679",15.37,"11,138",12.39,278,12.10,"139,055",15.14,"3,476",15.14,"10,526",12.21,263,11.91
1968,"13,548,537",2.56,40.00,0.00,9.00,-,"171,817",16.52,"4,295",16.49,"12,682",13.61,317,13.62,"171,359",16.46,"4,284",16.44,"12,648",13.56,316,13.67,"161,586",16.20,"4,040",16.23,"11,926",13.30,298,13.31
1969,"14,068,984",3.84,40.00,0.00,8.66,-,"199,154",15.91,"4,979",15.93,"14,156",11.62,354,11.67,"198,907",16.08,"4,973",16.08,"14,138",11.78,353,11.71,"186,964",15.71,"4,674",15.69,"13,289",11.43,332,11.41
1970,"14,582,944",3.65,40.00,0.00,10.60,-,"229,390",15.18,"5,735",15.18,"15,730",11.12,393,11.02,"228,978",15.12,"5,724",15.10,"15,702",11.06,393,11.33,"215,345",15.18,"5,384",15.19,"14,767",11.12,369,11.14
1971,"14,913,564",2.27,40.00,0.00,12.45,-,"266,594",16.22,"6,665",16.22,"17,876",13.64,447,13.74,"266,472",16.37,"6,662",16.39,"17,868",13.79,447,13.74,"250,209",16.19,"6,255",16.18,"16,777",13.61,419,13.55
1972,"15,220,495",2.06,40.00,0.00,13.15,-,"319,573",19.87,"7,989",19.86,"20,996",17.45,525,17.45,"319,641",19.95,"7,991",19.95,"21,001",17.53,525,17.45,"298,925",19.47,"7,473",19.47,"19,640",17.07,491,17.18
1973,"15,505,121",1.87,38.25,4.58,11.83,-,"415,111",29.90,"10,853",35.85,"26,773",27.51,700,33.33,"414,995",29.83,"10,850",35.78,"26,765",27.45,700,33.33,"385,173",28.85,"10,070",34.75,"24,842",26.49,649,32.18
1974,"15,784,817",1.80,38.00,0.66,1.86,-,"556,303",34.01,"14,640",34.89,"35,243",31.64,927,32.43,"556,126",34.01,"14,635",34.88,"35,232",31.63,927,32.43,"508,486",32.01,"13,381",32.88,"32,214",29.68,848,30.66
1975,"16,075,128",1.84,38.00,0.00,5.43,-,"597,660",7.43,"15,728",7.43,"37,179",5.49,978,5.50,"594,316",6.87,"15,640",6.87,"36,971",4.94,973,4.96,"538,473",5.90,"14,170",5.90,"33,497",3.98,882,4.01
1976,"16,401,413",2.03,38.00,0.00,13.45,-,"717,089",19.98,"18,871",19.98,"43,721",17.60,"1,151",17.69,"712,073",19.81,"18,739",19.81,"43,415",17.43,"1,143",17.47,"645,480",19.87,"16,986",19.87,"39,355",17.49,"1,036",17.46
1977,"16,730,895",2.01,38.00,0.00,10.88,-,"840,846",17.26,"22,128",17.26,"50,257",14.95,"1,323",14.94,"835,722",17.36,"21,993",17.36,"49,951",15.05,"1,315",15.05,"757,547",17.36,"19,935",17.36,"45,278",15.05,"1,192",15.06
1978,"17,042,272",1.86,36.95,2.84,13.49,-,"1,006,669",19.72,"27,244",23.12,"59,069",17.53,"1,599",20.86,"1,004,338",20.18,"27,181",23.59,"58,932",17.98,"1,595",21.29,"915,100",20.80,"24,766",24.23,"53,696",18.59,"1,453",21.90
1979,"17,372,779",1.94,36.00,2.64,8.01,-,"1,215,395",20.73,"33,761",23.92,"69,960",18.44,"1,943",21.51,"1,215,795",21.05,"33,772",24.25,"69,983",18.75,"1,944",21.88,"1,102,295",20.46,"30,619",23.63,"63,450",18.17,"1,763",21.34
1980,"17,704,538",1.91,36.00,0.00,7.32,-,"1,519,946",25.06,"42,221",25.06,"85,851",22.71,"2,385",22.75,"1,517,840",24.84,"42,162",24.84,"85,732",22.50,"2,381",22.48,"1,370,084",24.29,"38,058",24.30,"77,386",21.96,"2,150",21.95
