期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
2000Q4,"22,247,811",0.80,32.45,-2.31,5.41,-,"2,700,817",7.14,"83,270",4.77,"121,369",6.26,"3,741",3.86,"2,745,024",7.34,"84,636",4.97,"123,356",6.46,"3,803",4.11,"2,447,334",7.35,"75,458",4.98,"109,978",6.48,"3,390",4.08
2001Q1,"22,292,585",0.81,32.53,-5.50,0.95,-,"2,476,711",0.95,"76,114",-4.68,"111,095",0.16,"3,414",-5.43,"2,531,906",1.71,"77,807",-3.97,"113,571",0.91,"3,490",-4.72,"2,239,473",0.57,"68,820",-5.05,"100,453",-0.22,"3,087",-5.80
2001Q2,"22,324,017",0.77,33.48,-8.36,-2.98,-,"2,391,097",-3.37,"71,399",-11.52,"107,104",-4.09,"3,198",-12.19,"2,439,789",-2.50,"72,849",-10.73,"109,285",-3.23,"3,263",-11.40,"2,140,775",-3.73,"63,920",-11.86,"95,892",-4.45,"2,863",-12.53
2001Q3,"22,354,019",0.71,34.66,-10.36,-4.11,-,"2,432,576",-4.93,"70,164",-14.84,"108,816",-5.59,"3,139",-15.41,"2,477,583",-4.35,"71,458",-14.33,"110,829",-5.01,"3,197",-14.91,"2,178,609",-5.93,"62,836",-15.75,"97,455",-6.58,"2,811",-16.31
2001Q4,"22,387,035",0.63,34.58,-6.16,-0.36,-,"2,630,003",-2.62,"76,035",-8.69,"117,474",-3.21,"3,396",-9.22,"2,673,133",-2.62,"77,277",-8.69,"119,399",-3.21,"3,451",-9.26,"2,370,106",-3.16,"68,516",-9.20,"105,865",-3.74,"3,060",-9.73
2002Q1,"22,417,770",0.56,35.04,-7.16,1.62,-,"2,524,981",1.95,"72,052",-5.34,"112,616",1.37,"3,213",-5.89,"2,591,744",2.36,"73,959",-4.95,"115,593",1.78,"3,298",-5.50,"2,263,268",1.06,"64,583",-6.16,"100,944",0.49,"2,880",-6.71
2002Q2,"22,443,730",0.54,34.45,-2.82,6.50,-,"2,528,972",5.77,"73,402",2.81,"112,663",5.19,"3,270",2.25,"2,583,692",5.90,"74,991",2.94,"115,102",5.32,"3,341",2.39,"2,272,124",6.14,"65,946",3.17,"101,221",5.56,"2,938",2.62
2002Q3,"22,470,926",0.52,33.99,1.97,6.79,-,"2,606,891",7.17,"76,688",9.30,"115,994",6.60,"3,412",8.70,"2,663,263",7.49,"78,347",9.64,"118,502",6.92,"3,486",9.04,"2,355,673",8.13,"69,296",10.28,"104,817",7.55,"3,083",9.68
2002Q4,"22,502,570",0.52,34.84,-0.75,6.02,-,"2,750,795",4.59,"78,946",3.83,"122,225",4.04,"3,509",3.33,"2,815,442",5.32,"80,804",4.56,"125,097",4.77,"3,591",4.06,"2,490,435",5.08,"71,473",4.32,"110,657",4.53,"3,176",3.79
2003Q1,"22,530,466",0.50,34.71,0.95,4.69,-,"2,591,382",2.63,"74,618",3.56,"114,997",2.11,"3,312",3.08,"2,705,399",4.39,"77,906",5.34,"120,056",3.86,"3,457",4.82,"2,384,337",5.35,"68,656",6.31,"105,809",4.82,"3,047",5.80
2003Q2,"22,547,204",0.46,34.72,-0.78,-1.27,-,"2,516,062",-0.51,"72,429",-1.33,"111,571",-0.97,"3,212",-1.77,"2,599,181",0.60,"74,825",-0.22,"115,256",0.13,"3,318",-0.69,"2,275,245",0.14,"65,496",-0.68,"100,893",-0.32,"2,904",-1.16
2003Q3,"22,564,109",0.41,34.25,-0.76,4.64,-,"2,697,889",3.49,"78,728",2.66,"119,545",3.06,"3,488",2.23,"2,750,807",3.29,"80,278",2.46,"121,889",2.86,"3,557",2.04,"2,430,381",3.17,"70,922",2.35,"107,692",2.74,"3,143",1.95
2003Q4,"22,589,258",0.39,34.00,2.47,6.41,-,"2,890,924",5.09,"84,982",7.65,"127,956",4.69,"3,761",7.18,"2,969,743",5.48,"87,303",8.04,"131,444",5.07,"3,865",7.63,"2,655,910",6.64,"78,072",9.23,"117,553",6.23,"3,455",8.78
