期間,當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)"
2005Q4,"3,042,402",17.56,4.13,"2,776,777",-7.59,-1.95,"1,781,568",-1.23,-0.31,"359,629",-5.32,-1.36,"635,580",-23.86,-6.59,"265,625",--,--,"2,037,427",61.12,12.66,"1,771,802",12.95,3.09,"3,003,865",16.38,3.87,"2,809,918",-7.58,-1.95,"1,787,978",-0.36,-0.09,"364,434",-5.04,-1.29,"657,506",-25.23,-7.01,"193,947",--,--,"2,017,539",41.59,9.08,"1,823,592",0.06,0.02
2006Q1,"3,009,878",-4.21,-1.07,"2,857,734",12.18,2.92,"1,790,845",2.10,0.52,"362,560",3.30,0.82,"704,329",50.81,10.82,"152,144",--,--,"1,993,279",-8.39,-2.17,"1,841,135",16.60,3.91,"3,012,243",1.12,0.28,"2,886,813",11.40,2.74,"1,795,189",1.62,0.40,"363,798",-0.70,-0.17,"727,826",50.15,10.69,"125,430",--,--,"2,027,598",2.01,0.50,"1,902,168",18.38,4.31
2006Q2,"3,040,614",4.15,1.02,"2,872,303",2.05,0.51,"1,811,689",4.74,1.16,"366,495",4.41,1.09,"694,119",-5.67,-1.45,"168,311",--,--,"2,067,891",15.83,3.74,"1,899,580",13.32,3.17,"3,040,258",3.77,0.93,"2,866,660",-2.76,-0.70,"1,807,627",2.80,0.69,"366,947",3.51,0.87,"692,086",-18.24,-4.91,"173,598",--,--,"2,072,784",9.22,2.23,"1,899,186",-0.63,-0.16
2006Q3,"3,059,694",2.53,0.63,"2,868,215",-0.57,-0.14,"1,816,564",1.08,0.27,"366,961",0.51,0.13,"684,690",-5.32,-1.36,"191,479",--,--,"2,133,622",13.33,3.18,"1,942,143",9.27,2.24,"3,070,449",4.03,0.99,"2,860,588",-0.84,-0.21,"1,812,096",0.99,0.25,"366,532",-0.45,-0.11,"681,960",-5.73,-1.46,"209,861",--,--,"2,111,298",7.64,1.86,"1,901,437",0.47,0.12
2006Q4,"3,133,285",9.97,2.41,"2,896,341",3.98,0.98,"1,829,246",2.82,0.70,"373,280",7.07,1.72,"693,815",5.44,1.33,"236,944",--,--,"2,130,925",-0.50,-0.13,"1,893,981",-9.56,-2.48,"3,120,521",6.68,1.63,"2,880,532",2.82,0.70,"1,833,432",4.79,1.18,"372,019",6.12,1.50,"675,081",-3.97,-1.01,"239,989",--,--,"2,114,037",0.52,0.13,"1,874,048",-5.64,-1.44
2007Q1,"3,148,390",1.94,0.48,"2,861,437",-4.73,-1.21,"1,839,721",2.31,0.57,"370,323",-3.13,-0.79,"651,393",-22.30,-6.11,"286,953",--,--,"2,213,030",16.33,3.85,"1,926,077",6.95,1.69,"3,152,930",4.22,1.04,"2,838,166",-5.75,-1.47,"1,828,893",-0.99,-0.25,"366,695",-5.60,-1.43,"642,578",-17.91,-4.81,"314,764",--,--,"2,177,929",12.65,3.02,"1,863,165",-2.30,-0.58
2007Q2,"3,176,325",3.60,0.89,"2,984,849",18.40,4.31,"1,851,939",2.68,0.66,"377,225",7.67,1.86,"755,685",81.13,16.01,"191,476",--,--,"2,280,849",12.83,3.06,"2,089,373",38.47,8.48,"3,211,669",7.66,1.86,"2,939,213",15.02,3.56,"1,839,193",2.27,0.56,"371,588",5.45,1.33,"728,432",65.14,13.36,"272,456",--,--,"2,226,692",9.26,2.24,"1,954,236",21.03,4.89
2007Q3,"3,265,574",11.72,2.81,"3,016,961",4.37,1.08,"1,900,579",10.93,2.63,"385,803",9.41,2.27,"730,579",-12.64,-3.32,"248,613",--,--,"2,378,557",18.27,4.28,"2,129,944",8.00,1.94,"3,287,037",9.72,2.35,"2,967,140",3.86,0.95,"1,870,389",6.96,1.70,"381,013",10.54,2.54,"715,738",-6.79,-1.74,"319,897",--,--,"2,335,063",20.94,4.87,"2,015,166",13.07,3.12
2007Q4,"3,320,222",6.86,1.67,"3,020,131",0.42,0.11,"1,914,228",2.90,0.72,"387,751",2.04,0.50,"718,152",-6.63,-1.70,"300,091",--,--,"2,431,625",9.23,2.23,"2,131,534",0.30,0.07,"3,324,349",4.62,1.14,"2,913,544",-7.03,-1.81,"1,860,955",-2.00,-0.50,"380,670",-0.36,-0.09,"671,919",-22.33,-6.12,"410,805",--,--,"2,381,196",8.14,1.98,"1,970,391",-8.60,-2.22
2008Q1,"3,276,275",-5.19,-1.32,"3,078,501",7.96,1.93,"1,933,060",3.99,0.98,"384,474",-3.34,-0.85,"760,967",26.07,5.96,"197,774",--,--,"2,486,427",9.32,2.25,"2,288,653",32.91,7.37,"3,369,539",5.55,1.36,"2,978,019",9.15,2.21,"1,865,368",0.95,0.24,"374,989",-5.84,-1.49,"737,662",45.27,9.78,"391,520",--,--,"2,425,151",7.59,1.85,"2,033,631",13.47,3.21
2008Q2,"3,263,433",-1.56,-0.39,"3,045,936",-4.16,-1.06,"1,915,308",-3.62,-0.92,"391,169",7.15,1.74,"739,459",-10.84,-2.83,"217,497",--,--,"2,452,600",-5.33,-1.36,"2,235,103",-9.04,-2.34,"3,369,015",-0.06,-0.02,"2,877,335",-12.85,-3.38,"1,848,415",-3.59,-0.91,"376,645",1.78,0.44,"652,275",-38.86,-11.58,"491,680",--,--,"2,418,692",-1.06,-0.27,"1,927,012",-19.38,-5.24
2008Q3,"3,045,488",-24.15,-6.68,"2,993,122",-6.76,-1.73,"1,890,931",-4.99,-1.27,"389,119",-2.08,-0.52,"713,072",-13.53,-3.57,"52,366",--,--,"2,394,803",-9.10,-2.36,"2,342,437",20.64,4.80,"3,248,359",-13.57,-3.58,"2,792,990",-11.22,-2.93,"1,806,598",-8.75,-2.26,"376,867",0.24,0.06,"609,525",-23.75,-6.55,"455,369",--,--,"2,394,329",-3.97,-1.01,"1,938,960",2.50,0.62
2008Q4,"3,034,954",-1.38,-0.35,"2,882,381",-14.00,-3.70,"1,870,696",-4.21,-1.07,"398,872",10.41,2.51,"612,813",-45.45,-14.06,"152,573",--,--,"1,874,823",-62.44,-21.71,"1,722,250",-70.78,-26.48,"3,083,768",-18.78,-5.07,"2,735,467",-7.99,-2.06,"1,810,109",0.78,0.19,"383,862",7.63,1.86,"541,496",-37.71,-11.16,"348,301",--,--,"1,961,865",-54.92,-18.06,"1,613,564",-52.04,-16.78
2009Q1,"3,069,461",4.63,1.14,"2,726,957",-19.89,-5.39,"1,867,264",-0.73,-0.18,"403,599",4.83,1.19,"456,094",-69.32,-25.57,"342,504",--,--,"1,704,826",-31.63,-9.07,"1,362,322",-60.85,-20.90,"3,046,380",-4.76,-1.21,"2,591,568",-19.44,-5.26,"1,816,352",1.39,0.34,"390,243",6.82,1.66,"384,973",-74.45,-28.91,"454,812",--,--,"1,809,677",-27.60,-7.76,"1,354,865",-50.29,-16.03
2009Q2,"3,081,319",1.55,0.39,"2,799,636",11.09,2.67,"1,870,387",0.67,0.17,"400,229",-3.30,-0.83,"529,020",81.00,15.99,"281,683",--,--,"1,836,498",34.66,7.72,"1,554,815",69.67,14.13,"3,154,813",15.02,3.56,"2,711,932",19.91,4.64,"1,828,447",2.69,0.67,"390,210",-0.03,-0.01,"493,275",169.55,28.13,"442,881",--,--,"2,002,519",49.93,10.66,"1,559,638",75.59,15.11
2009Q3,"3,108,620",3.59,0.89,"2,857,456",8.52,2.07,"1,892,034",4.71,1.16,"404,344",4.18,1.03,"561,078",26.53,6.06,"251,164",--,--,"2,071,575",61.90,12.80,"1,820,411",87.92,17.08,"3,236,469",10.76,2.59,"2,753,602",6.29,1.54,"1,841,957",2.99,0.74,"394,193",4.15,1.02,"517,452",21.09,4.90,"482,867",--,--,"2,225,197",52.46,11.12,"1,742,330",55.75,11.71
2009Q4,"3,221,693",15.36,3.64,"3,017,930",24.43,5.62,"1,943,897",11.42,2.74,"411,826",7.61,1.85,"662,207",94.04,18.02,"203,763",--,--,"2,186,268",24.05,5.54,"1,982,505",40.66,8.90,"3,396,387",21.28,4.94,"2,903,830",23.67,5.46,"1,899,299",13.05,3.11,"398,365",4.30,1.06,"606,166",88.32,17.14,"492,557",--,--,"2,364,321",27.45,6.25,"1,871,764",33.19,7.43
2010Q1,"3,328,424",13.92,3.31,"3,091,785",10.15,2.45,"1,939,265",-0.95,-0.24,"409,384",-2.35,-0.59,"743,136",58.60,12.22,"236,639",--,--,"2,423,241",50.93,10.84,"2,186,602",47.99,10.29,"3,462,324",7.99,1.94,"2,949,311",6.41,1.57,"1,880,132",-3.98,-1.01,"395,682",-2.67,-0.67,"673,497",52.40,11.11,"513,013",--,--,"2,526,612",30.42,6.86,"2,013,599",33.93,7.58
2010Q2,"3,421,189",11.62,2.79,"3,112,949",2.77,0.68,"1,969,822",6.45,1.58,"411,756",2.34,0.58,"731,371",-6.18,-1.58,"308,240",--,--,"2,559,849",24.53,5.64,"2,251,609",12.43,2.97,"3,555,103",11.16,2.68,"2,984,002",4.79,1.18,"1,914,102",7.43,1.81,"395,884",0.20,0.05,"674,016",0.31,0.08,"571,101",--,--,"2,651,183",21.23,4.93,"2,080,082",13.88,3.30
2010Q3,"3,434,491",1.56,0.39,"3,182,794",9.28,2.24,"1,986,286",3.39,0.84,"412,293",0.52,0.13,"784,215",32.19,7.23,"251,697",--,--,"2,526,526",-5.11,-1.30,"2,274,829",4.19,1.03,"3,584,383",3.34,0.82,"3,017,430",4.56,1.12,"1,926,768",2.67,0.66,"395,553",-0.33,-0.08,"695,109",13.12,3.13,"566,953",--,--,"2,663,098",1.81,0.45,"2,096,145",3.12,0.77
2010Q4,"3,367,995",-7.52,-1.94,"3,214,339",4.02,0.99,"2,029,161",8.92,2.16,"408,668",-3.47,-0.88,"776,510",-3.87,-0.98,"153,656",--,--,"2,491,500",-5.43,-1.39,"2,337,844",11.55,2.77,"3,613,259",3.26,0.81,"3,046,409",3.90,0.96,"1,957,253",6.48,1.58,"392,841",-2.71,-0.69,"696,315",0.70,0.17,"566,850",--,--,"2,713,771",7.83,1.90,"2,146,921",10.05,2.42
