期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1996,"7,906,075",8.64,"109,502",--,"8,015,577",8.49,"755,894",5.08,0,--,"7,259,683",8.45,-,-,"668,676",--,"6,591,007",9.90,"7,259,683",8.45,"-68,288",--,"7,191,395",8.68,"5,752,700",10.12,"1,438,695",3.30,"2,194,589",3.91,27.38,--,"7,953,510",5.54,"118,607",--,"8,072,117",5.38,"819,779",9.30,0,--,"7,252,338",4.89,"708,293",-,"647,757",--,"7,312,874",7.21,"7,960,631",6.24,"-74,045",--,"7,886,586",6.47,"6,262,622",6.97,"1,623,964",4.57,"2,443,743",6.11,30.27,--,99.40,2.93,--,--,99.30,2.94,92.21,-3.86,--,--,100.10,3.39,-,-,103.23,--,90.13,2.51,91.19,2.08,--,--,91.19,2.08,91.86,2.95,88.59,-1.22,89.80,-2.08,--,--
1997,"8,574,784",8.46,"89,611",--,"8,664,395",8.09,"812,352",7.47,"-3,511",--,"7,855,554",8.21,-,-,"705,845",--,"7,149,709",8.48,"7,855,554",8.21,"-63,404",--,"7,792,150",8.35,"6,247,746",8.61,"1,544,404",7.35,"2,356,756",7.39,27.20,--,"8,389,017",5.48,"96,027",--,"8,485,044",5.12,"895,314",9.21,"-14,813",--,"7,604,543",4.86,"875,452",-,"675,124",--,"7,804,871",6.73,"8,479,995",6.52,"-68,004",--,"8,411,991",6.66,"6,682,749",6.71,"1,729,242",6.48,"2,624,556",7.40,30.93,--,102.21,2.83,--,--,102.11,2.83,90.73,-1.61,--,--,103.30,3.20,-,-,104.55,--,91.61,1.64,92.64,1.59,--,--,92.63,1.58,93.49,1.77,89.31,0.81,89.80,0.00,--,--
1998,"9,204,174",7.34,"68,551",--,"9,272,725",7.02,"932,761",14.82,"-3,182",--,"8,343,146",6.21,-,-,"696,964",--,"7,646,182",6.94,"8,343,146",6.21,"-51,088",--,"8,292,058",6.42,"6,715,974",7.49,"1,576,084",2.05,"2,508,845",6.45,27.06,--,"8,679,815",3.47,"72,149",--,"8,751,964",3.15,"988,116",10.37,"-67,787",--,"7,831,635",2.99,"1,048,966",-,"664,059",--,"8,216,542",5.27,"8,880,601",4.72,"-53,922",--,"8,826,679",4.93,"7,065,784",5.73,"1,760,895",1.83,"2,749,011",4.74,31.41,--,106.04,3.75,--,--,105.95,3.76,94.40,4.04,--,--,106.53,3.13,-,-,104.96,--,93.06,1.58,93.95,1.41,--,--,93.94,1.41,95.05,1.67,89.50,0.21,91.26,1.63,--,--
1999,"9,649,049",4.83,"90,518",--,"9,739,567",5.03,"1,017,538",9.09,513,--,"8,721,516",4.54,-,-,"670,561",--,"8,050,955",5.29,"8,721,516",4.54,"-74,770",--,"8,646,746",4.28,"6,997,578",4.19,"1,649,168",4.64,"2,666,706",6.29,27.38,--,"9,198,098",5.97,"95,031",--,"9,293,129",6.18,"1,085,010",9.81,"-71,544",--,"8,279,663",5.72,"939,582",-,"652,434",--,"8,566,811",4.26,"9,219,245",3.81,"-78,778",--,"9,140,467",3.55,"7,291,034",3.19,"1,849,433",5.03,"2,934,443",6.75,31.58,--,104.90,-1.08,--,--,104.80,-1.09,93.78,-0.66,--,--,105.34,-1.12,-,-,102.78,--,93.98,0.99,94.60,0.69,--,--,94.60,0.70,95.98,0.98,89.17,-0.37,90.88,-0.42,--,--
2000,"10,187,394",5.58,"139,558",--,"10,326,952",6.03,"1,107,254",8.82,"5,661",--,"9,214,037",5.65,-,-,"661,851",--,"8,552,186",6.23,"9,214,037",5.65,"-81,336",--,"9,132,701",5.62,"7,350,642",5.05,"1,782,059",8.06,"2,889,313",8.35,27.98,--,"9,731,208",5.80,"144,788",--,"9,875,996",6.27,"1,192,937",9.95,"-65,060",--,"8,748,119",5.66,"900,071",-,"641,924",--,"9,006,266",5.13,"9,648,190",4.65,"-84,545",--,"9,563,645",4.63,"7,587,000",4.06,"1,976,645",6.88,"3,169,582",8.01,32.09,--,104.69,-0.20,--,--,104.57,-0.22,92.82,-1.02,--,--,105.33,-0.01,-,-,103.10,--,94.96,1.04,95.50,0.95,--,--,95.49,0.94,96.88,0.94,90.16,1.11,91.16,0.31,--,--
2001,"9,930,387",-2.52,"192,024",--,"10,122,411",-1.98,"1,193,448",7.78,0,--,"8,928,963",-3.09,-,-,"605,360",--,"8,323,603",-2.67,"8,928,963",-3.09,"-92,444",--,"8,836,519",-3.24,"7,419,027",0.93,"1,417,492",-20.46,"2,610,940",-9.63,25.79,--,"9,570,584",-1.65,"199,452",--,"9,770,036",-1.07,"1,285,467",7.76,0,--,"8,484,569",-3.01,"754,931",-,"589,022",--,"8,650,478",-3.95,"9,239,500",-4.24,"-96,210",--,"9,143,290",-4.40,"7,674,198",1.15,"1,469,092",-25.68,"2,754,559",-13.09,28.19,--,103.76,-0.89,--,--,103.61,-0.92,92.84,0.02,--,--,105.24,-0.09,-,-,102.77,--,96.22,1.33,96.64,1.19,--,--,96.64,1.20,96.67,-0.22,96.49,7.02,94.79,3.98,--,--
2002,"10,411,639",4.85,"242,502",--,"10,654,141",5.25,"1,234,946",3.48,"37,695",--,"9,381,500",5.07,-,-,"653,621",--,"8,727,879",4.86,"9,381,500",5.07,"-86,171",--,"9,295,329",5.19,"7,650,020",3.11,"1,645,309",16.07,"2,880,255",10.31,27.03,--,"10,074,337",5.26,"252,322",--,"10,326,659",5.70,"1,337,703",4.06,"28,520",--,"8,960,436",5.61,"748,456",-,"637,455",--,"9,071,437",4.87,"9,708,892",5.08,"-89,837",--,"9,619,055",5.20,"7,899,550",2.94,"1,719,505",17.05,"3,057,208",10.99,29.61,--,103.35,-0.40,--,--,103.17,-0.42,92.32,-0.56,--,--,104.70,-0.51,-,-,102.54,--,96.21,-0.01,96.63,-0.01,--,--,96.63,-0.01,96.84,0.18,95.69,-0.83,94.21,-0.61,--,--
2003,"10,696,257",2.73,"328,873",--,"11,025,130",3.48,"1,306,307",5.78,"-27,050",--,"9,745,873",3.88,-,-,"637,066",--,"9,108,807",4.36,"9,745,873",3.88,"-93,586",--,"9,652,287",3.84,"7,815,029",2.16,"1,837,258",11.67,"3,143,565",9.14,28.51,--,"10,443,993",3.67,"343,068",--,"10,787,061",4.46,"1,391,470",4.02,"4,199",--,"9,391,392",4.81,"649,993",-,"629,758",--,"9,411,627",3.75,"10,041,385",3.42,"-97,844",--,"9,943,541",3.37,"8,067,995",2.13,"1,875,546",9.07,"3,267,016",6.86,30.29,--,102.42,-0.90,--,--,102.21,-0.93,93.88,1.69,--,--,103.77,-0.89,-,-,101.16,--,96.78,0.59,97.06,0.44,--,--,97.07,0.46,96.86,0.02,97.96,2.37,96.22,2.13,--,--
2004,"11,365,292",6.25,"372,099",--,"11,737,391",6.46,"1,441,236",10.33,"-1,770",--,"10,297,925",5.66,-,-,"696,965",--,"9,600,960",5.40,"10,297,925",5.66,"-127,855",--,"10,170,070",5.36,"8,253,254",5.61,"1,916,816",4.33,"3,358,052",6.82,28.61,--,"11,090,474",6.19,"382,400",--,"11,472,874",6.36,"1,463,309",5.16,"-1,662",--,"10,011,227",6.60,"431,627",-,"708,350",--,"9,734,504",3.43,"10,442,854",4.00,"-131,459",--,"10,311,395",3.70,"8,417,696",4.33,"1,893,699",0.97,"3,357,008",2.75,29.26,--,102.48,0.06,--,--,102.31,0.10,98.49,4.91,--,--,102.86,-0.88,-,-,98.39,--,98.63,1.91,98.61,1.60,--,--,98.63,1.61,98.05,1.23,101.22,3.33,100.03,3.96,--,--
2005,"11,740,279",3.30,"290,866",--,"12,031,145",2.50,"1,510,609",4.81,"-21,030",--,"10,541,566",2.37,-,-,"719,123",--,"9,822,443",2.31,"10,541,566",2.37,"-137,211",--,"10,404,355",2.30,"8,553,973",3.64,"1,850,382",-3.47,"3,360,991",0.09,27.94,--,"11,612,093",4.70,"293,279",--,"11,905,372",3.77,"1,550,585",5.96,"3,910",--,"10,350,877",3.39,"268,904",-,"721,294",--,"9,898,487",1.68,"10,619,781",1.69,"-138,050",--,"10,481,731",1.65,"8,621,644",2.42,"1,860,087",-1.77,"3,410,672",1.60,28.65,--,101.10,-1.35,--,--,101.06,-1.22,97.42,-1.09,--,--,101.84,-0.99,-,-,99.70,--,99.23,0.61,99.26,0.66,--,--,99.26,0.64,99.22,1.19,99.48,-1.72,98.54,-1.49,--,--
