期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1987Q3,"849,540",12.32,"17,645",--,"867,185",11.95,"68,712",7.61,"-3,543",--,"802,016",12.74,-,-,"72,182",--,"729,834",12.25,"802,016",12.74,"-9,760",--,"792,256",11.84,"511,077",13.00,"281,179",9.79,"349,891",9.36,40.35,--,"1,095,995",11.94,"25,808",--,"1,121,803",11.51,"85,784",8.62,"-13,704",--,"1,049,723",12.90,"89,439",--,"82,881",--,"1,056,281",12.90,"1,139,162",13.38,"-14,302",--,"1,124,860",12.44,"771,706",10.43,"353,154",17.11,"438,938",15.35,39.13,--,77.51,0.34,--,--,77.30,0.39,80.10,-0.93,--,--,76.40,-0.14,-,-,87.09,--,69.09,-0.58,70.40,-0.56,--,--,70.43,-0.54,66.23,2.33,79.62,-6.25,79.71,-5.20,--,--
1987Q4,"846,225",8.95,"16,799",--,"863,024",7.98,"70,741",8.34,"2,345",--,"789,938",7.19,-,-,"74,060",--,"715,878",6.59,"789,938",7.19,"-6,477",--,"783,461",6.76,"526,073",14.50,"257,388",-6.20,"328,129",-3.40,38.02,--,"1,100,589",8.98,"24,542",--,"1,125,131",7.88,"87,794",8.97,"-7,913",--,"1,045,250",7.95,"92,842",--,"83,496",--,"1,054,596",8.08,"1,138,092",8.89,"-9,480",--,"1,128,612",8.45,"793,444",11.71,"335,168",1.46,"422,962",2.93,37.59,--,76.89,-0.03,--,--,76.70,0.09,80.58,-0.57,--,--,75.57,-0.71,-,-,88.70,--,67.88,-1.38,69.41,-1.56,--,--,69.42,-1.56,66.30,2.50,76.79,-7.55,77.58,-6.16,--,--
1988Q1,"828,496",6.64,"29,618",--,"858,114",7.31,"72,801",8.64,"-24,359",--,"809,672",8.93,-,-,"81,905",--,"727,767",8.57,"809,672",8.93,"-14,013",--,"795,659",7.57,"583,395",12.25,"212,264",-3.49,"285,065",-0.65,33.22,--,"1,068,349",6.48,"43,833",--,"1,112,182",7.24,"89,808",9.32,"-31,176",--,"1,053,550",9.27,"90,558",--,"95,186",--,"1,048,922",10.78,"1,144,108",11.23,"-20,772",--,"1,123,336",9.79,"839,781",10.27,"283,555",8.41,"373,363",8.63,33.57,--,77.55,0.14,--,--,77.16,0.08,81.06,-0.63,--,--,76.85,-0.31,-,-,86.05,--,69.38,-1.99,70.77,-2.08,--,--,70.83,-2.02,69.47,1.80,74.86,-10.97,76.35,-8.54,--,--
1988Q2,"853,736",4.22,"22,526",--,"876,262",4.90,"74,493",10.83,"-23,734",--,"825,503",8.93,-,-,"110,239",--,"715,264",9.49,"825,503",8.93,"-15,777",--,"809,726",7.26,"553,085",14.22,"256,641",-5.20,"331,134",-2.01,37.79,--,"1,121,616",4.53,"33,151",--,"1,154,767",5.25,"91,949",9.63,"-25,400",--,"1,088,218",6.88,"79,090",--,"132,854",--,"1,034,454",6.00,"1,167,308",6.04,"-23,256",--,"1,144,052",4.34,"816,991",10.71,"327,061",-8.77,"419,010",-5.28,36.29,--,76.12,-0.29,--,--,75.88,-0.34,81.02,1.10,--,--,75.86,1.92,-,-,82.98,--,69.14,3.29,70.72,2.73,--,--,70.78,2.80,67.70,3.19,78.47,3.92,79.03,3.46,--,--
1988Q3,"895,894",5.46,"20,263",--,"916,157",5.65,"77,000",12.06,"-24,617",--,"863,774",7.70,-,-,"81,968",--,"781,806",7.12,"863,774",7.70,"-14,531",--,"849,243",7.19,"594,362",16.30,"254,881",-9.35,"331,881",-5.15,36.23,--,"1,153,060",5.21,"29,277",--,"1,182,337",5.40,"94,351",9.99,"-38,459",--,"1,126,445",7.31,"97,350",--,"92,986",--,"1,130,809",7.06,"1,223,795",7.43,"-21,035",--,"1,202,760",6.93,"871,331",12.91,"331,429",-6.15,"425,780",-3.00,36.01,--,77.70,0.25,--,--,77.49,0.25,81.61,1.89,--,--,76.68,0.37,-,-,88.15,--,69.14,0.07,70.58,0.26,--,--,70.61,0.26,68.21,2.99,76.90,-3.42,77.95,-2.21,--,--
1988Q4,"910,424",7.59,"24,967",--,"935,391",8.39,"79,845",12.87,"-21,884",--,"877,430",11.08,-,-,"86,363",--,"791,067",10.50,"877,430",11.08,"-10,627",--,"866,803",10.64,"612,091",16.35,"254,712",-1.04,"334,557",1.96,35.77,--,"1,167,938",6.12,"35,714",--,"1,203,652",6.98,"96,886",10.36,"-34,059",--,"1,140,825",9.14,"89,306",--,"96,289",--,"1,133,842",7.51,"1,230,131",8.09,"-15,229",--,"1,214,902",7.65,"892,035",12.43,"322,867",-3.67,"419,753",-0.76,34.87,--,77.95,1.38,--,--,77.71,1.32,82.41,2.27,--,--,76.91,1.77,-,-,89.69,--,69.77,2.78,71.33,2.77,--,--,71.35,2.78,68.62,3.50,78.89,2.73,79.70,2.73,--,--
1989Q1,"942,223",13.73,"26,513",--,"968,736",12.89,"82,366",13.14,"-15,390",--,"901,760",11.37,-,-,"94,208",--,"807,552",10.96,"901,760",11.37,"-9,869",--,"891,891",12.09,"676,372",15.94,"215,519",1.53,"297,885",4.50,30.75,--,"1,181,716",10.61,"37,758",--,"1,219,474",9.65,"99,323",10.59,"-11,015",--,"1,131,166",7.37,"89,320",--,"103,345",--,"1,117,141",6.50,"1,220,486",6.68,"-14,078",--,"1,206,408",7.40,"930,991",10.86,"275,417",-2.87,"374,740",0.37,30.73,--,79.73,2.81,--,--,79.44,2.95,82.93,2.31,--,--,79.72,3.73,-,-,91.16,--,72.29,4.19,73.89,4.41,--,--,73.93,4.38,72.65,4.58,78.25,4.53,79.49,4.11,--,--
1989Q2,"984,015",15.26,"12,795",--,"996,810",13.76,"83,945",12.69,"-4,997",--,"917,862",11.19,-,-,"117,588",--,"800,274",11.89,"917,862",11.19,"-15,337",--,"902,525",11.46,"655,823",18.58,"246,702",-3.87,"330,647",-0.15,33.17,--,"1,239,811",10.54,"17,908",--,"1,257,719",8.92,"101,851",10.77,"-3,320",--,"1,159,188",6.52,"99,318",--,"131,249",--,"1,127,257",8.97,"1,258,506",7.81,"-21,501",--,"1,237,005",8.12,"923,462",13.03,"313,543",-4.13,"415,394",-0.86,33.03,--,79.37,4.27,--,--,79.26,4.45,82.42,1.73,--,--,79.18,4.38,-,-,89.59,--,70.99,2.68,72.93,3.13,--,--,72.96,3.08,71.02,4.90,78.68,0.27,79.60,0.72,--,--
1989Q3,"1,016,618",13.48,"28,675",--,"1,045,293",14.10,"86,755",12.67,"-7,606",--,"966,144",11.85,-,-,"103,063",--,"863,081",10.40,"966,144",11.85,"-14,357",--,"951,787",12.07,"712,152",19.82,"239,635",-5.98,"326,390",-1.65,31.22,--,"1,250,071",8.41,"39,719",--,"1,289,790",9.09,"104,687",10.95,"-35,722",--,"1,220,825",8.38,"121,943",--,"119,628",--,"1,223,140",8.17,"1,342,768",9.72,"-19,924",--,"1,322,844",9.98,"1,002,738",15.08,"320,106",-3.42,"424,793",-0.23,32.94,--,81.32,4.66,--,--,81.04,4.58,82.87,1.54,--,--,79.14,3.21,-,-,86.15,--,70.56,2.05,71.95,1.94,--,--,71.95,1.90,71.02,4.12,74.86,-2.65,76.84,-1.42,--,--
1989Q4,"1,060,371",16.47,"32,786",--,"1,093,157",16.87,"90,694",13.59,"9,385",--,"993,078",13.18,-,-,"93,148",--,"899,930",13.76,"993,078",13.18,"-16,077",--,"977,001",12.71,"723,362",18.18,"253,639",-0.42,"344,333",2.92,31.50,--,"1,303,161",11.58,"44,974",--,"1,348,135",12.00,"107,697",11.16,"-5,118",--,"1,245,556",9.18,"116,076",--,"108,097",--,"1,253,535",10.56,"1,361,632",10.69,"-22,096",--,"1,339,536",10.26,"1,005,459",12.72,"334,077",3.47,"441,774",5.25,32.77,--,81.37,4.39,--,--,81.09,4.35,84.21,2.18,--,--,79.73,3.67,-,-,86.17,--,71.79,2.90,72.93,2.24,--,--,72.94,2.23,71.94,4.84,75.92,-3.76,77.94,-2.21,--,--
