期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
2001M04,"135,900.715","8,336.272",0.062,"80,402.618","44,282.521","36,120.097","1,376.614",374.425,"11,438.526","5,588.853",105.543,"-7,890.026",276.160,"25,600.123","4,436.343",-,291.434,"4,144.909",424.745,124.690,752.348,4.182,"4,549.237",-,-,-,-
2001M05,"226,066.954","7,857.616",0.116,"103,810.130","53,362.126","50,448.004","2,529.737",381.192,"12,436.394","4,249.020",126.933,"40,130.850",942.881,"12,700.014","4,408.598",-,376.489,"4,032.109","30,909.514",129.651,820.322,2.240,"4,631.746",-,-,-,-
2001M06,"73,115.565","7,739.640",0.081,"31,078.976","10,635.933","20,443.043","1,314.917",214.471,"11,851.301","3,464.675",104.448,"-7,475.760",244.281,659.899,"4,062.272",-,319.291,"3,742.981","14,326.421",120.474,746.402,1.285,"4,661.782",-,-,-,-
2001M07,"159,532.957","7,559.113",0.683,"84,702.985","64,705.147","19,997.838","1,983.205",235.404,"11,830.987","3,090.711",105.535,"38,701.536",922.091,516.289,"3,869.185",-,255.586,"3,613.599",558.358,126.008,657.842,1.703,"4,671.322",-,-,-,-
2001M08,"52,244.519","7,949.662",3.829,"21,532.020","23,423.315","-1,891.295","1,505.909",201.098,"11,413.342","4,087.522",156.749,"-5,472.821",282.784,606.413,"3,822.709",-,187.844,"3,634.865",470.862,137.480,714.064,1.745,"4,831.152",-,-,-,-
2001M09,"78,353.161","6,185.551",-,"11,728.862","2,869.403","8,859.459","1,116.309",151.482,"9,900.540","2,296.871",128.773,"38,554.076",927.104,356.923,"2,142.906",-,122.801,"2,020.105",323.520,130.616,521.412,1.345,"3,886.871",-,-,-,-
2001M10,"47,737.620","8,289.668",0.123,"19,511.943","3,673.003","15,838.940","1,479.603",237.482,"10,093.500","3,299.192",181.056,"-5,020.994",229.104,688.432,"2,949.805",-,440.056,"2,509.749",282.004,124.738,628.831,1.671,"4,761.462",-,-,-,-
2001M11,"122,738.456","7,950.355",0.040,"12,568.499","1,698.699","10,869.800","2,396.844",181.677,"11,556.424","6,086.648",204.125,"39,542.685",867.503,531.528,"34,336.023",-,"31,101.859","3,234.164",266.935,126.749,694.553,1.788,"5,426.080",-,-,-,-
2001M12,"63,097.508","7,636.652",0.111,"13,581.548",839.460,"12,742.088","1,262.371",276.637,"10,055.342","10,054.707",316.161,"-6,055.120",328.149,229.508,"16,781.848",-,"14,933.943","1,847.905",228.374,142.956,793.328,1.854,"7,463.082",-,-,-,-
2002M01,"102,984.967","7,337.887",0.592,"18,205.728",754.356,"17,451.372","1,399.033",253.167,"9,744.891","11,617.966",292.310,"43,965.076",815.574,827.148,"2,545.174",-,666.146,"1,879.028",193.648,135.231,812.370,1.569,-,301.168,"4,534.364",2.071,-
2002M02,"44,876.136","4,993.627",3.890,"16,962.966",-391.710,"17,354.676","1,233.183",185.102,"11,641.603","4,716.195",133.080,"-2,117.696",234.368,723.265,"2,328.043",-,361.513,"1,966.530",152.423,115.768,542.361,0.702,-,"2,356.491",261.100,409.665,-
2002M03,"103,958.301","6,726.915",0.017,"20,872.593","1,586.985","19,285.608","1,722.210",367.427,"9,740.972","9,631.826",249.385,"38,383.376",866.015,"1,445.819","5,432.431",-,560.917,"4,871.514",189.633,151.331,925.761,3.117,-,"2,420.255","4,428.201",401.017,-
2002M04,"88,717.557","7,628.738",0.033,"15,193.103","1,197.003","13,996.100","1,674.420",426.570,"12,071.080","9,060.587",230.856,"1,595.580",298.984,"28,080.688","6,013.302",-,315.580,"5,697.722",851.223,134.940,"1,070.241",4.971,-,"3,458.761",213.869,709.611,-
2002M05,"225,297.220","7,350.402",0.111,"102,319.349","72,853.062","29,466.287","1,401.408",310.951,"12,239.158","5,935.029",261.250,"36,837.666",981.788,"10,790.315","5,347.984",-,321.793,"5,026.191","31,245.027",137.981,"1,050.745",3.183,-,"3,983.425","4,480.018",621.430,-
2002M06,"114,149.920","6,642.788",0.010,"67,588.543","15,745.786","51,842.757","1,749.953",455.517,"12,894.798","4,850.072",232.791,"-3,618.749",257.661,679.726,"4,376.217",-,207.578,"4,168.639","11,553.322",138.639,842.907,2.439,-,"4,570.309",272.567,660.410,-
2002M07,"122,966.690","7,622.457",0.842,"40,987.496","2,634.234","38,353.262","1,827.946",327.535,"12,470.025","5,337.517",266.802,"36,709.909",873.707,658.254,"4,669.447",-,143.469,"4,525.978",581.004,139.325,948.994,1.761,-,"4,091.450","4,079.982","1,372.237",-
2002M08,"52,618.299","7,181.535",4.403,"18,903.255","3,070.950","15,832.305","1,549.372",490.513,"13,488.479","4,890.925",216.499,"-5,087.630",286.100,623.450,"4,106.401",-,179.618,"3,926.783",466.779,138.176,801.549,1.336,-,"3,552.573",418.804,585.780,-
2002M09,"128,342.267","6,878.262",-,"53,988.712","52,222.379","1,766.333","1,802.527",255.975,"11,569.803","3,577.162",214.051,"33,833.324",905.119,445.430,"4,322.316",-,324.528,"3,997.788",384.510,150.438,751.087,1.064,-,"4,259.850","4,192.789",809.848,-
2002M10,"63,561.369","8,120.186",0.013,"26,597.623","10,079.768","16,517.855","1,761.333",279.390,"12,469.385","5,238.754",276.357,"-3,703.046",246.771,786.640,"4,992.024",-,707.041,"4,284.983",292.047,133.453,854.662,1.366,-,"4,038.881",278.244,897.286,-
2002M11,"99,180.553","7,340.353",0.001,"-6,804.496","1,925.756","-8,730.252","1,303.676",378.859,"13,083.570","6,317.507",274.663,"37,275.226",806.404,555.302,"30,538.277",-,"26,824.940","3,713.337",284.567,134.699,757.222,1.196,-,"3,487.761","2,685.977",759.789,-
2002M12,"78,947.571","8,077.393",0.127,"18,124.206","4,080.350","14,043.856","1,992.189",388.908,"12,227.716","5,620.895",215.982,661.656,338.951,269.762,"23,397.836",-,"19,556.251","3,841.585",269.601,138.808,903.915,0.655,346.450,"4,667.127",236.754,"1,068.640",-
2003M01,"96,974.999","7,715.596",0.693,"21,196.410","2,009.550","19,186.860","1,464.755",356.005,"10,814.893","7,075.944",243.271,"32,792.749",910.872,901.269,"4,809.795",-,589.902,"4,219.893",171.617,133.882,887.886,0.883,-,"3,490.975","3,463.124",544.380,-
2003M02,"47,248.911","5,350.712",3.904,"18,294.304",957.182,"17,337.122","1,636.523",263.871,"12,516.533","2,888.916",185.206,"-4,685.426",183.008,745.362,"3,730.012",-,417.412,"3,312.600",140.667,126.535,749.813,1.066,-,"4,104.065",182.513,831.327,-
2003M03,"87,647.613","6,963.907",0.144,"15,716.957","2,259.772","13,457.185","2,002.415",405.771,"10,389.468","3,198.158",215.603,"32,990.070",862.373,"1,578.456","4,112.935",-,358.478,"3,754.457",193.030,146.117,877.678,1.211,-,"3,442.134","3,783.815",767.371,-
2003M04,"82,597.290","7,374.339",0.039,"14,783.756","1,567.176","13,216.580","1,539.678",431.440,"12,248.316","3,762.954",290.517,"2,055.791",295.725,"28,800.433","4,181.069",-,432.397,"3,748.672",680.880,133.768,960.771,1.009,-,"3,991.796",126.772,938.237,-
2003M05,"191,809.697","7,690.896",0.100,"75,433.705","54,133.744","21,299.961","2,306.434",504.275,"12,775.624","3,197.476",265.300,"35,181.227",926.751,"11,397.957","4,699.930",-,361.993,"4,337.937","28,131.198",137.881,936.238,5.773,-,"3,973.850","3,493.628",751.454,-
2003M06,"176,941.618","6,607.113",0.036,"125,665.268","64,280.255","61,385.013","2,037.052",327.968,"11,978.851","6,861.887",353.286,"-4,793.526",371.886,797.317,"4,448.053",-,277.317,"4,170.736","15,858.923",133.097,897.860,2.193,-,"4,469.475",147.321,777.558,-
2003M07,"96,169.246","6,689.075",3.090,"13,717.128","5,098.455","8,618.673","2,600.856",397.630,"11,832.169","10,321.506",593.426,"33,130.953",982.409,759.352,"4,949.927",-,198.167,"4,751.760",790.200,150.078,"1,015.529",1.161,-,"3,852.892","3,680.501",701.364,-
2003M08,"60,865.735","6,041.043",1.699,"20,802.999","2,971.353","17,831.646","2,484.461",625.165,"12,786.772","7,174.534",500.474,"-1,710.677",477.949,631.744,"4,555.691",-,308.139,"4,247.552",461.617,152.756,922.603,0.940,-,"4,273.159",86.436,596.370,-
2003M09,"144,000.904","6,373.418",0.021,"65,077.781","62,111.548","2,966.233","1,476.546",465.991,"11,020.687","6,228.414",547.699,"35,323.532",904.215,526.703,"5,498.616",-,190.002,"5,308.614",625.527,195.050,946.725,0.869,-,"4,339.105","3,576.823",873.182,-
2003M10,"72,725.630","7,097.422",0.021,"27,019.413","12,374.630","14,644.783","1,970.422",336.372,"14,139.846","7,395.289",566.645,"-1,254.952",397.212,722.126,"6,927.057",-,782.071,"6,144.986",379.966,146.105,"1,071.606",0.862,-,"4,487.092",176.382,"1,146.744",-
2003M11,"101,745.438","6,800.516",0.067,"-4,637.445","1,639.223","-6,276.668","1,190.135",777.761,"10,385.044","6,045.776",535.840,"36,764.542",931.922,580.045,"32,148.539",-,"25,155.621","6,992.918",279.631,149.415,"1,028.170",0.747,-,"3,975.907","3,644.406","1,144.420",-
2003M12,"94,039.137","8,078.727",0.373,"18,016.696","4,280.009","13,736.687","3,961.994",542.707,"15,123.308","5,132.351",508.437,"1,726.720",541.579,324.212,"31,741.360",-,"21,690.536","10,050.824",299.494,146.426,"1,305.470",1.173,-,"5,372.181",71.545,"1,144.384",-
