期間,總計_原始值,總計_年增率(%),一般政務支出_原始值,一般政務支出_年增率(%),國防支出_原始值,國防支出_年增率(%),教育科學文化支出-合計_原始值,教育科學文化支出-合計_年增率(%),教育支出_原始值,教育支出_年增率(%),科學支出_原始值,科學支出_年增率(%),文化支出_原始值,文化支出_年增率(%),經濟發展支出-合計_原始值,經濟發展支出-合計_年增率(%),農業支出_原始值,農業支出_年增率(%),工業支出_原始值,工業支出_年增率(%),交通支出_原始值,交通支出_年增率(%),其他經濟服務支出_原始值,其他經濟服務支出_年增率(%),社會福利支出-合計_原始值,社會福利支出-合計_年增率(%),社會保險支出_原始值,社會保險支出_年增率(%),社會救助支出_原始值,社會救助支出_年增率(%),福利服務支出_原始值,福利服務支出_年增率(%),國民就業支出_原始值,國民就業支出_年增率(%),醫療保健支出_原始值,醫療保健支出_年增率(%),社區發展及環境保護支出-合計_原始值,社區發展及環境保護支出-合計_年增率(%),社區發展支出_原始值,社區發展支出_年增率(%),環境保護支出_原始值,環境保護支出_年增率(%),退休撫恤支出_原始值,退休撫恤支出_年增率(%),債務支出_原始值,債務支出_年增率(%),雜項支出_原始值,雜項支出_年增率(%)
1991,"1,275,612,966",16.23,"153,277,555",21.86,"227,099,170",7.64,"288,076,713",26.75,"204,697,110",...,"45,678,509",...,"37,701,094",...,"322,087,225",6.55,"69,533,949",...,"28,024,490",...,"185,715,276",...,"38,813,510",...,"117,771,908",22.42,"33,378,237",...,"13,581,114",...,"46,373,817",...,"2,851,351",...,"21,587,389",...,"33,089,405",5.89,"8,199,618",...,"24,889,787",...,"88,320,429",15.84,"33,398,450",99.33,"12,492,111",16.22
1992,"1,561,930,419",22.45,"198,347,532",29.40,"239,397,750",5.42,"324,834,496",12.76,"260,857,835",27.44,"45,094,216",-1.28,"18,882,445",-49.92,"461,820,660",43.38,"196,127,272",182.06,"76,753,332",173.88,"108,383,334",-41.64,"80,556,722",107.55,"135,040,121",14.66,"46,765,305",40.11,"6,333,501",-53.37,"53,780,006",15.97,"2,800,759",-1.77,"25,360,550",17.48,"63,041,974",90.52,"16,414,338",100.18,"46,627,636",87.34,"94,974,892",7.53,"33,936,270",1.61,"10,536,724",-15.65
1993,"1,756,306,405",12.44,"208,961,440",5.35,"253,510,856",5.90,"350,350,636",7.86,"282,419,012",8.27,"44,142,594",-2.11,"23,789,030",25.98,"545,650,731",18.15,"71,604,248",-63.49,"128,415,516",67.31,"257,712,650",137.78,"87,918,317",9.14,"145,758,829",7.94,"47,640,393",1.87,"9,607,098",51.69,"57,838,334",7.55,"3,254,224",16.19,"27,418,780",8.12,"72,162,750",14.47,"18,676,812",13.78,"53,485,938",14.71,"102,076,160",7.48,"63,893,884",88.28,"13,941,119",32.31
1994,"1,826,367,353",3.99,"216,068,756",3.40,"321,821,071",26.95,"382,197,378",9.09,"313,143,923",10.88,"43,001,734",-2.58,"26,051,721",9.51,"468,080,258",-14.22,"129,709,888",81.15,"54,617,296",-57.47,"216,267,494",-16.08,"67,485,580",-23.24,"158,523,241",8.76,"50,490,710",5.98,"9,745,276",1.44,"65,957,161",14.04,"3,545,353",8.95,"28,784,741",4.98,"81,543,082",13.00,"22,968,344",22.98,"58,574,738",9.51,"111,237,222",8.97,"75,179,093",17.66,"11,717,252",-15.95
1995,"1,910,066,033",4.58,"222,402,786",2.93,"269,959,596",-16.12,"357,487,107",-6.47,"287,895,764",-8.06,"43,990,589",2.30,"25,600,754",-1.73,"438,151,793",-6.39,"89,798,540",-30.77,"36,028,060",-34.04,"264,186,155",22.16,"48,139,038",-28.67,"231,765,959",46.20,"94,748,863",87.66,"20,967,654",115.16,"83,448,718",26.52,"3,312,578",-6.57,"29,288,146",1.75,"65,308,700",-19.91,"17,077,372",-25.65,"48,231,328",-17.66,"118,121,466",6.19,"194,890,438",159.23,"11,978,188",2.23
1996,"1,843,786,165",-3.47,"243,973,347",9.70,"284,925,872",5.54,"374,401,210",4.73,"297,999,459",3.51,"50,453,333",14.69,"25,948,418",1.36,"329,134,666",-24.88,"86,219,699",-3.99,"24,728,502",-31.36,"168,164,969",-36.35,"50,021,496",3.91,"290,002,141",25.13,"125,545,340",32.50,"30,221,953",44.14,"100,833,486",20.83,"4,368,643",31.88,"29,032,719",-0.87,"68,035,315",4.17,"18,785,115",10.00,"49,250,200",2.11,"137,117,578",16.08,"106,061,008",-45.58,"10,135,028",-15.39
1997,"1,878,763,513",1.90,"244,756,745",0.32,"291,919,522",2.45,"375,822,384",0.38,"296,075,771",-0.65,"51,689,179",2.45,"28,057,434",8.13,"295,035,356",-10.36,"103,823,237",20.42,"18,415,768",-25.53,"132,232,818",-21.37,"40,563,533",-18.91,"294,982,386",1.72,"114,479,778",-8.81,"36,000,330",19.12,"111,140,605",10.22,"4,980,913",14.02,"28,380,760",-2.25,"68,614,425",0.85,"16,838,375",-10.36,"51,776,050",5.13,"179,722,760",31.07,"115,630,059",9.02,"12,279,876",21.16
1998,"1,992,593,487",6.06,"257,264,520",5.11,"312,285,876",6.98,"411,513,339",9.50,"326,163,029",10.16,"55,076,952",6.55,"30,273,358",7.90,"335,012,037",13.55,"109,785,707",5.74,"20,675,979",12.27,"141,243,177",6.81,"63,307,174",56.07,"282,766,789",-4.14,"116,843,162",2.06,"24,999,736",-30.56,"110,149,276",-0.89,"3,466,247",-30.41,"27,308,368",-3.78,"74,850,497",9.09,"16,801,309",-0.22,"58,049,188",12.12,"187,673,352",4.42,"115,895,991",0.23,"15,331,086",24.85
1999,"2,050,003,571",2.88,"279,112,624",8.49,"286,571,397",-8.23,"429,126,802",4.28,"333,217,766",2.16,"60,649,587",10.12,"35,259,449",16.47,"351,102,571",4.80,"98,947,434",-9.87,"21,040,941",1.77,"185,600,679",31.41,"45,513,517",-28.11,"280,452,253",-0.82,"111,787,882",-4.33,"23,603,337",-5.59,"114,610,225",4.05,"3,631,358",4.76,"26,819,451",-1.79,"90,310,238",20.65,"34,320,408",104.27,"55,989,830",-3.55,"180,581,725",-3.78,"140,910,319",21.58,"11,835,642",-22.80
2000,"3,140,936,188",53.22,"468,033,171",67.69,"357,757,242",24.84,"655,109,375",52.66,"517,069,882",55.17,"93,190,557",53.65,"44,848,936",27.20,"474,894,665",35.26,"140,334,855",41.83,"49,436,535",134.95,"218,688,201",17.83,"66,435,074",45.97,"531,808,684",89.63,"214,917,147",92.25,"94,368,148",299.81,"179,132,616",56.30,"3,271,125",-9.92,"40,119,648",49.59,"106,102,196",17.49,"36,884,909",7.47,"69,217,287",23.62,"265,079,307",46.79,"270,251,762",91.79,"11,899,786",0.54
2001,"2,271,755,089",-27.67,"328,736,317",-29.76,"247,596,630",-30.79,"430,077,788",-34.35,"326,657,881",-36.83,"67,846,600",-27.20,"35,573,307",-20.68,"398,792,298",-16.03,"128,098,837",-8.72,"23,180,271",-53.11,"201,420,962",-7.90,"46,092,228",-30.62,"396,980,708",-25.35,"201,574,123",-6.21,"39,016,143",-58.66,"126,861,977",-29.18,"2,899,722",-11.35,"26,628,743",-33.63,"109,597,063",3.29,"63,359,501",71.78,"46,237,562",-33.20,"175,722,182",-33.71,"171,565,232",-36.52,"12,686,871",6.61
2002,"2,144,993,677",-5.58,"325,814,942",-0.89,"225,243,316",-9.03,"437,755,693",1.79,"339,731,333",4.00,"69,838,992",2.94,"28,185,368",-20.77,"405,256,604",1.62,"110,932,362",-13.40,"17,695,018",-23.66,"192,982,966",-4.19,"83,646,258",81.48,"323,614,630",-18.48,"153,353,051",-23.92,"19,649,324",-49.64,"120,266,451",-5.20,"2,613,172",-9.88,"27,732,632",4.15,"71,702,031",-34.58,"20,541,578",-67.58,"51,160,453",10.65,"170,988,093",-2.69,"170,966,391",-0.35,"13,651,977",7.61
