期間,總指數(含食物)_原始值,總指數(含食物)_年增率(%),商品類(含食物)_原始值,商品類(含食物)_年增率(%),商品類(不含食物)_原始值,商品類(不含食物)_年增率(%),非耐久性消費品(含食物)_原始值,非耐久性消費品(含食物)_年增率(%),非耐久性消費品(不含食物)_原始值,非耐久性消費品(不含食物)_年增率(%),半耐久性消費品_原始值,半耐久性消費品_年增率(%),耐久性消費品_原始值,耐久性消費品_年增率(%),服務類_原始值,服務類_年增率(%),外食費_原始值,外食費_年增率(%),衣著服務_原始值,衣著服務_年增率(%),居住服務_原始值,居住服務_年增率(%),交通及通訊服務_原始值,交通及通訊服務_年增率(%),醫藥保健服務_原始值,醫藥保健服務_年增率(%),教養娛樂服務_原始值,教養娛樂服務_年增率(%),教養服務_原始值,教養服務_年增率(%),娛樂服務_原始值,娛樂服務_年增率(%),雜項服務_原始值,雜項服務_年增率(%)
2006M04,93.15,1.23,90.09,1.70,93.77,1.50,85.18,3.51,85.30,5.73,98.01,-2.65,108.93,-2.03,95.89,0.81,88.68,0.72,91.92,1.46,98.92,0.23,100.69,-0.94,96.53,7.35,92.79,1.62,97.40,1.41,84.56,2.22,98.49,0.55
2006M05,94.00,1.59,91.62,2.21,94.36,1.97,87.35,4.31,86.68,6.99,97.35,-3.63,108.91,-1.58,96.10,1.02,88.64,0.60,91.92,1.38,98.95,0.22,100.84,-0.69,96.53,7.35,92.93,1.72,97.36,1.36,85.13,2.69,101.52,4.11
2006M06,94.43,1.73,92.49,2.92,94.13,1.76,89.02,5.22,87.46,6.28,95.31,-3.16,108.20,-1.85,96.10,0.67,88.79,0.62,91.92,1.38,98.98,0.22,101.06,-0.15,96.66,5.48,93.32,1.97,97.35,1.35,86.51,3.70,98.55,-3.23
2006M07,94.64,0.79,92.81,1.02,93.94,3.03,89.83,1.98,88.05,7.57,92.89,-1.46,108.62,-1.25,96.21,0.57,88.73,0.25,91.92,1.38,98.99,0.24,101.27,-0.96,96.66,3.42,93.74,1.82,96.97,1.33,88.81,3.14,98.55,0.32
2006M08,94.07,-0.56,91.60,-1.74,93.32,2.50,88.74,-1.87,88.22,6.48,90.30,-1.56,108.32,-1.27,96.24,0.51,88.72,0.33,91.92,1.38,99.04,0.29,101.20,-1.06,96.66,1.52,93.90,1.93,96.94,1.07,89.43,4.19,98.52,0.38
2006M09,93.56,-1.24,90.64,-2.81,93.11,2.31,87.66,-3.28,88.32,6.22,89.36,-2.07,108.17,-1.12,96.17,0.24,89.05,0.86,91.92,2.04,99.07,0.29,101.01,-1.36,96.66,1.40,93.33,1.27,97.04,0.58,87.27,3.16,98.53,-3.10
2006M10,93.53,-1.19,90.37,-3.25,93.51,1.43,86.04,-3.78,85.99,4.99,96.12,-2.66,108.10,-1.15,96.38,0.74,89.38,0.83,91.92,1.73,99.10,0.31,101.10,0.27,96.77,1.08,93.41,1.09,97.04,0.36,87.55,3.08,100.78,3.33
2006M11,93.45,0.24,90.48,-0.03,94.18,2.34,85.68,0.28,86.00,5.68,98.79,-0.61,108.10,-1.02,96.11,0.50,88.65,0.45,91.92,1.73,99.10,0.32,101.05,0.14,96.68,0.82,93.29,1.06,97.07,0.39,87.05,2.87,98.39,0.21
2006M12,93.65,0.68,90.83,0.90,94.30,2.95,86.41,1.36,86.86,6.29,97.21,0.01,108.31,-0.50,96.15,0.46,88.85,0.28,91.79,1.58,99.13,0.34,101.03,0.16,96.68,0.82,93.36,1.01,97.07,0.38,87.28,2.66,98.17,-0.01
2007M01,93.45,0.35,90.32,1.95,93.27,2.87,86.27,2.45,86.29,5.03,94.26,1.68,108.38,-0.23,96.26,-1.03,89.34,0.46,91.78,0.49,99.12,0.17,101.13,0.12,96.68,0.52,93.45,0.54,97.31,0.52,87.04,0.61,98.23,-20.33
2007M02,93.81,1.75,89.03,1.12,92.87,2.26,85.05,1.35,86.80,3.94,91.34,1.66,108.62,-0.53,98.18,2.28,89.45,0.53,92.22,0.59,99.29,0.45,101.78,0.79,96.68,0.49,96.06,3.23,97.53,0.13,95.39,11.62,121.87,23.51
2007M03,92.72,0.85,88.63,1.11,92.79,1.84,84.87,1.58,87.48,3.66,89.39,0.28,108.78,-0.34,96.43,0.62,89.49,0.66,92.22,0.45,99.13,0.24,101.30,0.68,96.82,0.61,93.97,1.34,97.53,0.13,88.28,4.63,98.33,0.44
2007M04,93.79,0.69,90.88,0.88,95.85,2.22,86.05,1.02,88.64,3.92,98.99,1.00,108.96,0.03,96.38,0.51,89.02,0.38,92.22,0.33,99.13,0.21,101.26,0.57,96.82,0.30,94.10,1.41,97.55,0.15,88.68,4.87,98.36,-0.13
2007M05,93.98,-0.02,91.19,-0.47,96.08,1.82,86.54,-0.93,89.24,2.95,98.90,1.59,108.59,-0.29,96.46,0.37,89.28,0.72,92.22,0.33,99.15,0.20,101.27,0.43,96.82,0.30,94.23,1.40,97.57,0.22,89.07,4.63,98.31,-3.16
2007M06,94.55,0.13,92.10,-0.42,96.44,2.45,88.21,-0.91,91.00,4.05,97.07,1.85,107.88,-0.30,96.70,0.62,89.12,0.37,92.22,0.33,99.23,0.25,101.38,0.32,96.82,0.17,94.76,1.54,97.57,0.23,90.84,5.01,100.57,2.05
