期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),02肉類_原始值,02肉類_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 2 類植物產品_原始值,第 2 類植物產品_年增率(%),黃豆_原始值,黃豆_年增率(%),玉米_原始值,玉米_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),22飲料及酒類_原始值,22飲料及酒類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),25粗鹽、石料及水泥_原始值,25粗鹽、石料及水泥_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),原油_原始值,原油_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),34界面活性劑、潤滑劑及擦光料_原始值,34界面活性劑、潤滑劑及擦光料_年增率(%),37感光或電影用品_原始值,37感光或電影用品_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第 8 類皮革及其製品_原始值,第 8 類皮革及其製品_年增率(%),第 9 類木及木製品_原始值,第 9 類木及木製品_年增率(%),44木及木製品_原始值,44木及木製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),47木漿及回收紙製品_原始值,47木漿及回收紙製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),62非針、鉤針織之衣著_原始值,62非針、鉤針織之衣著_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%)
2006M04,72.07,5.00,60.73,7.68,58.73,9.90,87.93,25.02,46.27,-9.11,47.87,-18.21,41.32,-7.19,70.50,4.91,82.95,-0.66,55.02,24.59,73.35,-2.36,56.50,26.03,60.31,37.13,71.91,-2.71,71.49,25.49,63.41,-4.83,74.44,-0.16,70.44,3.91,80.94,4.17,91.17,-0.83,66.71,-2.39,76.02,-4.28,40.69,7.33,71.41,-0.04,76.65,-1.33,76.65,-1.33,73.07,-0.40,64.28,-2.64,81.50,1.27,60.53,-1.83,89.93,-1.54,82.53,-10.04,82.53,-10.04,68.14,19.88,57.55,-4.00,77.49,18.41,72.15,65.48,97.03,29.43,97.46,-5.20,80.90,-4.29,110.03,-5.80,71.20,-5.16,71.20,-5.16,91.46,-3.78,91.17,-3.92,84.04,-0.67
2006M05,74.03,9.25,61.05,7.05,58.73,8.18,87.93,25.02,46.60,-6.29,48.19,-15.28,41.18,-5.72,73.46,9.25,84.24,0.23,55.98,29.31,73.85,-0.67,57.59,31.27,60.78,43.48,73.52,2.88,69.99,26.84,65.37,4.01,75.51,1.02,70.34,5.11,81.53,5.01,92.60,1.08,68.26,0.32,77.20,-1.72,43.08,10.49,72.99,2.54,78.54,0.33,78.54,0.33,74.06,2.35,66.33,3.85,81.54,1.25,60.86,-0.65,90.55,-0.85,83.41,-9.30,83.41,-9.30,74.87,36.13,58.80,2.55,79.10,16.96,88.09,107.61,105.29,48.00,98.68,-3.92,82.75,-2.23,110.65,-5.03,72.75,-3.18,72.75,-3.18,92.70,-2.57,92.45,-2.68,85.57,1.28
2006M06,74.15,9.37,61.32,6.66,61.10,10.81,87.93,25.02,47.17,-4.69,48.44,-14.63,40.98,-5.45,72.53,8.30,82.57,-1.56,56.34,23.82,73.85,-0.49,57.98,25.09,61.49,29.81,75.56,9.13,59.67,12.46,69.14,16.18,74.74,0.44,69.96,3.06,81.20,5.18,92.55,1.30,69.10,4.41,77.75,2.30,44.58,14.54,73.64,4.14,79.69,1.58,79.69,1.58,75.65,5.17,69.04,9.22,82.13,2.28,60.93,-0.99,90.34,-1.11,86.32,3.94,86.32,3.94,73.68,35.17,60.10,8.82,78.23,4.06,85.68,92.50,95.74,35.23,98.37,-3.12,81.77,-2.46,110.96,-3.55,72.13,-3.41,72.13,-3.41,91.88,-2.79,91.60,-2.91,84.11,0.18
2006M07,75.45,10.87,62.22,9.83,62.87,15.06,87.93,25.02,47.31,-5.08,47.63,-18.60,42.43,-2.05,75.90,14.86,82.91,0.36,58.33,24.13,74.35,1.05,60.21,25.33,64.12,29.72,77.77,12.35,56.91,2.41,71.97,20.49,74.52,0.80,69.88,3.40,81.36,4.32,96.23,6.33,69.59,2.44,78.56,0.81,44.24,10.24,73.40,3.67,80.07,2.13,80.07,2.13,76.52,6.15,71.00,12.91,82.02,1.40,61.31,-0.24,90.35,-1.57,83.39,5.10,83.39,5.10,76.54,41.19,61.15,12.26,77.92,-1.39,90.01,94.83,96.12,34.00,97.96,-2.72,81.33,-1.37,110.58,-3.60,71.71,-2.54,71.71,-2.54,91.48,-2.55,91.19,-2.65,83.65,0.95
2006M08,75.99,9.92,63.73,10.13,64.16,8.60,92.01,30.83,48.37,1.11,49.23,-11.76,43.53,5.86,75.28,13.87,82.55,0.43,58.58,18.01,74.93,1.48,60.49,18.56,64.29,21.95,78.56,13.17,51.98,-8.13,73.25,22.43,74.42,0.50,69.78,1.23,81.38,3.83,96.85,6.82,70.05,2.98,79.83,2.05,42.68,7.43,73.86,3.34,79.84,2.33,79.84,2.33,76.84,6.59,71.49,13.06,82.19,2.00,61.51,0.26,89.94,-1.95,80.05,0.20,80.05,0.20,78.21,42.28,61.60,11.29,78.33,-1.38,90.56,90.93,95.74,31.20,98.36,-2.76,81.09,-2.29,111.54,-3.07,71.59,-2.82,71.59,-2.82,91.50,-2.82,91.29,-2.85,81.91,-0.91
2006M09,74.73,7.65,65.56,11.82,66.17,4.82,96.34,36.98,49.18,6.20,49.17,-6.41,45.19,13.63,74.97,14.62,82.28,2.40,53.75,6.65,75.15,5.61,55.05,6.03,56.71,6.84,78.35,10.80,51.22,-17.61,73.03,18.04,74.19,0.77,70.28,3.60,81.12,3.65,96.69,6.71,70.15,2.33,80.61,2.31,41.12,2.42,74.40,4.44,79.58,3.74,79.58,3.74,77.70,7.84,72.93,15.12,82.54,2.66,61.37,0.33,89.86,-1.99,81.83,10.97,81.83,10.97,79.40,42.96,64.51,15.53,78.96,-0.40,89.15,85.19,93.41,30.28,99.03,-1.72,80.69,-2.35,113.16,-1.30,71.25,-2.76,71.25,-2.76,91.49,-2.60,91.28,-2.61,81.66,0.25
2006M10,73.98,7.83,66.81,15.41,64.98,5.35,96.59,37.34,52.21,14.22,52.04,0.81,49.78,29.03,73.20,13.30,81.62,-0.41,50.69,3.68,75.79,6.51,51.60,2.75,52.51,4.66,78.21,9.37,51.80,-22.23,72.32,14.05,73.77,-0.24,70.58,2.32,80.69,3.70,99.27,10.12,69.64,0.42,79.53,-0.33,42.05,4.01,74.15,4.35,81.09,5.85,81.09,5.85,78.18,8.30,73.95,16.92,82.54,2.20,61.23,0.25,89.25,-2.89,80.87,11.02,80.87,11.02,81.36,48.09,64.22,19.26,78.54,0.51,89.10,78.27,98.83,31.48,98.89,-0.77,80.06,-1.65,113.47,-0.22,70.97,-1.66,70.97,-1.66,91.12,-1.92,90.89,-1.91,79.88,-2.99
2006M11,74.01,9.48,69.33,20.22,66.63,7.33,96.83,37.68,57.46,24.29,55.41,10.42,58.69,45.71,73.94,13.84,82.48,0.84,49.80,5.80,75.79,6.51,50.59,5.02,52.01,9.61,77.81,11.67,53.31,-22.32,71.50,17.64,74.12,0.94,70.80,4.90,80.94,4.17,99.43,10.77,68.41,0.16,78.69,0.09,39.90,0.48,76.37,7.85,81.83,7.43,81.83,7.43,78.55,9.72,74.50,19.14,82.75,3.09,62.12,2.22,89.41,-1.94,82.56,15.07,82.56,15.07,81.92,48.62,65.22,24.09,78.91,2.28,84.29,61.38,99.95,28.45,99.21,0.18,80.65,0.49,113.53,-0.02,71.33,0.56,71.33,0.56,91.27,-0.93,91.05,-0.88,80.14,-2.34
2006M12,74.58,10.10,73.02,26.73,69.38,15.54,97.08,38.04,59.71,28.00,55.40,8.10,62.58,52.71,74.28,13.30,83.16,0.92,50.78,5.81,75.79,6.12,51.69,5.06,53.61,7.01,77.96,14.77,56.51,-23.27,71.60,23.53,74.26,0.99,71.73,5.95,81.33,4.07,99.31,11.68,68.39,2.21,79.03,2.98,39.00,-1.47,78.60,11.10,82.30,7.86,82.30,7.86,79.84,12.53,76.75,25.47,83.18,3.63,62.61,3.54,89.39,-1.54,81.38,13.48,81.38,13.48,82.87,47.32,66.55,30.62,78.92,2.33,81.11,46.81,103.54,23.54,98.86,0.26,80.79,0.55,112.75,0.07,71.59,0.87,71.59,0.87,91.47,-0.63,91.26,-0.56,80.46,-2.98
2007M01,72.85,5.29,71.48,16.27,68.42,14.97,97.08,10.41,59.90,27.72,58.69,12.43,60.59,47.03,75.13,9.46,84.38,-0.85,47.56,-5.69,75.89,5.65,48.07,-7.45,47.78,-12.07,77.99,12.54,59.97,-19.10,71.45,19.86,73.72,-1.14,72.09,3.97,82.09,4.08,100.05,11.43,68.74,3.23,79.04,3.81,40.19,0.50,78.33,10.25,84.16,9.07,84.16,9.07,80.22,12.80,78.26,26.80,82.53,3.03,63.29,4.23,89.20,-1.46,80.28,6.02,80.28,6.02,79.82,38.79,67.53,33.70,78.08,0.08,71.68,26.98,102.24,16.58,97.74,-1.59,79.90,-2.32,111.45,-1.11,71.18,-0.56,71.18,-0.56,90.68,-2.26,90.44,-2.27,79.41,-6.82
