期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),02肉類_原始值,02肉類_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 2 類植物產品_原始值,第 2 類植物產品_年增率(%),黃豆_原始值,黃豆_年增率(%),玉米_原始值,玉米_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),22飲料及酒類_原始值,22飲料及酒類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),25粗鹽、石料及水泥_原始值,25粗鹽、石料及水泥_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),原油_原始值,原油_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),34界面活性劑、潤滑劑及擦光料_原始值,34界面活性劑、潤滑劑及擦光料_年增率(%),37感光或電影用品_原始值,37感光或電影用品_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第 8 類皮革及其製品_原始值,第 8 類皮革及其製品_年增率(%),第 9 類木及木製品_原始值,第 9 類木及木製品_年增率(%),44木及木製品_原始值,44木及木製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),47木漿及回收紙製品_原始值,47木漿及回收紙製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),62非針、鉤針織之衣著_原始值,62非針、鉤針織之衣著_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%)
1989M06,58.44,-7.24,48.88,5.19,-,-,-,-,42.80,-3.58,-,-,-,-,40.12,-11.73,-,-,-,-,-,-,16.09,3.47,-,-,58.37,-4.04,-,-,43.63,-3.69,-,-,-,-,-,-,-,-,47.55,-22.93,54.27,-24.34,28.73,-14.39,53.37,-8.64,45.68,-8.44,-,-,65.37,-7.30,-,-,-,-,63.04,-13.81,-,-,-,-,-,-,36.44,-3.37,-,-,-,-,29.52,0.24,68.93,-28.38,-,-,-,-,-,-,52.65,-13.52,-,-,-,-,-,-,-,-
1989M07,57.50,-8.37,48.56,1.63,-,-,-,-,41.39,-7.43,-,-,-,-,39.43,-14.71,-,-,-,-,-,-,15.67,5.10,-,-,56.09,-9.97,-,-,40.83,-13.48,-,-,-,-,-,-,-,-,45.61,-25.79,51.89,-27.39,28.05,-16.14,53.73,-3.40,46.19,-6.29,-,-,63.91,-12.18,-,-,-,-,62.90,-9.35,-,-,-,-,-,-,35.92,-6.48,-,-,-,-,28.76,-3.49,66.56,-30.67,-,-,-,-,-,-,53.16,-9.99,-,-,-,-,-,-,-,-
1989M08,56.46,-10.37,48.18,1.60,-,-,-,-,39.67,-18.31,-,-,-,-,38.75,-15.82,-,-,-,-,-,-,15.15,1.54,-,-,53.05,-15.08,-,-,37.07,-21.89,-,-,-,-,-,-,-,-,44.67,-27.48,50.64,-29.38,27.97,-15.96,53.79,-3.89,46.03,-5.58,-,-,62.77,-14.27,-,-,-,-,62.16,-7.39,-,-,-,-,-,-,36.02,-6.73,-,-,-,-,31.39,7.50,63.49,-31.79,-,-,-,-,-,-,52.72,-10.26,-,-,-,-,-,-,-,-
1989M09,56.14,-10.87,47.68,-0.77,-,-,-,-,38.80,-18.07,-,-,-,-,38.89,-14.73,-,-,-,-,-,-,15.40,12.99,-,-,52.31,-17.27,-,-,35.95,-24.87,-,-,-,-,-,-,-,-,44.39,-28.69,50.29,-30.31,27.92,-19.03,53.29,-2.06,45.90,-6.48,-,-,61.88,-15.97,-,-,-,-,61.69,-9.51,-,-,-,-,-,-,35.93,-8.71,-,-,-,-,31.86,1.18,62.81,-32.15,-,-,-,-,-,-,51.85,-13.57,-,-,-,-,-,-,-,-
1989M10,56.20,-10.47,47.38,-4.11,-,-,-,-,38.17,-19.44,-,-,-,-,39.63,-15.77,-,-,-,-,-,-,15.94,27.11,-,-,51.75,-19.33,-,-,35.23,-27.94,-,-,-,-,-,-,-,-,44.68,-26.91,50.71,-28.76,27.84,-15.53,54.19,4.69,45.22,-7.11,-,-,60.97,-16.57,-,-,-,-,61.74,-6.75,-,-,-,-,-,-,35.63,-9.84,-,-,-,-,31.08,-6.78,62.78,-28.13,-,-,-,-,-,-,53.04,-12.92,-,-,-,-,-,-,-,-
1989M11,56.69,-8.31,47.84,-1.34,-,-,-,-,39.01,-13.81,-,-,-,-,41.06,-9.48,-,-,-,-,-,-,16.46,30.74,-,-,51.40,-19.37,-,-,34.07,-30.63,-,-,-,-,-,-,-,-,45.50,-21.28,51.82,-23.02,27.85,-10.51,54.46,10.65,45.11,-3.36,-,-,61.18,-12.55,-,-,-,-,62.36,-6.35,-,-,-,-,-,-,35.32,-10.40,-,-,-,-,30.23,-16.03,62.21,-26.68,-,-,-,-,-,-,53.83,-11.59,-,-,-,-,-,-,-,-
1989M12,57.10,-9.06,48.01,-0.62,-,-,-,-,39.70,-13.62,-,-,-,-,41.61,-8.81,-,-,-,-,-,-,17.16,20.00,-,-,50.62,-19.91,-,-,32.97,-31.63,-,-,-,-,-,-,-,-,46.20,-19.24,52.79,-20.68,27.79,-10.47,54.58,15.83,45.36,-2.93,-,-,61.51,-13.29,-,-,-,-,62.15,-7.53,-,-,-,-,-,-,35.15,-13.95,-,-,-,-,29.32,-26.03,62.14,-31.26,-,-,-,-,-,-,54.87,-10.40,-,-,-,-,-,-,-,-
1990M01,56.84,-8.76,47.64,-4.30,-,-,-,-,39.68,-14.81,-,-,-,-,41.52,-7.59,-,-,-,-,-,-,17.44,13.62,-,-,49.93,-19.60,-,-,32.01,-31.85,-,-,-,-,-,-,-,-,45.85,-17.46,52.48,-18.45,27.31,-11.65,53.58,11.53,45.04,-3.33,-,-,61.33,-12.95,-,-,-,-,61.68,-5.46,-,-,-,-,-,-,34.51,-14.03,-,-,-,-,28.60,-25.71,59.15,-30.37,-,-,-,-,-,-,55.20,-6.58,-,-,-,-,-,-,-,-
1990M02,57.05,-8.40,48.27,-2.94,-,-,-,-,39.88,-14.26,-,-,-,-,42.72,-3.52,-,-,-,-,-,-,17.02,8.20,-,-,51.40,-16.88,-,-,33.50,-28.31,-,-,-,-,-,-,-,-,46.44,-15.61,53.23,-16.36,27.45,-11.22,54.40,8.04,45.36,-2.64,-,-,61.14,-12.82,-,-,-,-,61.98,-5.03,-,-,-,-,-,-,34.23,-14.38,-,-,-,-,28.10,-21.40,57.97,-30.47,-,-,-,-,-,-,55.59,-4.99,-,-,-,-,-,-,-,-
1990M03,57.03,-9.14,48.53,-4.52,-,-,-,-,40.30,-13.30,-,-,-,-,42.29,-4.02,-,-,-,-,-,-,16.43,-4.14,-,-,51.18,-17.48,-,-,32.88,-29.73,-,-,-,-,-,-,-,-,46.58,-13.13,53.35,-13.73,27.66,-9.58,55.01,-2.03,45.76,-3.13,-,-,61.52,-12.01,-,-,-,-,63.68,-3.66,-,-,-,-,-,-,34.83,-12.90,-,-,-,-,29.20,-21.61,60.83,-18.82,-,-,-,-,-,-,55.06,-5.13,-,-,-,-,-,-,-,-
1990M04,56.52,-9.06,48.52,-6.67,-,-,-,-,40.73,-10.11,-,-,-,-,42.24,-1.72,-,-,-,-,-,-,15.00,-15.82,-,-,51.07,-16.40,-,-,32.70,-28.56,-,-,-,-,-,-,-,-,46.22,-11.78,52.74,-12.42,27.96,-8.24,55.47,0.34,45.96,-0.93,-,-,61.68,-10.17,-,-,-,-,63.84,-1.36,-,-,-,-,-,-,34.52,-11.65,-,-,-,-,29.19,-18.12,59.84,-20.86,-,-,-,-,-,-,54.93,-3.90,-,-,-,-,-,-,-,-
1990M05,57.80,-0.96,49.27,0.41,-,-,-,-,42.24,-0.75,-,-,-,-,43.29,8.31,-,-,-,-,-,-,15.36,-4.24,-,-,52.01,-10.19,-,-,33.33,-22.87,-,-,-,-,-,-,-,-,46.41,-3.29,52.74,-4.13,28.70,1.20,57.02,9.23,47.57,6.04,-,-,61.45,-5.17,-,-,-,-,65.52,4.93,-,-,-,-,-,-,35.21,-4.58,-,-,-,-,29.73,-6.07,60.49,-19.35,-,-,-,-,-,-,56.52,6.08,-,-,-,-,-,-,-,-
