期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1989M06,107.01,4.85,-,-,-,-,-,-,-,-,-,-,56.01,3.04,-,-,-,-,-,-,-,-,60.56,1.97,64.95,1.69,35.48,4.88,-,-,-,-,66.13,5.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.84,9.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.71,5.18,-,-,-,-,-,-,-,-,-,-
1989M07,107.38,4.74,-,-,-,-,-,-,-,-,-,-,55.96,1.71,-,-,-,-,-,-,-,-,60.61,1.00,64.71,0.23,37.18,9.22,-,-,-,-,66.31,4.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.95,9.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.84,6.66,-,-,-,-,-,-,-,-,-,-
1989M08,107.51,4.72,-,-,-,-,-,-,-,-,-,-,54.86,-2.44,-,-,-,-,-,-,-,-,60.54,0.08,64.66,-0.71,36.97,8.61,-,-,-,-,66.47,4.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.17,11.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.84,6.37,-,-,-,-,-,-,-,-,-,-
1989M09,107.44,4.21,-,-,-,-,-,-,-,-,-,-,55.65,-1.22,-,-,-,-,-,-,-,-,60.56,0.92,64.77,0.37,36.47,6.64,-,-,-,-,66.97,5.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.48,8.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.95,6.40,-,-,-,-,-,-,-,-,-,-
1989M10,107.49,3.97,-,-,-,-,-,-,-,-,-,-,55.55,-1.91,-,-,-,-,-,-,-,-,60.79,0.93,65.04,0.34,36.51,7.29,-,-,-,-,66.97,4.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.47,7.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.43,8.80,-,-,-,-,-,-,-,-,-,-
1989M11,107.07,3.40,-,-,-,-,-,-,-,-,-,-,55.60,-3.10,-,-,-,-,-,-,-,-,60.88,1.06,65.11,0.49,36.71,7.12,-,-,-,-,66.46,3.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.75,4.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.36,8.36,-,-,-,-,-,-,-,-,-,-
1989M12,106.85,2.97,-,-,-,-,-,-,-,-,-,-,55.36,-3.20,-,-,-,-,-,-,-,-,61.13,1.29,65.41,0.80,36.68,6.47,-,-,-,-,65.90,3.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.56,2.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.53,8.98,-,-,-,-,-,-,-,-,-,-
1990M01,106.93,2.74,-,-,-,-,-,-,-,-,-,-,54.95,-3.24,-,-,-,-,-,-,-,-,61.30,1.51,65.61,0.92,36.68,7.85,-,-,-,-,65.95,3.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.66,1.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.61,9.07,-,-,-,-,-,-,-,-,-,-
1990M02,106.90,2.49,-,-,-,-,-,-,-,-,-,-,55.14,-3.02,-,-,-,-,-,-,-,-,61.35,2.00,65.61,1.47,36.97,7.63,-,-,-,-,65.79,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.69,1.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.59,8.54,-,-,-,-,-,-,-,-,-,-
1990M03,107.01,1.93,-,-,-,-,-,-,-,-,-,-,55.47,-2.63,-,-,-,-,-,-,-,-,60.93,0.49,65.14,0.48,36.93,0.79,-,-,-,-,65.97,1.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.52,-0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.68,7.94,-,-,-,-,-,-,-,-,-,-
1990M04,106.90,1.14,-,-,-,-,-,-,-,-,-,-,55.12,-3.11,-,-,-,-,-,-,-,-,60.75,0.12,64.91,-0.38,36.97,5.30,-,-,-,-,65.81,1.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.72,-1.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.65,4.12,-,-,-,-,-,-,-,-,-,-
1990M05,107.03,0.37,-,-,-,-,-,-,-,-,-,-,55.08,-3.03,-,-,-,-,-,-,-,-,60.86,0.46,65.04,0.22,36.97,2.98,-,-,-,-,65.70,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.79,-2.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.37,1.74,-,-,-,-,-,-,-,-,-,-
