期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
2007M09,"42,540",0.18,"20,904",-10.45,815,-15.19,"20,821",14.66,"31,647",5.36,"12,825",-11.54,595,-4.19,"18,227",22.19,"22,825",19.00,"3,612",0.64,611,-6.29,"18,602",24.51,185.58,-,99.57,-,74.39,-
2007M10,"44,871",6.76,"21,690",-8.51,842,-9.66,"22,339",28.47,"34,843",34.13,"13,935",15.85,636,6.18,"20,272",51.84,"24,803",36.66,"3,827",20.38,664,-5.82,"20,312",42.38,195.69,-,108.17,-,77.65,-
2007M11,"40,413",-6.88,"19,799",-8.62,762,-13.90,"19,852",-4.77,"31,776",4.20,"13,181",3.90,584,-2.99,"18,011",4.67,"22,834",-1.20,"3,589",-0.97,595,-11.19,"18,650",-0.89,176.17,-,99.54,-,78.63,-
2007M12,"41,096",3.93,"20,101",-3.33,807,-11.80,"20,188",13.21,"30,769",21.88,"12,483",14.11,569,-1.39,"17,717",29.04,"21,664",19.35,"3,552",17.81,601,4.89,"17,511",20.23,179.05,-,94.39,-,74.87,-
2008M01,"41,018",0.39,"20,158",-1.55,726,-15.68,"20,134",3.13,"31,742",15.11,"13,223",18.78,589,15.04,"17,930",12.55,"26,439",29.63,"3,969",27.42,564,1.99,"21,906",30.96,178.63,-,115.14,-,77.39,-
2008M02,"34,493",-6.72,"16,809",-5.59,621,-24.36,"17,063",-7.03,"29,194",-5.60,"12,639",-4.86,579,-30.99,"15,976",-4.92,"21,983",-5.11,"4,049",5.28,582,-29.88,"17,352",-6.15,150.17,-,95.70,-,84.64,-
2008M03,"40,368",-1.40,"19,398",-2.85,730,-11.52,"20,240",0.45,"29,309",-3.56,"11,319",-6.46,547,-17.12,"17,443",-1.07,"22,655",0.35,"3,655",9.40,612,-19.37,"18,388",-0.47,175.69,-,98.60,-,72.60,-
2008M04,"39,091",3.42,"19,456",2.43,700,-0.28,"18,935",4.59,"29,537",12.20,"12,554",16.89,523,13.70,"16,460",8.83,"21,037",10.26,"3,926",25.07,532,11.76,"16,579",7.20,170.10,-,91.54,-,75.56,-
2008M05,"39,491",-3.40,"19,091",-4.08,760,3.97,"19,640",-2.99,"30,362",0.99,"12,208",-3.48,572,-0.69,"17,582",4.41,"22,872",4.77,"3,978",5.02,682,12.36,"18,212",4.46,171.81,-,99.50,-,76.88,-
2008M06,"38,472",1.17,"18,488",-5.01,628,-12.66,"19,356",8.47,"30,024",9.09,"11,830",-1.60,529,8.62,"17,665",17.66,"22,492",16.75,"3,830",12.68,599,11.96,"18,063",17.82,167.33,-,97.83,-,78.04,-
2008M07,"41,083",-6.97,"18,652",-13.67,700,-20.09,"21,731",0.24,"32,890",2.36,"12,666",-1.75,512,-19.87,"19,712",5.97,"25,132",7.81,"4,042",17.98,573,-18.14,"20,517",6.94,178.64,-,109.28,-,80.06,-
2008M08,"41,359",-4.37,"17,656",-13.38,686,-11.25,"23,017",4.19,"32,611",-1.27,"11,356",-11.74,549,-8.04,"20,706",5.82,"25,509",5.79,"3,627",6.08,554,-7.36,"21,328",6.14,179.80,-,110.89,-,78.85,-
2008M09,"36,307",-14.65,"15,616",-25.30,675,-17.18,"20,016",-3.87,"28,392",-10.29,"10,114",-21.14,578,-2.86,"17,700",-2.89,"21,890",-4.10,"3,246",-10.13,558,-8.67,"18,086",-2.77,157.81,-,95.15,-,78.20,-
2008M10,"36,301",-19.10,"15,636",-27.91,729,-13.42,"19,936",-10.76,"27,888",-19.96,"9,678",-30.55,568,-10.69,"17,642",-12.97,"22,044",-11.12,"3,121",-18.45,597,-10.09,"18,326",-9.78,157.75,-,95.79,-,76.82,-
2008M11,"32,869",-18.67,"14,462",-26.96,595,-21.92,"17,812",-10.28,"24,447",-23.06,"8,587",-34.85,450,-22.95,"15,410",-14.44,"19,085",-16.42,"2,444",-31.90,447,-24.87,"16,194",-13.17,142.77,-,82.90,-,74.38,-
2008M12,"32,587",-20.71,"13,929",-30.70,567,-29.74,"18,091",-10.39,"24,101",-21.67,"7,649",-38.72,497,-12.65,"15,955",-9.95,"20,048",-7.46,"2,477",-30.26,543,-9.65,"17,028",-2.76,141.48,-,87.04,-,73.96,-
2009M01,"32,317",-21.21,"14,133",-29.89,555,-23.55,"17,629",-12.44,"28,929",-8.86,"12,490",-5.54,455,-22.75,"15,984",-10.85,"22,120",-16.34,"3,956",-0.33,433,-23.23,"17,731",-19.06,140.25,-,96.00,-,89.52,-
