期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2007M03,"20,405,743",2.17,"6,763,936",0.97,"13,641,807",2.78,"13,050",-0.68,6.40,-,218,-20.44,227,-21.18,72,-20.88,"12,832",-0.26,"16,901",-0.21,213,-18.08,1,0.00,4,-66.67,0,--,0,-100.00
2007M04,"20,426,218",2.15,"6,758,216",0.81,"13,668,002",2.82,"13,240",6.53,6.49,-,199,-16.03,206,-16.26,88,-26.05,"13,041",6.96,"17,387",7.55,190,-14.41,2,0.00,7,-41.67,0,--,0,-100.00
2007M05,"20,454,883",2.11,"6,760,522",0.69,"13,694,361",2.83,"14,563",3.35,7.12,-,225,-10.00,241,-8.02,107,5.94,"14,338",3.59,"19,198",4.47,217,-11.43,0,--,8,60.00,0,--,0,--
2007M06,"20,487,647",2.07,"6,764,750",0.65,"13,722,897",2.79,"13,823",3.00,6.75,-,165,-35.29,174,-34.83,88,-25.42,"13,658",3.74,"18,260",5.50,159,-35.37,1,0.00,5,-28.57,0,-100.00,0,--
2007M07,"20,535,992",2.06,"6,763,640",0.45,"13,772,352",2.87,"14,562",7.68,7.10,-,212,-6.61,220,-9.47,89,-10.10,"14,350",7.93,"19,305",10.30,204,-7.27,2,100.00,5,0.00,1,0.00,0,--
2007M08,"20,566,546",2.04,"6,759,944",0.42,"13,806,602",2.85,"12,811",-2.93,6.23,-,171,-25.65,176,-25.11,86,-8.51,"12,640",-2.53,"16,694",-3.70,168,-24.32,1,--,2,-71.43,0,-100.00,0,--
2007M09,"20,624,291",2.00,"6,763,900",0.36,"13,860,391",2.81,"13,666",5.24,6.64,-,210,-9.87,214,-9.32,70,-30.00,"13,456",5.51,"18,218",7.13,196,-12.50,1,0.00,13,62.50,0,--,0,--
2007M10,"20,658,192",2.00,"6,764,015",0.38,"13,894,177",2.81,"14,362",0.29,6.96,-,203,-23.97,207,-27.62,78,-39.53,"14,159",0.75,"19,141",0.13,197,-24.23,1,--,3,-57.14,2,--,0,--
2007M11,"20,687,529",1.98,"6,767,672",0.34,"13,919,857",2.79,"13,743",-0.66,6.65,-,202,-11.79,209,-10.68,98,-3.92,"13,541",-0.48,"18,216",-0.28,193,-13.84,2,--,7,75.00,0,--,0,-100.00
2007M12,"20,711,754",1.99,"6,768,281",0.27,"13,943,473",2.85,"14,393",-0.66,6.95,-,226,-19.00,244,-20.78,92,-29.23,"14,167",-0.30,"19,263",1.47,215,-20.66,1,--,10,25.00,0,--,0,--
2008M01,"20,748,261",2.00,"6,778,218",0.25,"13,970,043",2.87,"14,860",5.54,7.17,-,202,-16.87,208,-17.79,62,-4.62,"14,658",5.93,"19,435",7.19,194,-17.09,0,-100.00,8,0.00,0,--,0,--
2008M02,"20,770,882",1.98,"6,773,982",0.12,"13,996,900",2.90,"11,917",2.05,5.74,-,170,-10.05,179,-11.39,62,-15.07,"11,747",2.25,"15,596",2.56,164,-9.89,0,--,5,-28.57,0,--,1,--
2008M03,"20,802,481",1.94,"6,772,554",0.13,"14,029,927",2.85,"13,579",4.05,6.53,-,176,-19.27,178,-21.59,97,34.72,"13,403",4.45,"18,078",6.96,169,-20.66,2,100.00,4,0.00,1,--,0,--
2008M04,"20,840,003",2.03,"6,765,322",0.11,"14,074,681",2.98,"13,306",0.50,6.39,-,168,-15.58,177,-14.08,67,-23.86,"13,138",0.74,"17,830",2.55,164,-13.68,1,-50.00,3,-57.14,0,--,0,--
2008M05,"20,878,856",2.07,"6,761,686",0.02,"14,117,170",3.09,"14,464",-0.68,6.93,-,197,-12.44,204,-15.35,131,22.43,"14,267",-0.50,"19,265",0.35,190,-12.44,1,--,6,-25.00,0,--,0,--
2008M06,"20,921,117",2.12,"6,754,041",-0.16,"14,167,076",3.24,"13,795",-0.20,6.60,-,162,-1.82,168,-3.45,78,-11.36,"13,633",-0.18,"18,293",0.18,157,-1.26,1,0.00,4,-20.00,0,--,0,--
