期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2002M01,"3,196",...,"2,206",...,875,...,115,...,"3,104",...,0,...,92,...,"3,026",...,153,...,15,...,0,...,2,...,"106,608",...
2002M02,21,...,19,...,1,...,1,...,2,...,0,...,19,...,1,...,17,...,2,...,0,...,1,...,"1,212",...
2002M03,70,...,42,...,22,...,6,...,26,...,1,...,43,...,10,...,50,...,7,...,0,...,3,...,"5,715",...
2002M04,93,...,74,...,16,...,3,...,48,...,0,...,45,...,35,...,42,...,7,...,0,...,9,...,"5,568",...
2002M05,509,...,429,...,52,...,28,...,460,...,0,...,49,...,422,...,79,...,2,...,0,...,6,...,"21,535",...
2002M06,663,...,417,...,233,...,13,...,623,...,1,...,39,...,584,...,69,...,8,...,1,...,1,...,"22,239",...
2002M07,76,...,68,...,5,...,3,...,22,...,0,...,54,...,17,...,51,...,5,...,2,...,1,...,"5,335",...
2002M08,82,...,66,...,4,...,12,...,24,...,1,...,57,...,19,...,56,...,6,...,0,...,1,...,"5,307",...
2002M09,85,...,66,...,12,...,7,...,31,...,1,...,53,...,25,...,49,...,8,...,1,...,2,...,"7,913",...
2002M10,257,...,213,...,34,...,10,...,203,...,2,...,52,...,156,...,87,...,11,...,1,...,2,...,"14,566",...
2002M11,543,...,459,...,55,...,29,...,426,...,3,...,114,...,402,...,124,...,11,...,2,...,4,...,"28,987",...
2002M12,261,...,195,...,59,...,7,...,197,...,1,...,63,...,170,...,85,...,5,...,0,...,1,...,"11,779",...
2003M01,63,-98.03,41,-98.14,16,-98.17,6,-94.78,25,-99.19,0,--,38,-58.70,10,-99.67,47,-69.28,3,-80.00,1,--,2,0.00,"4,463",-95.81
2003M02,44,109.52,36,89.47,2,100.00,6,500.00,7,250.00,1,--,36,89.47,7,600.00,31,82.35,6,200.00,0,--,0,-100.00,"3,805",213.94
2003M03,91,30.00,68,61.90,9,-59.09,14,133.33,21,-19.23,2,100.00,68,58.14,21,110.00,62,24.00,3,-57.14,2,--,3,0.00,"5,777",1.08
2003M04,89,-4.30,69,-6.76,7,-56.25,13,333.33,20,-58.33,2,--,67,48.89,11,-68.57,66,57.14,9,28.57,0,--,3,-66.67,"7,012",25.93
2003M05,53,-89.59,44,-89.74,6,-88.46,3,-89.29,11,-97.61,0,--,42,-14.29,6,-98.58,40,-49.37,4,100.00,0,--,3,-50.00,"3,135",-85.44
2003M06,62,-90.65,45,-89.21,6,-97.42,11,-15.38,10,-98.39,0,-100.00,52,33.33,12,-97.95,40,-42.03,7,-12.50,0,-100.00,3,200.00,"5,060",-77.25
2003M07,164,115.79,134,97.06,16,220.00,14,366.67,52,136.36,1,--,111,105.56,44,158.82,104,103.92,10,100.00,0,-100.00,6,500.00,"13,281",148.94
2003M08,98,19.51,65,-1.52,25,525.00,8,-33.33,42,75.00,0,-100.00,56,-1.75,36,89.47,52,-7.14,7,16.67,0,--,3,200.00,"5,517",3.96
2003M09,99,16.47,59,-10.61,36,200.00,4,-42.86,57,83.87,1,0.00,41,-22.64,35,40.00,48,-2.04,11,37.50,0,-100.00,5,150.00,"11,616",46.80
2003M10,127,-50.58,96,-54.93,26,-23.53,5,-50.00,77,-62.07,1,-50.00,49,-5.77,62,-60.26,54,-37.93,8,-27.27,0,-100.00,3,50.00,"7,923",-45.61
2003M11,232,-57.27,208,-54.68,12,-78.18,12,-58.62,176,-58.69,0,-100.00,56,-50.88,159,-60.45,61,-50.81,7,-36.36,1,-50.00,4,0.00,"12,932",-55.39
2003M12,326,24.90,294,50.77,19,-67.80,13,85.71,276,40.10,1,0.00,49,-22.22,250,47.06,68,-20.00,5,0.00,0,--,3,200.00,"17,953",52.42
2004M01,306,385.71,271,560.98,20,25.00,15,150.00,281,"1,024.00",1,--,24,-36.84,266,"2,560.00",31,-34.04,5,66.67,0,-100.00,4,100.00,"16,903",278.74
2004M02,760,"1,627.27",626,"1,638.89",104,"5,100.00",30,400.00,689,"9,742.86",1,0.00,70,94.44,686,"9,700.00",66,112.90,2,-66.67,0,--,6,--,"52,599","1,282.37"
2004M03,"1,146","1,159.34",623,816.18,504,"5,500.00",19,35.71,"1,081","5,047.62",0,-100.00,65,-4.41,"1,082","5,052.38",59,-4.84,3,0.00,0,-100.00,2,-33.33,"92,742","1,505.37"
2004M04,59,-33.71,51,-26.09,4,-42.86,4,-69.23,30,50.00,2,0.00,27,-59.70,27,145.45,31,-53.03,1,-88.89,0,--,0,-100.00,"14,869",112.05
2004M05,71,33.96,55,25.00,11,83.33,5,66.67,31,181.82,1,--,39,-7.14,30,400.00,37,-7.50,3,-25.00,0,--,1,-66.67,"7,056",125.07
2004M06,106,70.97,83,84.44,18,200.00,5,-54.55,49,390.00,1,--,56,7.69,45,275.00,51,27.50,5,-28.57,0,--,5,66.67,"8,590",69.76
2004M07,143,-12.80,122,-8.96,16,0.00,5,-64.29,87,67.31,4,300.00,52,-53.15,84,90.91,53,-49.04,6,-40.00,0,--,0,-100.00,"10,748",-19.07
2004M08,71,-27.55,54,-16.92,13,-48.00,4,-50.00,21,-50.00,0,--,50,-10.71,24,-33.33,39,-25.00,7,0.00,0,--,1,-66.67,"5,217",-5.44
2004M09,106,7.07,75,27.12,23,-36.11,8,100.00,64,12.28,0,-100.00,42,2.44,55,57.14,42,-12.50,5,-54.55,0,--,4,-20.00,"8,205",-29.36
2004M10,520,309.45,441,359.38,69,165.38,10,100.00,444,476.62,1,0.00,75,53.06,436,603.23,63,16.67,11,37.50,3,--,7,133.33,"28,920",265.01
2004M11,"1,319",468.53,"1,094",425.96,184,"1,433.33",41,241.67,"1,238",603.41,2,--,79,41.07,"1,193",650.31,111,81.97,13,85.71,0,-100.00,2,-50.00,"66,111",411.22
2004M12,857,162.88,452,53.74,385,"1,926.32",20,53.85,808,192.75,0,-100.00,49,0.00,811,224.40,39,-42.65,6,20.00,0,--,1,-66.67,"59,640",232.20
2005M01,38,-87.58,34,-87.45,3,-85.00,1,-93.33,12,-95.73,1,0.00,25,4.17,12,-95.49,21,-32.26,3,-40.00,0,--,2,-50.00,"2,300",-86.39
