期間,發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%)
1974,3,50.00,...,...,...,...,...,...,...,...,465,-63.15,...,...,...,...,...,...,...,...,253,-41.97,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,61,79.41,...,...,...,...,...,...,...,...,11,-74.42,...,...,...,...,...,...,...,...,43,-50.00,...,...,...,...,...,...,...,...
1975,3,0.00,...,...,...,...,...,...,...,...,"1,657",256.34,...,...,...,...,...,...,...,...,"3,843","1,418.97",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32,-47.54,...,...,...,...,...,...,...,...,15,36.36,...,...,...,...,...,...,...,...,187,334.88,...,...,...,...,...,...,...,...
1976,2,-33.33,...,...,...,...,...,...,...,...,248,-85.03,...,...,...,...,...,...,...,...,708,-81.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,-87.50,...,...,...,...,...,...,...,...,8,-46.67,...,...,...,...,...,...,...,...,24,-87.17,...,...,...,...,...,...,...,...
1977,3,50.00,...,...,...,...,...,...,...,...,"4,889","1,871.37",...,...,...,...,...,...,...,...,"28,700","3,953.67",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,159,"3,875.00",...,...,...,...,...,...,...,...,25,212.50,...,...,...,...,...,...,...,...,364,"1,416.67",...,...,...,...,...,...,...,...
1978,1,-66.67,...,...,...,...,...,...,...,...,6,-99.88,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,-97.48,...,...,...,...,...,...,...,...,3,-88.00,...,...,...,...,...,...,...,...,8,-97.80,...,...,...,...,...,...,...,...
1979,4,300.00,...,...,...,...,...,...,...,...,191,"3,083.33",...,...,...,...,...,...,...,...,425,--,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-75.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,1,-87.50,...,...,...,...,...,...,...,...
1980,3,-25.00,...,...,...,...,...,...,...,...,250,30.89,...,...,...,...,...,...,...,...,675,58.82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,"2,000.00",...,...,...,...,...,...,...,...,2,--,...,...,...,...,...,...,...,...,36,"3,500.00",...,...,...,...,...,...,...,...
1981,8,166.67,...,...,...,...,...,...,...,...,"1,535",514.00,...,...,...,...,...,...,...,...,660,-2.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,79,276.19,...,...,...,...,...,...,...,...,17,750.00,...,...,...,...,...,...,...,...,36,0.00,...,...,...,...,...,...,...,...
1982,4,-50.00,...,...,...,...,...,...,...,...,383,-75.05,...,...,...,...,...,...,...,...,967,46.52,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,35,-55.70,...,...,...,...,...,...,...,...,13,-23.53,...,...,...,...,...,...,...,...,36,0.00,...,...,...,...,...,...,...,...
1983,1,-75.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19,-45.71,...,...,...,...,...,...,...,...,5,-61.54,...,...,...,...,...,...,...,...,8,-77.78,...,...,...,...,...,...,...,...
