期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2003M09,"442,352",2.68,"223,306",1.98,"219,046",3.39,"207,501",2.76,"106,358",1.98,"101,143",3.61,"234,851",2.60,"116,948",1.99,"117,903",3.21
2003M10,"443,296",2.64,"223,669",1.95,"219,627",3.36,"207,957",2.75,"106,525",1.97,"101,432",3.59,"235,339",2.55,"117,144",1.94,"118,195",3.15
2003M11,"444,079",2.60,"224,008",1.94,"220,071",3.28,"208,301",2.70,"106,677",1.97,"101,624",3.49,"235,778",2.51,"117,331",1.92,"118,447",3.11
2003M12,"444,823",2.57,"224,289",1.89,"220,534",3.26,"208,685",2.70,"106,834",1.97,"101,851",3.48,"236,138",2.45,"117,455",1.82,"118,683",3.08
2004M01,"445,411",2.52,"224,514",1.86,"220,897",3.19,"208,955",2.63,"106,932",1.94,"102,023",3.37,"236,456",2.42,"117,582",1.79,"118,874",3.04
2004M02,"446,400",2.52,"224,898",1.86,"221,502",3.20,"209,435",2.62,"107,118",1.91,"102,317",3.38,"236,965",2.44,"117,780",1.82,"119,185",3.06
2004M03,"447,345",2.53,"225,196",1.85,"222,149",3.23,"209,906",2.62,"107,259",1.89,"102,647",3.40,"237,439",2.45,"117,937",1.81,"119,502",3.09
2004M04,"448,095",2.53,"225,456",1.86,"222,639",3.22,"210,306",2.62,"107,409",1.90,"102,897",3.40,"237,789",2.45,"118,047",1.83,"119,742",3.06
2004M05,"448,840",2.51,"225,736",1.84,"223,104",3.20,"210,677",2.59,"107,550",1.85,"103,127",3.36,"238,163",2.45,"118,186",1.84,"119,977",3.06
2004M06,"449,755",2.53,"226,105",1.88,"223,650",3.20,"211,134",2.61,"107,732",1.89,"103,402",3.37,"238,621",2.46,"118,373",1.87,"120,248",3.05
2004M07,"450,556",2.47,"226,434",1.87,"224,122",3.09,"211,520",2.56,"107,882",1.90,"103,638",3.26,"239,036",2.39,"118,552",1.84,"120,484",2.94
2004M08,"451,738",2.43,"226,925",1.84,"224,813",3.03,"212,098",2.53,"108,144",1.91,"103,954",3.19,"239,640",2.34,"118,781",1.78,"120,859",2.90
2004M09,"452,788",2.36,"227,324",1.80,"225,464",2.93,"212,676",2.49,"108,365",1.89,"104,311",3.13,"240,112",2.24,"118,959",1.72,"121,153",2.76
2004M10,"453,453",2.29,"227,574",1.75,"225,879",2.85,"213,004",2.43,"108,496",1.85,"104,508",3.03,"240,449",2.17,"119,078",1.65,"121,371",2.69
2004M11,"454,151",2.27,"227,809",1.70,"226,342",2.85,"213,365",2.43,"108,603",1.81,"104,762",3.09,"240,786",2.12,"119,206",1.60,"121,580",2.65
2004M12,"454,951",2.28,"228,104",1.70,"226,847",2.86,"213,755",2.43,"108,730",1.77,"105,025",3.12,"241,196",2.14,"119,374",1.63,"121,822",2.64
2005M01,"455,624",2.29,"228,352",1.71,"227,272",2.89,"214,044",2.44,"108,837",1.78,"105,207",3.12,"241,580",2.17,"119,515",1.64,"122,065",2.68
2005M02,"456,364",2.23,"228,655",1.67,"227,709",2.80,"214,397",2.37,"109,001",1.76,"105,396",3.01,"241,967",2.11,"119,654",1.59,"122,313",2.62
2005M03,"457,230",2.21,"228,999",1.69,"228,231",2.74,"214,806",2.33,"109,157",1.77,"105,649",2.92,"242,424",2.10,"119,842",1.62,"122,582",2.58
2005M04,"457,891",2.19,"229,230",1.67,"228,661",2.70,"215,147",2.30,"109,287",1.75,"105,860",2.88,"242,744",2.08,"119,943",1.61,"122,801",2.55
2005M05,"458,647",2.18,"229,529",1.68,"229,118",2.70,"215,504",2.29,"109,422",1.74,"106,082",2.87,"243,143",2.09,"120,107",1.63,"123,036",2.55
2005M06,"459,578",2.18,"229,892",1.67,"229,686",2.70,"215,930",2.27,"109,586",1.72,"106,344",2.85,"243,648",2.11,"120,306",1.63,"123,342",2.57
2005M07,"460,413",2.19,"230,189",1.66,"230,224",2.72,"216,381",2.30,"109,736",1.72,"106,645",2.90,"244,032",2.09,"120,453",1.60,"123,579",2.57
2005M08,"461,710",2.21,"230,726",1.68,"230,984",2.74,"217,029",2.32,"109,973",1.69,"107,056",2.98,"244,681",2.10,"120,753",1.66,"123,928",2.54
2005M09,"462,906",2.23,"231,193",1.70,"231,713",2.77,"217,657",2.34,"110,229",1.72,"107,428",2.99,"245,249",2.14,"120,964",1.69,"124,285",2.59
2005M10,"463,647",2.25,"231,463",1.71,"232,184",2.79,"218,024",2.36,"110,376",1.73,"107,648",3.00,"245,623",2.15,"121,087",1.69,"124,536",2.61
2005M11,"464,273",2.23,"231,714",1.71,"232,559",2.75,"218,321",2.32,"110,497",1.74,"107,824",2.92,"245,952",2.15,"121,217",1.69,"124,735",2.59
