期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2011M01,"14,703",-5.77,0.63,-,"7,560",-8.14,"7,143",-3.12,"14,313",14.54,0.62,-,"8,813",14.57,"5,500",14.49,390,-,0.02,-,"2,115",-,0.09,-,"2,505",-,0.11,-,"14,084",-5.82,"7,231",-8.24,"6,853",-3.12,274,4.98,147,-6.37,127,22.12,345,-11.08,182,-5.70,163,-16.41,0,--,0,--,0,--,6,200.00,2,0.00,4,--,465,6.41,205,-10.48,260,25.00,9,-30.77,6,0.00,3,-57.14
2011M02,"12,270",-0.76,0.53,-,"6,440",0.64,"5,830",-2.26,"12,783",14.65,0.55,-,"7,887",14.17,"4,896",15.42,-513,-,-0.02,-,342,-,0.01,-,-171,-,-0.01,-,"11,773",-0.54,"6,170",0.55,"5,603",-1.72,208,-6.73,115,3.60,93,-16.96,288,-4.64,155,2.65,133,-11.92,1,-50.00,0,-100.00,1,0.00,2,--,0,--,2,--,357,-8.70,157,-24.88,200,9.89,0,-100.00,0,-100.00,0,-100.00
2011M03,"17,524",11.26,0.76,-,"9,028",8.97,"8,496",13.81,"16,007",14.80,0.69,-,"9,736",15.40,"6,271",13.89,"1,517",-,0.07,-,-96,-,0.00,-,"1,421",-,0.06,-,"16,837",12.02,"8,706",10.09,"8,131",14.17,257,-11.38,118,-25.79,139,6.11,428,1.18,203,-6.45,225,9.22,2,-71.43,1,0.00,1,-83.33,2,-71.43,0,-100.00,2,-33.33,530,14.22,285,24.45,245,4.26,15,50.00,8,14.29,7,133.33
2011M04,"15,089",12.85,0.65,-,"7,849",12.06,"7,240",13.71,"13,306",9.74,0.57,-,"8,196",11.06,"5,110",7.69,"1,783",-,0.08,-,"2,660",-,0.11,-,"4,443",-,0.19,-,"14,518",13.91,"7,572",13.17,"6,946",14.73,239,-9.13,106,-19.70,133,1.53,331,-8.31,171,-5.52,160,-11.11,1,-50.00,0,--,1,-50.00,4,--,3,--,1,--,481,12.12,241,8.07,240,16.50,12,-40.00,4,-60.00,8,-20.00
2011M05,"16,206",25.61,0.70,-,"8,418",24.09,"7,788",27.30,"12,905",13.41,0.56,-,"7,808",11.85,"5,097",15.89,"3,301",-,0.14,-,906,-,0.04,-,"4,207",-,0.18,-,"15,613",26.97,"8,122",25.84,"7,491",28.20,222,-13.95,117,-18.75,105,-7.89,370,7.56,178,-3.26,192,20.00,1,-66.67,1,-50.00,0,-100.00,1,-66.67,0,-100.00,1,-50.00,552,41.18,284,35.89,268,47.25,9,--,2,--,7,--
2011M06,"15,866",24.71,0.68,-,"8,232",23.86,"7,634",25.64,"12,098",3.28,0.52,-,"7,458",3.77,"4,640",2.50,"3,768",-,0.16,-,"2,181",-,0.09,-,"5,949",-,0.26,-,"15,247",25.62,"7,905",24.53,"7,342",26.83,256,2.81,138,14.05,118,-7.81,361,8.08,188,7.43,173,8.81,2,0.00,1,-50.00,1,--,3,50.00,1,0.00,2,100.00,534,28.67,264,21.66,270,36.36,9,-40.00,2,-71.43,7,-12.50
2011M07,"15,887",25.41,0.69,-,"8,329",25.14,"7,558",25.72,"11,141",-9.12,0.48,-,"6,754",-9.40,"4,387",-8.68,"4,746",-,0.20,-,"2,855",-,0.12,-,"7,601",-,0.33,-,"15,307",26.72,"8,023",26.55,"7,284",26.92,223,0.45,125,3.31,98,-2.97,356,-1.93,181,-5.73,175,2.34,1,-75.00,0,-100.00,1,0.00,1,-50.00,1,0.00,0,-100.00,468,8.08,246,-1.20,222,20.65,12,--,6,--,6,--
2011M08,"16,797",22.06,0.72,-,"8,636",20.55,"8,161",23.71,"12,287",0.85,0.53,-,"7,544",1.97,"4,743",-0.90,"4,510",-,0.19,-,"1,050",-,0.05,-,"5,560",-,0.24,-,"16,138",23.06,"8,286",21.12,"7,852",25.17,252,-3.45,132,0.00,120,-6.98,406,5.45,217,14.21,189,-3.08,1,0.00,1,0.00,0,--,1,-66.67,1,0.00,0,-100.00,500,10.38,228,-1.72,272,23.08,12,-14.29,6,-40.00,6,50.00
2011M09,"18,003",32.02,0.78,-,"9,383",32.17,"8,620",31.84,"11,660",-0.53,0.50,-,"7,180",-0.08,"4,480",-1.23,"6,343",-,0.27,-,"-2,034",-,-0.09,-,"4,309",-,0.19,-,"17,346",33.94,"9,044",33.81,"8,302",34.08,268,1.90,136,-2.16,132,6.45,389,-8.04,203,1.00,186,-16.22,0,--,0,--,0,--,2,-50.00,0,-100.00,2,-33.33,636,42.92,327,45.98,309,39.82,15,150.00,9,80.00,6,500.00
2011M10,"17,136",27.06,0.74,-,"8,948",27.90,"8,188",26.14,"11,581",0.98,0.50,-,"7,054",0.38,"4,527",1.91,"5,555",-,0.24,-,"2,103",-,0.09,-,"7,658",-,0.33,-,"16,479",27.78,"8,588",28.49,"7,891",27.03,246,0.82,147,5.76,99,-5.71,411,18.79,213,23.84,198,13.79,0,-100.00,0,-100.00,0,--,4,100.00,2,100.00,2,100.00,465,9.93,251,16.74,214,2.88,6,-50.00,3,0.00,3,-66.67
