期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2011M04,"23,170,321",0.16,"958,533",-3.45,"1,137,840",-7.24,"1,485,210",-1.90,"1,610,722",-0.31,"1,587,868",0.05,"1,856,699",-3.98,"2,034,198",2.02,"1,795,768",-0.13,"1,853,674",-0.23,"1,903,038",-0.03,"1,784,672",1.22,"1,585,394",4.21,"1,087,063",13.98,"722,078",-4.57,"658,912",3.40,"497,116",0.12,"366,582",3.54,"175,557",7.38,"55,185",10.80,"12,106",4.72,"2,106",2.63,38.28,1.30
2011M05,"23,174,528",0.17,"958,589",-3.11,"1,133,471",-7.07,"1,480,419",-2.09,"1,611,625",-0.21,"1,589,180",0.14,"1,849,162",-4.18,"2,034,135",1.86,"1,799,045",0.12,"1,852,524",-0.30,"1,902,874",-0.10,"1,785,411",1.17,"1,589,297",3.84,"1,096,968",14.57,"722,045",-4.46,"659,960",3.40,"497,294",0.14,"366,183",3.27,"176,649",7.47,"55,504",10.87,"12,097",4.47,"2,096",1.75,38.31,1.29
2011M06,"23,180,477",0.18,"958,408",-2.80,"1,129,443",-6.89,"1,475,992",-2.24,"1,611,984",-0.13,"1,591,385",0.24,"1,840,324",-4.38,"2,034,977",1.69,"1,803,557",0.40,"1,851,500",-0.35,"1,903,132",-0.21,"1,787,983",1.32,"1,590,821",3.30,"1,107,327",15.18,"721,557",-4.33,"660,925",3.37,"496,982",0.15,"366,492",3.07,"177,705",7.60,"55,791",11.04,"12,104",4.53,"2,088",1.26,38.34,1.27
2011M07,"23,188,078",0.20,"957,700",-2.42,"1,126,074",-6.58,"1,470,708",-2.51,"1,611,543",-0.07,"1,593,519",0.37,"1,830,358",-4.62,"2,036,118",1.43,"1,809,110",0.74,"1,851,343",-0.53,"1,904,084",-0.18,"1,789,948",1.35,"1,593,690",2.95,"1,116,799",15.71,"721,890",-4.15,"661,633",3.31,"496,652",0.12,"367,521",3.12,"178,836",7.80,"56,318",11.27,"12,157",4.75,"2,077",2.21,38.38,1.26
2011M08,"23,193,638",0.21,"956,817",-2.18,"1,122,374",-6.21,"1,464,629",-2.83,"1,611,473",0.08,"1,595,263",0.43,"1,819,953",-4.84,"2,034,816",1.11,"1,814,885",1.17,"1,851,850",-0.58,"1,902,559",-0.19,"1,785,956",0.87,"1,604,521",3.29,"1,127,501",15.69,"722,077",-3.89,"662,630",3.41,"496,752",0.15,"368,304",2.89,"179,973",7.58,"57,006",11.70,"12,215",4.50,"2,084",2.06,38.42,1.26
2011M09,"23,197,947",0.22,"957,357",-1.76,"1,118,556",-5.72,"1,457,276",-3.31,"1,611,290",0.23,"1,595,581",0.47,"1,809,912",-5.07,"2,033,502",0.85,"1,822,072",1.61,"1,852,364",-0.60,"1,899,417",-0.32,"1,784,304",0.71,"1,610,805",3.38,"1,138,931",15.22,"722,358",-3.13,"663,875",3.42,"497,236",0.16,"369,517",2.64,"181,464",7.34,"57,705",11.46,"12,324",3.92,"2,101",1.79,38.46,1.24
2011M10,"23,205,605",0.24,"954,919",-1.46,"1,115,014",-5.20,"1,450,843",-3.67,"1,611,663",0.32,"1,596,439",0.52,"1,799,002",-5.33,"2,029,854",0.44,"1,829,865",2.12,"1,851,897",-0.58,"1,900,593",-0.23,"1,792,042",0.97,"1,607,448",2.67,"1,150,553",14.70,"723,503",-2.35,"666,079",3.32,"498,518",0.40,"371,015",2.64,"182,953",7.12,"58,817",12.51,"12,467",4.59,"2,121",1.53,38.51,1.23
2011M11,"23,214,620",0.25,"955,555",-1.16,"1,111,876",-4.68,"1,443,009",-4.05,"1,611,645",0.25,"1,600,492",0.85,"1,788,074",-5.55,"2,026,296",0.06,"1,837,815",2.58,"1,848,067",-0.83,"1,901,677",-0.14,"1,796,978",1.05,"1,607,900",2.42,"1,161,703",14.33,"724,311",-1.69,"668,450",3.25,"499,365",0.40,"372,329",2.58,"184,721",7.40,"59,609",12.80,"12,619",5.08,"2,129",1.82,38.56,1.22
2011M12,"23,224,912",0.27,"956,990",-0.74,"1,108,386",-4.31,"1,436,414",-4.36,"1,612,237",0.25,"1,604,002",1.09,"1,778,838",-5.72,"2,023,066",-0.30,"1,844,591",2.95,"1,842,060",-1.09,"1,905,738",0.05,"1,800,906",1.15,"1,608,114",2.26,"1,175,321",14.41,"724,538",-1.67,"669,950",3.25,"498,980",0.36,"373,442",2.56,"186,330",7.54,"60,206",12.75,"12,662",4.94,"2,141",1.42,38.60,1.20
2012M01,"23,230,506",0.28,"955,256",-0.64,"1,104,948",-4.08,"1,429,543",-4.59,"1,613,626",0.28,"1,606,405",1.29,"1,768,833",-5.88,"2,022,321",-0.51,"1,848,028",3.22,"1,844,750",-0.88,"1,899,824",-0.11,"1,804,463",1.16,"1,609,387",2.10,"1,189,696",14.06,"722,329",-1.30,"672,570",3.19,"500,112",0.47,"374,718",2.57,"187,616",7.68,"61,039",12.68,"12,830",6.12,"2,212",4.34,38.64,1.20
