期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2006M09,"14,949",-2.26,88.64,-,"7,846",-1.22,"7,103",-3.37,"1,915",-15.45,995,-12.95,920,-18.00,914,2.70,479,9.36,435,-3.76,"1,001",-27.20,516,-26.81,485,-27.61
2006M10,"16,808",9.86,88.80,-,"8,725",8.12,"8,083",11.81,"2,119",-7.26,"1,071",-13.14,"1,048",-0.38,987,14.63,503,7.48,484,23.16,"1,132",-20.51,568,-25.75,564,-14.42
2006M11,"16,922",3.48,89.27,-,"8,847",3.16,"8,075",3.83,"2,035",-13.26,"1,053",-13.33,982,-13.17,888,-0.78,470,3.52,418,-5.22,"1,147",-20.95,583,-23.39,564,-18.26
2006M12,"15,562",-2.28,89.67,-,"8,023",-2.59,"7,539",-1.95,"1,792",-18.17,923,-17.37,869,-19.01,810,-1.94,423,-1.86,387,-2.03,982,-28.01,500,-27.11,482,-28.91
2007M01,"16,277",12.80,89.32,-,"8,399",10.85,"7,878",14.96,"1,947",-4.89,"1,043",-4.05,904,-5.83,922,10.16,490,9.38,432,11.05,"1,025",-15.29,553,-13.46,472,-17.34
2007M02,"12,007",-15.39,88.97,-,"6,372",-14.04,"5,635",-16.86,"1,489",-28.17,778,-27.29,711,-29.11,654,-20.24,347,-15.37,307,-25.12,835,-33.36,431,-34.70,404,-31.87
2007M03,"16,652",8.16,90.06,-,"8,780",8.80,"7,872",7.47,"1,838",-13.67,950,-10.80,888,-16.54,856,-1.95,455,-1.73,401,-2.20,982,-21.82,495,-17.77,487,-25.54
2007M04,"13,816",3.77,89.44,-,"7,169",2.83,"6,647",4.81,"1,632",-9.93,859,-9.20,773,-10.74,765,-1.67,417,2.46,348,-6.20,867,-16.15,442,-18.00,425,-14.14
2007M05,"14,813",0.22,89.98,-,"7,780",-0.44,"7,033",0.95,"1,650",-16.50,867,-18.13,783,-14.61,775,-10.40,430,-6.32,345,-15.02,875,-21.24,437,-27.17,438,-14.29
2007M06,"13,130",-10.19,89.40,-,"6,919",-10.15,"6,211",-10.23,"1,557",-19.66,826,-21.11,731,-17.96,736,-13.72,401,-14.13,335,-13.21,821,-24.33,425,-26.72,396,-21.58
2007M07,"14,898",3.63,89.01,-,"7,703",0.67,"7,195",7.00,"1,839",-6.36,989,-1.20,850,-11.73,897,3.94,467,-0.21,430,8.86,942,-14.44,522,-2.06,420,-26.06
2007M08,"16,309",7.24,90.06,-,"8,522",8.19,"7,787",6.22,"1,800",-14.41,934,-15.25,866,-13.49,854,-8.66,444,-7.88,410,-9.49,946,-19.01,490,-20.97,456,-16.79
2007M09,"13,325",-10.86,89.65,-,"6,959",-11.31,"6,366",-10.38,"1,538",-19.69,818,-17.79,720,-21.74,768,-15.97,400,-16.49,368,-15.40,770,-23.08,418,-18.99,352,-27.42
2007M10,"17,363",3.30,90.28,-,"9,034",3.54,"8,329",3.04,"1,870",-11.75,984,-8.12,886,-15.46,942,-4.56,481,-4.37,461,-4.75,928,-18.02,503,-11.44,425,-24.65
2007M11,"17,415",2.91,90.18,-,"9,067",2.49,"8,348",3.38,"1,896",-6.83,979,-7.03,917,-6.62,"1,008",13.51,510,8.51,498,19.14,888,-22.58,469,-19.55,419,-25.71
2007M12,"17,504",12.48,90.45,-,"9,192",14.57,"8,312",10.25,"1,849",3.18,975,5.63,874,0.58,940,16.05,486,14.89,454,17.31,909,-7.43,489,-2.20,420,-12.86
2008M01,"16,558",1.73,90.37,-,"8,666",3.18,"7,892",0.18,"1,765",-9.35,924,-11.41,841,-6.97,898,-2.60,479,-2.24,419,-3.01,867,-15.41,445,-19.53,422,-10.59
2008M02,"14,459",20.42,90.00,-,"7,522",18.05,"6,937",23.11,"1,606",7.86,851,9.38,755,6.19,814,24.46,430,23.92,384,25.08,792,-5.15,421,-2.32,371,-8.17
2008M03,"14,528",-12.76,90.16,-,"7,597",-13.47,"6,931",-11.95,"1,586",-13.71,842,-11.37,744,-16.22,827,-3.39,445,-2.20,382,-4.74,759,-22.71,397,-19.80,362,-25.67
2008M04,"14,050",1.69,90.36,-,"7,427",3.60,"6,623",-0.36,"1,499",-8.15,802,-6.64,697,-9.83,785,2.61,421,0.96,364,4.60,714,-17.65,381,-13.80,333,-21.65
2008M05,"13,813",-6.75,90.23,-,"7,291",-6.29,"6,522",-7.27,"1,496",-9.33,776,-10.50,720,-8.05,749,-3.35,377,-12.33,372,7.83,747,-14.63,399,-8.70,348,-20.55
2008M06,"12,960",-1.29,89.82,-,"6,788",-1.89,"6,172",-0.63,"1,469",-5.65,757,-8.35,712,-2.60,744,1.09,380,-5.24,364,8.66,725,-11.69,377,-11.29,348,-12.12
2008M07,"14,555",-2.30,90.61,-,"7,609",-1.22,"6,946",-3.46,"1,508",-18.00,826,-16.48,682,-19.76,802,-10.59,442,-5.35,360,-16.28,706,-25.05,384,-26.44,322,-23.33
2008M08,"13,387",-17.92,90.05,-,"6,939",-18.58,"6,448",-17.20,"1,479",-17.83,793,-15.10,686,-20.79,770,-9.84,423,-4.73,347,-15.37,709,-25.05,370,-24.49,339,-25.66
2008M09,"14,535",9.08,90.57,-,"7,575",8.85,"6,960",9.33,"1,513",-1.63,814,-0.49,699,-2.92,764,-0.52,405,1.25,359,-2.45,749,-2.73,409,-2.15,340,-3.41
2008M10,"17,013",-2.02,90.78,-,"8,897",-1.52,"8,116",-2.56,"1,727",-7.65,924,-6.10,803,-9.37,904,-4.03,486,1.04,418,-9.33,823,-11.31,438,-12.92,385,-9.41
2008M11,"18,544",6.48,90.96,-,"9,592",5.79,"8,952",7.24,"1,844",-2.74,956,-2.35,888,-3.16,949,-5.85,499,-2.16,450,-9.64,895,0.79,457,-2.56,438,4.53
2008M12,"15,245",-12.91,90.53,-,"7,955",-13.46,"7,290",-12.30,"1,594",-13.79,814,-16.51,780,-10.76,828,-11.91,424,-12.76,404,-11.01,766,-15.73,390,-20.25,376,-10.48
2009M01,"12,180",-26.44,90.43,-,"6,425",-25.86,"5,755",-27.08,"1,289",-26.97,655,-29.11,634,-24.61,646,-28.06,334,-30.27,312,-25.54,643,-25.84,321,-27.87,322,-23.70
2009M02,"15,615",8.00,91.00,-,"8,042",6.91,"7,573",9.17,"1,544",-3.86,769,-9.64,775,2.65,815,0.12,395,-8.14,420,9.38,729,-7.95,374,-11.16,355,-4.31
2009M03,"19,099",31.46,91.94,-,"9,873",29.96,"9,226",33.11,"1,674",5.55,870,3.33,804,8.06,928,12.21,486,9.21,442,15.71,746,-1.71,384,-3.27,362,0.00
2009M04,"9,562",-31.94,90.23,-,"5,013",-32.50,"4,549",-31.32,"1,035",-30.95,559,-30.30,476,-31.71,542,-30.96,284,-32.54,258,-29.12,493,-30.95,275,-27.82,218,-34.53
