期間,總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%)
2003,"22,604,550",0.37,"11,515,062",0.26,"11,089,488",0.49,"4,481,620",-2.55,"2,337,165",-2.50,"2,144,455",-2.60,"4,481,607",-2.55,"2,337,161",-2.50,"2,144,446",-2.60,13,-62.86,4,-42.86,9,-67.86,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,"18,122,930",1.12,"9,177,897",0.99,"8,945,033",1.26,"6,151,231",1.39,"3,410,118",0.90,"2,741,113",1.99,"10,038,668",0.30,"5,113,084",0.56,"4,925,584",0.03,"929,196",7.30,"443,994",6.85,"485,202",7.71,"1,003,835",2.43,"210,701",1.09,"793,134",2.80
2004,"22,689,122",0.37,"11,541,585",0.23,"11,147,537",0.52,"4,387,082",-2.11,"2,288,831",-2.07,"2,098,251",-2.15,"4,387,070",-2.11,"2,288,829",-2.07,"2,098,241",-2.15,12,-7.69,2,-50.00,10,11.11,0,--,0,--,0,--,0,--,0,--,0,--,"18,302,040",0.99,"9,252,754",0.82,"9,049,286",1.17,"6,249,669",1.60,"3,452,830",1.25,"2,796,839",2.03,"10,021,216",-0.17,"5,106,743",-0.12,"4,914,473",-0.23,"1,001,407",7.77,"479,297",7.95,"522,110",7.61,"1,029,748",2.58,"213,884",1.51,"815,864",2.87
2005,"22,770,383",0.36,"11,562,440",0.18,"11,207,943",0.54,"4,259,049",-2.92,"2,221,157",-2.96,"2,037,892",-2.88,"4,259,035",-2.92,"2,221,155",-2.96,"2,037,880",-2.88,14,16.67,2,0.00,12,20.00,0,--,0,--,0,--,0,--,0,--,0,--,"18,511,334",1.14,"9,341,283",0.96,"9,170,051",1.33,"6,352,447",1.64,"3,499,950",1.36,"2,852,497",1.99,"10,029,173",0.08,"5,110,181",0.07,"4,918,992",0.09,"1,073,257",7.17,"514,080",7.26,"559,177",7.10,"1,056,457",2.59,"217,072",1.49,"839,385",2.88
2006,"22,876,527",0.47,"11,591,707",0.25,"11,284,820",0.69,"4,145,631",-2.66,"2,161,180",-2.70,"1,984,451",-2.62,"4,145,624",-2.66,"2,161,178",-2.70,"1,984,446",-2.62,7,-50.00,2,0.00,5,-58.33,0,--,0,--,0,--,0,--,0,--,0,--,"18,730,896",1.19,"9,430,527",0.96,"9,300,369",1.42,"6,441,018",1.39,"3,540,848",1.17,"2,900,170",1.67,"10,058,108",0.29,"5,118,941",0.17,"4,939,167",0.41,"1,147,975",6.96,"550,320",7.05,"597,655",6.88,"1,083,795",2.59,"220,418",1.54,"863,377",2.86
2007,"22,958,360",0.36,"11,608,767",0.15,"11,349,593",0.57,"4,030,645",-2.77,"2,100,985",-2.79,"1,929,660",-2.76,"4,030,638",-2.77,"2,100,983",-2.79,"1,929,655",-2.76,7,0.00,2,0.00,5,0.00,0,--,0,--,0,--,0,--,0,--,0,--,"18,927,715",1.05,"9,507,782",0.82,"9,419,933",1.29,"6,535,786",1.47,"3,583,708",1.21,"2,952,078",1.79,"10,070,986",0.13,"5,120,397",0.03,"4,950,589",0.23,"1,211,868",5.57,"580,295",5.45,"631,573",5.68,"1,109,075",2.33,"223,382",1.34,"885,693",2.58
2008,"23,037,031",0.34,"11,626,351",0.15,"11,410,680",0.54,"3,905,203",-3.11,"2,036,600",-3.06,"1,868,603",-3.16,"3,905,199",-3.11,"2,036,597",-3.06,"1,868,602",-3.16,3,-57.14,2,0.00,1,-80.00,1,--,1,--,0,--,0,--,0,--,0,--,"19,131,828",1.08,"9,589,751",0.86,"9,542,077",1.30,"6,601,228",1.00,"3,612,897",0.81,"2,988,331",1.23,"10,128,749",0.57,"5,143,798",0.46,"4,984,951",0.69,"1,268,316",4.66,"607,215",4.64,"661,101",4.68,"1,133,535",2.21,"225,841",1.10,"907,694",2.48
2009,"23,119,772",0.36,"11,636,734",0.09,"11,483,038",0.63,"3,778,018",-3.26,"1,970,302",-3.26,"1,807,716",-3.26,"3,778,017",-3.26,"1,970,301",-3.26,"1,807,716",-3.26,1,-66.67,1,-50.00,0,-100.00,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,"19,341,754",1.10,"9,666,432",0.80,"9,675,322",1.40,"6,728,720",1.93,"3,675,047",1.72,"3,053,673",2.19,"10,123,793",-0.05,"5,126,297",-0.34,"4,997,496",0.25,"1,330,451",4.90,"636,369",4.80,"694,082",4.99,"1,158,790",2.23,"228,719",1.27,"930,071",2.47
2010,"23,162,123",0.18,"11,635,225",-0.01,"11,526,898",0.38,"3,624,311",-4.07,"1,891,299",-4.01,"1,733,012",-4.13,"3,624,302",-4.07,"1,891,297",-4.01,"1,733,005",-4.13,7,600.00,1,0.00,6,--,2,--,1,--,1,--,0,--,0,--,0,--,"19,537,812",1.01,"9,743,926",0.80,"9,793,886",1.23,"6,819,872",1.35,"3,718,696",1.19,"3,101,176",1.56,"10,143,762",0.20,"5,129,013",0.05,"5,014,749",0.35,"1,390,544",4.52,"664,650",4.44,"725,894",4.58,"1,183,634",2.14,"231,567",1.25,"952,067",2.36
2011,"23,224,912",0.27,"11,645,674",0.09,"11,579,238",0.45,"3,501,790",-3.38,"1,827,145",-3.39,"1,674,645",-3.37,"3,501,787",-3.38,"1,827,143",-3.39,"1,674,644",-3.37,1,-85.71,1,0.00,0,-100.00,2,0.00,1,0.00,1,0.00,0,--,0,--,0,--,"19,723,122",0.95,"9,818,529",0.77,"9,904,593",1.13,"6,858,488",0.57,"3,736,448",0.48,"3,122,040",0.67,"10,214,026",0.69,"5,159,436",0.59,"5,054,590",0.79,"1,442,951",3.77,"689,001",3.66,"753,950",3.87,"1,207,657",2.03,"233,644",0.90,"974,013",2.31
2012,"23,315,822",0.39,"11,673,319",0.24,"11,642,503",0.55,"3,411,677",-2.57,"1,779,522",-2.61,"1,632,155",-2.54,"3,411,674",-2.57,"1,779,522",-2.61,"1,632,152",-2.54,2,100.00,0,-100.00,2,--,1,-50.00,0,-100.00,1,0.00,0,--,0,--,0,--,"19,904,145",0.92,"9,893,797",0.77,"10,010,348",1.07,"6,942,080",1.22,"3,777,383",1.10,"3,164,697",1.37,"10,235,154",0.21,"5,166,294",0.13,"5,068,860",0.28,"1,496,101",3.68,"714,025",3.63,"782,076",3.73,"1,230,810",1.92,"236,095",1.05,"994,715",2.13
