期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2007M03,"990,278",3.07,"574,349",0.47,"415,929",6.89,"34,182",22.38,"880,432",2.54,"75,664",2.02,"644,983",-0.98,"25,436",15.18,"30,217",8.61,"2,215",10.53,"287,427",11.63
2007M04,"1,088,656",6.64,"622,552",4.07,"466,104",10.28,"42,115",7.69,"958,358",7.00,"88,183",2.43,"772,537",5.71,"26,108",0.14,"42,254",21.38,"1,900",4.80,"245,857",8.14
2007M05,"1,011,321",3.13,"579,538",2.13,"431,783",4.51,"29,938",-3.10,"895,685",3.01,"85,698",6.82,"717,300",2.83,"24,890",1.49,"32,564",10.50,"1,650",-0.54,"234,917",3.30
2007M06,"1,091,444",8.12,"624,205",6.72,"467,239",10.05,"48,993",8.38,"967,965",8.08,"74,486",8.52,"770,768",9.43,"24,205",4.89,"42,152",26.35,"2,090",1.26,"252,229",2.27
2007M07,"1,170,989",-0.13,"647,149",0.75,"523,840",-1.19,"130,088",-5.54,"981,587",0.65,"59,314",-0.27,"885,914",-1.74,"25,219",4.47,"35,394",13.05,"2,275",0.09,"222,187",4.25
2007M08,"1,162,311",2.97,"635,718",2.18,"526,593",3.94,"127,765",3.19,"982,208",2.88,"52,338",4.14,"853,830",2.10,"26,070",6.49,"41,859",12.25,"1,936",-6.34,"238,616",4.33
2007M09,"1,085,201",10.51,"619,084",7.92,"466,117",14.16,"31,562",42.06,"986,087",10.57,"67,552",-0.61,"789,607",11.55,"23,321",-5.85,"32,254",21.42,"1,697",-4.02,"238,322",7.83
2007M10,"1,039,188",-3.55,"592,147",-3.73,"447,041",-3.31,"28,401",-11.58,"923,705",-3.51,"87,082",-1.10,"724,669",-6.60,"24,292",-0.53,"29,913",33.05,"1,496",-18.56,"258,818",2.37
2007M11,"1,026,756",5.82,"603,021",4.01,"423,735",8.51,"28,481",10.44,"913,590",5.67,"84,685",5.92,"690,386",5.95,"26,301",-5.33,"31,633",40.69,"1,614",4.26,"276,822",3.74
2007M12,"1,034,300",4.56,"600,449",2.78,"433,851",7.14,"49,388",11.45,"924,028",4.07,"60,884",6.95,"670,384",0.78,"24,848",-0.05,"44,095",29.24,"2,120",0.33,"292,853",11.42
