期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2003M08,"913,899",-4.22,"524,732",-3.60,"389,167",-5.04,"85,894",-3.62,"783,555",-4.81,"44,450",6.08,"718,522",1.09,"9,862",-16.99,"32,785",-11.05,"1,595",-40.24,"151,135",-21.28
2003M09,"802,261",-0.23,"489,727",1.00,"312,534",-2.11,"20,086",6.40,"726,378",-0.32,"55,797",-1.31,"601,265",2.55,"12,350",7.72,"23,127",-1.79,"1,237",-14.51,"164,282",-9.42
2003M10,"868,895",1.06,"527,943",0.51,"340,952",1.93,"25,448",32.29,"781,782",0.77,"61,665",-4.69,"651,386",5.83,"12,278",18.42,"25,572",-21.75,"1,290",-23.53,"178,369",-10.60
2003M11,"761,219",1.10,"476,484",0.95,"284,735",1.36,"18,373",13.48,"694,051",1.05,"48,795",-2.16,"536,481",5.87,"13,230",16.39,"25,404",-14.11,"1,114",-42.28,"184,990",-9.01
2003M12,"748,549",-2.73,"460,993",-2.73,"287,556",-2.73,"28,713",1.95,"682,900",-2.54,"36,936",-9.20,"508,667",1.08,"16,206",20.45,"31,879",-17.73,"1,537",-34.12,"190,260",-10.16
2004M01,"903,447",11.32,"509,726",9.94,"393,721",13.16,"89,305",41.79,"780,204",10.17,"33,938",-15.90,"668,148",23.05,"15,474",25.83,"31,340",8.88,"2,398",2.48,"186,087",-17.35
2004M02,"709,488",-16.52,"440,927",-14.17,"268,561",-20.12,"31,565",-40.48,"647,482",-14.53,"30,441",-22.54,"506,105",-18.26,"14,179",16.85,"20,637",-42.27,"1,308",-7.76,"167,259",-7.80
2004M03,"809,461",11.35,"494,090",11.35,"315,371",11.34,"23,291",22.95,"728,259",11.24,"57,911",8.55,"576,992",22.52,"10,971",-7.80,"26,722",-13.89,"1,414",1.65,"193,362",-8.67
2004M04,"855,409",141.28,"516,093",123.00,"339,316",175.66,"30,994",205.45,"753,608",131.58,"70,807",273.34,"630,184",170.66,"11,076",41.28,"29,332",122.25,"1,377",24.73,"183,440",84.27
2004M05,"831,510",383.15,"500,727",374.89,"330,783",396.20,"26,103",237.51,"744,534",376.48,"60,873",650.31,"605,731",436.13,"10,196",183.54,"25,805","1,366.19","1,314",54.23,"188,464",256.18
