期間,合計_原始值,合計_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),年滿十五歲以上按經濟活動分-合計_原始值,年滿十五歲以上按經濟活動分-合計_年增率(%),年滿十五歲以上按經濟活動分-商_原始值,年滿十五歲以上按經濟活動分-商_年增率(%),年滿十五歲以上按經濟活動分-工程師_原始值,年滿十五歲以上按經濟活動分-工程師_年增率(%),年滿十五歲以上按經濟活動分-教師_原始值,年滿十五歲以上按經濟活動分-教師_年增率(%),年滿十五歲以上按經濟活動分-傳教士_原始值,年滿十五歲以上按經濟活動分-傳教士_年增率(%),年滿十五歲以上按經濟活動分-技工技匠_原始值,年滿十五歲以上按經濟活動分-技工技匠_年增率(%),年滿十五歲以上按經濟活動分-外籍勞工_原始值,年滿十五歲以上按經濟活動分-外籍勞工_年增率(%),年滿十五歲以上按經濟活動分-其他_原始值,年滿十五歲以上按經濟活動分-其他_年增率(%),年滿十五歲以上按經濟活動分-失業_原始值,年滿十五歲以上按經濟活動分-失業_年增率(%),年滿十五歲以上按經濟活動分-非勞動力_原始值,年滿十五歲以上按經濟活動分-非勞動力_年增率(%),未滿十五歲者_原始值,未滿十五歲者_年增率(%)
2007M03,"419,328",-2.68,"151,661",-3.34,"267,667",-2.31,"412,352",-2.34,"2,322",-39.50,"1,765",-45.08,"5,196",-22.71,"1,663",-7.97,868,72.56,"311,187",2.88,"13,759",-16.06,"2,945",-21.34,"72,647",-13.05,"6,976",-19.41
2007M04,"425,908",-1.47,"155,860",-1.22,"270,048",-1.61,"417,951",-1.13,"3,364",-17.39,"2,320",-28.57,"5,908",-16.25,"1,689",-6.94,939,68.28,"312,546",3.50,"15,055",-10.32,"3,035",-19.54,"73,095",-12.43,"7,957",-16.35
2007M05,"400,908",-7.55,"148,339",-6.44,"252,569",-8.18,"396,808",-6.46,"3,521",-10.43,"2,296",-28.34,"5,429",-22.15,"1,535",-11.63,965,66.09,"300,752",-1.36,"14,813",-10.98,"2,892",-22.59,"64,605",-21.68,"4,100",-56.58
2007M06,"424,333",-1.94,"156,481",-1.31,"267,852",-2.31,"417,393",-1.73,"3,789",-4.29,"2,591",-21.32,"5,278",-13.16,"1,600",-2.56,"1,020",57.65,"314,564",1.85,"15,536",-5.97,"2,956",-18.21,"70,059",-12.56,"6,940",-13.33
2007M07,"420,289",-1.38,"154,738",0.11,"265,551",-2.23,"413,848",-1.22,"3,708",3.46,"2,559",-15.79,"4,877",-9.89,"1,559",-2.44,"1,079",60.57,"314,030",2.11,"15,172",-4.10,"2,882",-17.23,"67,982",-12.63,"6,441",-10.59
2007M08,"429,717",-0.78,"159,244",0.85,"270,473",-1.72,"420,931",-0.68,"4,133",3.43,"2,735",-13.37,"5,907",-6.58,"1,678",-1.47,"1,100",54.49,"316,192",2.55,"16,160",-2.79,"2,956",-15.54,"70,070",-11.82,"8,786",-5.56
2007M09,"431,285",-0.29,"160,248",1.75,"271,037",-1.46,"422,467",-0.19,"4,049",7.00,"2,672",-8.74,"6,157",-6.11,"1,701",-3.35,"1,120",53.42,"316,361",3.04,"16,019",-2.11,"2,970",-13.51,"71,418",-11.50,"8,818",-4.80
2007M10,"435,582",0.27,"163,615",2.91,"271,967",-1.25,"426,805",0.41,"4,052",9.37,"2,621",-13.61,"6,367",-6.19,"1,736",-2.03,"1,149",49.22,"319,958",3.91,"16,054",-4.48,"2,946",-12.92,"71,922",-11.08,"8,777",-6.24
2007M11,"439,031",0.20,"165,800",2.86,"273,231",-1.35,"430,117",0.34,"4,166",6.38,"2,730",-11.22,"6,573",-6.23,"1,781",-0.50,"1,149",38.94,"322,745",4.02,"16,295",-4.82,"2,946",-13.05,"71,732",-11.70,"8,914",-6.40
2007M12,"433,169",1.15,"163,575",4.48,"269,594",-0.77,"425,110",1.27,"3,752",17.36,"2,407",-3.72,"6,009",-2.85,"1,775",-1.61,"1,142",41.51,"321,804",5.02,"15,576",-2.84,"2,917",-12.38,"69,728",-12.31,"8,059",-4.65
