期間,上市公司-家數_原始值,上市公司-家數_年增率(%),上市公司-資本額_原始值,上市公司-資本額_年增率(%),上市公司-上市面值_原始值,上市公司-上市面值_年增率(%),上市公司-上市公司市值_原始值,上市公司-上市公司市值_年增率(%),上櫃公司-家數_原始值,上櫃公司-家數_年增率(%),上櫃公司-資本額_原始值,上櫃公司-資本額_年增率(%),上櫃公司-上櫃面值_原始值,上櫃公司-上櫃面值_年增率(%),上櫃公司-上櫃市值_原始值,上櫃公司-上櫃市值_年增率(%),其他公開發行公司-家數_原始值,其他公開發行公司-家數_年增率(%),其他公開發行公司-家數-興櫃股票_原始值,其他公開發行公司-家數-興櫃股票_年增率(%),其他公開發行公司-資本額_原始值,其他公開發行公司-資本額_年增率(%),其他公開發行公司-資本額-興櫃股票_原始值,其他公開發行公司-資本額-興櫃股票_年增率(%)
2002M08,631,17.29,"4,361.31",10.95,"4,266.77",12.29,"9,206.09",19.90,362,-1.90,654.26,-16.94,636.94,-16.31,"1,056.30",-12.92,"1,465",-30.30,...,...,"2,777.65",72.35,...,...
2002M09,636,8.35,"4,443.20",9.13,"4,339.49",8.72,"8,232.31",26.59,364,12.69,627.28,-8.80,617.09,-8.61,866.75,4.56,"1,454",-30.26,...,...,"2,777.93",73.04,...,...
2002M10,643,9.54,"4,460.23",9.13,"4,398.34",9.04,"9,187.93",30.55,365,11.96,636.34,-7.55,633.31,-7.08,923.70,11.75,"1,430",-31.05,...,...,"2,766.85",72.75,...,...
2002M11,637,8.89,"4,438.27",9.00,"4,400.24",8.97,"9,393.67",15.88,370,12.80,635.91,-7.58,627.77,-7.40,918.22,-9.72,"1,389",-32.57,...,...,"2,738.55",71.42,...,...
2002M12,638,9.25,"4,444.02",8.49,"4,410.40",8.52,"9,094.94",-11.25,384,15.32,627.29,-7.95,624.30,-7.47,862.25,-38.94,"1,328",-32.00,...,...,"2,672.75",76.07,...,...
2003M01,637,8.52,"4,421.25",8.18,"4,390.98",8.14,"10,247.85",-5.73,405,15.06,638.94,-6.92,634.29,-6.59,965.65,-39.37,"1,286",-31.67,...,...,"2,652.98",-14.49,...,...
2003M02,637,7.78,"4,413.52",7.64,"4,384.59",7.75,"9,066.13",-14.33,408,12.40,640.88,-7.95,635.55,-7.81,875.89,-45.78,"1,257",-31.20,...,...,"2,623.51",-13.34,...,...
2003M03,639,7.39,"4,415.12",8.11,"4,386.18",8.22,"8,842.47",-23.67,415,9.21,639.35,-8.86,634.77,-8.72,854.65,-52.09,"1,226",-30.10,...,...,"2,598.27",-12.01,...,...
2003M04,640,7.93,"4,405.91",8.18,"4,371.75",8.15,"8,492.32",-25.57,418,6.63,628.44,-11.18,623.70,-10.75,800.53,-54.65,"1,188",-29.70,...,...,"2,565.37",-11.44,...,...
2003M05,639,7.76,"4,409.54",7.81,"4,377.45",7.84,"9,319.74",-12.90,423,6.55,629.51,-10.34,624.70,-10.20,894.60,-44.20,"1,161",-30.02,...,...,"2,538.14",-11.31,...,...
2003M06,638,7.59,"4,416.80",7.00,"4,367.13",7.50,"9,935.60",4.27,422,6.30,631.75,-10.47,624.79,-10.28,998.00,-30.26,"1,153",-28.70,...,...,"2,568.81",-10.06,...,...
2003M07,639,7.39,"4,504.19",7.27,"4,403.34",7.64,"10,654.83",17.70,425,7.59,649.58,-8.97,630.39,-10.37,"1,126.51",-18.96,"1,143",-24.80,...,...,"2,560.93",-8.59,...,...
2003M08,660,4.60,"4,603.57",5.55,"4,485.27",5.12,"11,305.59",22.81,404,11.60,624.25,-4.59,609.26,-4.35,"1,058.87",0.24,"1,149",-21.57,...,...,"2,544.62",-8.39,...,...
2003M09,663,4.25,"4,605.81",3.66,"4,531.26",4.42,"11,455.46",39.15,399,9.62,615.24,-1.92,609.41,-1.24,"1,073.18",23.82,"1,173",-19.33,...,...,"2,578.91",-7.16,...,...
2003M10,667,3.73,"4,657.79",4.43,"4,603.15",4.66,"12,662.58",37.82,407,11.51,625.49,-1.71,622.58,-1.69,"1,105.79",19.71,"1,159",-18.95,...,...,"2,574.40",-6.96,...,...
2003M11,666,4.55,"4,647.85",4.72,"4,615.00",4.88,"12,148.00",29.32,415,12.16,635.31,-0.09,633.86,0.97,"1,129.78",23.04,"1,141",-17.85,...,...,"2,541.17",-7.21,...,...
2003M12,669,4.86,"4,725.28",6.33,"4,705.51",6.69,"12,869.10",41.50,423,10.16,639.47,1.94,638.11,2.21,"1,200.78",39.26,"1,128",-15.06,...,...,"2,442.97",-8.60,...,...
2004M01,670,5.18,"4,721.61",6.79,"4,701.99",7.08,"13,910.35",35.74,427,5.43,649.41,1.64,640.41,0.96,"1,403.33",45.32,"1,120",-12.91,...,...,"2,439.38",-8.05,...,...
2004M02,670,5.18,"4,735.66",7.30,"4,715.83",7.55,"14,759.64",62.80,436,6.86,654.64,2.15,652.57,2.68,"1,532.68",74.99,"1,101",-12.41,...,...,"2,404.26",-8.36,...,...
2004M03,671,5.01,"4,733.93",7.22,"4,717.20",7.55,"14,283.42",61.53,453,9.16,674.62,5.52,673.87,6.16,"1,585.28",85.49,"1,069",-12.81,...,...,"2,371.43",-8.73,...,...
2004M04,668,4.38,"4,725.59",7.26,"4,695.22",7.40,"13,426.53",58.10,463,10.77,683.28,8.73,682.44,9.42,"1,512.79",88.97,"1,045",-12.04,...,...,"2,346.86",-8.52,...,...
2004M05,672,5.16,"4,721.50",7.07,"4,693.71",7.22,"13,129.20",40.88,461,8.98,684.18,8.68,683.85,9.47,"1,461.94",63.42,"1,047",-9.82,...,...,"2,369.44",-6.65,...,...
2004M06,672,5.33,"4,780.75",8.24,"4,709.07",7.83,"12,641.14",27.23,467,10.66,699.01,10.65,689.89,10.42,"1,375.45",37.82,"1,044",-9.45,...,...,"2,368.33",-7.80,...,...
2004M07,676,5.79,"4,876.30",8.26,"4,780.84",8.57,"11,766.12",10.43,466,9.65,680.03,4.69,664.30,5.38,"1,210.42",7.45,"1,058",-7.44,...,...,"2,411.26",-5.84,...,...
2004M08,678,2.73,"4,961.37",7.77,"4,835.27",7.80,"12,439.42",10.03,458,13.37,695.51,11.42,662.60,8.75,"1,242.75",17.37,"1,061",-7.66,...,...,"2,411.72",-5.22,...,...
