期間,總成交值(百萬元)-一般_原始值,總成交值(百萬元)-一般_年增率(%),總成交值(百萬元)-興櫃_原始值,總成交值(百萬元)-興櫃_年增率(%),成交量(百萬股)-一般_原始值,成交量(百萬股)-一般_年增率(%),成交量(百萬股)-興櫃_原始值,成交量(百萬股)-興櫃_年增率(%),日平均值(百萬元)-一般_原始值,日平均值(百萬元)-一般_年增率(%),日平均值(百萬元)-興櫃_原始值,日平均值(百萬元)-興櫃_年增率(%),交易日數_原始值,交易日數_年增率(%),店頭市場股價指數(月平均)_原始值,店頭市場股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2005M11,"269,380.60",70.53,"7,503.00",278.83,"8,921.70",18.15,187.70,36.95,"12,244.57",70.53,341.05,278.83,22,0.00,111.32,0.47,"382,119",7.22
2005M12,"484,455.80",224.70,"25,678.60",370.21,"15,670.50",123.12,430.90,17.16,"22,020.72",239.46,"1,167.21",391.58,22,-4.35,125.44,12.36,"510,880",51.78
2006M01,"470,736.10",221.66,"16,058.10",372.22,"14,244.10",126.98,307.80,17.51,"26,152.01",275.27,892.12,450.92,18,-14.29,135.17,19.94,"519,874",67.97
2006M02,"309,428.00",49.90,"20,902.80","1,081.68","8,692.20",14.80,420.70,333.71,"18,201.65",14.63,"1,229.58",803.64,17,30.77,132.98,14.43,"417,609",22.09
2006M03,"462,572.20",46.17,"21,446.10",419.93,"10,742.00",-3.84,320.10,37.91,"20,111.83",46.17,932.44,419.93,23,0.00,133.00,10.24,"472,524",9.35
2006M04,"490,195.70",141.52,"20,987.60",332.55,"14,357.80",96.45,475.10,45.65,"25,799.77",154.23,"1,104.61",355.31,19,-5.00,142.60,21.30,"578,324",63.82
2006M05,"469,283.20",133.66,"10,759.00",148.97,"15,172.20",107.47,307.40,10.97,"22,346.82",133.66,512.33,148.97,21,0.00,145.52,27.77,"596,322",79.35
2006M06,"295,905.00",4.51,"9,853.90",68.76,"10,134.10",-14.90,290.80,27.21,"13,450.23",4.51,447.90,68.76,22,0.00,129.23,6.34,"452,257",5.41
2006M07,"295,309.70",-19.64,"5,905.10",-46.70,"9,444.00",-27.41,304.50,-11.02,"14,062.37",-23.46,281.20,-49.24,21,5.00,129.84,1.18,"400,832",-14.01
2006M08,"406,200.00",31.15,"7,091.70",-5.10,"11,740.40",23.66,252.80,-11.02,"17,660.87",25.45,308.33,-9.22,23,4.55,134.00,6.30,"466,283",6.28
