期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2003M11,-61,-13,-150,4.2,3.1,13.3
2003M12,15,29,195,3.4,3.6,13.8
2004M01,-59,100,958,3.0,3.6,13.2
2004M02,-97,76,302,2.6,3.2,9.3
2004M03,-111,-100,-184,2.3,3.7,11.3
2004M04,-45,-128,-162,2.5,3.3,9.3
2004M05,-37,-29,-721,3.1,3.8,13.0
2004M06,32,-159,55,3.7,3.7,13.8
2004M07,-36,-67,-101,3.9,2.9,16.0
2004M08,145,11,575,4.0,2.3,14.8
2004M09,85,1,328,3.8,3.2,11.4
2004M10,-63,-4,470,3.6,3.1,13.0
2004M11,14,23,"1,145",3.4,3.2,19.0
2004M12,32,122,174,3.3,4.6,16.0
2005M01,-10,-5,-18,3.5,4.6,19.3
2005M02,-98,38,"1,145",3.7,2.5,18.3
2005M03,-94,2,-297,3.7,4.2,16.2
2005M04,-6,-14,-247,4.4,4.1,18.8
2005M05,-107,-30,"1,266",4.1,3.8,20.1
2005M06,-126,164,"1,315",3.2,3.8,18.9
2005M07,-92,-20,349,3.3,4.4,14.9
2005M08,-135,-56,-87,3.2,4.2,17.3
2005M09,139,-58,-106,3.2,4.3,19.7
2005M10,-23,-63,-308,3.5,3.7,20.1
2005M11,-90,62,"1,797",3.2,3.6,17.6
2005M12,-220,150,"2,387",2.7,4.2,16.2
2006M01,-158,-45,379,2.8,3.8,17.0
2006M02,-132,-44,660,3.1,3.6,22.1
2006M03,-107,-5,-71,3.0,3.6,19.0
2006M04,-118,118,"1,701",2.6,3.4,16.3
2006M05,-2,-164,-301,2.3,3.2,17.7
2006M06,37,-86,-463,2.6,3.4,20.8
2006M07,-6,31,-289,2.9,3.5,19.3
2006M08,16,77,736,3.0,4.0,18.8
2006M09,-58,61,788,2.7,3.9,20.5
2006M10,-27,-6,581,2.8,3.3,20.3
2006M11,0,103,"1,134",2.7,2.9,17.4
2006M12,13,30,726,2.4,3.0,14.9
2007M01,-1,-12,190,2.4,2.9,17.4
2007M02,74,20,381,2.7,2.7,25.9
2007M03,-97,-13,"-1,010",2.6,2.5,19.9
2007M04,-29,-30,781,2.4,2.6,18.4
2007M05,37,103,437,2.3,2.7,21.7
