期間,境外外國機構投資人-申請登記件數_原始值,境外外國機構投資人-申請登記件數_年增率(%),境外外國機構投資人-完成登記件數_原始值,境外外國機構投資人-完成登記件數_年增率(%),境外外國機構投資人-累積匯入淨額_原始值,境外外國機構投資人-累積匯入淨額_年增率(%),境外華僑及外國自然人-申請登記件數_原始值,境外華僑及外國自然人-申請登記件數_年增率(%),境外華僑及外國自然人-完成登記件數_原始值,境外華僑及外國自然人-完成登記件數_年增率(%),境外華僑及外國自然人-累積匯入淨額_原始值,境外華僑及外國自然人-累積匯入淨額_年增率(%),合計數-總完成登記件數_原始值,合計數-總完成登記件數_年增率(%),合計數-總累積匯入淨額_原始值,合計數-總累積匯入淨額_年增率(%),合計數-持有股票市值占總市值比例(%)_原始值,合計數-持有股票市值占總市值比例(%)_年增率(%)
2011M10,132,26.92,132,26.92,"1,556.44",-2.65,15,-21.05,15,-21.05,3.21,224.24,147,19.51,"1,559.65",-2.51,31.10,-
2011M11,125,-13.79,125,-13.79,"1,554.86",-3.59,40,185.71,40,185.71,3.10,200.97,165,3.77,"1,557.96",-3.46,30.97,-
2011M12,132,10.92,132,10.92,"1,556.44",-6.04,15,50.00,15,50.00,3.21,194.50,147,13.95,"1,559.65",-5.91,31.10,-
2012M01,122,4.27,122,4.27,"1,586.68",-6.09,2,-66.67,2,-66.67,3.18,127.14,124,0.81,"1,589.86",-5.97,31.38,-
2012M02,102,-23.88,102,-23.88,"1,595.64",-6.27,10,-16.67,10,-16.67,3.59,154.61,112,-23.29,"1,599.23",-6.14,31.33,-
2012M03,112,-28.21,112,-28.21,"1,622.67",-4.94,16,220.00,16,220.00,5.74,307.09,128,-20.50,"1,628.41",-4.68,31.90,-
2012M04,121,6.14,121,6.14,"1,620.91",-5.30,4,-20.00,4,-20.00,4.59,237.50,125,5.04,"1,625.50",-5.11,32.11,-
2012M05,130,12.07,130,12.07,"1,588.04",-6.11,4,300.00,4,300.00,4.51,236.57,134,14.53,"1,592.55",-5.92,31.65,-
2012M06,65,-56.08,65,-56.08,"1,584.75",-1.64,1,-85.71,1,-85.71,4.36,235.38,66,-57.42,"1,589.11",-1.45,31.12,-
2012M07,94,-27.69,94,-27.69,"1,556.79",-0.84,11,0.00,11,0.00,4.38,184.42,105,-25.53,"1,561.17",-0.66,30.92,-
2012M08,82,-43.84,82,-43.84,"1,574.80",0.03,2,--,2,--,4.75,249.26,84,-42.47,"1,579.56",0.25,31.55,-
2012M09,86,-31.20,86,-31.20,"1,578.58",1.53,2,-95.00,2,-95.00,5.04,62.58,88,-46.67,"1,583.62",1.65,32.11,-
2012M10,106,-19.70,105,-20.45,"1,586.55",1.93,3,-80.00,3,-80.00,4.97,54.83,108,-26.53,"1,591.52",2.04,32.39,-
2012M11,83,-33.60,83,-33.60,"1,599.31",2.86,3,-92.50,3,-92.50,4.83,55.81,86,-47.88,"1,604.14",2.96,32.81,-
2012M12,116,-12.12,116,-12.12,"1,628.42",4.62,2,-86.67,2,-86.67,4.90,52.65,118,-19.73,"1,633.32",4.72,32.62,-
2013M01,96,-21.31,96,-21.31,"1,635.07",3.05,2,0.00,2,0.00,4.87,53.14,98,-20.97,"1,639.94",3.15,32.91,-
2013M02,88,-13.73,88,-13.73,"1,653.43",3.62,1,-90.00,1,-90.00,4.87,35.65,89,-20.54,"1,658.30",3.69,32.98,-
2013M03,137,22.32,137,22.32,"1,652.76",1.85,12,-25.00,12,-25.00,4.84,-15.68,149,16.41,"1,657.60",1.79,32.82,-
2013M04,113,-6.61,113,-6.61,"1,664.64",2.70,13,225.00,13,225.00,4.86,5.88,126,0.80,"1,669.50",2.71,33.41,-
2013M05,100,-23.08,100,-23.08,"1,694.54",6.71,1,-75.00,1,-75.00,4.84,7.32,101,-24.63,"1,699.38",6.71,33.32,-
2013M06,94,44.62,94,44.62,"1,664.94",5.06,0,-100.00,0,-100.00,4.84,11.01,94,42.42,"1,669.78",5.08,32.83,-
2013M07,110,17.02,110,17.02,"1,692.58",8.72,7,-36.36,7,-36.36,4.88,11.42,117,11.43,"1,697.46",8.73,32.62,-
2013M08,89,8.54,89,8.54,"1,670.94",6.11,4,100.00,4,100.00,4.86,2.32,93,10.71,"1,675.80",6.09,32.42,-
