期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
2006M08,29.22,9.97,1.81,14.56,17.21,9.55,15.97,-,10.51,-
2006M09,30.42,13.21,1.86,16.98,17.31,10.40,16.12,-,9.26,-
2006M10,31.40,23.72,1.87,15.43,17.82,7.87,16.21,-,9.50,-
2006M11,33.85,23.90,1.81,12.42,17.85,8.25,17.92,-,12.43,-
2006M12,35.09,21.54,1.81,12.42,17.86,8.77,18.98,-,11.89,-
2007M01,34.62,20.12,1.84,15.00,17.92,9.40,18.66,-,13.82,-
2007M02,35.54,22.51,1.85,14.91,17.93,9.40,19.10,-,5.60,-
2007M03,35.55,21.38,1.88,20.51,18.09,9.70,18.71,-,13.21,-
2007M04,35.44,10.27,1.97,22.36,19.36,12.49,17.89,-,10.87,-
2007M05,36.63,18.28,1.96,12.00,19.43,6.29,18.47,-,10.44,-
2007M06,40.02,32.04,1.96,12.00,19.39,6.42,20.26,-,13.50,-
2007M07,41.62,42.34,1.95,11.43,19.25,6.06,21.28,-,21.49,-
2007M08,39.75,36.04,2.12,17.13,18.47,7.32,18.72,-,15.83,-
2007M09,41.78,37.34,2.20,18.28,18.58,7.34,19.51,-,10.47,-
2007M10,43.46,38.41,2.42,29.41,19.61,10.04,17.66,-,14.41,-
2007M11,38.61,14.06,2.51,38.67,19.79,10.87,15.36,-,13.45,-
2007M12,38.43,9.52,2.47,36.46,19.42,8.73,15.31,-,10.19,-
2008M01,34.26,-1.04,2.51,36.41,19.80,10.49,13.57,-,15.97,-
2008M02,38.27,7.68,2.50,35.14,19.81,10.49,15.26,-,8.52,-
2008M03,39.05,9.84,2.50,32.98,19.93,10.17,15.52,-,14.70,-
2008M04,40.69,14.81,2.73,38.58,20.74,7.13,14.96,-,14.55,-
2008M05,39.32,7.34,2.63,34.18,20.75,6.79,14.66,-,13.47,-
2008M06,34.33,-14.22,2.63,34.18,20.73,6.91,12.81,-,10.57,-
2008M07,31.72,-23.79,2.60,33.33,20.49,6.44,11.97,-,12.31,-
2008M08,31.40,-21.01,2.52,18.87,18.73,1.41,12.53,-,10.87,-
2008M09,25.44,-39.11,2.46,11.82,18.60,0.11,10.14,-,12.83,-
2008M10,21.57,-50.37,2.07,-14.46,18.85,-3.88,10.20,-,10.05,-
2008M11,19.81,-48.69,2.02,-19.52,18.73,-5.36,9.53,-,9.80,-
2008M12,20.41,-46.89,2.02,-18.22,18.76,-3.40,9.80,-,11.81,-
2009M01,18.89,-44.86,2.03,-19.12,18.80,-5.05,9.05,-,7.80,-
2009M02,20.21,-47.19,2.04,-18.40,18.80,-5.10,9.69,-,11.25,-
2009M03,22.97,-41.18,1.65,-34.00,18.74,-5.97,13.89,-,17.50,-
2009M04,26.34,-35.27,0.64,-76.56,18.50,-10.80,41.81,-,20.75,-
2009M05,30.27,-23.02,0.40,-84.79,18.50,-10.84,62.12,-,19.94,-
2009M06,28.21,-17.83,0.40,-84.79,18.46,-10.95,58.08,-,17.55,-
2009M07,30.79,-2.93,0.39,-85.00,18.25,-10.93,63.52,-,16.95,-
2009M08,29.68,-5.48,0.20,-92.06,18.04,-3.68,103.77,-,12.10,-
2009M09,32.78,28.85,0.16,-93.50,18.02,-3.12,100.17,-,13.82,-
2009M10,32.04,48.54,0.27,-86.96,18.73,-0.64,73.82,-,14.84,-
2009M11,33.11,67.14,0.29,-85.64,18.83,0.53,97.95,-,11.77,-
2009M12,35.83,75.55,0.30,-85.15,18.81,0.27,110.54,-,14.01,-
2010M01,33.56,77.66,0.24,-88.18,18.44,-1.91,124.72,-,15.14,-
2010M02,32.64,61.50,0.34,-83.33,18.85,0.27,106.55,-,6.82,-
2010M03,34.99,52.33,0.92,-44.24,18.99,1.33,40.38,-,11.38,-
2010M04,35.39,34.36,1.96,206.25,20.29,9.68,18.01,-,12.44,-
2010M05,32.62,7.76,1.94,385.00,20.11,8.70,16.30,-,10.42,-
2010M06,32.52,15.28,1.97,392.50,20.51,11.11,16.10,-,8.85,-
2010M07,34.38,11.66,1.97,405.13,20.38,11.67,17.00,-,11.14,-
