期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
2010M08,"7,616.28",11.58,"10,014.72",5.46,"2,114.03",5.22,"8,824.06",-15.90,"5,225.22",6.44,"20,536.49",4.12,"1,742.75",9.48,"2,950.33",13.78,"2,638.80",15.04
2010M09,"8,237.78",9.70,"10,788.05",11.08,"2,368.62",11.60,"9,369.35",-7.54,"5,548.62",8.08,"22,358.17",6.69,"1,872.81",11.93,"3,097.63",15.90,"2,655.66",53.61
2010M10,"8,287.09",12.90,"11,118.49",14.47,"2,507.41",22.61,"9,202.45",-8.29,"5,675.16",12.50,"23,096.32",6.18,"1,882.95",19.12,"3,142.62",18.54,"2,978.83",59.20
2010M11,"8,372.48",10.42,"11,006.02",6.39,"2,498.23",16.49,"9,937.04",6.33,"5,528.27",6.50,"23,007.99",5.44,"1,904.63",22.44,"3,144.70",15.10,"2,820.18",54.89
2010M12,"8,972.50",9.58,"11,577.51",11.02,"2,652.87",16.91,"10,228.92",-3.01,"5,899.94",9.00,"23,035.45",5.32,"2,051.00",21.88,"3,190.04",10.09,"2,808.08",41.06
2011M01,"9,145.35",19.70,"11,891.93",18.12,"2,700.08",25.74,"10,237.92",0.39,"5,862.94",13.00,"23,447.34",16.53,"2,069.73",29.16,"3,179.72",15.82,"2,790.69",-6.64
2011M02,"8,599.65",15.65,"12,226.34",18.41,"2,782.27",24.31,"10,624.09",4.92,"5,994.01",11.94,"23,338.02",13.24,"1,939.30",21.62,"3,010.51",9.44,"2,905.05",-4.81
2011M03,"8,683.30",9.64,"12,319.73",13.48,"2,781.07",15.98,"9,755.10",-12.04,"5,908.76",4.03,"23,527.52",10.77,"2,106.70",24.45,"3,105.85",7.56,"2,928.11",-5.82
2011M04,"9,007.87",12.54,"12,810.54",16.37,"2,873.54",16.75,"9,849.74",-10.92,"6,069.90",9.30,"23,720.81",12.38,"2,192.36",25.88,"3,179.86",6.90,"2,911.51",1.42
2011M05,"8,988.84",21.90,"12,569.79",24.00,"2,835.30",25.62,"9,693.73",-0.77,"5,989.99",15.45,"23,684.13",19.83,"2,142.47",30.54,"3,159.93",14.80,"2,743.47",5.84
