期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
2002M08,"12,226.29",16.10,"1,362.99",17.11,168.03,29.63,170,-10.53,135,-14.56,24,-7.69,...,...
2002M09,"12,150.17",25.52,"1,015.51",54.55,98.92,74.22,167,-11.17,135,-13.46,24,-7.69,...,...
2002M10,"14,010.21",13.92,"1,675.92",69.51,147.45,127.65,167,-10.70,130,-16.13,24,-7.69,...,...
2002M11,"14,981.70",34.73,"1,859.24",-0.33,139.61,-17.08,164,-11.83,126,-18.18,24,-7.69,...,...
2002M12,"17,155.47",87.48,"1,575.48",-47.84,111.40,-67.74,163,-10.93,125,-17.22,24,-7.69,...,...
2003M01,"10,530.96",-6.48,"2,109.85",-37.08,124.46,-72.82,163,-11.41,125,-17.22,24,-7.69,...,...
2003M02,"7,930.51",21.72,968.37,-21.19,54.49,-71.38,162,-11.96,124,-17.88,24,-7.69,...,...
2003M03,"10,988.70",20.14,958.66,-65.57,63.45,-84.42,162,-10.50,123,-16.89,25,0.00,...,...
2003M04,"13,762.32",62.70,"1,177.33",-52.40,87.80,-77.84,163,-8.94,122,-15.86,25,0.00,...,...
2003M05,"15,450.18",64.75,990.05,-40.82,88.53,-63.54,162,-9.50,121,-16.55,25,0.00,...,...
2003M06,"13,798.63",29.74,"2,025.70",52.05,231.99,38.48,161,-10.06,120,-17.24,25,0.00,...,...
2003M07,"12,569.01",10.05,"2,955.63",86.30,387.67,113.54,161,-9.55,119,-16.20,26,4.00,...,...
2003M08,"9,795.34",-19.88,"2,101.03",54.15,255.53,52.07,161,-5.29,118,-12.59,26,8.33,...,...
2003M09,"9,400.78",-22.63,"1,751.77",72.50,184.38,86.39,160,-4.19,117,-13.33,25,4.17,...,...
2003M10,"11,316.77",-19.22,"2,301.33",37.32,187.42,27.11,158,-5.39,116,-10.77,25,4.17,...,...
2003M11,"10,153.10",-32.23,"1,696.98",-8.73,164.94,18.15,156,-4.88,115,-8.73,25,4.17,...,...
2003M12,"11,934.96",-30.43,"1,444.70",-8.30,189.62,70.22,154,-5.52,114,-8.80,24,0.00,...,...
2004M01,"7,976.91",-24.25,"1,846.05",-12.50,238.32,91.48,150,-7.98,112,-10.40,24,0.00,...,...
2004M02,"9,742.28",22.85,"3,209.51",231.43,404.82,642.93,148,-8.64,110,-11.29,23,-4.17,...,...
2004M03,"13,485.17",22.72,"3,773.65",293.64,543.03,755.84,148,-8.64,110,-10.57,23,-8.00,...,...
2004M04,"12,630.77",-8.22,"3,199.53",171.76,675.54,669.41,148,-9.20,110,-9.84,23,-8.00,...,...
2004M05,"10,500.11",-32.04,"1,881.24",90.01,315.28,256.13,148,-8.64,111,-8.26,23,-8.00,...,...
2004M06,"11,649.21",-15.58,"1,475.45",-27.16,223.65,-3.59,150,-6.83,110,-8.33,23,-8.00,...,...
2004M07,"13,619.83",8.36,"1,178.72",-60.12,170.15,-56.11,149,-7.45,110,-7.56,23,-11.54,...,...
2004M08,"12,184.10",24.39,"1,251.32",-40.44,178.69,-30.07,149,-7.45,109,-7.63,23,-11.54,...,...
2004M09,"13,210.42",40.52,"1,746.44",-0.30,220.76,19.73,149,-6.88,110,-5.98,23,-8.00,...,...
2004M10,"12,657.62",11.85,"1,652.40",-28.20,181.06,-3.39,147,-6.96,108,-6.90,23,-8.00,...,...
2004M11,"14,219.54",40.05,"1,544.32",-9.00,157.79,-4.33,147,-5.77,109,-5.22,23,-8.00,...,...
2004M12,"15,640.59",31.05,"1,418.30",-1.83,149.20,-21.32,148,-3.90,108,-5.26,23,-4.17,14,...
