期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
1986,-,--,-,--,-,--,"514,669",1.53,...,...,...,...,"4,711,969",16.36,...,...,...,...,"113,365",12.53,...,...,...,...
1987,-,--,-,--,-,--,"521,127",1.25,...,...,...,...,"5,321,733",12.94,...,...,...,...,"218,021",92.32,...,...,...,...
1988,-,--,-,--,-,--,"527,637",1.25,...,...,...,...,"5,980,157",12.37,...,...,...,...,"676,461",210.27,...,...,...,...
1989,-,--,-,--,-,--,"547,071",3.68,...,...,...,...,"6,549,661",9.52,...,...,...,...,"1,344,155",98.70,...,...,...,...
1990,-,--,-,--,-,--,"570,909",4.36,...,...,...,...,"6,852,978",4.63,...,...,...,...,"1,571,296",16.90,...,...,...,...
1991,-,--,-,--,-,--,"586,245",2.69,...,...,...,...,"7,281,445",6.25,...,...,...,...,"1,653,676",5.24,...,...,...,...
1992,-,--,-,--,-,--,"598,781",2.14,...,...,...,...,"7,708,868",5.87,...,...,...,...,"1,695,167",2.51,...,...,...,...
1993,-,--,-,--,-,--,"613,973",2.54,...,...,...,...,"8,144,183",5.65,...,...,...,...,"1,708,488",0.79,...,...,...,...
1994,-,--,-,--,-,--,"626,104",1.98,...,...,...,...,"8,496,883",4.33,...,...,...,...,"1,737,740",1.71,...,...,...,...
1995,"19,123,278",--,"9,591,276",--,"9,532,002",--,"634,543",1.35,...,...,...,...,"7,635,063",-10.14,...,...,...,...,"1,800,187",3.59,...,...,...,...
1996,"20,041,488",4.80,"10,073,261",5.03,"9,968,227",4.58,"645,592",1.74,...,...,...,...,"7,434,299",-2.63,...,...,...,...,"1,812,293",0.67,...,...,...,...
1997,"20,492,317",2.25,"10,313,824",2.39,"10,178,493",2.11,"649,267",0.57,...,...,...,...,"7,500,917",0.90,...,...,...,...,"1,812,260",0.00,...,...,...,...
1998,"20,757,185",1.29,"10,454,707",1.37,"10,302,478",1.22,"625,774",-3.62,...,...,...,...,"7,597,386",1.29,...,...,...,...,"1,806,392",-0.32,...,...,...,...
1999,"21,089,859",1.60,"10,613,449",1.52,"10,476,410",1.69,"623,016",-0.44,...,...,...,...,"7,738,971",1.86,"3,962,500",...,"3,776,471",...,"1,800,059",-0.35,"917,315",...,"882,744",...
