期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
2008M10,"22,921,974",1.43,...,...,...,...,"592,324",0.69,...,...,...,...,"8,887,887",0.82,...,...,...,...,"1,580,738",-1.49,...,...,...,...
2008M11,"22,921,465",1.32,...,...,...,...,"594,202",0.73,...,...,...,...,"8,888,995",0.57,...,...,...,...,"1,577,112",-1.63,...,...,...,...
2008M12,"22,918,144",1.27,...,...,...,...,"594,798",0.68,...,...,...,...,"8,795,248",-0.05,...,...,...,...,"1,573,364",-1.75,...,...,...,...
2009M01,"22,846,553",0.21,...,...,...,...,"594,954",0.72,...,...,...,...,"8,803,398",-0.32,...,...,...,...,"1,575,186",-1.56,...,...,...,...
2009M02,"22,884,168",0.54,...,...,...,...,"595,365",0.90,...,...,...,...,"8,795,368",0.04,...,...,...,...,"1,573,906",-1.51,...,...,...,...
2009M03,"22,882,424",0.40,...,...,...,...,"595,607",0.96,...,...,...,...,"8,788,692",-0.22,...,...,...,...,"1,573,606",-1.43,...,...,...,...
2009M04,"22,908,543",0.44,...,...,...,...,"596,066",0.96,...,...,...,...,"8,820,137",0.00,...,...,...,...,"1,571,480",-1.48,...,...,...,...
2009M05,"22,903,092",0.31,...,...,...,...,"597,037",0.93,...,...,...,...,"8,847,963",0.22,...,...,...,...,"1,569,973",-1.59,...,...,...,...
2009M06,"22,928,190",0.16,...,...,...,...,"596,732",1.15,...,...,...,...,"8,817,021",0.37,...,...,...,...,"1,565,118",-1.84,...,...,...,...
2009M07,"22,917,032",0.18,...,...,...,...,"595,433",0.98,...,...,...,...,"8,888,753",0.84,...,...,...,...,"1,563,335",-1.98,...,...,...,...
