期間,總計-人數- 計(人)_原始值,總計-人數- 計(人)_年增率(%),總計-人數- 男(人)_原始值,總計-人數- 男(人)_年增率(%),總計-人數- 女(人)_原始值,總計-人數- 女(人)_年增率(%),總計-金額(元)_原始值,總計-金額(元)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_年增率(%)
2007M09,"135,579",-3.96,"63,394",-5.88,"72,185",-2.20,"705,911,218",-2.65,"2,124",-0.19,"12,400,170",-3.26,"4,955",-7.68,"29,611,370",-7.78,"6,843",-7.00,"40,678,670",-6.76,"89,348",-0.18,"529,677,040",0.04,"32,309",-12.23,"93,543,968",-12.64
2007M10,"134,858",-4.29,"63,074",-4.58,"71,784",-4.04,"702,895,292",-2.96,"2,108",-0.38,"12,460,820",-2.50,"4,928",-7.61,"29,459,080",-7.97,"6,884",-6.99,"40,891,980",-6.89,"88,898",-0.62,"526,994,720",-0.40,"32,040",-12.47,"93,088,692",-12.56
2007M11,"135,178",-3.91,"63,186",-4.23,"71,992",-3.63,"703,967,900",-2.85,"2,093",-0.71,"12,445,530",-2.54,"4,946",-6.94,"29,573,080",-7.11,"6,899",-6.53,"41,078,978",-6.14,"88,854",-1.13,"527,002,760",-0.86,"32,386",-10.06,"93,867,552",-10.33
2007M12,"134,644",-4.20,"62,634",-4.88,"72,010",-3.60,"701,603,201",-3.04,"2,085",-1.18,"12,333,240",-2.99,"4,902",-7.67,"29,285,240",-8.06,"6,911",-7.01,"41,269,460",-6.46,"88,534",-0.99,"525,218,890",-0.84,"32,212",-11.21,"93,496,371",-11.17
2008M01,"122,655",-8.53,"57,554",-8.71,"65,101",-8.37,"634,141,849",-8.73,"2,004",-6.96,"11,906,790",-7.17,"4,498",-5.44,"26,885,489",-5.85,"5,516",-13.11,"32,673,100",-14.05,"80,453",-8.39,"474,788,860",-8.67,"30,184",-8.55,"87,887,610",-8.03
2008M02,"125,909",-6.44,"58,933",-7.29,"66,976",-5.68,"658,662,768",-6.25,"2,039",-6.30,"12,198,790",-6.33,"4,654",-4.26,"27,902,630",-4.80,"5,961",-8.60,"35,770,230",-9.04,"82,820",-6.61,"493,292,230",-6.42,"30,435",-5.87,"89,498,888",-4.58
2008M03,"125,969",-7.31,"58,853",-7.71,"67,116",-6.96,"659,787,748",-7.11,"2,054",-5.52,"12,256,210",-5.49,"4,683",-6.36,"28,097,920",-5.84,"6,058",-9.57,"36,389,440",-9.40,"83,356",-6.84,"495,939,420",-6.89,"29,818",-8.42,"87,104,758",-8.04
2008M04,"126,180",-7.19,"58,987",-7.51,"67,193",-6.91,"658,730,661",-7.00,"2,044",-5.89,"12,163,370",-6.28,"4,686",-5.14,"28,097,920",-4.96,"6,102",-8.52,"36,581,020",-8.16,"83,337",-7.31,"494,255,095",-7.18,"30,011",-6.98,"87,633,256",-6.19
2008M05,"125,934",-7.44,"58,819",-7.70,"67,115",-7.21,"656,228,170",-7.48,"2,060",-4.89,"12,284,110",-4.71,"4,673",-5.23,"27,933,790",-5.44,"6,095",-9.68,"36,225,812",-10.73,"83,224",-7.05,"492,644,870",-7.29,"29,882",-8.55,"87,139,588",-8.13
2008M06,"125,656",-7.69,"58,596",-7.99,"67,060",-7.42,"654,736,716",-7.61,"2,042",-5.33,"12,062,240",-6.05,"4,680",-5.59,"27,989,790",-5.75,"6,102",-9.73,"36,264,360",-9.93,"83,235",-7.04,"492,135,470",-7.32,"29,597",-9.50,"86,284,856",-9.03
