期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
2007M09,"48,866",3.84,"1,339,115",30.65,27.4,25.82,...,--,"14,417",3.62,"762,069",-0.26,52.9,-3.75,"1,249,424",-0.29,"1,367",--,"313,786",--,229.5,--,...,--,...,--,...,--,...,--,...,--,"33,011",-0.18,"262,483",0.98,8.0,1.17,"726,986",1.00,...,--,...,--,...,--,...,--
2007M10,"51,432",6.71,"1,319,668",26.55,25.7,18.59,...,--,"14,247",-3.97,"708,683",-8.61,49.7,-4.84,"1,144,542",-9.05,"1,449",--,"325,844",--,224.9,--,...,--,...,--,...,--,...,--,...,--,"35,679",7.36,"284,720",7.08,8.0,-0.27,"780,404",6.54,...,--,...,--,...,--,...,--
2007M11,"52,273",11.15,"1,357,353",36.34,26.0,22.67,...,--,"14,089",3.54,"699,390",-3.84,49.6,-7.12,"1,127,584",-4.07,"1,660",--,"368,249",--,221.9,--,...,--,...,--,...,--,...,--,...,--,"36,442",9.33,"288,909",8.10,7.9,-1.13,"797,411",8.92,...,--,...,--,...,--,...,--
2007M12,"56,426",12.07,"1,490,277",38.99,26.4,24.02,...,--,"15,098",3.59,"740,321",-5.98,49.0,-9.24,"1,195,151",-6.94,"2,003",--,"437,452",--,218.4,--,...,--,...,--,...,--,...,--,...,--,"39,228",9.94,"311,441",9.77,7.9,-0.15,"865,942",10.09,...,--,...,--,...,--,...,--
2008M01,"52,853",7.33,"1,453,411",11.72,27.5,4.09,...,--,"13,990",1.99,"736,847",-4.79,52.7,-6.65,"1,203,727",-5.64,"1,958",68.64,"427,088",68.87,218.1,0.14,...,--,...,--,...,--,...,--,...,--,"36,826",7.38,"288,442",5.60,7.8,-1.66,"802,692",6.87,...,--,...,--,...,--,...,--
2008M02,"50,012",13.94,"1,419,733",27.11,28.4,11.56,...,--,"14,573",7.50,"696,068",-2.44,47.8,-9.25,"1,144,248",-2.40,"2,095",189.08,"464,631",184.36,221.8,-1.63,...,--,...,--,...,--,...,--,...,--,"33,224",12.87,"257,669",8.20,7.8,-4.13,"730,614",10.78,...,--,...,--,...,--,...,--
2008M03,"56,371",9.03,"1,580,860",23.75,28.0,13.50,...,--,"15,463",6.69,"773,630",-0.70,50.0,-6.93,"1,249,803",-1.32,"2,312",151.43,"499,869",136.31,216.2,-6.02,...,--,...,--,...,--,...,--,...,--,"38,433",6.30,"305,501",7.13,7.9,0.79,"841,217",7.31,...,--,...,--,...,--,...,--
2008M04,"56,058",14.86,"1,574,843",25.72,28.1,9.45,...,--,"14,721",3.93,"713,715",-2.70,48.5,-6.38,"1,119,592",-5.53,"2,546",136.48,"549,951",118.83,216.0,-7.47,...,--,"38,651",--,"310,061",--,8.0,--,"837,164",--,"36,472",9.10,"291,405",9.42,8.0,0.30,"799,159",8.94,"2,179",--,"18,656",--,8.6,--,"38,005",--
2008M05,"58,713",16.88,"1,602,214",26.17,27.3,7.94,...,--,"14,967",6.29,"713,899",-1.60,47.7,-7.42,"1,192,248",1.39,"2,603",125.38,"560,909",110.22,215.5,-6.73,...,--,"41,058",--,"326,347",--,7.9,--,"909,619",--,"38,096",9.08,"301,612",9.03,7.9,-0.05,"832,744",9.09,"2,961",--,"24,735",--,8.4,--,"76,875",--
2008M06,"55,973",17.91,"1,543,764",21.04,27.6,2.66,...,--,"14,021",6.41,"688,505",-5.33,49.1,-11.03,"1,144,119",-4.27,"2,538",104.44,"544,918",89.50,214.7,-7.31,...,--,"39,346",--,"309,291",--,7.9,--,"818,587",--,"36,552",10.82,"286,854",10.44,7.8,-0.34,"757,701",5.46,"2,794",--,"22,437",--,8.0,--,"60,887",--
2008M07,"59,805",14.79,"1,702,667",18.49,28.5,3.22,...,--,"14,923",1.23,"770,017",-6.91,51.6,-8.05,"1,245,776",-7.85,"2,812",97.23,"605,924",84.74,215.5,-6.33,...,--,"41,972",--,"325,515",--,7.8,--,"890,991",--,"38,641",7.89,"301,140",7.35,7.8,-0.49,"801,291",2.18,"3,331",--,"24,376",--,7.3,--,"89,700",--
2008M08,"62,328",24.24,"1,788,944",34.26,28.7,8.06,...,--,"16,063",15.48,"822,004",10.06,51.2,-4.69,"1,327,886",8.67,"2,973",116.44,"630,249",101.15,212.0,-7.06,...,--,"43,175",--,"335,702",--,7.8,--,"935,153",--,"39,807",14.30,"311,615",14.70,7.8,0.35,"837,478",10.22,"3,368",--,"24,086",--,7.2,--,"97,675",--
2008M09,"54,829",12.20,"1,494,935",11.64,27.3,-0.50,...,--,"14,151",-1.85,"667,290",-12.44,47.2,-10.79,"1,073,125",-14.11,"2,489",82.01,"529,601",68.78,212.8,-7.27,...,--,"38,144",--,"297,667",--,7.8,--,"841,205",--,"34,945",5.86,"274,712",4.66,7.9,-1.13,"757,753",4.23,"3,199",--,"22,955",--,7.2,--,"83,451",--
2008M10,"62,596",21.71,"1,694,622",28.41,27.1,5.51,...,--,"15,721",10.35,"738,984",4.28,47.0,-5.50,"1,185,453",3.57,"2,856",97.16,"606,826",86.23,212.5,-5.54,...,--,"43,942",--,"348,359",--,7.9,--,"961,769",--,"39,569",10.90,"315,564",10.83,8.0,-0.06,"865,029",10.84,"4,372",--,"32,795",--,7.5,--,"96,740",--
2008M11,"58,755",12.40,"1,593,749",17.42,27.1,4.46,...,--,"14,881",5.62,"686,651",-1.82,46.1,-7.05,"1,103,316",-2.15,"2,742",65.21,"583,941",58.57,213.0,-4.02,...,--,"41,052",--,"322,700",--,7.9,--,"912,080",--,"37,510",2.93,"297,267",2.89,7.9,-0.04,"817,976",2.58,"3,542",--,"25,433",--,7.2,--,"94,104",--
2008M12,"61,588",9.15,"1,615,826",8.42,26.2,-0.66,...,--,"15,186",0.58,"710,172",-4.07,46.8,-4.63,"1,131,472",-5.33,"2,658",32.72,"562,213",28.52,211.5,-3.17,...,--,"43,678",--,"343,050",--,7.9,--,"972,069",--,"39,950",1.84,"317,047",1.80,7.9,-0.04,"869,983",0.47,"3,728",--,"26,003",--,7.0,--,"102,086",--
2009M01,"56,551",7.00,"1,652,027",13.67,29.2,6.23,...,--,"14,454",3.32,"733,381",-0.47,50.7,-3.67,"1,207,995",0.35,"2,787",42.32,"610,598",42.97,219.1,0.45,...,--,"39,139",--,"306,999",--,7.8,--,"890,111",--,"34,771",-5.58,"276,891",-4.00,8.0,1.67,"767,286",-4.41,"4,368",--,"30,108",--,6.9,--,"122,825",--
2009M02,"57,332",14.64,"1,493,933",5.23,26.1,-8.21,...,--,"15,039",3.20,"672,907",-3.33,44.7,-6.32,"1,075,954",-5.97,"2,397",14.40,"508,783",9.50,212.3,-4.28,...,--,"39,811",--,"311,407",--,7.8,--,"885,693",--,"36,237",9.07,"286,882",11.34,7.9,2.08,"788,166",7.88,"3,574",--,"24,526",--,6.9,--,"97,527",--
2009M03,"60,214",6.82,"1,613,773",2.08,26.8,-4.43,...,--,"15,288",-1.13,"718,412",-7.14,47.0,-6.07,"1,150,910",-7.91,"2,648",14.54,"562,792",12.59,212.5,-1.71,...,--,"42,098",--,"331,156",--,7.9,--,"928,736",--,"38,808",0.98,"307,847",0.77,7.9,-0.21,"845,255",0.48,"3,289",--,"23,309",--,7.1,--,"83,481",--
2009M04,"58,074",3.60,"1,557,202",-1.12,26.8,-4.55,...,--,"14,724",0.02,"687,126",-3.73,46.7,-3.75,"1,099,801",-1.77,"2,583",1.47,"548,603",-0.25,212.4,-1.69,...,--,"40,644",5.16,"320,240",3.28,7.9,-1.78,"892,475",6.61,"37,410",2.57,"297,590",2.12,8.0,-0.44,"814,051",1.86,"3,234",48.41,"22,650",21.41,7.0,-18.20,"78,424",106.35
2009M05,"59,817",1.88,"1,659,475",3.57,27.7,1.66,...,--,"15,499",3.56,"740,022",3.66,47.7,0.10,"1,193,324",0.09,"2,752",5.71,"589,171",5.04,214.1,-0.63,...,--,"41,455",0.97,"329,225",0.88,7.9,-0.09,"916,244",0.73,"37,754",-0.90,"303,855",0.74,8.0,1.66,"826,799",-0.71,"3,701",24.98,"25,370",2.57,6.9,-17.94,"89,445",16.35
2009M06,"56,090",0.21,"1,485,155",-3.80,26.5,-4.00,...,--,"13,835",-1.33,"661,716",-3.89,47.8,-2.60,"1,067,938",-6.66,"2,436",-3.99,"512,670",-5.92,210.4,-2.01,...,--,"39,757",1.05,"310,105",0.26,7.8,-0.77,"874,877",6.88,"36,552",0.00,"287,722",0.30,7.9,0.30,"792,619",4.61,"3,205",14.73,"22,383",-0.24,7.0,-13.05,"82,257",35.10
2009M07,"64,277",7.48,"1,790,283",5.15,27.9,-2.17,...,--,"15,640",4.80,"794,789",3.22,50.8,-1.51,"1,269,993",1.94,"2,957",5.17,"631,752",4.26,213.6,-0.86,...,--,"45,565",8.56,"362,565",11.38,8.0,2.60,"972,116",9.11,"41,123",6.42,"332,777",10.51,8.1,3.84,"861,923",7.57,"4,441",33.35,"29,788",22.20,6.7,-8.36,"110,192",22.85
2009M08,"58,735",-5.76,"1,584,987",-11.40,27.0,-5.98,...,--,"14,468",-9.93,"671,778",-18.28,46.4,-9.27,"1,062,173",-20.01,"2,716",-8.64,"584,485",-7.26,215.2,1.51,...,--,"41,512",-3.85,"328,402",-2.17,7.9,1.74,"885,903",-5.27,"37,896",-4.80,"304,545",-2.27,8.0,2.66,"796,869",-4.85,"3,616",7.36,"23,857",-0.95,6.6,-7.74,"89,034",-8.85
2009M09,"58,331",6.39,"1,492,574",-0.16,25.6,-6.15,...,--,"14,546",2.79,"649,752",-2.63,44.7,-5.27,"1,039,691",-3.12,"2,441",-1.92,"510,247",-3.65,209.0,-1.77,...,--,"41,329",8.35,"332,483",11.70,8.0,3.09,"878,843",4.47,"38,230",9.40,"311,332",13.33,8.1,3.59,"800,230",5.61,"3,099",-3.13,"21,151",-7.86,6.8,-4.88,"78,613",-5.80
2009M10,"61,854",-1.18,"1,625,587",-4.07,26.3,-2.92,...,--,"15,118",-3.83,"675,258",-8.62,44.7,-4.98,"1,081,251",-8.79,"2,839",-0.59,"594,854",-1.97,209.5,-1.39,...,--,"43,873",-0.16,"355,331",2.00,8.1,2.16,"932,997",-2.99,"40,426",2.17,"331,549",5.07,8.2,2.84,"848,866",-1.87,"3,447",-21.17,"23,782",-27.48,6.9,-8.01,"84,131",-13.03
2009M11,"60,889",3.63,"1,608,794",0.94,26.4,-2.59,...,--,"15,079",1.33,"669,968",-2.43,44.4,-3.71,"1,073,943",-2.66,"2,815",2.66,"590,607",1.14,209.8,-1.48,...,--,"42,962",4.65,"348,018",7.85,8.1,3.05,"908,940",-0.34,"39,549",5.44,"324,518",9.17,8.2,3.54,"827,818",1.20,"3,413",-3.64,"23,500",-7.60,6.9,-4.11,"81,122",-13.80
2009M12,"66,351",7.73,"1,713,605",6.05,25.8,-1.56,...,--,"15,679",3.25,"711,746",0.22,45.4,-2.93,"1,135,705",0.37,"2,978",12.03,"619,397",10.17,208.0,-1.66,...,--,"47,666",9.13,"382,291",11.44,8.0,2.11,"1,005,213",3.41,"43,716",9.43,"355,485",12.12,8.1,2.46,"916,843",5.39,"3,950",5.97,"26,806",3.09,6.8,-2.72,"88,370",-13.44
2010M01,"62,786",11.03,"1,705,736",3.25,27.2,-7.00,...,--,"15,244",5.46,"746,813",1.83,49.0,-3.44,"1,215,406",0.61,"2,871",3.02,"599,486",-1.82,208.8,-4.69,...,--,"44,643",14.06,"359,258",17.02,8.0,2.59,"966,762",8.61,"40,916",17.67,"334,162",20.68,8.2,2.56,"874,983",14.04,"3,727",-14.67,"25,096",-16.65,6.7,-2.32,"91,779",-25.28
2010M02,"56,773",-0.98,"1,646,386",10.20,29.0,11.29,...,--,"14,490",-3.65,"677,762",0.72,46.8,4.54,"1,106,179",2.81,"3,047",27.14,"657,354",29.20,215.7,1.62,...,--,"39,182",-1.58,"310,943",-0.15,7.9,1.45,"850,708",-3.95,"34,838",-3.86,"282,318",-1.59,8.1,2.36,"743,911",-5.61,"4,343",21.53,"28,625",16.72,6.6,-3.96,"106,797",9.51
2010M03,"65,124",8.15,"1,734,055",7.45,26.6,-0.65,...,--,"15,810",3.42,"753,045",4.82,47.6,1.36,"1,218,205",5.85,"2,938",10.96,"602,432",7.04,205.0,-3.53,...,--,"46,342",10.08,"378,375",14.26,8.2,3.79,"997,291",7.38,"42,790",10.26,"353,640",14.88,8.3,4.18,"914,384",8.18,"3,551",7.96,"24,735",6.12,7.0,-1.71,"82,907",-0.69
2010M04,"62,586",7.77,"1,715,996",10.20,27.4,2.25,...,--,"15,521",5.41,"724,909",5.50,46.7,0.09,"1,173,308",6.68,"3,090",19.65,"634,098",15.58,205.2,-3.39,...,--,"43,934",8.09,"356,737",11.40,8.1,3.06,"945,936",5.99,"40,252",7.60,"331,253",11.31,8.2,3.45,"857,919",5.39,"3,682",13.86,"25,483",12.51,6.9,-1.19,"88,017",12.23
2010M05,"64,240",7.40,"1,736,801",4.66,27.0,-2.55,...,--,"15,866",2.37,"729,758",-1.39,46.0,-3.67,"1,180,286",-1.09,"3,212",16.73,"641,117",8.82,199.6,-6.78,...,--,"45,128",8.86,"365,706",11.08,8.1,2.04,"970,168",5.89,"41,474",9.85,"340,355",12.01,8.2,1.96,"882,413",6.73,"3,654",-1.29,"25,350",-0.08,6.9,1.23,"87,756",-1.89
2010M06,"60,916",8.60,"1,669,056",12.38,27.4,3.48,...,--,"14,948",8.05,"718,224",8.54,48.0,0.45,"1,168,018",9.37,"2,983",22.44,"605,286",18.07,202.9,-3.57,...,--,"42,946",8.02,"345,314",11.35,8.0,3.08,"922,682",5.46,"39,480",8.01,"322,350",12.04,8.2,3.73,"839,391",5.90,"3,467",8.15,"22,964",2.59,6.6,-5.14,"83,291",1.26
2010M07,"66,295",3.14,"1,852,232",3.46,27.9,0.31,...,--,"16,350",4.54,"838,700",5.52,51.3,0.94,"1,364,793",7.46,"3,161",6.88,"641,533",1.55,203.0,-4.98,...,--,"46,697",2.48,"371,539",2.48,8.0,-0.01,"1,003,478",3.23,"42,491",3.33,"343,448",3.21,8.1,-0.12,"902,619",4.72,"4,206",-5.31,"28,091",-5.70,6.7,-0.41,"100,859",-8.47
2010M08,"66,428",13.10,"1,847,430",16.56,27.8,3.06,...,--,"16,923",16.97,"833,523",24.08,49.3,6.08,"1,350,030",27.10,"3,188",17.38,"644,415",10.25,202.1,-6.07,...,--,"46,249",11.41,"369,126",12.40,8.0,0.89,"998,697",12.73,"42,042",10.94,"341,064",11.99,8.1,0.95,"895,418",12.37,"4,207",16.33,"28,062",17.62,6.7,1.11,"103,280",16.00
2010M09,"61,630",5.66,"1,631,104",9.28,26.5,3.43,...,--,"15,560",6.97,"710,667",9.38,45.7,2.25,"1,159,655",11.54,"2,866",17.41,"570,657",11.84,199.1,-4.74,...,--,"43,173",4.46,"349,597",5.15,8.1,0.66,"929,848",5.80,"39,761",4.00,"325,940",4.69,8.2,0.66,"846,177",5.74,"3,412",10.12,"23,657",11.85,6.9,1.57,"83,672",6.44
