期間,市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%)
2004M05,"9,026",0.70,"5,405",2.85,"2,760,804",7.46,"28,321",9.87,"65,609",24.40,"522,946",25.29,8.0,0.71,"886,110",24.08,"60,623",-1.98,"7,116",1.73,"1,138,597",5.61,"67,999",24.60,"21,606",19.76,"809,569",56.40,37.5,30.60,"1,179,327",63.04
2004M06,"9,050",0.99,"5,454",3.82,"2,691,465",10.95,"27,676",13.93,"62,069",14.61,"497,722",16.09,8.0,1.29,"839,146",13.34,"60,206",-2.62,"6,930",-1.79,"1,096,534",6.97,"62,371",13.69,"20,888",17.16,"728,841",26.34,34.9,7.83,"1,041,034",25.34
2004M07,"9,085",2.04,"5,467",4.23,"2,740,947",5.11,"28,264",8.50,"62,745",7.10,"504,042",7.99,8.0,0.83,"855,541",6.06,"60,998",-1.71,"7,138",1.58,"1,095,663",-0.14,"68,985",4.63,"19,536",7.75,"831,401",13.78,42.6,5.60,"1,166,609",14.56
2004M08,"9,196",6.46,"5,468",6.07,"2,642,415",1.95,"27,334",5.81,"60,033",0.24,"483,982",1.80,8.1,1.56,"819,730",-0.26,"60,533",-0.92,"7,161",2.92,"1,092,728",-0.53,"68,601",2.72,"20,061",7.16,"834,699",8.44,41.6,1.20,"1,188,241",10.67
2004M09,"9,089",3.92,"5,500",6.09,"2,721,723",5.81,"28,124",9.13,"64,635",1.60,"517,448",2.78,8.0,1.16,"879,505",1.08,"60,779",-0.52,"7,179",3.15,"1,125,663",0.00,"67,191",2.81,"21,269",-3.25,"800,936",4.71,37.7,8.23,"1,158,668",5.84
2004M10,"9,183",4.71,"5,483",5.76,"2,785,910",5.03,"28,887",8.13,"67,513",2.06,"539,943",2.83,8.0,0.75,"913,977",2.11,"61,169",0.05,"7,189",3.08,"1,165,057",1.43,"69,995",5.21,"22,003",0.41,"842,897",5.42,38.3,4.99,"1,180,979",3.16
2004M11,"9,254",5.47,"5,503",5.58,"2,771,436",8.17,"28,646",11.09,"67,946",8.56,"544,141",9.89,8.0,1.22,"915,854",7.03,"61,810",1.11,"7,246",3.38,"1,141,903",2.15,"68,162",6.00,"22,979",6.03,"824,047",5.21,35.9,-0.78,"1,148,335",3.14
2004M12,"9,164",5.12,"5,478",4.28,"2,859,303",5.87,"29,483",8.37,"67,885",0.66,"542,913",1.75,8.0,1.08,"917,172",0.13,"62,002",0.74,"7,270",3.43,"1,176,126",0.35,"71,203",6.97,"23,000",-1.03,"871,803",6.74,37.9,7.85,"1,244,398",4.52
2005M01,"9,260",5.78,"5,502",6.48,"2,827,640",16.43,"29,207",19.46,"63,561",14.09,"509,097",13.48,8.0,-0.54,"909,534",19.70,"62,265",1.37,"7,320",3.46,"1,143,996",2.35,"70,884",3.74,"21,105",6.29,"812,966",-0.62,38.5,-6.50,"1,155,535",-4.02
2005M02,"9,276",5.74,"5,583",6.93,"2,265,534",-8.84,"23,738",-5.10,"50,937",-15.53,"408,347",-14.59,8.0,1.11,"729,654",-11.37,"61,949",1.32,"7,295",2.93,"1,011,252",-5.16,"66,878",6.92,"18,017",-6.60,"760,600",4.65,42.2,12.05,"1,135,684",7.18
2005M03,"9,259",4.49,"5,587",5.93,"2,820,278",2.76,"29,262",5.00,"68,212",2.74,"545,491",3.66,8.0,0.90,"968,685",8.24,"61,367",0.58,"7,266",2.45,"1,142,308",-1.38,"70,494",4.71,"21,924",1.57,"788,958",0.21,36.0,-1.34,"1,147,755",0.18
2005M04,"9,288",4.14,"5,570",4.86,"2,691,380",0.24,"27,899",2.33,"64,149",-0.23,"511,257",0.38,8.0,0.61,"907,847",4.95,"61,557",0.73,"7,284",1.42,"1,119,010",-0.98,"70,723",6.94,"21,754",-0.88,"856,967",9.03,39.4,10.00,"1,242,052",8.85
2005M05,"9,339",3.47,"5,606",3.72,"2,786,986",0.95,"28,998",2.39,"66,325",1.09,"531,068",1.55,8.0,0.46,"944,015",6.53,"61,208",0.97,"7,211",1.34,"1,155,110",1.45,"72,094",6.02,"22,687",5.00,"854,515",5.55,37.7,0.53,"1,245,826",5.64
2005M06,"9,330",3.10,"5,604",2.74,"2,692,560",0.04,"28,074",1.44,"62,639",0.92,"503,703",1.20,8.0,0.28,"900,654",7.33,"60,555",0.58,"7,216",4.13,"1,111,669",1.38,"69,523",11.47,"21,306",2.00,"805,675",10.54,37.8,8.37,"1,174,419",12.81
2005M07,"9,184",1.09,"5,617",2.73,"2,630,722",-4.02,"27,478",-2.78,"58,711",-6.43,"473,655",-6.03,8.1,0.43,"846,770",-1.03,"60,285",-1.17,"7,249",1.56,"1,064,497",-2.84,"70,472",2.16,"19,030",-2.59,"866,818",4.26,45.6,7.03,"1,229,238",5.37
2005M08,"9,309",1.23,"5,665",3.60,"2,653,667",0.43,"27,776",1.62,"61,603",2.62,"496,142",2.51,8.1,-0.10,"883,494",7.78,"60,183",-0.58,"7,282",1.69,"1,092,389",-0.03,"71,245",3.86,"19,774",-1.43,"862,153",3.29,43.6,4.79,"1,250,128",5.21
2005M09,"9,244",1.70,"5,714",3.88,"2,611,990",-4.03,"27,512",-2.18,"63,969",-1.03,"514,771",-0.52,8.0,0.52,"922,454",4.88,"60,210",-0.94,"7,258",1.10,"1,086,205",-3.51,"68,800",2.39,"20,878",-1.84,"826,664",3.21,39.6,5.15,"1,230,619",6.21
2005M10,"9,262",0.86,"5,768",5.21,"2,686,214",-3.58,"28,369",-1.80,"66,078",-2.13,"530,234",-1.80,8.0,0.33,"946,919",3.60,"60,080",-1.78,"7,274",1.18,"1,115,444",-4.26,"71,469",2.10,"23,017",4.61,"860,309",2.07,37.4,-2.43,"1,295,290",9.68
2005M11,"9,344",0.98,"5,764",4.74,"2,679,519",-3.32,"28,278",-1.28,"66,329",-2.38,"534,880",-1.70,8.1,0.69,"953,793",4.14,"59,913",-3.07,"7,296",0.69,"1,098,721",-3.78,"69,696",2.25,"21,397",-6.89,"822,635",-0.17,38.4,7.21,"1,255,341",9.32
2005M12,"9,421",2.81,"5,756",5.07,"2,768,359",-3.18,"29,182",-1.02,"68,002",0.17,"549,888",1.28,8.1,1.11,"980,908",6.95,"59,760",-3.62,"7,312",0.58,"1,117,645",-4.97,"71,775",0.80,"21,937",-4.62,"873,375",0.18,39.8,5.03,"1,331,447",7.00
2006M01,"9,620",3.89,"5,793",5.28,"2,615,640",-7.50,"27,599",-5.51,"60,682",-4.53,"489,612",-3.83,8.1,0.74,"873,716",-3.94,"58,891",-5.42,"7,263",-0.78,"1,065,388",-6.87,"70,753",-0.18,"20,327",-3.69,"823,753",1.33,40.5,5.20,"1,267,504",9.69
2006M02,"9,707",4.65,"5,780",3.54,"2,325,195",2.63,"24,560",3.47,"56,323",10.58,"453,145",10.97,8.0,0.36,"813,278",11.46,"58,835",-5.03,"7,243",-0.71,"961,758",-4.89,"64,216",-3.98,"18,189",0.96,"791,350",4.04,43.5,3.05,"1,162,299",2.34
2006M03,"9,802",5.87,"5,781",3.47,"2,764,090",-1.99,"29,070",-0.66,"68,430",0.32,"550,150",0.85,8.0,0.53,"984,895",1.67,"58,827",-4.14,"7,273",0.10,"1,083,824",-5.12,"70,699",0.29,"21,494",-1.96,"832,069",5.46,38.7,7.58,"1,226,466",6.86
2006M04,"9,920",6.80,"5,760",3.41,"2,627,782",-2.36,"27,568",-1.19,"63,529",-0.97,"510,329",-0.18,8.0,0.79,"905,627",-0.24,"58,662",-4.70,"7,267",-0.23,"1,035,616",-7.45,"68,871",-2.62,"21,670",-0.39,"876,886",2.32,40.5,2.72,"1,316,878",6.02
2006M05,"9,900",6.00,"5,800",3.47,"2,737,643",-1.77,"28,759",-0.82,"67,163",1.26,"539,252",1.54,8.0,0.27,"964,619",2.18,"58,295",-4.76,"7,259",0.67,"1,086,344",-5.95,"70,255",-2.55,"21,431",-5.54,"860,883",0.75,40.2,6.65,"1,299,141",4.28
2006M06,"10,000",7.18,"5,792",3.36,"2,661,685",-1.15,"28,014",-0.21,"63,320",1.09,"509,131",1.08,8.0,-0.01,"909,201",0.95,"58,266",-3.78,"7,256",0.55,"1,038,669",-6.57,"67,450",-2.98,"20,027",-6.00,"816,761",1.38,40.8,7.85,"1,225,950",4.39
2006M07,"9,858",7.34,"5,762",2.59,"2,671,665",1.56,"27,950",1.72,"60,571",3.17,"489,032",3.25,8.1,0.08,"873,137",3.11,"58,540",-2.89,"7,254",0.07,"1,023,790",-3.82,"69,579",-1.27,"18,207",-4.32,"870,673",0.44,47.8,4.98,"1,293,068",5.19
2006M08,"9,912",6.48,"5,768",1.83,"2,709,965",2.12,"28,434",2.37,"63,556",3.17,"513,635",3.53,8.1,0.35,"916,883",3.78,"58,358",-3.03,"7,242",-0.55,"1,044,943",-4.34,"70,224",-1.43,"19,451",-1.63,"868,894",0.78,44.7,2.46,"1,316,173",5.28
2006M09,"9,938",7.51,"5,779",1.13,"2,643,528",1.21,"27,860",1.27,"65,495",2.39,"526,966",2.37,8.0,-0.02,"944,863",2.43,"58,407",-2.99,"7,270",0.17,"1,051,731",-3.17,"68,326",-0.69,"20,652",-1.08,"815,708",-1.33,39.5,-0.25,"1,265,555",2.84
2006M10,"9,734",5.10,"5,738",-0.53,"2,705,095",0.70,"28,474",0.37,"65,398",-1.03,"527,815",-0.46,8.1,0.58,"952,333",0.57,"58,584",-2.49,"7,261",-0.18,"1,087,097",-2.54,"71,609",0.20,"21,687",-5.78,"900,233",4.64,41.5,11.06,"1,383,240",6.79
2006M11,"9,751",4.35,"5,751",-0.22,"2,666,932",-0.47,"27,868",-1.45,"66,636",0.46,"538,537",0.68,8.1,0.22,"975,292",2.25,"58,688",-2.04,"7,275",-0.29,"1,062,184",-3.33,"68,643",-1.51,"20,170",-5.73,"830,765",0.99,41.2,7.13,"1,284,886",2.35
2006M12,"9,743",3.41,"5,742",-0.23,"2,712,470",-2.02,"28,487",-2.38,"67,427",-0.85,"547,411",-0.45,8.1,0.40,"985,570",0.48,"58,741",-1.71,"7,282",-0.41,"1,089,958",-2.48,"70,734",-1.45,"21,914",-0.11,"902,996",3.39,41.2,3.50,"1,441,869",8.29
2007M01,"9,771",1.56,"5,745",-0.83,"2,723,215",4.11,"28,556",3.47,"65,652",8.19,"532,802",8.82,8.1,0.58,"1,010,397",15.64,"58,848",-0.07,"7,393",1.79,"1,083,616",1.71,"68,753",-2.83,"21,749",7.00,"782,519",-5.01,36.0,-11.22,"1,246,403",-1.66
2007M02,"9,814",1.10,"5,712",-1.19,"2,173,058",-6.54,"22,886",-6.82,"51,062",-9.34,"417,128",-7.95,8.2,1.54,"785,664",-3.40,"59,432",1.01,"7,462",3.02,"931,890",-3.11,"64,221",0.01,"16,374",-9.98,"784,477",-0.87,47.9,10.12,"1,205,375",3.71
2007M03,"9,800",-0.02,"5,732",-0.84,"2,708,274",-2.02,"28,412",-2.26,"69,539",1.62,"563,966",2.51,8.1,0.88,"1,064,015",8.03,"59,305",0.81,"7,481",2.86,"1,105,526",2.00,"69,698",-1.41,"21,552",0.27,"831,319",-0.09,38.6,-0.36,"1,246,132",1.60
2007M04,"9,767",-1.54,"5,730",-0.52,"2,618,660",-0.35,"27,057",-1.85,"64,461",1.47,"520,722",2.04,8.1,0.56,"983,724",8.62,"58,364",-0.51,"7,443",2.42,"1,065,050",2.84,"68,850",-0.03,"21,193",-2.20,"868,014",-1.01,41.0,1.21,"1,287,407",-2.24
2007M05,"9,757",-1.44,"5,704",-1.66,"2,727,309",-0.38,"28,250",-1.77,"68,669",2.24,"557,158",3.32,8.1,1.05,"1,053,211",9.18,"58,253",-0.07,"7,441",2.51,"1,108,324",2.02,"69,951",-0.43,"21,039",-1.83,"842,086",-2.18,40.0,-0.36,"1,255,522",-3.36
2007M06,"9,955",-0.45,"5,652",-2.42,"2,588,918",-2.73,"26,939",-3.84,"62,516",-1.27,"506,100",-0.60,8.1,0.68,"958,320",5.40,"58,345",0.14,"7,433",2.44,"1,053,963",1.47,"67,388",-0.09,"19,368",-3.29,"785,574",-3.82,40.6,-0.54,"1,204,351",-1.76
2007M07,"9,742",-1.17,"5,712",-0.87,"2,661,064",-0.40,"27,686",-0.94,"62,934",3.90,"509,574",4.20,8.1,0.29,"969,704",11.06,"58,275",-0.45,"7,405",2.08,"1,029,120",0.52,"66,525",-4.39,"18,759",3.03,"826,703",-5.05,44.1,-7.84,"1,253,289",-3.08
2007M08,"9,851",-0.62,"5,637",-2.27,"2,644,764",-2.41,"27,492",-3.31,"63,006",-0.87,"509,088",-0.89,8.1,-0.02,"970,444",5.84,"58,211",-0.25,"7,375",1.84,"1,016,074",-2.76,"64,940",-7.52,"18,141",-6.74,"787,373",-9.38,43.4,-2.84,"1,207,554",-8.25
