期間,總計_原始值,總計_年增率(%),臺灣桃園國際機場_原始值,臺灣桃園國際機場_年增率(%),高雄國際機場_原始值,高雄國際機場_年增率(%),臺北松山機場_原始值,臺北松山機場_年增率(%),花蓮機場_原始值,花蓮機場_年增率(%),臺東機場_原始值,臺東機場_年增率(%),馬公機場_原始值,馬公機場_年增率(%),臺中機場_原始值,臺中機場_年增率(%),臺南機場_原始值,臺南機場_年增率(%),嘉義機場_原始值,嘉義機場_年增率(%),七美機場_原始值,七美機場_年增率(%),望安機場_原始值,望安機場_年增率(%),蘭嶼機場_原始值,蘭嶼機場_年增率(%),綠島機場_原始值,綠島機場_年增率(%),金門機場_原始值,金門機場_年增率(%),北竿機場_原始值,北竿機場_年增率(%),屏東機場_原始值,屏東機場_年增率(%),南竿機場_原始值,南竿機場_年增率(%)
2000M08,"4,147,854",-13.79,"1,763,933",4.35,"732,149",-24.03,"859,721",-27.32,"104,734",-21.72,"86,565",-23.10,"177,190",-18.90,"114,218",-14.31,"139,466",-18.69,"50,441",-27.35,"1,695",-5.25,229,15.08,"5,180",41.03,"8,712",-24.21,"84,737",-12.90,"8,444",9.65,"10,440",-14.19,...,...
2000M09,"3,992,972",-1.74,"1,581,136",17.17,"735,809",-10.81,"884,610",-15.89,"103,295",-5.47,"80,180",-3.25,"163,394",-5.35,"115,345",-0.97,"149,354",-13.18,"53,733",-22.52,"1,875",-6.58,281,47.89,"4,275",8.42,"8,418",10.57,"90,546",14.68,"8,414",-26.85,"12,307",14.86,...,...
2000M10,"3,921,026",2.16,"1,596,582",28.36,"712,479",-11.09,"865,586",-16.06,"102,906",4.90,"76,097",0.67,"128,014",7.41,"112,062",-7.45,"150,206",-15.29,"53,233",-24.23,"1,770",-8.05,228,1.79,"3,424",2.73,"8,146",-0.72,"89,626",32.28,"8,444",10.96,"12,223",10.73,...,...
2000M11,"3,642,376",-10.69,"1,455,460",10.98,"667,842",-21.33,"816,583",-25.63,"125,038",13.59,"69,963",-15.63,"107,462",-16.96,"92,035",-24.19,"140,432",-25.43,"47,499",-35.53,"1,695",-14.13,233,-14.96,"2,424",-9.92,"6,519",-17.79,"89,990",11.26,"7,743",-4.11,"11,458",-8.84,...,...
2000M12,"3,765,798",-5.13,"1,475,140",15.09,"696,507",-14.43,"852,763",-21.62,"111,424",5.33,"81,346",1.16,"111,827",-7.68,"106,228",-11.81,"153,409",-14.56,"52,924",-22.87,"1,414",6.08,227,155.06,"2,418",17.26,"6,873",-8.15,"90,955",17.86,"9,055",-8.13,"13,288",11.38,...,...
2001M01,"3,997,279",9.96,"1,550,866",26.77,"726,723",0.78,"919,722",-6.76,"112,641",16.51,"87,973",23.99,"147,912",37.60,"106,843",-6.66,"151,716",-6.30,"56,671",-1.36,"2,052",117.83,276,130.00,"3,428",19.86,"7,138",2.57,"99,980",54.04,"7,743",-10.56,"15,595",40.99,...,...
2001M02,"3,491,628",-20.77,"1,403,275",-7.80,"648,891",-25.94,"771,861",-31.11,"95,335",-18.60,"70,531",-30.62,"112,556",-32.05,"93,487",-18.73,"130,523",-27.19,"43,127",-39.70,"2,090",15.98,245,30.32,"2,674",-30.02,"7,009",-20.48,"89,977",-10.92,"7,485",-7.35,"12,562",-12.39,...,...
2001M03,"3,903,473",-0.61,"1,561,420",10.59,"730,742",-7.15,"866,870",-10.76,"110,473",2.01,"73,201",-0.99,"128,161",4.08,"110,226",-4.09,"150,715",-11.49,"48,703",-23.72,"2,306",81.00,273,39.29,"3,074",-7.33,"7,663",-7.49,"89,057",24.68,"7,235",-1.81,"13,354",21.50,...,...
2001M04,"4,154,001",-0.82,"1,658,048",3.06,"769,395",-6.41,"900,109",-4.21,"112,003",3.66,"82,289",-3.08,"177,422",2.02,"107,490",-8.90,"149,289",-3.60,"50,139",-17.28,"2,245",32.06,236,4.89,"4,160",-9.43,"7,204",-22.86,"113,526",33.75,"6,799",12.38,"13,647",29.29,...,...
2001M05,"4,007,913",-1.81,"1,613,563",3.35,"731,143",-7.55,"875,475",-5.87,"100,271",-6.54,"72,636",-5.41,"166,849",-0.69,"111,593",-9.68,"143,094",-6.60,"47,360",-20.11,"1,913",18.23,249,4.62,"3,809",-26.32,"6,880",-22.96,"116,206",48.59,"6,342",-15.28,"10,530",6.70,...,...
2001M06,"4,117,541",0.15,"1,702,615",3.03,"723,384",-4.95,"883,345",-2.31,"98,529",-6.53,"83,848",4.59,"183,095",7.64,"107,351",-9.24,"138,987",-6.26,"42,282",-24.02,"2,029",49.85,245,30.32,"5,342",2.91,"7,242",-21.60,"121,574",45.39,"7,507",17.83,"10,166",3.63,...,...
2001M07,"4,268,912",-6.91,"1,761,460",-3.72,"751,618",-10.67,"878,145",-10.34,"100,328",-8.47,"91,870",-2.32,"222,297",-7.55,"114,299",-15.26,"135,572",-10.92,"43,613",-24.66,"2,592",19.23,277,17.37,"7,261",39.93,"7,677",-16.24,"132,468",19.22,"8,993",6.55,"10,442",1.73,...,...
2001M08,"4,498,643",8.46,"1,781,002",0.97,"768,895",5.02,"976,397",13.57,"112,074",7.01,"105,503",21.88,"248,360",40.17,"126,579",10.82,"149,914",7.49,"48,516",-3.82,"2,431",43.42,234,2.18,"8,456",63.24,"8,397",-3.62,"140,625",65.95,"9,441",11.81,"11,819",13.21,...,...
2001M09,"3,158,197",-20.91,"1,359,296",-14.03,"533,521",-27.49,"647,316",-26.82,"103,303",0.01,"66,154",-17.49,"124,916",-23.55,"78,498",-31.95,"101,155",-32.27,"30,654",-42.95,"1,753",-6.51,142,-49.47,"3,449",-19.32,"6,937",-17.59,"84,150",-7.06,"8,204",-2.50,"8,749",-28.91,...,...
2001M10,"3,566,973",-9.03,"1,348,969",-15.51,"661,809",-7.11,"807,561",-6.70,"104,909",1.95,"76,097",0.00,"133,204",4.05,"100,319",-10.48,"131,734",-12.30,"41,389",-22.25,"2,412",36.27,253,10.96,"4,338",26.69,"8,070",-0.93,"124,379",38.78,"9,674",14.57,"11,856",-3.00,...,...
2001M11,"3,346,936",-8.11,"1,280,544",-12.02,"605,797",-9.29,"768,273",-5.92,"96,354",-22.94,"66,755",-4.59,"115,194",7.20,"96,294",4.63,"129,922",-7.48,"41,861",-11.87,"2,560",51.03,230,-1.29,"2,773",14.40,"5,954",-8.67,"112,307",24.80,"10,216",31.94,"11,902",3.88,...,...
2001M12,"3,572,870",-5.12,"1,439,769",-2.40,"632,686",-9.16,"797,195",-6.52,"98,591",-11.52,"71,449",-12.17,"115,355",3.15,"93,328",-12.14,"133,139",-13.21,"42,321",-20.03,"2,226",57.43,225,-0.88,"3,004",24.23,"6,048",-12.00,"112,524",23.71,"12,789",41.24,"12,221",-8.03,...,...
