期間,總計_原始值,總計_年增率(%),基隆港_原始值,基隆港_年增率(%),高雄港_原始值,高雄港_年增率(%),臺中港_原始值,臺中港_年增率(%),臺北港_原始值,臺北港_年增率(%),桃園空港_原始值,桃園空港_年增率(%)
2007M01,"4,646,159",...,"1,335,814",...,"1,015,619",...,"574,145",...,"593,480",...,"1,127,101",...
2007M02,"1,392,024",...,"1,809",...,"6,958",...,"159,119",...,"355,657",...,"868,481",...
2007M03,"2,975,323",...,812,...,"69,823",...,"505,856",...,"451,700",...,"1,947,132",...
2007M04,"3,120,349",...,"5,267",...,"86,347",...,"453,176",...,"562,662",...,"2,012,898",...
2007M05,"3,570,093",...,"2,175",...,"68,822",...,"286,807",...,"489,130",...,"2,723,160",...
2007M06,"5,808,893",...,"4,613",...,"255,839",...,"737,363",...,"483,725",...,"4,327,353",...
2007M07,"5,584,776",...,"142,303",...,"390,856",...,"669,522",...,"386,355",...,"3,995,740",...
2007M08,"5,894,357",...,"136,085",...,"477,240",...,"656,686",...,"435,783",...,"4,188,564",...
2007M09,"7,653,082",...,"138,456",...,"275,366",...,"2,657,681",...,"413,772",...,"4,167,808",...
2007M10,"6,653,420",...,"9,239",...,"426,028",...,"1,116,655",...,"370,051",...,"4,731,447",...
2007M11,"7,528,515",...,"163,345",...,"317,594",...,"2,310,554",...,"447,935",...,"4,289,087",...
2007M12,"7,574,231",...,"15,198",...,"462,831",...,"2,489,280",...,"245,027",...,"4,361,895",...
2008M01,"7,840,019",68.74,"44,245",-96.69,"492,900",-51.47,"2,577,306",348.89,"640,268",7.88,"4,085,301",262.46
2008M02,"7,539,473",441.62,"17,720",879.55,"673,538","9,580.05","2,996,355","1,783.09","591,325",66.26,"3,260,535",275.43
2008M03,"8,148,395",173.87,"514,234","63,229.31","733,370",950.33,"761,938",50.62,"753,508",66.82,"5,385,345",176.58
2008M04,"10,882,185",248.75,"52,794",902.35,"917,545",962.63,"4,103,247",805.44,"628,753",11.75,"5,179,846",157.33
2008M05,"10,333,419",189.44,"348,633","15,929.10","765,756","1,012.66","3,722,853","1,198.03","515,651",5.42,"4,980,525",82.90
2008M06,"12,655,420",117.86,"47,191",923.00,"887,669",246.96,"5,992,377",712.68,"708,680",46.50,"5,019,504",15.99
2008M07,"13,101,390",134.59,"1,516,503",965.69,"485,925",24.32,"5,677,505",747.99,"675,816",74.92,"4,745,641",18.77
2008M08,"11,915,851",102.16,"680,519",400.07,"470,002",-1.52,"4,331,223",559.56,"367,608",-15.64,"6,066,499",44.83
2008M09,"9,407,631",22.93,"725,165",423.75,"516,615",87.61,"3,130,911",17.81,"539,829",30.47,"4,495,111",7.85
2008M10,"9,869,685",48.34,"49,781",438.81,"403,835",-5.21,"2,601,768",133.00,"598,529",61.74,"6,215,773",31.37
