期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2005M02,"999,257",9.30,"157,977",22.70,"737,405",5.47,"103,292",20.08,"493,020",5.15,"79,110",15.97,"365,643",1.95,"47,965",14.65,"506,237",13.67,"78,867",30.28,"371,763",9.17,"55,327",25.23
2005M03,"1,116,438",5.06,"180,575",3.19,"826,430",6.20,"108,894",-0.17,"557,983",6.21,"93,487",4.17,"410,922",7.01,"53,294",3.83,"558,454",3.93,"87,088",2.17,"415,508",5.41,"55,600",-3.72
2005M04,"1,119,368",5.94,"180,160",6.93,"831,984",6.35,"106,731",1.17,"567,996",7.45,"93,823",9.14,"424,518",8.79,"49,401",-5.52,"551,372",4.43,"86,338",4.63,"407,466",3.92,"57,330",7.76
2005M05,"1,134,366",12.29,"187,086",10.57,"840,697",14.22,"106,384",1.29,"563,456",11.26,"96,746",13.43,"417,763",12.55,"48,853",-2.27,"570,910",13.32,"90,340",7.67,"422,934",15.92,"57,531",4.53
2005M06,"1,112,153",14.81,"181,932",8.49,"830,406",18.54,"99,400",-0.73,"555,061",16.15,"96,381",14.09,"410,859",18.83,"47,601",0.39,"557,092",13.50,"85,551",2.82,"419,547",18.26,"51,799",-1.74
2005M07,"1,116,739",10.00,"178,173",6.03,"829,881",11.26,"108,292",7.46,"557,757",9.58,"92,040",6.34,"416,310",11.40,"49,224",1.35,"558,982",10.43,"86,133",5.70,"413,571",11.12,"59,068",13.14
2005M08,"1,095,550",5.22,"162,251",0.56,"833,557",7.06,"99,419",-1.61,"544,287",4.18,"82,366",0.78,"414,482",5.71,"47,292",-2.45,"551,263",6.26,"79,886",0.34,"419,075",8.43,"52,127",-0.83
2005M09,"1,080,543",10.97,"168,189",1.07,"806,884",14.99,"104,974",-0.20,"536,392",9.15,"85,145",-2.16,"400,594",13.82,"50,374",-3.48,"544,151",12.83,"83,044",4.61,"406,290",16.17,"54,600",3.02
2005M10,"1,083,365",4.12,"175,916",-1.82,"801,663",6.80,"105,552",-4.37,"541,074",4.82,"90,564",-2.86,"401,996",8.16,"48,403",-5.36,"542,291",3.44,"85,352",-0.70,"399,667",5.47,"57,149",-3.51
2005M11,"1,093,926",6.42,"176,444",1.28,"813,148",8.76,"104,334",-1.03,"551,559",5.59,"93,467",0.86,"407,355",7.19,"50,736",2.81,"542,368",7.27,"82,977",1.76,"405,793",10.38,"53,598",-4.41
2005M12,"1,090,057",1.45,"170,283",-6.37,"817,092",5.76,"102,088",-14.52,"565,110",3.90,"92,533",-7.18,"421,436",9.14,"50,798",-12.11,"524,947",-1.07,"77,750",-5.39,"395,656",2.38,"51,290",-16.78
2006M01,"1,059,430",6.73,"183,445",21.32,"772,671",3.72,"102,644",7.11,"529,857",3.84,"95,378",16.49,"384,951",0.92,"49,173",5.39,"529,573",9.79,"88,067",27.02,"387,720",6.66,"53,471",8.76
2006M02,"891,419",-10.79,"120,651",-23.63,"684,086",-7.23,"86,293",-16.46,"452,295",-8.26,"62,774",-20.65,"346,367",-5.27,"42,945",-10.47,"439,124",-13.26,"57,877",-26.61,"337,720",-9.16,"43,348",-21.65
2006M03,"1,139,344",2.05,"177,443",-1.73,"853,692",3.30,"107,997",-0.82,"572,868",2.67,"90,799",-2.88,"431,845",5.09,"50,144",-5.91,"566,477",1.44,"86,644",-0.51,"421,847",1.53,"57,853",4.05
2006M04,"1,080,493",-3.47,"177,871",-1.27,"798,523",-4.02,"103,579",-2.95,"543,212",-4.36,"90,713",-3.31,"402,361",-5.22,"49,840",0.89,"537,282",-2.56,"87,158",0.95,"396,163",-2.77,"53,739",-6.26
2006M05,"1,119,418",-1.32,"181,862",-2.79,"831,004",-1.15,"106,150",-0.22,"558,383",-0.90,"92,327",-4.57,"414,248",-0.84,"51,602",5.63,"561,036",-1.73,"89,535",-0.89,"416,756",-1.46,"54,548",-5.19
2006M06,"1,120,578",0.76,"181,588",-0.19,"831,084",0.08,"107,298",7.95,"552,083",-0.54,"94,467",-1.99,"406,242",-1.12,"51,086",7.32,"568,496",2.05,"87,121",1.84,"424,842",1.26,"56,212",8.52
2006M07,"1,039,318",-6.93,"168,313",-5.53,"771,483",-7.04,"99,300",-8.30,"518,966",-6.95,"86,774",-5.72,"385,599",-7.38,"46,460",-5.62,"520,352",-6.91,"81,539",-5.33,"385,885",-6.69,"52,840",-10.54
