期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2011M04,"21,400,398",1.42,"27,945",2.63,"1,874",10.11,"26,071",2.14,"158,988",-0.64,"91,812",0.80,"67,176",-2.54,"5,717,089",0.91,"5,571,230",0.89,"145,859",1.77,"88,168",-0.91,"831,554",2.29,"794,660",0.91,"36,894",45.01,"50,731",-0.70,"14,614,091",1.60,"10,798,995",3.63,"3,815,096",-3.75
2011M05,"21,425,078",1.52,"28,016",2.79,"1,867",9.37,"26,149",2.35,"159,177",-0.42,"92,002",0.91,"67,175",-2.19,"5,722,492",0.99,"5,575,944",0.95,"146,548",2.28,"88,122",-1.06,"833,284",2.45,"795,997",1.00,"37,287",47.65,"50,816",-0.56,"14,631,293",1.70,"10,827,190",3.76,"3,804,103",-3.73
2011M06,"21,461,681",1.65,"28,109",3.05,"1,864",9.65,"26,245",2.62,"159,487",-0.08,"92,158",0.98,"67,329",-1.50,"5,732,501",1.10,"5,585,173",1.06,"147,328",2.57,"88,051",-1.18,"834,352",2.47,"796,761",1.02,"37,591",47.32,"50,783",-0.80,"14,656,449",1.85,"10,862,315",3.91,"3,794,134",-3.62
2011M07,"21,520,483",1.83,"28,312",3.89,"1,855",9.63,"26,457",3.51,"159,644",0.12,"92,256",1.05,"67,388",-1.12,"5,748,372",1.25,"5,600,103",1.20,"148,269",3.17,"88,015",-1.22,"835,905",2.58,"797,736",1.08,"38,169",48.79,"50,973",-0.89,"14,697,277",2.04,"10,912,589",4.12,"3,784,688",-3.52
2011M08,"21,560,138",1.94,"28,410",4.37,"1,858",9.68,"26,552",4.02,"159,890",0.43,"92,391",1.15,"67,499",-0.53,"5,762,226",1.52,"5,603,608",1.29,"158,618",10.25,"87,966",-1.18,"826,622",1.42,"798,445",1.16,"28,177",9.40,"50,924",-0.91,"14,732,066",2.15,"10,957,887",4.24,"3,774,179",-3.46
2011M09,"21,625,041",2.06,"28,560",4.95,"1,859",9.74,"26,701",4.64,"160,126",0.62,"92,543",1.31,"67,583",-0.32,"5,770,642",1.69,"5,611,466",1.46,"159,176",10.75,"87,822",-1.15,"828,180",1.52,"799,741",1.27,"28,439",9.16,"50,877",-0.63,"14,786,656",2.26,"11,022,229",4.32,"3,764,427",-3.34
2011M10,"21,663,488",2.10,"28,804",5.83,"1,863",9.78,"26,941",5.56,"160,459",0.88,"92,814",1.52,"67,645",0.01,"5,780,476",1.77,"5,621,140",1.54,"159,336",10.65,"87,773",-1.06,"830,669",1.68,"801,401",1.38,"29,268",10.43,"50,737",-1.45,"14,812,343",2.28,"11,057,817",4.31,"3,754,526",-3.26
2011M11,"21,699,848",2.10,"28,969",6.02,"1,857",9.56,"27,112",5.79,"160,793",1.10,"93,023",1.53,"67,770",0.53,"5,794,558",1.86,"5,634,352",1.61,"160,206",11.15,"87,740",-0.98,"831,749",1.65,"802,636",1.40,"29,113",9.11,"50,581",-1.73,"14,833,198",2.24,"11,089,568",4.22,"3,743,630",-3.21
2011M12,"21,721,447",1.62,"29,030",4.93,"1,856",-2.78,"27,174",5.50,"161,084",1.43,"93,304",1.92,"67,780",0.76,"5,803,413",1.74,"5,642,969",1.51,"160,444",10.60,"87,449",-1.29,"832,466",0.54,"803,493",1.41,"28,973",-18.77,"50,522",-1.13,"14,844,932",1.65,"11,112,224",3.38,"3,732,708",-3.17
2012M01,"21,771,805",1.85,"29,058",4.95,"1,854",-1.90,"27,204",5.45,"161,350",1.56,"93,422",1.93,"67,928",1.05,"5,835,808",2.14,"5,672,582",1.87,"163,226",12.58,"87,805",-0.76,"834,611",0.68,"805,050",1.54,"29,561",-18.18,"49,979",-1.85,"14,860,999",1.81,"11,136,536",3.59,"3,724,463",-3.16
