期間,合計_原始值,合計_年增率(%),小型車_原始值,小型車_年增率(%),大客貨車_原始值,大客貨車_年增率(%),聯結車_原始值,聯結車_年增率(%),每日平均通行車輛數_原始值,每日平均通行車輛數_年增率(%)
2011M04,"45,911",5.27,"38,291",4.17,"4,425",7.64,"3,196",16.40,"1,530",5.27
2011M05,"45,441",-4.97,"37,563",-8.12,"4,597",10.75,"3,281",17.76,"1,466",-4.97
2011M06,"43,897",6.04,"36,584",5.94,"4,191",5.99,"3,122",7.21,"1,463",6.04
2011M07,"48,762",4.56,"40,923",3.89,"4,483",6.49,"3,356",10.45,"1,573",4.56
2011M08,"48,454",7.33,"40,799",6.86,"4,309",3.63,"3,346",19.13,"1,563",7.33
2011M09,"44,335",3.57,"37,089",3.53,"4,138",3.73,"3,108",3.79,"1,478",3.57
2011M10,"46,121",3.23,"38,410",2.52,"4,468",6.47,"3,243",7.55,"1,488",3.23
2011M11,"44,257",2.74,"36,516",1.40,"4,432",6.98,"3,309",13.23,"1,475",2.74
2011M12,"46,777",3.99,"38,639",3.41,"4,624",5.36,"3,514",8.90,"1,509",3.99
2012M01,"46,871",1.30,"38,896",-0.06,"4,449",6.74,"3,526",10.90,"1,512",1.30
2012M02,"50,605",3.49,"44,630",3.75,"3,510",1.56,"2,465",1.68,"1,807",3.49
2012M03,"45,716",-0.49,"37,509",-1.47,"4,597",2.03,"3,609",7.19,"1,475",-0.49
2012M04,"48,618",5.90,"40,879",6.76,"4,432",0.17,"3,307",3.47,"1,621",5.90
2012M05,"46,404",2.12,"38,592",2.74,"4,472",-2.71,"3,340",1.80,"1,497",2.12
2012M06,"46,521",5.98,"39,035",6.70,"4,245",1.28,"3,242",3.84,"1,551",5.98
2012M07,"50,596",3.76,"42,754",4.47,"4,519",0.79,"3,323",-0.97,"1,632",3.76
2012M08,"47,201",-2.59,"39,549",-3.06,"4,321",0.28,"3,331",-0.46,"1,523",-2.59
2012M09,"47,664",7.51,"40,042",7.96,"4,388",6.02,"3,234",4.08,"1,589",7.51
2012M10,"48,633",5.45,"40,901",6.49,"4,549",1.81,"3,183",-1.83,"1,569",5.45
2012M11,"45,278",2.31,"37,617",3.02,"4,495",1.41,"3,167",-4.28,"1,509",2.31
2012M12,"47,122",0.74,"39,146",1.31,"4,588",-0.77,"3,387",-3.61,"1,520",0.74
2013M01,"55,008",17.36,"48,259",24.07,"3,934",-11.59,"2,816",-20.13,"1,774",17.36
2013M02,"46,709",-7.70,"39,627",-11.21,"4,030",14.83,"3,052",23.80,"1,611",-10.88
2013M03,"48,468",6.02,"40,281",7.39,"4,659",1.35,"3,527",-2.27,"1,563",6.02
2013M04,"46,549",-4.26,"38,907",-4.82,"4,433",0.02,"3,208",-2.97,"1,502",-7.34
2013M05,"46,154",-0.54,"38,167",-1.10,"4,631",3.54,"3,356",0.49,"1,489",-0.54
2013M06,"44,905",-3.47,"37,667",-3.50,"4,195",-1.17,"3,043",-6.15,"1,449",-6.59
2013M07,"50,318",-0.55,"42,488",-0.62,"4,510",-0.18,"3,320",-0.11,"1,623",-0.55
2013M08,"46,818",-0.81,"39,307",-0.61,"4,316",-0.11,"3,195",-4.08,"1,510",-0.81
2013M09,"46,939",-1.52,"39,588",-1.13,"4,214",-3.96,"3,137",-3.01,"1,514",-4.70
2013M10,"47,383",-2.57,"39,518",-3.38,"4,603",1.19,"3,262",2.47,"1,528",-2.57
2013M11,"45,411",0.29,"37,808",0.51,"4,497",0.06,"3,105",-1.96,"1,465",-2.94
2013M12,"48,849",3.67,"41,178",5.19,"4,539",-1.08,"3,132",-7.52,"1,576",3.67
2014M01,"47,077",-14.42,"39,199",-18.77,"4,471",13.66,"3,407",20.99,"1,519",-14.42
2014M02,"52,012",11.35,"46,130",16.41,"3,486",-13.50,"2,396",-21.51,"1,678",4.17
2014M03,"49,635",2.41,"41,714",3.56,"4,615",-0.96,"3,306",-6.28,"1,601",2.41
2014M04,"48,051",3.23,"40,544",4.21,"4,436",0.07,"3,071",-4.28,"1,550",3.23
2014M05,"47,966",3.93,"40,053",4.94,"4,611",-0.42,"3,302",-1.64,"1,547",3.93
2014M06,"49,283",9.75,"41,870",11.16,"4,264",1.65,"3,148",3.47,"1,590",9.75
2014M07,"50,330",0.02,"42,437",-0.12,"4,508",-0.05,"3,385",1.96,"1,624",0.02
