期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2001M01,"222,492",...,"1,213",...,820,...,9.98,-,"28,871,996",...,"2,957,756",...,"1,436",...,"63,352",...,"1,491",...,"52,979",...,...,...
2001M02,"235,545",...,"1,268",...,741,...,10.57,-,"29,046,655",...,"2,984,892",...,923,...,"59,879",...,"1,007",...,"39,058",...,...,...
2001M03,"255,857",...,"1,010",...,744,...,11.47,-,"29,140,529",...,"2,996,754",...,"1,163",...,"71,387",...,"1,217",...,"52,410",...,...,...
2001M04,"245,896",...,868,...,628,...,11.02,-,"29,185,755",...,"2,994,245",...,"1,041",...,"63,457",...,"1,094",...,"41,618",...,...,...
2001M05,"254,499",...,914,...,658,...,11.40,-,"29,223,706",...,"2,978,155",...,"1,132",...,"71,382",...,"1,169",...,"43,693",...,...,...
2001M06,"242,127",...,755,...,577,...,10.84,-,"29,219,855",...,"3,013,669",...,"1,138",...,"64,452",...,"1,143",...,"41,239",...,...,...
2001M07,"250,939",...,750,...,570,...,11.23,-,"29,252,266",...,"3,043,527",...,"1,054",...,"72,270",...,"1,127",...,"45,785",...,...,...
2001M08,"245,339",...,802,...,582,...,10.97,-,"29,298,272",...,"3,061,026",...,"1,094",...,"77,574",...,"1,167",...,"47,123",...,...,...
2001M09,"206,394",...,650,...,475,...,9.23,-,"29,337,513",...,"3,067,779",...,"1,075",...,"63,621",...,"1,057",...,"39,363",...,...,...
2001M10,"241,920",...,785,...,534,...,10.81,-,"29,335,012",...,"3,058,350",...,"1,109",...,"82,789",...,"1,188",...,"46,066",...,...,...
2001M11,"235,674",...,782,...,548,...,10.53,-,"29,301,553",...,"3,056,192",...,"1,126",...,"80,774",...,"1,130",...,"43,110",...,...,...
2001M12,"254,771",...,834,...,546,...,11.37,-,"29,259,144",...,"3,048,179",...,"1,199",...,"86,698",...,"1,158",...,"45,550",...,...,...
2002M01,"255,963",15.04,744,-38.66,539,-34.18,11.42,-,"29,228,149",1.23,"3,089,405",4.45,"1,482",3.18,"93,816",48.09,"1,312",-11.98,"52,286",-1.31,...,...
2002M02,"184,911",-21.50,529,-58.26,405,-45.37,8.25,-,"29,249,389",0.70,"3,138,972",5.16,"1,004",8.78,"75,962",26.86,"1,118",11.03,"41,834",7.11,...,...
2002M03,"238,506",-6.78,690,-31.66,510,-31.41,10.64,-,"29,246,856",0.36,"3,119,956",4.11,"1,151",-1.06,"90,137",26.27,"1,144",-5.95,"46,264",-11.73,...,...
2002M04,"237,722",-3.32,684,-21.20,501,-20.15,10.60,-,"29,238,853",0.18,"3,102,984",3.63,"1,103",5.90,"86,071",35.64,"1,109",1.29,"46,614",12.01,...,...
2002M05,"261,221",2.64,700,-23.42,531,-19.34,11.64,-,"29,233,145",0.03,"3,078,292",3.36,"1,171",3.41,"89,332",25.15,"1,158",-0.97,"46,541",6.52,...,...
2002M06,"231,387",-4.44,584,-22.65,467,-19.08,10.31,-,"29,248,061",0.10,"3,079,722",2.19,"1,126",-1.03,"75,302",16.83,"1,126",-1.47,"42,164",2.24,...,...
2002M07,"273,589",9.03,647,-13.73,506,-11.36,12.18,-,"29,231,403",-0.07,"3,083,322",1.31,"1,137",7.90,"98,496",36.29,"1,184",5.06,"49,759",8.68,...,...
2002M08,"232,739",-5.14,655,-18.29,474,-18.53,10.36,-,"29,221,806",-0.26,"3,073,686",0.41,"1,063",-2.77,"85,960",10.81,"1,097",-5.98,"45,243",-3.99,...,...
