期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲-香港、澳門_原始值,亞洲-香港、澳門_年增率(%),亞洲-中國大陸_原始值,亞洲-中國大陸_年增率(%),亞洲-日本_原始值,亞洲-日本_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
2006M01,"264,347",8.23,"208,769",10.00,"32,414",38.39,"20,351",66.81,"85,523",-3.44,"37,122",6.28,"12,791",-4.87,"4,908",-0.71,599,-14.43,158,-64.49
2006M02,"286,156",11.20,"237,875",15.28,"34,124",-14.57,"21,823",61.76,"99,506",21.29,"30,814",-7.03,"12,759",5.16,"3,582",-3.55,863,-13.87,263,-73.80
2006M03,"309,381",3.72,"247,532",5.58,"34,443",-17.50,"23,092",49.41,"109,459",5.96,"39,218",-4.21,"17,376",2.73,"4,253",-4.45,818,-8.71,184,-70.61
2006M04,"290,043",7.62,"231,946",9.92,"42,018",37.21,"27,266",80.80,"84,425",-4.62,"37,896",-1.15,"14,863",-0.53,"4,271",2.27,824,9.57,243,-19.00
2006M05,"283,075",-0.34,"227,439",2.61,"35,820",-4.37,"25,546",66.34,"90,886",1.66,"37,913",-6.84,"13,345",-15.62,"3,466",-25.62,687,-26.99,225,-22.68
2006M06,"305,127",4.12,"239,509",3.63,"39,995",4.38,"24,505",49.58,"91,676",-3.88,"45,559",7.22,"14,561",6.29,"4,401",-9.05,857,30.84,240,-1.64
2006M07,"270,850",0.96,"209,930",0.80,"38,126",-1.04,"25,140",37.72,"81,029",-1.46,"41,727",4.92,"13,913",-3.58,"4,330",-11.87,694,1.61,256,20.75
2006M08,"292,561",3.86,"239,745",5.66,"44,668",3.64,"25,845",40.46,"98,725",10.78,"35,255",-3.81,"12,737",1.14,"3,725",-15.72,808,-5.94,291,14.57
2006M09,"274,118",1.26,"225,641",2.68,"32,095",-2.02,"25,725",34.43,"102,438",4.56,"30,541",-5.58,"12,996",0.08,"4,092",-10.09,650,-4.27,198,-49.49
2006M10,"301,575",1.39,"237,827",1.18,"28,029",-9.63,"25,371",31.71,"103,465",0.01,"40,538",4.54,"17,421",-3.28,"4,630",1.16,787,2.74,372,43.63
2006M11,"318,663",5.42,"253,885",3.80,"28,383",-11.61,"28,793",22.97,"114,547",5.72,"40,991",12.07,"17,970",13.73,"4,922",12.66,682,7.23,213,-29.00
2006M12,"323,931",4.08,"261,822",4.70,"41,769",-4.41,"26,364",6.24,"99,810",3.96,"43,459",2.26,"12,045",2.76,"5,439",-11.11,642,1.58,524,148.34
2007M01,"274,198",3.73,"222,329",6.50,"23,879",-26.33,"20,754",1.98,"101,563",18.76,"32,806",-11.63,"13,241",3.52,"4,902",-0.12,527,-12.02,393,148.73
2007M02,"261,799",-8.51,"208,487",-12.35,"35,289",3.41,"22,745",4.22,"84,736",-14.84,"34,783",12.88,"13,065",2.40,"3,989",11.36,655,-24.10,820,211.79
2007M03,"345,295",11.61,"276,797",11.82,"36,283",5.34,"26,359",14.15,"120,599",10.18,"42,515",8.41,"19,400",11.65,"5,079",19.42,831,1.59,673,265.76
2007M04,"316,119",8.99,"256,163",10.44,"49,732",18.36,"27,521",0.94,"89,021",5.44,"38,127",0.61,"15,847",6.62,"4,843",13.39,882,7.04,257,5.76
2007M05,"294,021",3.87,"239,073",5.12,"39,057",9.04,"25,930",1.50,"90,784",-0.11,"36,694",-3.22,"13,208",-1.03,"4,075",17.57,539,-21.54,432,92.00
2007M06,"320,676",5.10,"253,652",5.90,"49,526",23.83,"25,568",4.34,"92,127",0.49,"44,711",-1.86,"15,714",7.92,"5,290",20.20,781,-8.87,528,120.00
2007M07,"285,075",5.25,"220,765",5.16,"42,788",12.23,"26,380",4.93,"81,116",0.11,"42,574",2.03,"15,527",11.60,"5,254",21.34,594,-14.41,361,41.02
2007M08,"308,481",5.44,"252,545",5.34,"49,586",11.01,"27,494",6.38,"97,795",-0.94,"35,960",2.00,"13,911",9.22,"4,765",27.92,715,-11.51,585,101.03
2007M09,"295,594",7.83,"242,940",7.67,"37,729",17.55,"24,472",-4.87,"101,584",-0.83,"31,932",4.55,"13,824",6.37,"5,484",34.02,840,29.23,574,189.90
2007M10,"314,519",4.29,"245,272",3.13,"36,549",30.40,"25,290",-0.32,"99,419",-3.91,"42,689",5.31,"19,163",10.00,"5,616",21.30,647,-17.79,"1,132",204.30
2007M11,"336,370",5.56,"271,011",6.75,"38,047",34.05,"27,618",-4.08,"106,875",-6.70,"39,475",-3.70,"18,796",4.60,"5,030",2.19,677,-0.73,"1,381",548.36
2007M12,"363,916",12.34,"293,635",12.15,"52,972",26.82,"26,645",1.07,"100,761",0.95,"46,730",7.53,"14,787",22.76,"7,475",37.43,919,43.15,370,-29.39
2008M01,"297,442",8.48,"237,921",7.01,"30,088",26.00,"22,101",6.49,"98,392",-3.12,"35,897",9.42,"15,055",13.70,"7,071",44.25,616,16.89,882,124.43
2008M02,"315,134",20.37,"259,572",24.50,"50,024",41.76,"25,639",12.72,"92,394",9.04,"33,465",-3.79,"14,736",12.79,"5,292",32.66,714,9.01,"1,355",65.24
2008M03,"342,062",-0.94,"268,964",-2.83,"56,303",55.18,"18,811",-28.64,"106,520",-11.67,"45,198",6.31,"19,927",2.72,"6,024",18.61,700,-15.76,"1,249",85.59
2008M04,"302,819",-4.21,"240,382",-6.16,"43,224",-13.09,"20,326",-26.14,"82,136",-7.73,"37,397",-1.91,"17,291",9.11,"5,574",15.09,814,-7.71,"1,361",429.57
2008M05,"314,700",7.03,"255,690",6.95,"55,640",42.46,"21,940",-15.39,"84,643",-6.76,"36,906",0.58,"14,474",9.59,"5,016",23.09,621,15.21,"1,993",361.34
2008M06,"340,454",6.17,"270,647",6.70,"66,323",33.92,"22,400",-12.39,"86,022",-6.63,"44,014",-1.56,"18,481",17.61,"5,354",1.21,877,12.29,"1,081",104.73
2008M07,"307,287",7.79,"241,135",9.23,"57,273",33.85,"30,323",14.95,"80,201",-1.13,"41,946",-1.48,"16,851",8.53,"5,642",7.38,748,25.93,965,167.31
2008M08,"311,587",1.01,"254,439",0.75,"64,182",29.44,"29,281",6.50,"84,168",-13.93,"35,391",-1.58,"15,350",10.34,"4,684",-1.70,853,19.30,870,48.72
2008M09,"307,402",3.99,"254,142",4.61,"46,911",24.34,"33,251",35.87,"90,716",-10.70,"30,503",-4.48,"15,522",12.28,"5,786",5.51,639,-23.93,810,41.11
2008M10,"327,038",3.98,"258,693",5.47,"43,030",17.73,"34,780",37.52,"95,234",-4.21,"40,047",-6.19,"19,453",1.51,"5,896",4.99,682,5.41,"2,267",100.27
2008M11,"327,224",-2.72,"260,849",-3.75,"43,172",13.47,"35,238",27.59,"96,327",-9.87,"38,143",-3.37,"19,825",5.47,"5,508",9.50,602,-11.08,"2,297",66.33
2008M12,"352,038",-3.26,"283,349",-3.50,"62,497",17.98,"35,114",31.78,"89,938",-10.74,"42,362",-9.35,"13,949",-5.67,"6,708",-10.26,633,-31.12,"5,037","1,261.35"
2009M01,"276,896",-6.91,"220,888",-7.16,"46,545",54.70,"43,995",99.06,"70,119",-28.74,"34,339",-4.34,"12,801",-14.97,"6,477",-8.40,536,-12.99,"1,855",110.32
2009M02,"303,302",-3.75,"256,861",-1.04,"43,211",-13.62,"42,248",64.78,"99,424",7.61,"27,079",-19.08,"13,362",-9.32,"4,475",-15.44,640,-10.36,885,-34.69
2009M03,"395,201",15.53,"330,381",22.83,"57,071",1.36,"87,002",362.51,"105,350",-1.10,"36,590",-19.05,"20,265",1.70,"5,475",-9.11,644,-8.00,"1,846",47.80
2009M04,"448,486",48.10,"381,334",58.64,"87,995",103.58,"131,464",546.78,"79,311",-3.44,"38,603",3.22,"19,729",14.10,"6,032",8.22,856,5.16,"1,932",41.95
2009M05,"366,375",16.42,"311,236",21.72,"62,341",12.04,"110,244",402.48,"69,022",-18.46,"34,268",-7.15,"13,945",-3.65,"4,261",-15.05,498,-19.81,"2,167",8.73
2009M06,"321,383",-5.60,"257,239",-4.95,"61,768",-6.87,"57,472",156.57,"61,728",-28.24,"39,935",-9.27,"16,526",-10.58,"4,892",-8.63,537,-38.77,"2,254",108.51
2009M07,"346,718",12.83,"279,650",15.97,"66,898",16.81,"70,157",131.37,"72,655",-9.41,"40,603",-3.20,"17,696",5.01,"4,992",-11.52,762,1.87,"3,015",212.44
2009M08,"367,491",17.94,"308,002",21.05,"73,055",13.82,"80,883",176.23,"80,533",-4.32,"36,711",3.73,"15,158",-1.25,"4,135",-11.72,720,-15.59,"2,765",217.82
2009M09,"340,645",10.81,"289,601",13.95,"45,194",-3.66,"64,386",93.64,"100,173",10.42,"28,902",-5.25,"15,108",-2.67,"4,940",-14.62,567,-11.27,"1,527",88.52
2009M10,"368,212",12.59,"299,686",15.85,"53,403",24.11,"78,175",124.77,"87,481",-8.14,"40,143",0.24,"19,453",0.00,"6,020",2.10,702,2.93,"2,208",-2.60
2009M11,"410,489",25.45,"343,239",31.59,"48,758",12.94,"113,807",222.97,"84,765",-12.00,"39,521",3.61,"18,165",-8.37,"5,570",1.13,603,0.17,"3,391",47.63
2009M12,"449,806",27.77,"376,967",33.04,"72,567",16.11,"92,290",162.83,"90,100",0.18,"45,342",7.03,"14,862",6.55,"8,904",32.74,670,5.85,"3,061",-39.23
2010M01,"345,981",24.95,"288,410",30.57,"37,387",-19.68,"86,891",97.50,"86,214",22.95,"34,362",0.07,"13,854",8.23,"6,905",6.61,563,5.04,"1,887",1.73
2010M02,"387,143",27.64,"331,342",29.00,"63,026",45.86,"107,628",154.75,"73,889",-25.68,"34,384",26.98,"13,726",2.72,"5,050",12.85,582,-9.06,"2,059",132.66
2010M03,"516,512",30.70,"437,310",32.37,"61,024",6.93,"149,617",71.97,"112,231",6.53,"45,743",25.02,"23,785",17.37,"6,813",24.44,897,39.29,"1,964",6.39
2010M04,"506,400",12.91,"437,183",14.65,"70,966",-19.35,"180,915",37.62,"79,593",0.36,"41,848",8.41,"18,476",-6.35,"6,388",5.90,895,4.56,"1,610",-16.67
2010M05,"505,856",38.07,"440,400",41.50,"67,943",8.99,"179,394",62.72,"85,750",24.24,"40,651",18.63,"16,187",16.08,"4,826",13.26,566,13.65,"3,226",48.87
2010M06,"470,447",46.38,"403,847",56.99,"77,918",26.15,"135,603",135.95,"82,806",34.15,"44,002",10.18,"15,534",-6.00,"5,244",7.20,589,9.68,"1,231",-45.39
2010M07,"427,763",23.37,"363,983",30.16,"72,663",8.62,"129,160",84.10,"78,442",7.97,"41,154",1.36,"15,871",-10.31,"5,452",9.21,760,-0.26,543,-81.99
2010M08,"442,235",20.34,"383,766",24.60,"81,600",11.70,"118,616",46.65,"91,613",13.76,"36,512",-0.54,"15,797",4.22,"4,631",12.00,802,11.39,727,-73.71
