期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2004M05,"232,293",477.04,"80,663",599.11,"75,276","2,060.62","28,465",380.42,"3,378","2,122.37","1,951",126.86,-,--,-,--,"15,751",269.31,"26,809",91.06
2004M06,"258,861",353.10,"80,824",338.28,"90,445","2,080.97","34,240",247.02,"3,505","1,125.52","2,214",77.97,-,--,-,--,"18,293",108.49,"29,340",104.15
2004M07,"243,396",57.87,"72,699",26.76,"81,999",177.24,"36,384",53.67,"3,336",178.93,"2,971",-12.59,-,--,-,--,"18,956",18.46,"27,051",17.75
2004M08,"253,544",26.38,"73,142",8.74,"92,524",79.53,"31,065",16.09,"3,433",53.81,"4,445",-22.45,-,--,-,--,"20,500",5.80,"28,435",2.62
2004M09,"245,915",12.50,"75,529",-5.78,"92,192",60.86,"25,109",0.96,"3,813",-8.08,"5,468",-17.51,-,--,-,--,"17,547",-1.73,"26,257",-4.92
2004M10,"266,590",19.25,"84,936",4.69,"100,784",56.73,"27,458",7.39,"4,726",2.27,"1,615",-42.83,-,--,-,--,"18,398",5.87,"28,673",3.41
2004M11,"270,553",12.10,"83,626",7.76,"104,036",31.82,"28,046",-0.26,"5,363",-8.03,"2,012",-36.95,-,--,-,--,"18,246",-0.84,"29,224",-0.18
2004M12,"276,680",12.62,"67,540",4.34,"118,374",28.65,"38,840",7.38,"3,913",-15.92,"1,611",-43.03,-,--,-,--,"17,490",0.63,"28,912",3.61
2005M01,"244,252",14.75,"79,439",26.83,"89,523",40.39,"27,428",-25.80,"2,489",-20.15,"1,868",-31.65,-,--,-,--,"16,487",-7.34,"27,018",4.54
2005M02,"257,340",16.43,"65,662",-16.88,"100,527",61.76,"35,011",28.98,"2,310",-16.09,"9,209",17.00,-,--,-,--,"16,912",-2.11,"27,709",11.60
2005M03,"298,282",24.50,"89,114",5.43,"122,328",64.62,"34,077",11.71,"3,904",9.26,"2,399",5.22,-,--,-,--,"17,432",-1.46,"29,028",8.76
2005M04,"269,513",17.66,"81,536",8.34,"104,526",37.78,"30,247",1.55,"3,350",23.80,"2,202",2.28,-,--,-,--,"17,458",-0.80,"30,194",17.48
2005M05,"284,049",22.28,"87,445",8.41,"110,805",47.20,"30,473",7.05,"7,057",108.91,"1,940",-0.56,-,--,-,--,"16,336",3.71,"29,993",11.88
2005M06,"293,044",13.21,"82,282",1.80,"117,947",30.41,"34,645",1.18,"4,121",17.57,"2,225",0.50,-,--,-,--,"17,422",-4.76,"34,402",17.25
2005M07,"268,269",10.22,"73,857",1.59,"101,799",24.15,"35,248",-3.12,"3,612",8.27,"2,990",0.64,-,--,-,--,"18,737",-1.16,"32,026",18.39
2005M08,"281,693",11.10,"73,540",0.54,"112,637",21.74,"31,352",0.92,"3,434",0.03,"4,915",10.57,-,--,-,--,"20,218",-1.38,"35,597",25.19
2005M09,"270,700",10.08,"75,635",0.14,"108,597",17.79,"26,317",4.81,"3,832",0.50,"5,845",6.89,-,--,-,--,"17,169",-2.15,"33,305",26.84
2005M10,"297,454",11.58,"85,996",1.25,"125,333",24.36,"28,417",3.49,"5,198",9.99,"1,652",2.29,-,--,-,--,"17,196",-6.53,"33,662",17.40
2005M11,"302,277",11.73,"82,331",-1.55,"136,504",31.21,"28,440",1.40,"5,810",8.33,"1,945",-3.33,-,--,-,--,"16,965",-7.02,"30,282",3.62
2005M12,"311,245",12.49,"67,650",0.16,"151,111",27.66,"37,597",-3.20,"4,569",16.76,"1,527",-5.21,-,--,-,--,"17,789",1.71,"31,002",7.23
2006M01,"264,347",8.23,"68,050",-14.34,"109,594",22.42,"36,913",34.58,"2,592",4.14,"1,499",-19.75,-,--,-,--,"17,152",4.03,"28,547",5.66
2006M02,"286,156",11.20,"80,382",22.42,"111,346",10.76,"26,106",-25.43,"2,825",22.29,"9,479",2.93,-,--,-,--,"20,831",23.17,"35,187",26.99
2006M03,"309,381",3.72,"88,730",-0.43,"131,487",7.49,"31,024",-8.96,"4,601",17.85,"1,896",-20.97,-,--,-,--,"17,530",0.56,"34,113",17.52
2006M04,"290,043",7.62,"80,160",-1.69,"122,678",17.37,"31,471",4.05,"4,019",19.97,"1,992",-9.54,-,--,-,--,"19,114",9.49,"30,609",1.37
2006M05,"283,075",-0.34,"81,477",-6.82,"120,406",8.66,"28,955",-4.98,"3,937",-44.21,"1,826",-5.88,-,--,-,--,"16,032",-1.86,"30,442",1.50
2006M06,"305,127",4.12,"89,071",8.25,"122,616",3.96,"35,281",1.84,"4,818",16.91,"2,245",0.90,-,--,-,--,"17,067",-2.04,"34,029",-1.08
2006M07,"270,850",0.96,"75,118",1.71,"105,786",3.92,"35,417",0.48,"3,743",3.63,"3,269",9.33,-,--,-,--,"17,733",-5.36,"29,784",-7.00
2006M08,"292,561",3.86,"74,450",1.24,"127,126",12.86,"31,143",-0.67,"4,205",22.45,"4,839",-1.55,-,--,-,--,"19,036",-5.85,"31,762",-10.77
2006M09,"274,118",1.26,"76,001",0.48,"116,808",7.56,"24,183",-8.11,"4,303",12.29,"6,481",10.88,-,--,-,--,"16,546",-3.63,"29,796",-10.54
2006M10,"301,575",1.39,"85,178",-0.95,"130,267",3.94,"29,219",2.82,"6,013",15.68,"1,643",-0.54,-,--,-,--,"16,688",-2.95,"32,567",-3.25
2006M11,"318,663",5.42,"83,482",1.40,"148,194",8.56,"28,596",0.55,"7,559",30.10,"1,815",-6.68,-,--,-,--,"15,681",-7.57,"33,336",10.09
2006M12,"323,931",4.08,"67,737",0.13,"163,899",8.46,"39,147",4.12,"4,019",-12.04,"1,665",9.04,-,--,-,--,"15,416",-13.34,"32,048",3.37
2007M01,"274,198",3.73,"77,343",13.66,"116,436",6.24,"25,154",-31.86,"3,009",16.09,"1,792",19.55,-,--,-,--,"15,573",-9.21,"34,891",22.22
2007M02,"261,799",-8.51,"60,276",-25.01,"109,025",-2.08,"36,513",39.86,"2,154",-23.75,"6,799",-28.27,-,--,-,--,"15,610",-25.06,"31,422",-10.70
2007M03,"345,295",11.61,"90,817",2.35,"147,192",11.94,"33,444",7.80,"4,409",-4.17,"5,175",172.94,-,--,-,--,"20,580",17.40,"43,678",28.04
2007M04,"316,119",8.99,"80,788",0.78,"138,761",13.11,"32,238",2.44,"5,281",31.40,"2,064",3.61,-,--,-,--,"19,637",2.74,"37,350",22.02
2007M05,"294,021",3.87,"78,742",-3.36,"128,501",6.72,"28,569",-1.33,"4,566",15.98,"1,749",-4.22,-,--,-,--,"15,760",-1.70,"36,134",18.70
2007M06,"320,676",5.10,"85,709",-3.77,"135,858",10.80,"35,159",-0.35,"5,780",19.97,"2,480",10.47,-,--,-,--,"17,619",3.23,"38,071",11.88
2007M07,"285,075",5.25,"77,492",3.16,"112,751",6.58,"36,805",3.92,"4,079",8.98,"3,043",-6.91,-,--,-,--,"19,279",8.72,"31,626",6.18
2007M08,"308,481",5.44,"71,102",-4.50,"136,113",7.07,"34,673",11.33,"4,197",-0.19,"5,106",5.52,-,--,-,--,"20,797",9.25,"36,493",14.90
